Change Open Price (%),Change Close Price (%),Change Trade Volume (%),Change Turnover (%),Revenue,Net Profit,Gross Profit,Total Assets,Total Liabilities,Equity,Export Change,Import Change,Sentiment Score,Loan Category
-8.58,-6.99,-16.31,-17.74,30.05,-10.07,22.51,78.44,94.35,45.84,-5.89,14.82,0.17,0
-5.25,-8.41,-16.18,-19.03,42.07,-1.46,42.76,99.21,75.47,18.32,-7.8,14.18,0.03,0
-9.29,-9.61,-17.25,-14.15,10.76,-31.74,14.77,53.58,70.13,22.49,-9.08,13.06,0.01,0
-6.16,-5.42,-19.17,-18.89,22.83,-34.71,33.17,70.43,73.33,36.13,-8.52,12.75,0.12,0
-5.46,-8.58,-13.32,-10.38,26.07,-4.16,31.99,41.95,72.61,15.12,-6.5,14.55,0.15,0
-7.31,-8.4,-15.66,-16.62,29.5,-8.25,33.3,40.07,91.25,24.32,-6.14,14.56,0.0,0
-9.14,-9.46,-18.02,-13.26,13.45,-43.04,40.48,97.98,88.24,5.77,-5.3,12.6,0.13,0
-8.32,-6.07,-18.43,-12.47,25.17,-17.86,18.16,25.46,94.93,23.86,-5.19,11.19,0.14,0
-6.18,-5.65,-14.82,-19.2,7.54,-1.58,47.29,15.99,89.13,11.15,-9.05,13.31,0.08,0
-5.83,-8.42,-13.15,-10.46,13.11,-23.24,30.5,65.03,88.95,3.88,-8.46,10.62,0.06,0
-7.04,-8.49,-11.76,-12.47,15.37,-11.02,28.36,8.02,77.77,38.46,-5.37,12.67,0.08,0
-6.39,-6.46,-13.0,-14.29,4.69,-16.6,45.57,77.88,78.28,32.06,-9.27,10.04,0.04,0
-5.14,-8.34,-17.4,-12.93,29.04,-1.86,12.85,83.66,81.17,11.12,-9.29,13.78,0.03,0
-6.96,-6.19,-13.01,-10.63,20.46,-46.31,1.19,8.03,79.8,31.57,-9.7,12.85,0.1,0
-7.96,-9.0,-11.62,-18.22,25.64,-6.03,4.9,89.64,93.92,8.97,-5.01,10.52,0.19,0
-9.04,-6.38,-13.25,-19.91,15.08,-49.83,27.94,75.31,74.85,34.92,-7.18,12.92,0.06,0
-6.45,-9.19,-16.16,-17.95,39.97,-18.84,37.36,5.41,71.57,45.91,-7.67,12.45,0.2,0
-6.66,-7.39,-11.84,-12.66,33.02,-25.32,22.27,76.84,98.41,15.96,-5.86,10.61,0.07,0
-5.88,-9.37,-16.52,-16.2,10.37,-25.81,28.43,16.87,96.72,25.45,-9.73,13.67,0.1,0
-9.66,-5.66,-15.48,-10.02,4.65,-26.45,49.98,0.42,88.89,27.4,-8.72,14.16,0.04,0
-8.39,-9.11,-16.44,-17.94,49.3,-6.91,2.18,82.29,81.09,2.0,-7.11,11.35,0.02,0
