Company name,Symbol,Industry
WATAWALA PLANTATIONS PLC,WATA.N0000,Consumer Goods
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,Consumer Goods
KOTMALE HOLDINGS PLC,LAMB.N0000,Consumer Goods
CEYLON TOBACCO COMPANY PLC,CTC.N0000,Consumer Goods
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,Consumer Goods
SRI LANKA TELECOM PLC,SLTL.N0000,Telecommunication Services
DIALOG AXIATA PLC,DIAL.N0000,Telecommunication Services
CEYLON HOSPITALS PLC (DURDANS),CHL.X0000,Health Care Equipment & Services
NAWALOKA HOSPITALS PLC,NHL.N0000,Health Care Equipment & Services
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,Health Care Equipment & Services
JOHN KEELLS HOLDINGS PLC,JKH.N0000,Capital Goods
LANKA TILES PLC,TILE.N0000,Capital Goods
HAYLEYS PLC,HAYL.N0000,Capital Goods
HEMAS HOLDINGS PLC,HHL.N0000,Capital Goods
KELANI TYRES PLC,TYRE.N0000,Transpotation 
JAT HOLDINGS PLC,JAT.N0000,Agricultural Raw Materials
CIC HOLDINGS PLC,CIC.X0000,Agricultural Raw Materials
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,Agricultural Raw Materials
