Company name,Symbol,Industry
LAUGFS GAS PLC,LGL.N0000,Energy
LANKA IOC PLC,LIOC.N0000,Energy
BROWNS INVESTMENTS PLC,BIL.N0000,"Food, Beverage Tobacco"
WATAWALA PLANTATIONS PLC,WATA.N0000,"Food, Beverage Tobacco"
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,"Food, Beverage Tobacco"
CEYLON COLD STORES PLC,CCS.N0000,"Food, Beverage Tobacco"
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,"Food, Beverage Tobacco"
KOTMALE HOLDINGS PLC,LAMB.N0000,"Food, Beverage Tobacco"
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,"Food, Beverage Tobacco"
CEYLON TOBACCO COMPANY PLC,CTC.N0000,"Food, Beverage Tobacco"
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,"Food, Beverage Tobacco"
HARISCHANDRA MILLS PLC,HARI.N0000,"Food, Beverage Tobacco"
LOLC HOLDINGS PLC,LOLC.N0000,Diversified Financials
HNB FINANCE PLC,HNBF.X0000,Diversified Financials
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,Diversified Financials
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,Diversified Financials
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,Diversified Financials
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,Diversified Financials
SOFTLOGIC FINANCE PLC,CRL.N0000,Diversified Financials
DIALOG FINANCE PLC,CALF.N0000,Diversified Financials
L B FINANCE PLC,LFIN.N0000,Diversified Financials
SENKADAGALA FINANCE PLC,SFCL.N0000,Diversified Financials
SRI LANKA TELECOM PLC,SLTL.N0000,Telecommunication Services
DIALOG AXIATA PLC,DIAL.N0000,Telecommunication Services
PRIME LANDS RESIDENCIES PLC,PLR.N0000,Real Estate Management&Development
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,Real Estate Management&Development
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,Real Estate Management&Development
LEE HEDGES PLC,SHAW.N0000,Real Estate Management&Development
YORK ARCADE HOLDINGS PLC,YORK.N0000,Real Estate Management&Development
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,Real Estate Management&Development
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,Real Estate Management&Development
CEYLON HOSPITALS PLC (DURDANS),CHL.X0000,Health Care Equipment & Services
NAWALOKA HOSPITALS PLC,NHL.N0000,Health Care Equipment & Services
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,Health Care Equipment & Services
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,Health Care Equipment & Services
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,Health Care Equipment & Services
VALLIBEL ONE PLC,VONE.N0000,Capital Goods
LANKA WALLTILES PLC,LWL.N0000,Capital Goods
ACCESS ENGINEERING PLC,AEL.N0000,Capital Goods
JOHN KEELLS HOLDINGS PLC,JKH.N0000,Capital Goods
SIERRA CABLES PLC,SIRA.N0000,Capital Goods
LAXAPANA PLC,LITE.N0000,Capital Goods
LANKA TILES PLC,TILE.N0000,Capital Goods
ROYAL CERAMICS LANKA PLC,RCL.N0000,Capital Goods
HAYLEYS PLC,HAYL.N0000,Capital Goods
THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,Capital Goods
HEMAS HOLDINGS PLC,HHL.N0000,Capital Goods
LVL ENERGY FUND PLC,LVEF.N0000,Utilities
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,Utilities
VIDULLANKA PLC,VLL.X0000,Utilities
WINDFORCE PLC,WIND.N0000,Utilities
LOTUS HYDRO POWER PLC,HPFL.N0000,Utilities
PANASIAN POWER PLC,PAP.N0000,Utilities
KELANI TYRES PLC,TYRE.N0000,Automobiles & Components
DIPPED PRODUCTS PLC,DIPD.N0000,Materials
SWISSTEK (CEYLON) PLC,PARQ.N0000,Materials
JAT HOLDINGS PLC,JAT.N0000,Materials
CIC HOLDINGS PLC,CIC.X0000,Materials
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,Materials
PGP GLASS CEYLON PLC,GLAS.N0000,Materials
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,Materials
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,Materials
TEEJAY LANKA PLC,TJL.N0000,Consumer Durables & Apparel
HAYLEYS FABRIC PLC,MGT.N0000,Consumer Durables & Apparel
DANKOTUWA PORCELAIN PLC,DPL.N0000,Consumer Durables & Apparel
AMBEON CAPITAL PLC,TAP.N0000,Consumer Durables & Apparel
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,Consumer Durables & Apparel
THE KINGSBURY PLC,SERV.N0000,Consumer Services
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,Consumer Services
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,Consumer Services
HAYLEYS LEISURE PLC,CONN.N0000,Consumer Services
CITRUS LEISURE PLC,REEF.N0000,Consumer Services
JETWING SYMPHONY PLC,JETS.N0000,Consumer Services
JOHN KEELLS HOTELS PLC,KHL.N0000,Consumer Services
HOTEL SIGIRIYA PLC,HSIG.N0000,Consumer Services
SINGER (SRI LANKA) PLC,SINS.N0000,Retailing
