Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,217.75,217.75,217.75,216,1,2,435.5
7/4/24,221,221,215,216,17,1357,294672.5
7/3/24,226,226,220,220,16,1667,369652.5
7/2/24,225,230,225,230,2,2,455
7/1/24,230,230,230,230,3,100,23000
6/28/24,225.5,229,225,226.75,9,202,45784.5
6/27/24,230,230,229.75,226,3,28,6439.75
6/26/24,230,230,230,226,2,14,3220
6/24/24,230,230,230,226,2,6,1380
6/19/24,226,226,226,226,8,310,70060
6/18/24,223,226,222.5,225,4,127,28585.5
6/14/24,228.75,228.75,225,226.75,4,30,6768.75
6/13/24,227,227,225,226.75,4,159,36075
6/12/24,229,230,225.25,226,10,425,96881.25
6/11/24,230,230,225,225.25,12,187,42537
6/11/24,230,230,225,225.25,12,187,42537
6/10/24,226,230,226,226.75,13,572,129368
6/7/24,226,230,226,226,2,27,6186
6/6/24,225,230,224.75,226,13,772,174409.25
6/5/24,225,225,225,220.75,1,20,4500
6/4/24,235,235,220.5,220.75,11,499,110387.25
6/3/24,235,235,223,232.25,12,170,39535.5
5/31/24,240,240,230,230,14,2764,637216.5
5/30/24,236,240,225,233.5,30,1212,286169
5/29/24,224.5,244.5,224.5,235.75,116,21003,4876148.75
5/28/24,210,210,206,215,3,23,4798
5/27/24,215,224.25,212.5,215,9,1101,236657
5/22/24,225,225,210.25,220.75,6,64,13825.25
5/21/24,211.25,224.75,211.25,220.75,32,176,38504
5/20/24,222,224.75,211.25,224.25,28,558,123278.5
5/17/24,210,230,210,228.5,71,16063,3536241
5/16/24,203,209.75,191,204.25,21,1812,366099.5
5/15/24,200,210,200,203,20,947,192283
5/14/24,191,200.75,191,200.25,23,1741,338520.25
5/13/24,191.25,191.25,184.25,191,26,11363,2163604.75
5/10/24,198.5,198.5,190,191,7,79683,15219258
5/9/24,184,200,184,198.5,11,990,196328.5
5/8/24,185.25,189,183.5,185,10,391,72289
5/7/24,199,199,192,192,15,610,119270
5/6/24,178,184.75,178,189.75,4,97,17304.25
5/3/24,178,178,178,189.75,1,12,2136
5/2/24,190,190,188,189.75,4,29,5484.25
4/30/24,175.5,199,175.5,189.75,13,266,49688
4/29/24,180,180,179.5,176.5,4,60,10787.25
4/26/24,184.25,184.25,175,176.5,4,32,5609.25
4/25/24,175,185,172,176.5,7,5940,1048048
4/24/24,171.5,180.5,169.75,180.5,22,824,147598.75
4/22/24,171.5,179.5,171.5,179.25,16,534,95579.5
4/19/24,171.75,178.5,171.25,171.25,7,424,72668.5
4/18/24,173,173,173,179,4,7,1211
4/17/24,173,174.5,173,179,3,8,1393
4/16/24,171.25,173.5,171,179,3,61,10434.25
4/15/24,171,180,171,179,12,1041,182339.5
4/10/24,175,175,171,177.25,2,2,346
4/9/24,174,177.5,171,177.25,7,530,91826.5
4/8/24,163.5,175,163.25,174.75,16,476,82418.75
4/5/24,165,174,163.5,174,10,1508,261661
4/4/24,169.5,174.25,169.5,169.5,5,94,15957.75
4/3/24,161.25,170,161.25,169.5,10,1206,204475.25
4/2/24,164,170,163.75,164.75,5,373,61450
4/1/24,167.5,170,160,165.75,18,2318,384203
3/28/24,168,168,168,159.5,1,2,336
3/27/24,159,162,159,159.5,2,238,37956
3/26/24,159,169,158.5,159,13,1139,181123.5
3/25/24,161.25,169,157.5,160,14,4021,641177.25
3/22/24,163.75,177.5,163.5,170.25,35,4550,778040.25
3/21/24,158,163.75,158,158.75,3,26,4194.25
3/20/24,161,163.75,158.5,158.75,10,167,26680.75
3/19/24,161,161,161,160.75,1,1,161
3/18/24,164,164,160,160.75,6,40,6520
3/15/24,160,164,160,160.75,7,280,44997.75
3/14/24,157.5,164,157.5,164,3,5,794.5
3/13/24,164,164,158,164,14,411,67380
3/12/24,164,164,164,165,2,25,4100
3/11/24,165,166,165,165,3,31,5145
3/7/24,164,165,164,165,11,1147,189074.25
3/6/24,160,165,160,164,15,3643,597566.75
3/5/24,154,164,154,162.25,12,331,53564.5
3/4/24,154,154,153.5,153.5,2,60,9235
3/1/24,153.5,153.5,153.5,153.5,7,521,79973.5
2/29/24,153.5,160,153.5,159,7,267,42434
2/28/24,152,153,152,152,3,2151,327002
2/27/24,152,152,147,149,24,775,115089.5
2/26/24,154.75,155,152,153.75,8,500,76965.5
2/22/24,161,161,155.5,155.75,17,391,62050
2/21/24,164,164,160.5,161.5,17,313,50643
2/20/24,163,164.5,163,164.75,4,32,5239
2/19/24,165,165,163,164.75,11,298,49071.25
2/16/24,160,165,160,160.75,17,384,62129.25
2/15/24,172,172,159,159.25,48,2708,447907.75
2/14/24,159,159,152.75,155.25,5,33,5111.75
2/13/24,162,162,160.5,155.25,3,11,1780.5
