Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,82.5,84.5,82.5,84,59,53583,4482858.3
7/4/24,83.7,83.7,83,83.5,46,30876,2570613.5
7/3/24,84.1,85,83.5,84,57,218418,18346527.2
7/2/24,84,84.4,83,84.3,53,106827,8959016.3
7/1/24,84,84,82.7,83.1,79,272447,22739163.4
6/28/24,83.6,84,83.5,83.5,63,317512,26512284.7
6/27/24,84.5,84.5,83.5,83.5,90,369263,30992616.4
6/26/24,84.4,85.2,84,84,59,45549,3843260.3
6/25/24,85,85.1,84.4,84.6,38,15331,1301545.1
6/24/24,85.5,85.5,84.7,85,34,66009,5611310.3
6/20/24,84.7,85.8,84.6,85.5,37,23793,2025268.6
6/19/24,85,86,84.7,85.3,32,17853,1520247.9
6/18/24,85.5,85.9,84.5,85,59,55160,4693014.5
6/14/24,86,86.3,85.5,86,32,43251,3718874
6/13/24,86.3,87.5,85.2,86,71,217861,18642218.3
6/12/24,87.5,87.5,86.2,86.2,30,15004,1304279.5
6/11/24,87.4,87.9,86.6,87.6,79,72428,6319284.3
6/11/24,87.4,87.9,86.6,87.6,79,72428,6319284.3
6/10/24,85.4,88,85,86.6,47,32202,2777028.3
6/7/24,85.4,85.4,85,85,39,67553,5742238.2
6/6/24,83.6,85.5,83.6,85,53,38957,3281869.2
6/5/24,83.9,83.9,83.3,83.6,35,11640,972288.3
6/4/24,83.5,83.9,83,83.1,84,122575,10215879.7
6/3/24,83.7,83.9,83,83.5,85,129922,10801879.8
5/31/24,84.6,86.4,84,84.1,176,363355,30711655.9
5/30/24,86.5,86.9,85.6,86.2,53,85206,7349865.9
5/29/24,86.5,87.5,86,86,50,37523,3262429
5/28/24,87.1,87.8,85.4,86.9,129,719642,62255776.3
5/27/24,87,87.8,86.6,87,56,59829,5204679.2
5/22/24,86,87,85.1,86.6,89,406882,35012986.6
5/21/24,85,86,85,85.2,77,479805,40794254.5
5/20/24,86,86,85,85.4,104,417606,35582541.4
5/17/24,85.4,87,84.2,86.8,70,151106,12976652.9
5/16/24,86.1,87,85,85.5,92,41580,3552660
5/15/24,87,88.3,85.5,86.1,97,59491,5167817.8
5/14/24,87.5,88.5,86.6,87,143,283008,24857689.1
5/13/24,87.5,88.5,87.3,88,88,85713,7542010.8
5/10/24,87.6,88.6,87,88.4,276,392657,34583826.4
5/9/24,87,89,85.9,87.6,227,496546,43279055.3
5/8/24,87,87,86,86.2,72,156125,13453077.4
5/7/24,86.5,87.1,86.1,86.4,69,55314,4786601.8
5/6/24,86.8,87.2,86,87,72,60957,5290855.3
5/3/24,86.5,87.8,86,86.8,95,80002,6964247.3
5/2/24,86.9,87.5,86,86.8,197,303985,26479548.8
4/30/24,85.5,86.9,85.5,86.7,152,371344,32048548.6
4/29/24,85.8,87,85.5,86,157,288296,24797584.4
4/26/24,84,86.5,84,85,151,182106,15532856.9
4/25/24,84.5,85,84,84.9,107,165636,13971513.6
4/24/24,83.5,85,83.5,84,94,94643,7973541.8
4/22/24,82.5,83.9,82.5,83.6,73,146419,12226353.2
4/19/24,82.7,82.8,82.5,82.5,70,172576,14248903.3
4/18/24,83.4,83.5,82.5,82.7,79,128292,10652146.7
4/17/24,82.7,84,82,83.4,113,77407,6459503.3
4/16/24,84.2,84.7,82.9,83,153,106651,8917316.8
4/15/24,85,85.6,84,84.9,86,111206,9445920.8
4/10/24,86,86.4,85,85.4,61,80710,6910043.9
4/9/24,85.5,86,85.1,85.8,82,72646,6219150.5
4/8/24,84.5,86.4,84.5,85.9,88,140696,12026151.7
4/5/24,85.9,85.9,84.5,84.5,75,130601,11046604.1
4/4/24,85.9,87,84.5,84.8,186,318130,27445150.2
4/3/24,84.2,86.5,84,85.9,177,267351,22765308.8
4/2/24,84.4,84.5,83,84.5,96,122414,10299811.4
4/1/24,84.2,84.5,83.1,84,83,120799,10133951.5
3/28/24,85,85.2,84.1,84.1,172,916690,77844465.9
3/27/24,84.1,84.5,83.8,83.9,92,509314,42808033.7
3/26/24,83.6,84.5,83.6,84.1,138,193798,16289802.4
3/25/24,83.5,84.5,83.5,83.9,182,933584,78209932.5
3/22/24,81.8,83.8,81.8,83.4,120,588665,48571578.2
3/21/24,82.1,82.5,81.7,82,134,115448,9462602.3
3/20/24,81.8,82.7,81.8,82.1,104,107173,8817064.7
3/19/24,82.1,82.4,81.5,82.2,82,191780,15752854.1
3/18/24,83,84,81.5,82.5,169,257528,21282276.6
3/15/24,83.7,84.5,82.8,83.4,149,392009,32712448.2
3/14/24,81,84.8,81,83.4,402,1512635,125777405.3
3/13/24,80,81.5,80,81,88,218810,17715981
3/12/24,81.2,81.2,80,80.8,86,153754,12394474.6
