Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,5.5,5.8,5.5,5.7,6,795,4522.1
7/4/24,5.8,5.8,5.8,5.8,1,100,580
7/2/24,5.8,5.8,5.8,5.8,2,110,638
7/1/24,5.5,5.7,5.5,5.7,14,20007,111038.9
6/28/24,5.8,5.9,5.5,5.6,8,3906,21614.7
6/27/24,5.6,5.7,5.5,5.6,7,7300,40880
6/25/24,5.9,5.9,5.8,5.9,3,265,1563
6/24/24,5.8,5.9,5.6,5.6,12,15102,84761.8
6/20/24,6,6,6,6,4,204,1224
6/19/24,6,6,5.8,5.8,3,13,75.8
6/18/24,5.7,6,5.7,5.8,5,522,3031.1
6/14/24,5.9,5.9,5.6,5.7,6,4190,24482
6/13/24,6,6,5.9,5.9,3,441,2602.1
6/12/24,6,6,5.8,5.8,6,6870,40083.1
6/11/24,5.9,6,5.7,5.7,10,12310,71418.6
6/11/24,5.9,6,5.7,5.7,10,12310,71418.6
6/10/24,5.9,6,5.9,5.9,8,2638,15583
6/7/24,5.9,5.9,5.9,5.9,1,400,2360
6/6/24,6,6,5.8,5.8,11,9154,53825.8
6/5/24,5.8,5.9,5.8,5.9,5,81,477.8
6/4/24,6,6,5.6,5.9,8,4389,25595
5/31/24,6,6,6,6,1,1,6
5/30/24,6,6,5.6,6,13,1101,6602.2
5/29/24,5.7,6,5.6,5.8,10,26469,152350.9
5/28/24,6,6,5.7,5.7,5,1180,6762.5
5/27/24,6.1,6.1,6.1,5.9,1,5,30.5
5/22/24,6.1,6.1,5.9,5.9,6,2146,12772.6
5/21/24,6,6.1,6,6,2,5,30.3
5/20/24,5.8,5.9,5.8,6,2,75,440
5/17/24,6,6,5.8,6,9,29308,175847.4
5/16/24,6.1,6.1,6,6.1,4,1029,6276.4
5/15/24,6.2,6.2,5.8,5.9,17,54586,324532.9
5/14/24,6.2,6.2,5.9,5.9,41,179202,1061440.6
5/13/24,6.3,6.3,6.2,6.2,4,112,694.5
5/10/24,6.3,6.3,6,6.1,13,20911,129961
5/9/24,6.1,6.2,5.9,6,37,126218,757488.6
5/8/24,6.2,6.2,6.1,6.1,15,40056,244555.2
5/7/24,6.3,6.3,6.1,6.2,74,135850,842107
5/6/24,6.1,6.4,6.1,6.4,17,23423,148731.3
5/3/24,6.2,6.3,6.1,6.3,15,22017,138005.6
5/2/24,5.9,6.3,5.9,6.2,25,21690,134437
4/30/24,6.2,6.3,6,6.2,9,4310,26830.7
4/29/24,6.3,6.3,5.9,6.2,37,40562,245270.7
4/26/24,5.8,6.5,5.6,6.2,114,150965,921472.3
4/25/24,5.7,5.8,5.6,5.7,17,10560,60097.5
4/24/24,5.8,5.8,5.8,5.8,1,475,2755
4/22/24,5.5,5.8,5.4,5.8,10,12006,65146.8
4/19/24,5.8,5.8,5.5,5.5,9,8390,46145.4
4/18/24,5.6,5.8,5.5,5.8,10,6362,35206
4/17/24,5.8,5.8,5.6,5.7,5,2112,11863.6
4/16/24,5.7,5.8,5.6,5.6,9,15066,84462.8
4/15/24,5.6,5.8,5.6,5.7,3,201,1145.8
4/10/24,5.7,5.7,5.6,5.7,2,5002,28511.2
4/9/24,5.6,5.8,5.6,5.7,2,95,533
4/8/24,5.8,5.8,5.8,5.7,1,5,29
4/5/24,5.8,5.8,5.7,5.7,8,2304,13243.2
4/4/24,5.8,5.8,5.8,5.7,1,2,11.6
4/3/24,5.8,5.8,5.7,5.7,8,3874,22094.2
4/2/24,5.8,5.8,5.8,5.8,1,1000,5800
4/1/24,5.7,5.9,5.7,5.7,18,48835,283004
3/28/24,5.7,5.9,5.5,5.5,30,124578,699123.2
3/27/24,5.7,5.7,5.4,5.4,11,2691,14851.3
3/26/24,5.5,5.7,5.5,5.6,4,565,3158.9
3/25/24,5.5,5.6,5.3,5.4,12,32225,172794.8
3/22/24,5.5,5.6,5.5,5.6,5,1977,10901.2
3/21/24,5.5,5.7,5.5,5.7,4,120,678.8
3/20/24,5.6,5.7,5.6,5.6,6,6105,34588
3/19/24,5.6,5.6,5.5,5.5,12,5965,32956.1
3/18/24,5.6,5.6,5.6,5.6,4,1234,6910.4
3/15/24,5.7,5.7,5.4,5.5,24,62976,344859.4
3/14/24,5.6,5.7,5.6,5.6,8,8643,48401
3/13/24,5.7,5.9,5.6,5.8,11,16780,94201.6
3/12/24,5.8,5.9,5.7,5.7,10,2597,15142.4
3/11/24,5.5,6,5.5,6,12,9888,58981.9
3/7/24,5.7,5.9,5.7,5.8,18,35998,209388.3
3/6/24,5.7,5.8,5.7,5.7,3,503,2867.4
3/5/24,5.6,5.6,5.6,5.6,4,2387,13367.2
3/4/24,5.6,5.6,5.5,5.3,2,22,121.2
3/1/24,5.3,5.6,5.3,5.3,5,10405,55148
2/29/24,5.5,5.5,5.5,5.5,2,252,1386
2/28/24,5.3,5.5,5.3,5.3,3,192,1019.6
2/27/24,5.5,5.5,5.4,5.5,2,2522,13868.8
2/26/24,5.3,5.5,5.3,5.3,3,1544,8183.6
2/22/24,5.4,5.4,5.4,5.4,4,2700,14580
2/21/24,5.4,5.4,5.4,5.4,1,300,1620
2/19/24,5.4,5.4,5.3,5.4,6,2400,12951
2/15/24,5.4,5.4,5.4,5.4,2,140,756
2/14/24,5.4,5.5,5.3,5.4,4,3002,16111
2/13/24,5.5,5.5,5.5,5.5,1,100,550
2/12/24,5.3,5.3,5.3,5.4,1,30,159
2/9/24,5.6,5.6,5.6,5.4,1,2,11.2
2/7/24,5.4,5.6,5.4,5.4,4,1550,8380
2/6/24,5.6,5.6,5.4,5.6,8,3801,20715.4
2/2/24,5.6,5.6,5.6,5.6,1,100,560
2/1/24,5.5,5.5,5.5,5.5,2,501,2755.5
1/31/24,5.4,5.5,5.4,5.5,6,19162,103994.8
1/30/24,5.5,5.5,5.4,5.4,4,4600,24850
1/26/24,5.5,5.5,5.5,5.5,1,450,2475
1/24/24,5.5,5.5,5.5,5.5,2,151,830.5
1/23/24,5.5,5.5,5.4,5.4,3,8566,46256.8
1/22/24,5.5,5.5,5.4,5.4,8,3877,20995.8
1/18/24,5.7,5.7,5.7,5.5,1,1,5.7
1/17/24,5.8,5.8,5.5,5.5,3,35,195.5
1/16/24,5.8,5.8,5.5,5.5,7,2150,11860
1/11/24,5.7,5.7,5.7,5.7,1,50,285
1/10/24,5.4,5.7,5.4,5.7,2,4801,25955.7
1/9/24,5.6,5.6,5.5,5.5,16,16901,93745.5
1/8/24,5.9,5.9,5.9,5.8,1,10,59
1/5/24,5.8,5.8,5.8,5.8,2,50,290
1/4/24,5.8,5.8,5.8,5.8,12,13976,81060.8
1/3/24,5.8,5.8,5.8,5.8,6,35000,203000
1/2/24,5.6,5.6,5.6,5.8,1,1,5.6
12/29/23,5.7,5.8,5.7,5.8,12,36678,212667.6
12/28/23,5.6,5.8,5.6,5.8,9,44094,255310.8
12/27/23,5.7,5.7,5.7,5.5,1,9,51.3
12/22/23,5.8,5.8,5.5,5.5,17,12129,67107.6
12/21/23,5.8,5.8,5.8,5.8,1,184,1067.2
12/20/23,5.5,5.8,5.5,5.8,9,5829,33058.2
12/19/23,5.9,5.9,5.8,5.8,9,8884,51535.5
12/18/23,5.9,5.9,5.5,5.5,5,40250,221475
12/15/23,5.6,5.9,5.6,5.6,2,313,1754.3
12/14/23,5.9,5.9,5.4,5.4,15,18959,104505.1
12/13/23,5.6,5.9,5.6,5.6,3,106,595.4
12/12/23,5.9,5.9,5.9,5.6,1,5,29.5
12/11/23,5.9,5.9,5.5,5.6,14,2715,15101.5
12/8/23,5.6,5.9,5.6,5.6,2,6,35.1
12/7/23,5.6,5.6,5.6,5.6,2,700,3920
12/6/23,5.6,5.9,5.6,5.6,4,526,2947.1
12/5/23,5.9,5.9,5.9,5.9,2,505,2979.5
12/4/23,5.9,5.9,5.6,5.8,13,32652,186054.4
12/1/23,5.8,5.8,5.8,5.8,1,2,11.6
11/30/23,5.8,5.8,5.5,5.8,6,200,1152.5
11/29/23,5.6,5.8,5.5,5.5,4,249,1381
11/28/23,5.6,5.8,5.6,5.8,5,1245,7085
11/27/23,5.6,5.6,5.5,5.6,5,6320,34892
11/24/23,5.7,5.8,5.5,5.6,12,13644,76430.4
11/23/23,5.9,5.9,5.7,5.8,3,93,531.1
11/22/23,5.9,5.9,5.8,5.8,3,621,3653.9
11/21/23,5.8,5.9,5.8,5.8,10,614,3563.2
11/20/23,5.7,5.9,5.7,5.7,3,9891,56379.7
11/17/23,5.7,5.7,5.7,5.7,1,100,570
11/16/23,5.7,5.7,5.5,5.5,11,5700,31500.2
11/15/23,5.6,6.3,5.6,5.6,36,15072,84817.4
11/14/23,5.8,6.3,5.5,5.6,62,85078,470837.4
11/13/23,6,6.4,5.8,5.8,33,49600,288570
11/10/23,6,6,5.9,5.9,4,450,2670
11/9/23,6.2,6.2,6.1,6.1,4,300,1840
11/8/23,6.3,6.3,6.3,6.3,4,1750,11025
11/7/23,6.1,6.3,6.1,6.1,6,222,1355.2
11/6/23,6,6.1,5.8,6,3,266,1594.3
11/3/23,6.1,6.1,6,6.1,5,350,2113
11/2/23,6.1,6.1,6,6,5,701,4256.1
11/1/23,6,6.2,5.8,6,10,13048,78997.2
10/31/23,6.2,6.2,5.9,6.1,3,3992,24405.1
10/30/23,6.1,6.1,5.9,5.9,4,5800,34840
10/27/23,6.3,6.3,6.1,6.1,2,139,848.5
10/25/23,5.8,5.8,5.8,5.8,5,17050,98890
10/24/23,6.2,6.2,6.1,6.1,2,202,1232.3
10/23/23,6.3,6.3,6.1,6.2,4,3050,18635.1
10/20/23,5.8,6.2,5.8,5.8,17,50010,290062
10/19/23,6.5,6.5,6.5,5.8,1,2,13
10/18/23,6.1,6.4,5.8,5.8,14,16060,94589.2
10/17/23,6.1,6.1,6.1,6.1,1,500,3050
10/16/23,6.1,6.1,6.1,6.1,2,450,2745
10/13/23,6.1,6.3,6.1,6.2,4,221,1368.1
10/12/23,6.5,6.5,6.3,6.4,4,280,1794
10/10/23,6.6,6.6,6.1,6.1,2,1006,6139.6
10/9/23,6.3,6.3,6.3,6.3,3,6016,37900.8
10/6/23,6.4,6.4,6.3,6.3,3,2030,12892
10/5/23,6.6,6.6,6.6,6.4,1,2,13.2
10/2/23,6.5,6.5,6.4,6.4,5,5800,37150
9/27/23,6.6,6.6,6.6,6.4,1,10,66
9/22/23,6.4,6.4,6.4,6.4,3,4708,30131.2
9/21/23,6.4,6.8,6.4,6.4,6,6346,40618.2
9/20/23,6.5,6.7,6.4,6.5,13,19194,124761.3
9/19/23,6.5,6.7,6.5,6.6,7,100105,650693.5
9/18/23,6.7,6.7,6.6,6.5,2,12,79.4
9/15/23,6.5,6.7,6.5,6.5,11,113588,738327.8
9/13/23,6.6,6.6,6.6,6.6,7,20133,132877.8
9/12/23,6.8,6.8,6.6,6.6,3,2010,13267
9/11/23,6.6,6.8,6.6,6.6,5,116,766.8
9/8/23,6.9,6.9,6.9,6.7,2,30,207
9/7/23,6.9,6.9,6.6,6.7,16,16612,111022.7
9/6/23,6.9,6.9,6.4,6.5,33,71093,461883.3
9/5/23,6.7,6.9,6.6,6.7,17,28012,188641.6
9/4/23,6.8,7,6.8,6.9,17,148000,1015147.4
9/1/23,6.6,6.9,6.6,6.9,3,4610,31786
8/31/23,6.7,6.9,6.7,6.8,47,117315,805113.5
8/29/23,6.5,6.5,6.5,6.5,5,3670,23855
8/28/23,6.5,6.5,6.5,6.5,3,1000,6500
8/25/23,6.5,6.7,6.5,6.7,4,1698,11177
8/24/23,6.7,6.9,6.5,6.7,10,4501,30820.3
8/23/23,6.9,6.9,6.6,6.9,2,1010,6966
8/22/23,6.3,7,6.3,6.9,30,10417,70848.7
8/21/23,6.8,6.8,6.8,6.8,7,280,1904
