Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,23.5,23.5,23.1,23.2,88,1173088,27236245.2
7/4/24,23.7,23.8,23.2,23.2,129,492569,11607375.5
7/3/24,24,24,23.7,23.7,77,315324,7494067.4
7/2/24,23.7,24,23.6,23.8,96,891457,21218483.4
7/1/24,23.9,23.9,23.7,23.8,109,1103949,26273336.4
6/28/24,23.9,23.9,23.8,23.8,64,122811,2929180.3
6/27/24,23.9,24,23.7,23.8,96,206790,4929471.7
6/26/24,24,24,23.8,23.8,57,65772,1569009.5
6/25/24,24,24.4,23.8,23.9,99,538976,12880941.3
6/24/24,24.3,24.4,24,24.1,118,468510,11326134.9
6/20/24,24.4,24.5,24.2,24.4,78,303352,7394615.2
6/19/24,24.2,24.6,24,24.4,205,9632506,235878010.6
6/18/24,24.1,24.2,23.9,24,81,167228,4014505.7
6/14/24,23.9,24.3,23.8,24.1,92,151088,3625038.7
6/13/24,24.1,24.4,23.9,24,54,113297,2720807.2
6/12/24,24.2,24.5,24.1,24.2,38,14340,347780.7
6/11/24,24.6,25,24.1,24.1,215,2149380,52364219.1
6/11/24,24.6,25,24.1,24.1,215,2149380,52364219.1
6/10/24,24.7,25,24.4,24.5,88,243271,5997905.3
6/7/24,24.4,25,24.4,24.5,205,1827466,44946172.9
6/6/24,23.9,24.5,23.9,24.3,138,2392691,57860018.1
6/5/24,23.8,24.5,23.6,23.9,114,340000,8115920.7
6/4/24,23,23.7,23,23.5,99,219005,5142012.1
6/3/24,23.5,23.7,22.9,23.2,130,115117,2660634
5/31/24,23.9,23.9,23.4,23.4,69,86857,2041501
5/30/24,23.8,24,23.6,23.7,115,613628,14583298.4
5/29/24,23.7,23.9,23.7,23.7,41,63370,1504879.7
5/28/24,24.1,24.1,23.7,23.8,91,135390,3231700
5/27/24,24.2,24.2,24,24,92,220987,5319663.3
5/22/24,24.1,24.3,24,24.1,121,342301,8251926.7
5/21/24,23.9,24.2,23.7,23.9,124,163952,3916669.9
5/20/24,24.7,25,23.8,24,206,680742,16395086.9
5/17/24,24.8,24.8,24.3,24.7,106,199232,4890028.3
5/16/24,25,25.5,24.2,24.4,208,789606,19601638.6
5/15/24,24.8,25.8,24.7,24.8,105,442051,11001728.4
5/14/24,25.3,25.3,24.7,24.8,193,988873,24641268.5
5/13/24,25.5,25.5,25,25.2,328,546199,13694519.1
5/10/24,25.3,25.9,25.3,25.5,199,660311,16904540.6
5/9/24,25.2,25.5,24.9,25.5,151,676220,17073902.6
5/8/24,25.5,25.8,25.2,25.3,146,375102,9565939.3
5/7/24,25.9,26,25.4,25.5,174,551058,14142724.7
5/6/24,25.2,26.1,25.2,25.9,340,3167187,81290152.7
5/3/24,25.2,25.4,24.9,25.3,193,713328,17923310.6
5/2/24,24.5,25.3,24.5,25.1,453,2430674,60737217.4
4/30/24,24.1,24.6,24,24.5,305,2160276,52538553.3
4/29/24,23.7,24.4,23.7,24,453,3328602,79871500
4/26/24,23.5,23.8,23.4,23.7,140,580447,13705345.8
4/25/24,23,23.5,23,23.3,151,253357,5888989.5
4/24/24,23.3,23.6,23.1,23.2,148,308794,7207715.3
4/22/24,23,23.5,23,23.3,85,254389,5924125.3
4/19/24,22.9,23.3,22.8,23.2,150,690350,15923973
4/18/24,23,23,22.8,22.9,141,342454,7856575
4/17/24,22.9,23.4,22.5,23.1,145,226003,5185156
4/16/24,23.7,23.7,23,23.2,134,229117,5339575.9
4/15/24,23.6,23.8,23.3,23.5,110,191873,4506472.4
4/10/24,23.8,23.8,23.4,23.5,111,276307,6497953
4/9/24,23.2,24.2,22.9,23.8,240,1883840,43916206.4
4/8/24,23.3,23.4,22.9,23,183,373458,8626396.4
4/5/24,23.4,23.4,23,23.3,120,270896,6311021.6
4/4/24,23.9,24,23.2,23.3,206,432262,10257529.1
4/3/24,23.5,24.3,23.5,24,384,1490003,35658353.7
4/2/24,22.8,23.5,22.8,23.3,192,1949876,45361606.2
4/1/24,22.6,23,22.5,22.8,138,285153,6459027.2
3/28/24,22,22.6,21.9,22.6,172,1392415,31266295.9
3/27/24,22,22.3,21.8,21.8,110,407723,8914194.7
3/26/24,22.1,22.4,21.9,22,52,198799,4423986.7
3/25/24,22.4,22.4,21.9,22,36,67958,1498089
3/22/24,21.8,22.4,21.8,22.3,48,70776,1573526
3/21/24,22,22.2,21.5,21.6,75,188378,4107686.5
3/20/24,22,22.2,21.9,22.1,60,103184,2271913.7
3/19/24,22.3,22.3,22,22,67,170520,3752006.2
3/18/24,22.5,22.5,22,22.1,90,282583,6231362.8
3/15/24,22.4,22.5,22.1,22.3,81,281646,6256266.3
3/14/24,22.9,23,22.4,22.5,107,445905,10150450.2
3/13/24,22.4,23.1,22.3,22.9,234,890065,20350156.6
3/12/24,22.6,22.6,22.2,22.4,128,496687,11139508.2
3/11/24,21.7,22.8,21.7,22.6,412,2102456,47183277.2
3/7/24,21.2,21.7,21,21.5,160,565489,11990860
3/6/24,20.9,21.5,20.8,21.1,260,2464897,52702745.6
3/5/24,20.6,21.1,20.3,21,177,594170,12386310.8
3/4/24,19.5,20.7,19.5,20.5,122,627540,12535665.5
3/1/24,19.8,19.8,19.5,19.5,30,80110,1563752.8
2/29/24,19.7,19.8,19.5,19.6,57,222147,4348043.8
2/28/24,19.5,19.6,19.5,19.6,32,70077,1369032.1
2/27/24,19.3,19.6,19.2,19.5,65,157601,3071356.5
2/26/24,20,20,19.2,19.3,68,88459,1748251.8
2/22/24,20,20.1,19.8,20,85,320485,6408239.7
2/21/24,20,20.2,19.5,20,164,799950,15996594.9
2/20/24,19.5,20.2,19.4,20,152,769069,15407170.6
2/19/24,19.3,19.7,19.2,19.6,55,51537,999298.2
2/16/24,19.3,19.4,19.2,19.3,42,88649,1712437.1
2/15/24,19,19.3,19,19.2,64,799944,15280819
2/14/24,19,19.1,18.9,19,39,144904,2757051.7
2/13/24,19.1,19.2,18.9,19,47,760691,14465667
2/12/24,19,19.1,18.8,18.9,33,193724,3663555
2/9/24,18.7,19,18.7,18.9,17,38573,728482.3
2/8/24,18.9,18.9,18.5,18.7,31,54294,1009392.5
2/7/24,19,19,18.7,18.7,25,44713,840338.9
2/6/24,18.8,19.1,18.8,18.9,44,263702,5004723.9
2/2/24,19,19.1,18.8,19,42,258656,4914004.7
2/1/24,18.6,19.1,18.5,19.1,46,298739,5676265.9
1/31/24,19,19.2,18.6,19,75,286727,5446882.3
1/30/24,19,19,18.8,19,55,296824,5639394.6
1/29/24,18.6,19,18.5,18.9,60,210512,3958248.2
1/26/24,18.8,18.9,18.6,18.7,13,4744,89023.6
1/24/24,18.5,19,18.5,18.8,39,120800,2286644.5
1/23/24,19,19,18.5,18.6,81,186512,3510291.1
1/22/24,19,19.1,18.8,18.8,62,131622,2500078.3
1/19/24,19.4,19.5,19,19,42,127985,2481737.1
1/18/24,19,19.5,19,19.4,46,171892,3299940.8
1/17/24,19.7,19.8,19,19,57,175725,3391689.1
1/16/24,19,19.8,19,19.3,62,233457,4526462.6
1/12/24,19,19.3,19,19,34,106261,2019236.8
1/11/24,19.3,19.4,18.9,19,57,80362,1527422.9
1/10/24,19.8,19.8,19.3,19.3,11,9609,185454.7
1/9/24,19.8,19.8,19.1,19.4,55,230844,4536135.2
1/8/24,20,20,19.5,19.7,19,2270,44676.5
1/5/24,19.9,20.3,19.9,20,129,393660,7872606.2
1/4/24,20.2,20.3,19.5,19.6,42,68959,1374392.5
1/3/24,20,20.3,20,20.2,114,259877,5223087.4
1/2/24,20.3,20.3,19.5,19.7,44,91154,1837541
12/29/23,20.3,20.5,20.2,20.3,39,94130,1905732.1
12/28/23,20.6,20.9,20.3,20.6,131,269139,5549371.9
12/27/23,19.8,20.5,19.8,20.3,233,1301800,26184525.7
12/22/23,19.5,19.8,19.5,19.8,112,6743876,133063461.5
12/21/23,19.4,19.7,19.4,19.5,20,26083,507324.8
12/20/23,19.1,19.9,19.1,19.6,233,1961592,38318459.7
12/19/23,19.1,19.2,19.1,19.2,125,584781,11198376.4
12/18/23,18.9,19,18.9,19,63,858239,16298626.2
12/15/23,19.1,19.1,18.7,18.8,30,57118,1073003.1
12/14/23,19.4,19.4,18.8,19,34,122875,2345925
12/13/23,19,19.4,18.8,19.1,54,110677,2098097.6
12/12/23,19.2,19.5,19.1,19.2,57,141208,2735751.7
