Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,33.6,34.6,32.8,34,32,6823,227709.8
7/4/24,34.9,34.9,33.6,33.6,11,1751,59673.8
7/3/24,34.9,34.9,34,34.4,3,110,3789
7/2/24,34,34.9,33.1,34.5,13,65712,2201836.2
7/1/24,35.2,35.2,34,34.1,20,22482,766377.8
6/28/24,35,35.2,35,35.1,45,12985,454723.6
6/27/24,35.2,35.2,35,35,23,12915,452087.1
6/26/24,35.2,35.2,35,35.1,23,17409,610878.7
6/25/24,35.1,35.2,35,35,20,17214,602991.2
6/24/24,35.3,35.3,35,35,19,22049,773171.9
6/20/24,35.1,35.5,35.1,35.1,20,2158,76477.3
6/19/24,35,35.3,35,35,33,26364,923038.4
6/18/24,35.1,35.2,35,35,38,75904,2658266.1
6/14/24,35,35.1,34.7,35,14,35138,1230082.1
6/13/24,34.7,35.9,34.7,35,30,9602,339534.1
6/12/24,36,36,34.6,34.8,40,18598,651018.8
6/11/24,35,36.3,34.6,35.5,93,537805,19269722.2
6/11/24,35,36.3,34.6,35.5,93,537805,19269722.2
6/10/24,35.2,35.5,34.6,34.6,43,12788,444834.4
6/7/24,35,35.2,34.9,35,32,27792,972750.2
6/6/24,34.9,35.1,34.7,35,36,11393,398282.3
6/5/24,34,34.8,34,34.6,108,143392,4945929.4
6/4/24,33.5,34,33.5,34,13,126,4281.5
6/3/24,34.2,34.2,33.5,33.5,7,2705,90759.6
5/31/24,34.2,34.2,33.2,33.5,14,6570,219717.5
5/30/24,33,34.2,33,34,32,188696,6413165.2
5/29/24,33.1,33.4,33,33.2,16,16368,543438.8
5/28/24,33.2,33.9,33.1,33.4,36,55683,1852260.4
5/27/24,33.4,34,33.2,33.7,19,9330,313954.2
5/22/24,33,33.5,33,33.4,23,10861,361548.5
5/21/24,33.3,33.5,32.9,33.1,29,26185,864269.3
5/20/24,34,34,33.2,33.3,13,2313,77268
5/17/24,34,34,33.1,33.3,33,24671,822000.3
5/16/24,34,34.3,32.7,33.4,50,82886,2752323.9
5/15/24,34.7,34.7,34,34,27,35188,1203214.9
5/14/24,34.9,34.9,34.2,34.2,54,61446,2114904.3
5/13/24,34.4,34.7,34.2,34.5,49,435923,15031813.3
5/10/24,34,34.7,33.7,34.2,24,22911,779485
5/9/24,34.4,34.5,34.1,34.3,26,28461,977465.6
5/8/24,34.5,34.5,34.2,34.2,18,10260,351598.4
5/7/24,34.4,34.5,34.2,34.2,34,56254,1925999.5
5/6/24,34.1,34.9,34.1,34.2,40,67392,2306151.1
5/3/24,34.1,34.9,34.1,34.4,35,58339,1998077.6
5/2/24,34,35,34,34.5,53,269143,9283897.1
4/30/24,35,35.4,34,35,48,37647,1306846.9
4/29/24,35,35.5,34.3,34.5,73,113377,3926825.2
4/26/24,34.5,35,34,34.5,54,101583,3507416.2
4/25/24,34.8,34.8,34,34.5,19,6543,225670.5
4/24/24,33,34.8,33,34.5,140,140161,4764866.2
4/22/24,33.5,33.5,32.3,32.8,19,6975,228017.5
4/19/24,33.5,33.5,32.5,33,20,100054,3301180
4/18/24,32.7,33.5,32.6,32.7,28,25718,841998.1
4/17/24,32.9,33.5,32.4,33,31,55701,1822844.9
4/16/24,33.1,33.2,32.5,32.7,60,27483,895247.1
4/15/24,33.4,33.9,33,33.3,37,59182,1954651.6
4/10/24,33.3,34,33.2,33.4,17,6607,221398.2
4/9/24,34.9,34.9,33.1,33.4,71,40089,1340994.1
4/8/24,34,35,34,34.2,15,20785,709002.6
4/5/24,33.6,35,33.6,34.3,32,47088,1632125.2
4/4/24,34.8,34.8,33.6,33.7,30,5438,183267.3
4/3/24,35.8,35.8,34,34.2,18,5821,200015.1
4/2/24,33.9,35,33.8,34.3,49,544927,18540640.8
4/1/24,34.2,34.2,33.8,33.9,30,22392,759915
3/28/24,34.5,34.5,33.9,34.1,44,69731,2380070.7
