Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,12,12,12,12,10,14408,172896
7/4/24,11.9,12.3,11.9,12,11,9319,111870.3
7/3/24,11.9,11.9,11.9,11.9,10,10014,119166.6
7/2/24,12,12.2,12,12,11,23013,276160.6
7/1/24,12.2,12.2,11.9,12,26,47202,567090.8
6/28/24,12,12.4,12,12.4,7,1807,21999.5
6/27/24,12,12,12,12,14,42158,505896
6/26/24,12,12.2,12,12.1,20,25048,300606
6/25/24,12,12.4,12,12.4,9,10112,121384
6/24/24,12,12.5,12,12,16,5829,71146.8
6/20/24,12.5,12.5,12.3,12.3,24,102851,1274725.7
6/19/24,12.5,12.7,12.5,12.5,22,111249,1391451.1
6/18/24,12.5,12.5,12.5,12.5,11,4832,60400
6/14/24,12.3,12.6,12.3,12.5,14,16168,202834.9
6/13/24,12,12.8,12,12.6,104,341527,4262314.2
6/12/24,11.1,12.1,11.1,12,98,1035825,12407310.8
6/11/24,11.1,11.3,11,11,53,135017,1485733.5
6/11/24,11.1,11.3,11,11,53,135017,1485733.5
6/10/24,11.3,11.5,11,11.1,45,64109,712867
6/7/24,11.5,11.7,11.5,11.5,30,49397,572419.4
6/6/24,11.6,11.6,11.4,11.5,9,706,8124.5
6/5/24,11.2,11.3,11.2,11.3,15,1522,17087.6
6/4/24,11.5,11.6,11.5,11.5,8,2645,30420
6/3/24,11.5,11.5,11.3,11.3,5,538,6091.4
5/31/24,11.3,11.5,11.3,11.5,5,6035,69397.7
5/30/24,11.3,11.3,11.3,11.3,11,546,6169.8
5/29/24,11.4,11.4,11.3,11.3,10,2737,30939.7
5/28/24,11.6,11.6,11.5,11.5,6,4351,50461.5
5/27/24,11.4,11.7,11.2,11.7,19,7833,88426.1
5/22/24,11.6,11.6,11.2,11.5,15,6392,73637.8
5/21/24,11.2,11.6,11.2,11.6,4,69,790.3
5/20/24,11.6,11.6,11.2,11.6,7,547,6259.8
5/17/24,11.8,11.8,10.7,11.4,38,15582,172683.8
5/16/24,11.4,11.8,11.4,11.4,4,29,331
5/15/24,11.4,11.4,11.3,11.4,8,2454,27973.3
5/14/24,11.4,11.4,11.4,11.4,6,910,10374
5/13/24,11.4,11.4,11.4,11.4,6,1517,17293.8
5/10/24,11.4,11.4,11.4,11.4,14,11206,127748.4
5/9/24,11.4,11.8,11.4,11.4,17,5196,59236.8
5/8/24,11.5,11.8,11.4,11.5,15,2076,23844.1
5/7/24,11.5,11.5,11.5,11.5,23,310643,3572394.5
5/6/24,11.4,11.5,11.4,11.5,20,20340,233748.1
5/3/24,11.5,11.5,11.4,11.4,22,54314,623633.4
5/2/24,11.5,11.6,11.5,11.6,17,18434,212976
4/30/24,11.4,11.5,11.4,11.5,25,18523,212893.7
4/29/24,11.6,11.6,11.5,11.5,11,2479,28526.4
4/26/24,11.5,11.7,11.5,11.5,22,9368,107847
4/25/24,11.6,11.8,11.4,11.4,25,14213,163489.8
4/24/24,11.5,11.6,11.5,11.5,15,10109,116354.5
4/22/24,11.4,11.5,11.2,11.5,17,13102,149552
4/19/24,11.3,11.4,11.3,11.3,11,22300,251991
4/18/24,11.4,11.5,11.3,11.4,13,6942,79140.7
4/17/24,11.3,11.4,11.3,11.4,9,1027,11706.7
4/16/24,11.4,11.5,11.4,11.4,17,854,9745.5
4/15/24,11.6,11.6,11.4,11.5,13,9628,110726
4/10/24,11.6,11.6,11.5,11.5,8,5911,68476.8
4/9/24,11.6,11.6,11.3,11.3,13,7176,81908.2
4/8/24,11.6,11.6,11.2,11.3,25,7522,84956
4/5/24,11.2,11.6,11.2,11.4,8,4291,48861.6
4/4/24,11.5,11.5,11.2,11.2,28,12172,136689.7
4/3/24,11.5,11.5,11.5,11.5,6,2690,30935
4/2/24,11.2,11.6,11.2,11.5,29,55035,631684.1
4/1/24,11.6,11.6,11.1,11.3,31,11880,133955.4
3/28/24,11.6,11.7,11.5,11.6,13,2709,31484.3
3/27/24,11.8,11.8,11.3,11.5,19,4186,48461.6
3/26/24,11.5,11.8,11.5,11.5,7,1806,20785.5
3/25/24,11.7,11.7,11.6,11.7,5,81,947.5
