Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,435,435,432,420,4,22,9536.5
7/4/24,435,435,420,420,35,8863,3723994.5
7/3/24,426,436,422.5,431.25,24,946,407562.75
7/2/24,425.5,436,420.25,426.25,17,325,138693
7/1/24,430,437,425.5,426.25,10,720,308150.75
6/28/24,435,435,430,425.5,3,68,29295
6/27/24,435,438,425.25,425.5,27,10759,4580848.25
6/26/24,438,438,435,429.25,3,20,8745
6/25/24,430,438,426.25,429.25,13,1273,547523.25
6/24/24,437,442,426,429.5,33,1485,640317.5
6/20/24,443,443,442,431.75,5,22,9745
6/19/24,425.75,446,425.5,431.75,31,5944,2635082
6/18/24,427.25,433,425,429.75,19,1207,516944.75
6/14/24,440,440,425,430,20,965,414914.5
6/13/24,433.5,433.5,433,438.75,7,56,24253
6/12/24,440,446,433,438.75,16,867,380868.25
6/11/24,444,444,435,440,25,960,422472.75
6/11/24,444,444,435,440,25,960,422472.75
6/10/24,448.25,448.25,426,433.25,22,254,109890.25
6/7/24,425,450,423,437.5,68,600,262478.25
6/6/24,435,435,423.25,423.5,10,525,225401.75
6/5/24,414.25,437.5,414.25,414.75,7,1834,760472.25
6/4/24,414.25,438.75,412,412.75,52,6636,2735535.25
6/3/24,420,447.5,410.5,411.5,101,20328,8399217
5/31/24,430,430,420,420,41,4387,1849850
5/30/24,422.25,429.75,420.25,423,11,309,130688.75
5/29/24,421.25,440,421,424.5,14,305,129390.5
5/28/24,427.25,430,427.25,427.25,19,352,150570
5/27/24,421,421,421,427.25,1,2,842
5/22/24,429,438.5,420,427.25,19,164,70051.5
5/21/24,430,437.25,418,433,11,70,30029.5
5/20/24,439,439,417,433,16,1162,486667
5/17/24,439,440,420,420,6,1012,425134.25
5/16/24,430,446,417.75,421,43,3020,1270024.25
5/15/24,442.75,449,426,427.25,36,3323,1438506.25
5/14/24,435.25,438.75,426,430.75,26,1122,483966.75
5/13/24,435.25,450,435,444,21,1916,840420.25
5/10/24,449.75,458.5,449,450,14,1578,710192.25
5/9/24,445,450,428,441,25,2401,1076874.5
5/8/24,430.5,448.75,430,445,24,1670,724384
5/7/24,438,438,428,430.25,10,967,416351
5/6/24,438,450,422,445.25,24,2620,1163585.5
5/3/24,438,442.5,430,437.25,26,1728,754076
5/2/24,435,443.5,430,437.5,34,2269,996199
4/30/24,426,440,422,435.25,63,13165,5709284
4/29/24,410,426,410,414.25,44,5818,2432583.75
4/26/24,412,414,405,408.5,22,1142,468806.5
4/25/24,410,412,400,403,17,623,252028.25
4/24/24,407.5,412,400,408.5,12,1818,742543.75
4/22/24,393,394,393,393,18,963,378502
4/19/24,393,399,390,391.5,25,2428,951006
4/18/24,390,400,390,394,14,668,263141.5
4/17/24,404,412,400,412,31,6207,2527870.25
4/16/24,393,393,392,392,13,445,174676
4/15/24,408,408,384,406,22,2103,831743
4/10/24,397,408,397,401.25,18,3559,1423392
4/9/24,396,397,395,392.5,6,49,19380
4/8/24,376.25,398,376.25,392.5,43,4932,1895432.5
4/5/24,381,390,380,380.25,13,13700,5207076.5
4/4/24,392,392,380.5,385,17,1240,477431.5
4/3/24,385.25,385.25,385.25,393.75,2,8,3082
4/2/24,385.25,393.75,385.25,393.75,9,781,307449.5
