Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,24.9,24.9,23.8,24.9,2,4,97.4
7/4/24,23.8,23.8,23.8,24.9,1,15,357
7/3/24,24.5,25.4,24.1,24.9,36,416311,10202856.3
7/2/24,24.1,24.5,23.2,24.4,8,8703,212308.5
7/1/24,24.5,24.6,24.5,24.5,8,4259,104361.4
6/28/24,23.6,24.7,23,23.1,32,11259,261063.6
6/27/24,24.7,24.7,23.4,23.4,6,1002,23450.5
6/26/24,24.8,24.8,23.2,23.4,14,3961,93229.8
6/25/24,24.8,24.8,24,24.1,15,23022,555056.9
6/24/24,25.4,25.5,24.6,24.6,28,14669,364650.1
6/20/24,25,25.1,25,25.1,9,12548,313730
6/19/24,24.6,25,24.6,25,8,5325,133015
6/18/24,24.5,25,24.5,25,15,10867,268549.5
6/14/24,24.1,24.7,24.1,24.5,48,156492,3827811
6/13/24,23.5,24.3,23.5,24,24,62467,1500752.5
6/12/24,23.5,23.6,23.4,23.5,13,110846,2604539.1
6/11/24,23,23.8,23,23.5,46,111239,2558661.8
6/11/24,23,23.8,23,23.5,46,111239,2558661.8
6/10/24,23.5,23.9,22.9,23,80,287010,6604068.6
6/7/24,23.6,24,23.5,23.5,37,52512,1237750.8
6/6/24,23.7,24.5,23.5,24,9,16301,391625.9
6/5/24,24.5,24.5,23.5,23.9,6,128,3063
6/4/24,24,24.5,23.5,23.6,9,1562,37131
6/3/24,24,24.9,24,24.4,4,102,2485.7
5/31/24,24,24,23,23.5,51,165135,3804186.7
5/30/24,24.9,24.9,23.9,24.9,9,1008,25095.2
5/29/24,24.1,24.9,24,24.1,17,1634,39535.5
5/28/24,24.1,24.3,24.1,24.3,13,715,17292
5/27/24,24.4,25.2,24.1,24.2,5,1127,27170.4
5/22/24,23.9,24.4,23.9,24.3,11,118,2865.5
5/21/24,24,24.5,24,24.5,2,21,504.5
5/20/24,24.5,25.4,23.6,24.5,35,5750,143038
5/17/24,24,24,23.5,23.6,13,2123,50045
5/16/24,24,24,24,23.6,3,49,1176
5/15/24,23.9,24,23.5,23.6,26,18772,442541.3
5/14/24,24.3,24.3,23.9,23.9,18,2484,59731.5
5/13/24,24.4,24.4,24.4,24.4,2,1001,24424.4
5/10/24,24,24.6,24,24.4,5,602,14698.6
5/9/24,24,24.7,24,24.1,7,129,3109.8
5/8/24,24.7,24.7,24.3,24.5,3,350,8565
5/7/24,24.7,24.7,24,24,16,155012,3720344.7
5/6/24,24,24.7,24,24.1,17,11798,284004.7
5/3/24,24.6,24.6,24,24.1,41,273411,6601906.3
5/2/24,24,24.7,23.6,24,35,13131,319548.4
4/30/24,23.6,24.5,23.5,23.5,49,25500,604183.6
4/29/24,23.6,24,23.6,23.7,26,7916,187774.1
4/26/24,23.5,24.4,23.5,24.4,19,2879,68123.5
4/25/24,24.4,24.4,23.4,23.5,30,11597,272544.6
4/24/24,24,24,23.8,23.9,27,141294,3390612.4
4/22/24,24.1,24.1,24,24,14,1169,28092
4/19/24,24,24,23.8,23.8,13,882,21031.6
4/18/24,23.8,23.9,23.5,23.9,28,11597,273169
4/17/24,23.7,24,23.7,23.7,22,4888,116599.8
4/16/24,24,24,23.7,24,14,695,16577.8
4/15/24,24,24,23.7,23.8,30,17364,413867.3
4/10/24,23.8,24.5,23.8,24,11,27667,672813.3
4/9/24,24.5,24.5,23.7,24.5,21,2324,56858
4/8/24,24.7,24.7,23.5,23.5,91,252679,5949758.4
4/5/24,24.7,24.7,24.7,24.7,7,441,10892.7
4/4/24,24.6,24.7,24.4,24.6,12,3680,90532
4/3/24,24.9,25,24.5,24.7,19,3211,79129.9
4/2/24,24.8,24.8,24.6,24.7,28,7855,193836.3
4/1/24,25,25.1,24.7,25,14,5820,145455
3/28/24,25.1,26,25,25,31,10550,264887.1
3/27/24,26.8,26.8,25,25,11,10720,269022.3
3/26/24,24.7,28,24.7,25.3,28,5212,132983.9
3/25/24,24.7,24.7,24,24,13,1012,24302.4
3/22/24,24.5,24.7,24.1,24.2,15,4478,109389.2
3/21/24,24.5,24.5,24.4,24.4,7,276,6744.4
3/20/24,25.5,26,24.5,24.5,26,13806,344818.6
3/19/24,24.7,25.5,24.7,24.8,5,1361,33665.5
3/18/24,25.3,26,25.3,25.6,21,6551,169396.4
3/15/24,26,26,24.7,24.7,15,2353,58601.1
3/14/24,25.3,26,25,25.2,39,34697,899510.9
3/13/24,24.3,25.3,24.3,24.9,30,29901,737371.7
3/12/24,23.8,24.3,23.8,24,18,12627,303439.9
3/11/24,23,24.2,23,23.9,27,28806,684758.7
3/7/24,23,23.5,22.9,23.1,17,32140,740554
3/6/24,23.1,23.2,22.6,22.9,23,38125,870427
3/5/24,23.1,23.2,22.6,22.7,25,20560,466579.1
3/4/24,22.9,23,22.8,23,10,11050,254040
3/1/24,23,23,23,23,2,886,20378
2/29/24,22.9,22.9,22.5,22.8,17,12820,291518
2/28/24,22.8,22.8,22.6,22.6,9,1065,24080
2/27/24,23,23,22.7,22.7,11,1599,36327
2/26/24,23.2,23.2,22.7,22.8,11,1564,35631.3
2/22/24,22.8,23.8,22.8,23.2,32,12425,286084.9
2/21/24,22.8,22.8,22.7,22.7,6,670,15224
2/20/24,22.9,23.1,22.7,22.9,6,152,3476.2
2/19/24,23,23,22.7,22.7,27,69960,1589488.5
2/16/24,22.9,22.9,22.9,22.9,6,2010,46029
2/15/24,23,23.2,22.7,23,8,2664,61156.2
2/14/24,23.4,23.4,22.7,22.8,21,10591,241863.3
2/13/24,23.4,23.4,23.3,23.4,5,73,1704.7
2/12/24,23.5,23.5,23.4,23.4,19,12884,302585.6
2/9/24,23.6,23.9,23.4,23.9,14,10277,241755.9
2/8/24,23.8,23.8,23.5,23.5,28,16288,383951.9
2/7/24,23.9,23.9,23.6,23.9,8,4725,112027.5
2/6/24,24.4,24.4,23.6,23.9,49,49146,1167441.3
2/2/24,24,24,24,24,8,7791,186984
2/1/24,24.1,24.1,24,24,8,5810,139455.9
1/31/24,24.5,24.5,24.1,24.5,9,22520,551533.6
1/30/24,24.7,24.7,24.2,24.2,23,33370,809304
1/29/24,24.1,25,24.1,24.8,7,13100,319600
1/26/24,24,24,24,24.9,1,12,288
1/24/24,24,24.9,24,24.9,4,1075,26070
1/23/24,24.8,24.8,24,24,8,3494,84191.2
1/22/24,24.9,25,24.1,24.1,18,4576,112902.6
1/19/24,25.9,25.9,24.1,24.1,22,13133,316629.5
1/17/24,24.6,25.9,24.5,25.9,17,4529,114899.3
1/16/24,25.5,25.5,24.6,24.7,6,925,22848.6
1/12/24,25.3,25.5,25.3,25.4,5,148,3753.8
1/11/24,25.1,25.1,25.1,25.1,2,101,2535.1
1/10/24,25,25,24.6,24.9,2,250,6230
1/9/24,25.6,25.6,24.8,25.6,2,3980,101887.2
1/8/24,25,25.6,25,25,7,20021,500537.6
1/5/24,25,25.9,25,25.6,3,3,76.4
1/4/24,25.5,25.6,25,25.6,10,1382,35261
1/3/24,25.2,25.5,25.2,25.4,26,39022,983968.8
1/2/24,24.9,25.2,24.9,25.1,10,984,24542.2
12/29/23,24.9,24.9,24.7,24.6,3,43,1070.1
12/28/23,24.7,24.9,24.6,24.6,8,7953,195725.3
12/27/23,24.4,24.6,24.4,24.6,10,2211,54308.3
12/22/23,23,24.5,23,23.7,12,6200,143286
12/21/23,23.7,24.2,23.2,23.8,10,1893,44927.9
12/20/23,24.3,24.3,23,23.8,3,171,4063.7
12/19/23,24.6,24.6,23,23.1,25,13711,316996.6
12/18/23,24,24.4,24,24,11,63671,1529321.2
12/15/23,24.4,24.4,23.8,24,5,10180,244332
12/14/23,24.4,24.4,24,24,11,50115,1203018
12/13/23,24.4,24.4,24.1,24.2,9,1809,43781.8
12/12/23,24.4,24.4,24.4,24.4,6,1405,34282
12/11/23,24.6,25,24.4,24.4,14,5104,125142.1
12/8/23,24.5,24.5,24.4,24.5,6,306,7491.9
12/7/23,24.7,24.7,24,24.1,8,224,5467.1
12/6/23,24.4,25,24,24.7,23,152894,3770097.6
12/5/23,24.4,25,24.4,24.9,11,1131,28103.9
12/4/23,24.4,24.4,23.7,24.3,11,3460,83356
12/1/23,24.1,24.1,24,24.1,20,135580,3254141.2
11/30/23,24.4,24.4,24.1,24.2,14,1913,46334.3
11/29/23,24.4,24.4,24.1,24.4,4,4315,105284.5
11/28/23,24,24.2,24,24.2,2,10300,249200
11/27/23,23.5,24,23.3,23.4,36,72501,1694805
11/24/23,24,25,23.3,23.5,40,72773,1739331.9
11/23/23,25,25,25,25,7,25227,630675
11/22/23,25.2,25.2,25.2,25,1,50,1260
11/21/23,25.2,25.2,25,25,8,1321,33026
11/17/23,25.3,26.4,25,25,17,12606,316624.2
11/16/23,25.5,25.5,25.5,25.5,2,1000,25500
11/15/23,25.9,26,25.9,26,10,7255,188625.1
11/14/23,25.5,25.5,25.3,25.5,4,805,20526.5
11/13/23,25,26,25,25.1,5,350,8790
11/10/23,25.5,25.5,25.5,25.5,1,1000,25500
11/9/23,25.1,26,25,26,21,54481,1370358.5
11/8/23,25.5,25.7,25.3,25.7,3,700,17950.2
11/7/23,25.8,25.8,25.7,25.7,4,795,20433.5
11/3/23,25.4,25.4,25,25,11,10286,257466.6
11/2/23,25.5,26.4,25.1,25.6,12,1204,30800.4
11/1/23,26,26.4,25.9,26,10,134,3478.4
10/31/23,25,25,25,25,6,1591,39775
10/30/23,25.2,26.3,25,25,22,3777,94857.3
10/27/23,25.6,26,25.5,25.5,14,1474,37619
10/26/23,25.9,26,25.8,25.8,7,229,5908.7
10/25/23,25.8,25.8,25.8,25.8,1,2,51.6
10/24/23,25.7,26,25.6,25.8,12,2419,62178.7
10/23/23,25.6,26.7,25.6,25.8,8,2400,63390
10/20/23,25.5,25.6,25.5,25.5,15,1845,47127.5
10/19/23,25.7,25.7,25.5,25.5,7,1180,30099.4
