Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,5.8,5.8,5.6,5.7,252,1806309,10300913.1
7/4/24,5.9,5.9,5.6,5.7,488,4849802,27680538.8
7/3/24,5.9,6,5.7,5.8,436,5907222,34273895
7/2/24,6,6,5.8,5.9,202,1375009,8113205.9
7/1/24,5.9,6,5.8,5.9,242,2172465,12799718.4
6/28/24,6,6,5.8,5.9,387,4489968,26498681.2
6/27/24,6,6,5.9,6,153,1559767,9319709.4
6/26/24,6,6.1,5.9,6,165,1597189,9559889.7
6/25/24,6,6.1,5.9,6,240,3702154,22193548.7
6/24/24,6.1,6.1,5.9,6,348,3871388,23235804.5
6/20/24,6.1,6.1,5.9,6,219,1857036,11160965
6/19/24,6.1,6.1,5.9,6,421,6260851,37584169.6
6/18/24,6.2,6.2,6,6.1,283,2258222,13781083.3
6/14/24,6.2,6.3,6.1,6.1,209,2063801,12738876.6
6/13/24,6.3,6.3,6.2,6.2,180,2471761,15373186.5
6/12/24,6.3,6.4,6.2,6.3,228,9307318,58080683.7
6/11/24,6.3,6.4,6.2,6.3,457,13171378,82970808.5
6/11/24,6.3,6.4,6.2,6.3,457,13171378,82970808.5
6/10/24,6.1,6.3,6.1,6.2,274,4534087,28137626
6/7/24,6.2,6.2,6,6.1,264,2154407,13117159.1
6/6/24,6.1,6.2,6.1,6.1,305,5964304,36458426.5
6/5/24,6.1,6.2,6,6.1,179,1352659,8233845.9
6/4/24,5.9,6.1,5.8,6,306,2782334,16679287
6/3/24,6,6.1,5.9,5.9,829,12410958,73582886
5/31/24,6.2,6.3,6,6.1,897,15250501,92852630.5
5/30/24,6.2,6.3,6.2,6.2,234,2239994,13962662.4
5/29/24,6.3,6.4,6.2,6.2,281,3572379,22337475.9
5/28/24,6.4,6.5,6.2,6.3,358,4851774,30557409.4
5/27/24,6.5,6.5,6.3,6.4,386,6461759,41623121.7
5/22/24,6.4,6.5,6.3,6.4,311,5393352,34398268.5
5/21/24,6.3,6.4,6.1,6.3,720,15046051,93272544.8
5/20/24,6.4,6.4,6.2,6.3,612,11204756,70145662.7
5/17/24,6.5,6.5,6.3,6.4,347,4598392,29397100.1
5/16/24,6.4,6.5,6.3,6.4,382,5856612,37535807.2
5/15/24,6.4,6.6,6.2,6.3,752,11659261,74819789
5/14/24,6.7,6.7,6.3,6.4,857,18023970,116190869.8
5/13/24,6.7,6.8,6.5,6.6,461,6544243,43357286.5
5/10/24,6.7,6.9,6.6,6.7,1117,27492659,186103138.3
5/9/24,6.7,6.7,6.4,6.6,938,15083544,99299396
5/8/24,6.9,6.9,6.5,6.6,1512,44031479,297090092.5
5/7/24,6.6,6.8,6.6,6.7,952,15826972,106140470
5/6/24,6.4,6.7,6.4,6.6,838,20999510,137899011.6
5/3/24,6.5,6.5,6.3,6.4,325,5126511,32839695.7
5/2/24,6.6,6.7,6.4,6.4,948,12958038,84393674.7
4/30/24,6.4,6.7,6.3,6.6,1024,22605317,146843864.4
4/29/24,6.6,6.7,6.4,6.4,1191,22573753,147414593.9
4/26/24,6.3,6.7,6.3,6.5,2015,54614097,355928465.3
4/25/24,6.2,6.4,6.1,6.2,1500,33416856,209146031
4/24/24,5.8,6.3,5.8,6.2,2553,66052136,400152921
4/22/24,5.7,5.8,5.6,5.7,956,17751384,101278235.9
4/19/24,5.5,5.7,5.4,5.6,645,12933694,72247973.2
4/18/24,5.5,5.6,5.5,5.5,320,4119002,22676719.6
4/17/24,5.5,5.6,5.4,5.5,414,6323600,34591360.4
4/16/24,5.8,5.9,5.4,5.5,753,17855680,100264240.9
4/15/24,5.6,5.8,5.5,5.7,767,15117423,86004938.3
4/10/24,5.5,5.7,5.4,5.6,305,7853516,43621102.8
4/9/24,5.4,5.6,5.4,5.5,257,2284043,12464185.3
4/8/24,5.2,5.6,5.2,5.5,521,9596009,52452759.4
4/5/24,5.3,5.4,5.2,5.3,342,6920278,36507782.7
4/4/24,5.3,5.4,5.2,5.3,215,2760213,14643664
4/3/24,5.2,5.4,5.2,5.3,202,3351050,17706401.4
4/2/24,5.4,5.4,5.2,5.3,343,2928330,15487512
4/1/24,5.4,5.5,5.2,5.3,304,3556562,18934388.2
3/28/24,5.5,5.7,5.4,5.4,350,6491464,35937528.7
3/27/24,5.5,5.7,5.4,5.5,574,9809165,54693399.9
3/26/24,5.2,5.5,5.2,5.5,552,12786874,69062096.2
3/25/24,5.2,5.3,5.1,5.2,195,2313086,12010026.3
3/22/24,5.1,5.3,5.1,5.2,307,3970541,20516099.6
3/21/24,5.3,5.3,5,5.1,349,5686483,28884613.3
3/20/24,5.3,5.3,5.1,5.2,251,3397723,17641296.2
3/19/24,5.2,5.4,5.2,5.2,445,6746146,35513419.9
3/18/24,5.4,5.5,5.1,5.2,780,16540958,86059041.4
3/15/24,5.5,5.5,5.3,5.4,452,6220755,33664436.9
3/14/24,5.7,5.8,5.3,5.4,751,12654971,69181102.3
3/13/24,5.7,5.8,5.6,5.7,664,13937014,79484470.9
3/12/24,5.6,5.7,5.4,5.6,789,14703292,82012674.1
3/11/24,5.5,6,5.5,5.7,1913,33371315,190972073.6
3/7/24,4.9,5.5,4.8,5.4,1511,26332490,136609338.7
3/6/24,4.7,4.9,4.6,4.8,328,4010551,19037320.9
3/5/24,4.8,5,4.6,4.7,388,3969575,19037667.7
3/4/24,4.6,5,4.6,4.8,1451,23368818,112247495.3
3/1/24,4.3,4.6,4.1,4.4,643,18293396,79648775.8
2/29/24,4.2,4.3,4.1,4.2,192,3305290,13903295.8
2/28/24,4.1,4.3,4.1,4.2,306,5419520,22740188.8
2/27/24,4.2,4.3,4.1,4.1,187,1690685,7073161.7
2/26/24,4.3,4.3,4.1,4.2,247,4182012,17563889
2/22/24,4.2,4.3,4.1,4.2,104,1239756,5215484.3
2/21/24,4.3,4.3,4.2,4.2,247,3561077,14979993.6
2/20/24,4.3,4.4,4.2,4.3,180,2489300,10689455.1
2/19/24,4.3,4.4,4.3,4.3,152,681868,2950536.3
2/16/24,4.3,4.5,4.2,4.3,603,9206968,39838576.3
2/15/24,4.2,4.3,4.2,4.2,124,823589,3482999.6
2/14/24,4.2,4.3,4.2,4.2,169,3413371,14346868.8
2/13/24,4.3,4.3,4.2,4.2,87,1050117,4453666.7
2/12/24,4.3,4.3,4.2,4.2,137,1884740,7926391.4
2/9/24,4.3,4.3,4.2,4.2,142,1420142,5990269.1
2/8/24,4.2,4.4,4.1,4.3,305,4612171,19581776
