Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,0.4,0.4,0.3,0.3,11,317010,95104.2
7/4/24,0.3,0.4,0.3,0.3,11,46428,13971.1
7/3/24,0.4,0.4,0.3,0.4,10,102215,40875
7/2/24,0.4,0.4,0.3,0.4,26,16750,6134.4
7/1/24,0.4,0.4,0.3,0.3,26,165857,49976.6
6/28/24,0.3,0.4,0.3,0.4,26,374055,122872
6/27/24,0.3,0.4,0.3,0.3,34,1084637,325391.2
6/26/24,0.4,0.4,0.3,0.4,12,57377,18814.2
6/25/24,0.4,0.4,0.3,0.3,15,52989,16165.6
6/24/24,0.4,0.4,0.3,0.3,15,5036,1914.5
6/20/24,0.4,0.4,0.3,0.4,21,26587,10634.7
6/19/24,0.3,0.4,0.3,0.4,19,100253,30096.7
6/18/24,0.4,0.4,0.3,0.4,20,6920,2396.8
6/14/24,0.4,0.4,0.3,0.3,10,69648,22559.2
6/13/24,0.4,0.4,0.3,0.4,7,4646,1848.4
6/12/24,0.3,0.4,0.3,0.3,11,6188,1862.8
6/11/24,0.4,0.4,0.3,0.4,13,127581,45044.4
6/11/24,0.4,0.4,0.3,0.4,13,127581,45044.4
6/10/24,0.4,0.4,0.3,0.3,5,11022,3308.8
6/7/24,0.4,0.4,0.3,0.3,22,600747,180947.1
6/6/24,0.4,0.4,0.3,0.3,21,1200975,360497.9
6/5/24,0.4,0.4,0.4,0.4,7,5978,2391.2
6/4/24,0.4,0.4,0.3,0.4,13,12423,4969.1
6/3/24,0.4,0.4,0.3,0.3,14,62331,19700.6
5/31/24,0.3,0.4,0.3,0.3,9,2120,674
5/30/24,0.3,0.4,0.3,0.4,15,102205,30783
5/29/24,0.4,0.4,0.3,0.3,19,2377475,713434
5/28/24,0.4,0.4,0.3,0.3,47,1796308,538926.6
5/27/24,0.4,0.4,0.3,0.4,12,32967,10714.7
5/22/24,0.3,0.4,0.3,0.4,37,14007,4597.5
5/21/24,0.4,0.4,0.3,0.4,10,5025,1938.1
5/20/24,0.3,0.4,0.3,0.4,19,743030,223954.3
5/17/24,0.3,0.4,0.3,0.3,57,3586087,1076076.4
5/16/24,0.3,0.4,0.3,0.3,18,56826,18617.8
5/15/24,0.4,0.4,0.3,0.4,16,67635,26695.1
5/14/24,0.4,0.4,0.3,0.4,14,9195,3067.7
5/13/24,0.4,0.4,0.3,0.4,7,1384,553.5
5/10/24,0.4,0.4,0.3,0.4,19,263972,90134.8
5/9/24,0.3,0.4,0.3,0.4,19,41783,15436.9
5/8/24,0.4,0.4,0.3,0.4,22,101882,40751
5/7/24,0.4,0.4,0.3,0.4,16,319785,127799.5
5/6/24,0.4,0.4,0.3,0.4,46,1458087,582599.8
5/3/24,0.4,0.4,0.3,0.4,68,3008761,1154413.3
5/2/24,0.4,0.4,0.3,0.4,33,484988,193988.6
4/30/24,0.4,0.4,0.3,0.4,17,50295,16597.9
4/29/24,0.3,0.4,0.3,0.3,4,2586,784.3
4/26/24,0.4,0.4,0.4,0.4,7,2651,1060.4
4/25/24,0.4,0.4,0.3,0.3,11,9668,3724.5
4/24/24,0.4,0.4,0.3,0.4,15,8420,3365.9
4/22/24,0.4,0.4,0.3,0.3,13,325378,97663.4
4/19/24,0.4,0.4,0.3,0.4,7,4543,1817.1
4/18/24,0.4,0.4,0.3,0.4,8,27910,8463.5
4/17/24,0.3,0.4,0.3,0.4,16,204163,81651.7
4/16/24,0.4,0.4,0.3,0.3,12,39030,11911.8
4/15/24,0.4,0.4,0.3,0.4,19,227328,68410
4/10/24,0.4,0.4,0.3,0.4,3,10002,4000.7
4/9/24,0.3,0.4,0.3,0.4,26,186064,67013.3
4/8/24,0.4,0.4,0.3,0.4,12,132460,52983.9
4/5/24,0.3,0.4,0.3,0.4,12,43270,16057.7
4/4/24,0.4,0.4,0.3,0.3,14,121733,37571.5
4/3/24,0.3,0.4,0.3,0.4,9,2280,902
4/2/24,0.3,0.4,0.3,0.3,12,29660,10379.7
4/1/24,0.4,0.4,0.3,0.4,10,31525,9608.9
3/28/24,0.3,0.4,0.3,0.4,21,26572,10228.8
3/27/24,0.3,0.4,0.3,0.4,22,36316,14406.3
3/26/24,0.4,0.4,0.3,0.4,28,48287,17412.2
3/25/24,0.4,0.4,0.3,0.4,24,148447,58030.1
3/22/24,0.4,0.4,0.3,0.4,17,142064,55825.5
3/21/24,0.3,0.4,0.3,0.4,19,102134,38842.5
3/20/24,0.3,0.4,0.3,0.4,14,45951,13848.9
3/19/24,0.4,0.4,0.3,0.4,20,34213,13684.1
3/18/24,0.4,0.4,0.3,0.4,13,111945,41854.8
3/15/24,0.3,0.4,0.3,0.4,43,325216,130076.4
3/14/24,0.4,0.4,0.3,0.4,17,53126,19749.8
3/13/24,0.4,0.4,0.3,0.4,20,395279,155861.5
3/12/24,0.4,0.4,0.3,0.4,7,36033,14313.1
3/11/24,0.3,0.4,0.3,0.4,24,119112,45111.8
3/7/24,0.3,0.4,0.3,0.4,23,424913,167960.9
3/6/24,0.4,0.4,0.3,0.3,19,672010,217689.3
3/5/24,0.4,0.4,0.3,0.4,5,8051,2920.4
3/4/24,0.4,0.4,0.4,0.4,19,33813,13525.2
3/1/24,0.4,0.4,0.3,0.3,5,37059,14618.2
2/29/24,0.4,0.4,0.3,0.4,16,2473384,989253.5
2/28/24,0.4,0.4,0.3,0.4,22,2561720,1024555.9
2/27/24,0.3,0.4,0.3,0.3,10,54580,16569
2/26/24,0.4,0.4,0.3,0.4,57,2635171,1054058.4
2/22/24,0.4,0.4,0.4,0.4,4,502,200.8
2/21/24,0.4,0.4,0.3,0.3,5,645,246
2/20/24,0.4,0.4,0.3,0.4,4,9140,3492.1
2/19/24,0.4,0.4,0.3,0.4,4,1004,401.3
2/16/24,0.4,0.4,0.4,0.4,7,2104,841.6
2/15/24,0.4,0.4,0.3,0.4,10,16600,6587.1
2/14/24,0.4,0.4,0.3,0.3,5,54005,16602
2/13/24,0.4,0.4,0.3,0.4,6,27501,9000.4
2/12/24,0.4,0.4,0.4,0.4,3,6,2.4
2/9/24,0.4,0.4,0.3,0.4,8,15069,4770.8
2/8/24,0.4,0.4,0.3,0.4,9,20664,7965.6
2/7/24,0.3,0.4,0.3,0.3,10,210206,63177.5
2/6/24,0.4,0.4,0.3,0.4,17,50301,20119.2
2/2/24,0.3,0.4,0.3,0.4,7,7847,3124.2
2/1/24,0.4,0.4,0.4,0.4,3,303,121.2
1/31/24,0.4,0.4,0.3,0.4,2,148,54.4
1/30/24,0.4,0.4,0.3,0.3,9,62122,23238
1/29/24,0.4,0.4,0.3,0.3,4,2101,630.4
1/26/24,0.4,0.4,0.3,0.3,22,521217,157586.2
1/24/24,0.3,0.4,0.3,0.4,12,60136,18346.4
1/23/24,0.4,0.4,0.3,0.4,14,9251,3180.3
1/22/24,0.3,0.4,0.3,0.3,17,562701,170060.3
1/19/24,0.4,0.4,0.3,0.4,5,5612,1694.7
1/18/24,0.4,0.4,0.3,0.4,4,118,47.1
1/17/24,0.4,0.4,0.3,0.3,4,105110,31544
1/16/24,0.4,0.4,0.3,0.3,4,67,26.7
1/12/24,0.3,0.4,0.3,0.3,4,1100,335
1/11/24,0.4,0.4,0.3,0.4,15,29625,10849.9
1/10/24,0.3,0.4,0.3,0.4,6,27101,9240.4
1/9/24,0.4,0.4,0.4,0.4,13,452708,181083.2
1/8/24,0.4,0.4,0.3,0.4,4,10202,4060.8
