Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,19,19,19,19,1,100,1900
7/3/24,18.9,19,18.9,19,6,100209,1903970.9
7/2/24,19.1,19.1,19,19,9,51610,980592.3
7/1/24,19,19,19,19,2,15000,285000
6/28/24,19.1,19.5,19,19.1,14,34700,661650
6/25/24,19,19.1,19,19,8,2880,54798
6/24/24,19,19.1,19,19.1,17,2799,53201
6/19/24,19.2,19.2,19.1,19.1,4,10000,191007.5
6/18/24,19.1,19.1,19.1,19.1,8,7000,133700
6/14/24,20,20,20,20,1,10,200
6/13/24,20,20,20,20,4,800,16000
6/12/24,19.5,19.5,19.5,19.5,1,2000,39000
6/11/24,19,20,19,19.2,10,4550,87055.9
6/11/24,19,20,19,19.2,10,4550,87055.9
6/10/24,19,19,19,19,4,1677,31863
6/7/24,19.2,19.2,19,19,12,59549,1131681
6/6/24,19.4,19.4,19.2,19.2,9,2821,54663.4
6/5/24,19,19,19,19,4,11000,209000
6/4/24,19.4,19.4,19,19,7,4151,78929
6/3/24,19,19.1,19,19,14,53256,1011964.1
5/31/24,19.1,19.5,19.1,19.1,6,1001,19119.5
5/30/24,19.3,19.5,18.6,19.1,15,10001,190368
5/29/24,19.4,19.4,19.4,19.4,2,110,2134
5/28/24,19.5,19.5,19.5,19.5,5,500,9750
5/27/24,19.9,19.9,19,19,9,41000,792970
5/22/24,19.4,19.7,18.1,19.7,19,15152,292212.3
5/21/24,19.5,19.5,19.4,19.4,2,388,7527.7
5/20/24,19.6,19.6,19.5,19.5,10,9755,190228
5/17/24,19.6,19.6,19.6,19.6,4,2645,51842
5/16/24,19.7,19.7,19.6,19.6,7,3325,65171
5/15/24,19.7,19.7,19.6,19.6,2,500,9802
5/14/24,20.2,20.2,20.2,20.2,4,42446,857409.2
5/13/24,19.8,20.1,19.8,20,27,196908,3933645
5/10/24,20.3,20.3,20,20,11,27056,542623.3
5/9/24,20,20.4,19.9,20,58,310872,6222769.6
5/8/24,19.6,20,19.6,19.8,18,96095,1914301.4
5/7/24,19.8,19.8,19.5,19.6,8,13521,264816.4
5/6/24,19.8,19.8,19.5,19.5,21,21484,419685
5/3/24,20,20,19.6,19.7,9,12043,237359.6
5/2/24,19.6,20,19.5,19.5,9,5079,99187.5
4/30/24,20.5,21.5,19.7,19.9,23,81334,1735904.3
4/29/24,20,20,19.5,19.8,19,32325,640340.9
4/26/24,19.7,19.7,19.6,19.7,12,15600,306726.5
4/25/24,19.6,20,19.6,19.9,14,25957,515770.1
4/24/24,19.6,20.5,19.6,19.8,18,9441,186669.2
4/22/24,19.3,19.5,19.1,19.1,4,2507,47986.5
4/19/24,19.3,19.3,19,19.3,18,6141,117907.7
4/18/24,20,20,19.2,19.2,25,10065,193893.5
4/17/24,21,21,19.2,19.9,26,11452,222958.6
4/16/24,20,20,19.7,19.7,6,5419,107474.3
4/15/24,20,20,20,20,3,6104,122080
4/10/24,20,20,20,20,11,41250,825000
4/9/24,19.8,19.8,19.8,19.8,1,10,198
4/8/24,20,20,20,19.8,3,22,440
4/5/24,19.8,19.8,19.8,19.8,1,200,3960
4/4/24,19.7,19.8,19.7,19.8,4,744,14686.8
4/3/24,19.7,19.8,19.7,19.7,3,501,9869.8
4/2/24,19.8,19.8,19.7,19.7,4,1000,19780.1
4/1/24,19.9,19.9,19.8,19.8,7,1349,26773.7
3/28/24,20,20,20,20,3,215,4300
3/27/24,20,20,19.9,20,9,6721,134402.2
3/26/24,20,20,20,20,4,144,2880
3/22/24,20,20.1,19.7,19.9,11,1579,31452
3/21/24,21,21,21,20,1,1,21
3/19/24,20.1,20.5,20,20,7,66100,1322520.6
3/18/24,21.2,21.2,21.2,20,1,4,84.8
3/15/24,21.5,21.5,21.5,20,1,1,21.5
3/14/24,21.5,21.5,20,20,5,50101,1002225.5
3/11/24,21,21,20.4,20.4,5,1551,32273.4
3/7/24,21,21.3,20.4,20.8,15,115816,2455119.3
3/6/24,20,20.1,20,21,2,11,221
3/5/24,20.6,20.6,20.6,21,3,30,618
3/1/24,20.9,21.5,20.5,21,22,29930,628529.5
2/29/24,20.1,20.8,20,20.1,19,26200,524845.5
2/28/24,19.9,20.2,19.7,20,43,73150,1461884.4
2/26/24,20,20,19.3,19.5,6,601323,11725897.7
