Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,56.8,56.8,56.8,56.8,7,500,28400
7/4/24,57,57,57,54.9,1,16,912
6/28/24,54.3,57,54.3,54.9,2,32,1799.7
6/27/24,58,58,54.1,54.9,16,1195,66075.5
6/26/24,58.2,58.5,55,55.1,13,1910,108600.1
6/25/24,58,58.5,58,58.3,4,1151,67058.5
6/19/24,57.8,58,57.8,58,6,865,50148
6/18/24,56,56,56,57,2,53,2968
6/14/24,57,57,57,57,1,1000,57000
6/13/24,54.2,54.2,54.2,56,1,19,1029.8
6/12/24,56,56,56,56,2,500,28000
6/11/24,58,58,58,58,2,100,5800
6/11/24,58,58,58,58,2,100,5800
6/10/24,58.2,58.2,58,58,7,620,36020.2
6/6/24,58.8,58.8,58.8,58.8,2,100,5880
6/5/24,58.9,58.9,55.9,55.9,3,25810,1442796.7
6/4/24,56.3,57.5,56.3,57.5,3,101,5806.3
6/3/24,59.4,59.4,59.4,56.1,2,3,178.2
5/31/24,56.6,56.6,55.4,56.1,7,1400,78475
5/30/24,57.1,57.1,57.1,55.7,3,3,171.3
5/29/24,56,60.9,55,55.7,8,5102,280991.2
5/28/24,58,65,58,63.6,9,6441,379755.5
5/27/24,57,57.5,57,57.5,6,11683,671722.5
5/22/24,57,57.5,57,57,3,31,1778.5
5/21/24,57,57,57,57,1,2,114
5/17/24,57,57.3,56.9,57,5,41,2337.4
5/15/24,57.6,57.7,57,57,10,7742,443142
5/14/24,57.6,57.6,57.5,57.6,4,189,10884.1
5/13/24,57.2,57.9,57.2,57.8,8,4000,231128.2
5/10/24,57.5,57.5,55,55,8,1614,89589.5
5/9/24,57.9,57.9,55,55.1,11,1002,55197.8
5/8/24,57.9,57.9,55,57.6,20,7221,413945
5/7/24,56,57,56,56,5,350,19601
5/6/24,56,56,56,58,1,4,224
5/2/24,55.5,55.6,55.5,58,2,5,277.6
4/30/24,54,62,54,58,30,19740,1182182
4/29/24,57,57,53.1,53.1,9,3802,215934
4/26/24,57,57,56,56,5,1743,97649.2
4/25/24,56.5,57,56.5,56.7,6,182,10324
4/24/24,55.7,55.8,55.7,55.8,5,205,11429
4/18/24,51.7,56.7,51.7,54.9,3,5,278.3
4/17/24,50.2,55,50.2,54.9,2,420,23052
4/15/24,56.6,57.8,56.6,56.7,9,1200,67994.1
4/10/24,56.6,56.6,56.6,56.6,3,969,54845.4
4/9/24,56.4,56.6,56.4,56.6,16,2571,145281.5
4/8/24,56.6,56.6,55.9,56.4,18,4315,242680.9
4/5/24,53,56.6,53,53.1,4,413,21935.8
4/4/24,51.3,54,51.3,52.9,7,116,6137.3
4/3/24,54.5,58,54.5,55.3,17,9328,516002
4/2/24,51.1,54.5,51.1,53,5,305,15877.5
4/1/24,54.5,54.9,54.5,54.9,5,169,9275.9
3/27/24,53,54.5,53,53,17,7610,404260
3/26/24,52.8,53,52,52,5,705,37145
3/25/24,53,53,49.3,51.6,4,165,8510.2
3/21/24,53.2,53.2,53.2,53.2,2,161,8565.2
3/19/24,53.3,53.3,53.3,53.3,1,1100,58630
3/18/24,52.8,53.2,52.8,53.1,2,600,31840
3/14/24,54,54,54,53,2,2,108
3/13/24,53,53,52.9,53,6,1541,81664.6
3/12/24,53,53,53,53,3,12,636
3/11/24,53.3,53.5,53,53,11,1998,106578.5
3/7/24,52,53.2,51.9,52,19,5251,273040
3/6/24,51.8,51.8,49.9,51.8,7,133,6832.4
3/4/24,51.9,51.9,51.9,48.8,1,1,51.9
3/1/24,48.2,50,48,48.8,6,153,7463
2/28/24,51,52,50,50.1,4,732,36864
2/21/24,50.9,50.9,50.9,50.9,1,100,5090
2/19/24,50.9,50.9,50.9,50.9,4,200,10180
2/16/24,51,51,51,51,2,220,11220
2/13/24,50,50,50,50.7,1,2,100
2/12/24,50.8,50.8,50.7,50.7,3,1230,62362.2
2/9/24,50.7,51.8,50.7,50.8,3,239,12135.6
2/8/24,50.7,51,50.7,50.8,6,191,9693.4
2/7/24,50,50,50,50.1,1,10,500
2/6/24,50.1,50.1,50,50.1,2,320,16020
2/2/24,51.7,51.7,50,50,10,1100,55170
2/1/24,50.7,50.7,50.7,51.9,1,45,2281.5
1/31/24,49.1,49.1,49,51.9,2,55,2696
1/30/24,51.9,51.9,51.8,51.9,5,120,6227.9
1/23/24,51.5,52,51.5,50,2,14,723
1/22/24,50,50,50,50,1,871,43550
1/19/24,50,50,50,50,2,27,1350
1/18/24,50,50,50,50,8,1691,84550
1/17/24,50,50,50,48,1,11,550
1/12/24,53.7,53.7,53.7,48,1,1,53.7
1/8/24,47.3,50.4,47.3,48,6,661,31748.5
1/5/24,53.7,53.8,53.7,53.8,3,1688,90664.4
1/3/24,53.6,53.6,53.6,53.6,6,831,44541.6
12/29/23,53.7,53.7,53.7,53.7,1,195,10471.5
12/27/23,51.9,52.5,51.9,53.6,2,35,1819.5
12/22/23,50.2,50.2,50.1,53.6,3,40,2007
12/21/23,53.6,53.6,53.6,53.6,1,1167,62551.2
12/19/23,54,54,54,54,6,1235,66690
12/18/23,54,54,54,54,5,500,27000
12/14/23,54,54,53.9,54,12,1200,64770
12/12/23,54.4,54.5,53,53,13,2907,155148.5
12/11/23,53.9,54,53.9,54,3,2183,117863.7
12/8/23,54,54,50.2,54,9,185,9985.1
12/6/23,51.6,54.5,51.6,52,3,12,625
12/4/23,52,53,52,52,3,154,8009
12/1/23,53.9,54.7,53.9,54.6,8,481,26101.8
11/28/23,51,51,51,51,1,100,5100
11/24/23,50.6,50.6,50.5,50.5,2,152,7676.2
11/22/23,51.3,51.3,51.3,51.3,3,261,13389.3
