Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,41.8,42,40.1,41.7,17,1794,73616.4
7/4/24,42,42,42,42,6,181,7602
7/3/24,42,42,41.8,41.8,7,183,7665.2
7/2/24,43,43,42,42.1,10,1822,77181.4
7/1/24,44,45,42.6,43,16,1207,52507.2
6/28/24,44,44,44,44,3,41,1804
6/27/24,43.7,44,43.7,44,4,252,11043
6/26/24,43.1,43.1,43.1,43.7,2,2,86.2
6/25/24,43.7,44,43.5,43.7,15,274,11976
6/24/24,42.6,42.6,42.6,42.6,1,1,42.6
6/20/24,42.8,42.8,42.5,42.6,12,811,34529.8
6/19/24,43,43,42.9,42.9,6,1017,43721
6/18/24,43,43,43,43,4,550,23650
6/14/24,43,43,43,43,2,304,13072
6/13/24,43.9,43.9,43.5,43.5,17,10271,446797.2
6/10/24,44,44,43,43.9,17,992,42805.6
6/7/24,44.5,44.6,43.1,43.1,12,2255,97567.4
6/6/24,44.8,44.8,44.7,44.7,2,115,5142
6/5/24,45,45,45,43.2,1,30,1350
6/3/24,45.6,45.6,43,43.2,20,1789,77300.9
5/31/24,45.7,45.7,45.7,45.7,2,1260,57582
5/30/24,43.1,43.1,43.1,43.5,2,2,86.2
5/29/24,43.8,43.8,43.5,43.5,7,290,12615.9
5/28/24,43.6,44,43.5,43.5,11,3134,136468.5
5/27/24,44.8,44.8,44.8,44.8,5,101,4524.8
5/22/24,43.5,43.5,43.5,43.5,1,60,2610
5/21/24,44.8,44.8,43.5,43.5,6,1593,69381.4
5/20/24,43,43.5,43,43.4,11,3236,140083
5/17/24,43,43.9,42.9,43,19,1735,74780.5
5/16/24,44.7,45,43.1,43.2,15,896,38869.2
5/15/24,44.6,44.7,43,43.1,25,7990,348571.5
5/14/24,45,45,44.5,44.5,28,5421,241636.9
5/13/24,45,45,44.9,45,7,1624,73055
5/10/24,45.5,45.5,45,45,11,2025,91208
5/9/24,45,45.5,44.9,44.9,7,1580,71084.5
5/8/24,44.8,45.5,44.8,45,4,274,12365.9
5/7/24,45.8,45.8,45,45,9,2922,131568.3
5/6/24,45.9,45.9,45,45.1,7,240,10837.5
5/3/24,45.4,45.4,45,45.3,8,1235,55969
5/2/24,44.7,45,44.6,44.7,12,432,19312.9
4/30/24,45.9,45.9,44.9,45,4,1010,45404.5
4/29/24,45.6,45.9,44.8,45.4,13,421,19011.2
4/26/24,45.6,45.6,44.7,44.7,24,3159,141528
4/25/24,44.7,45.8,44.7,45,6,177,7961.2
4/24/24,46,46,44.6,44.7,20,996,44648.5
4/22/24,44.8,46,44.7,45.7,14,916,41703.5
4/19/24,46.1,46.1,44.8,44.8,20,1577,70971.1
4/18/24,45.2,46.1,45.2,45,4,22,995.3
4/17/24,45.1,45.1,44.9,45,15,3773,169858.4
4/16/24,45.3,45.3,45,45,4,1000,45013.9
4/15/24,46.2,46.2,45,45,20,3257,147306.9
4/10/24,46.2,46.2,46.2,46.2,11,203,9378.6
4/9/24,46.5,46.5,45,45,106,11738,528790.5
4/8/24,46.2,46.5,46.2,46.5,15,2414,112179.5
4/5/24,46.4,46.4,46,46,13,1413,65039.6
4/4/24,46.5,47,44.9,45,187,59870,2700609.3
4/3/24,46.2,47,45,46.4,45,5806,263098.1
4/2/24,48.9,49.1,48,48.1,10,4219,202657.2
4/1/24,47,48.9,47,47.9,15,3567,170961.8
3/28/24,48,48,45,47,35,9576,433343
3/27/24,47,47.9,47,47.8,6,1385,65779.6
3/26/24,48,48,45,45.6,52,13921,631687.7
3/25/24,47.8,48,45.8,46.1,29,5589,259731.9
3/22/24,49,49,45,45.6,87,6276,290153
3/21/24,50,50,49.5,49.7,6,2862,142233.2
3/20/24,50,50,50,50.9,2,11,550
3/19/24,49.1,50.9,49.1,50.9,4,4,201.8
3/18/24,52.5,52.5,48.8,50.9,5,464,23616.7
3/15/24,53,53,53,52.7,1,1,53
3/14/24,52.7,52.7,52.7,52.7,1,18,948.6
3/12/24,51.5,52.9,51.5,52.7,6,302,15785.9
3/11/24,50,50,50,50,6,813,40650
3/7/24,50.8,52.9,50.8,50.9,4,270,13739.9
3/6/24,53.1,53.1,50,50,4,42,2140.1
3/5/24,48.5,53.5,48.5,50,5,294,14698.8
3/4/24,48.9,49,48.9,45,2,11,538.4
3/1/24,45.5,47.4,45,45,13,6164,277635.5
2/29/24,48.1,48.1,48.1,48.1,2,50,2405
2/28/24,49.5,49.5,49.2,48.1,3,25,1236
2/27/24,48.5,49.3,48,48.1,17,1647,79188.3
2/26/24,51,53.6,48.5,48.7,8,3130,153206.6
2/22/24,53.7,53.7,50.7,52.9,4,128,6768.6
2/21/24,48.8,50.9,48.8,50.7,16,717,36005.3
2/20/24,48.7,48.7,48.7,48.7,1,100,4870
2/16/24,48.7,48.7,48.7,48.7,3,237,11541.9
2/15/24,49.7,49.7,49.7,49.7,3,525,26092.5
2/12/24,49.7,49.7,49.7,49.7,4,519,25794.3
2/9/24,49.7,49.7,49.4,49.5,12,1212,60175
2/8/24,53,53,49.5,49.6,8,1021,50613
2/7/24,52,52,52,54.7,2,3,156
2/6/24,48,53,48,54.7,3,80,3990
2/2/24,46.1,53,46.1,54.7,6,72,3733.4
1/30/24,54.7,54.8,53,54.7,3,101,5528
1/26/24,50,50,50,50,4,5700,285000
1/23/24,50.2,54.3,50,50,3,1005,50259.2
1/22/24,55.5,55.6,50,50.1,9,1028,52887.3
1/19/24,54.1,54.1,54.1,51,1,10,541
1/18/24,55.5,55.5,55.5,51,1,3,166.5
1/16/24,56,56,51,51,5,293,15468
1/12/24,53.2,53.2,53.2,53.2,1,11,585.2
1/11/24,53,53,53,53.2,3,25,1325
1/10/24,45.4,53,45.4,53.2,3,56,2831.4
12/29/23,53.2,53.2,53.2,53.2,1,200,10640
12/28/23,50.5,50.5,50.5,50.5,4,300,15150
12/22/23,51.5,55.9,50,50.4,10,3355,168982.4
12/21/23,52.5,52.5,52.5,52.5,3,201,10552.5
12/20/23,51.1,51.1,50.1,50.2,4,147,7381.6
12/15/23,54.5,54.5,54.5,52.5,1,10,545
12/14/23,54.7,54.7,54.7,52.5,1,9,492.3
12/12/23,52.5,52.5,52.5,52.5,4,430,22575
12/11/23,55,55,55,52.5,1,1,55
12/8/23,56,56,50,52.5,17,2742,143103.6
12/7/23,56,56,56,56,1,200,11200
12/5/23,55.1,55.1,55.1,56,1,9,495.9
12/4/23,55.1,55.1,55.1,56,1,2,110.2
11/30/23,56,56,56,56,1,560,31360
11/29/23,57,57,55.1,57,4,12,680.2
11/27/23,57.5,57.5,55,57,3,33,1865
11/24/23,52.5,52.5,52.5,57,1,5,262.5
11/23/23,52,52.1,52,57,2,21,1092.1
11/22/23,57,57,57,57,1,254478,14505246
11/15/23,69.9,69.9,57,57,9,3537,201847.3
11/14/23,54.5,54.5,54.5,56,1,5,272.5
11/9/23,56,56,56,56,1,221,12376
11/8/23,56.3,56.3,56.3,56.3,4,51,2871.3
11/7/23,56.3,56.3,56.3,56.3,1,4,225.2
11/1/23,56.3,56.3,56.2,56.3,4,350,19700
10/27/23,56.3,56.3,56.1,56.3,2,475,26726.5
10/26/23,57,57,57,56.3,1,4,228
10/25/23,56.3,56.3,56.3,56.3,1,493,27755.9
10/24/23,58.6,58.6,58.6,56.1,1,1,58.6
10/19/23,56.1,56.1,56,56.1,2,239,13406.8
10/18/23,56,56,51,55.6,3,170,9465
10/17/23,58.8,58.8,58.8,56.2,2,25,1470
10/16/23,55.8,55.8,55.8,56.2,1,25,1395
10/13/23,56.5,56.5,56.5,56.2,4,50,2825
10/12/23,56.5,56.5,56.5,56.2,4,23,1299.5
10/11/23,56.2,56.2,56.2,56.2,1,20,1124
10/9/23,56.2,56.5,56.2,56.2,4,29,1630.4
10/4/23,60,61.5,56,56.2,37,4001,235931.4
10/2/23,60,60,60,61,1,2,120
9/27/23,58.7,61,58.7,61,4,14,833.3
9/25/23,58.5,60.9,58.5,61,7,30,1764.6
9/22/23,58.6,58.6,58.6,61,1,1,58.6
9/19/23,60,60,57.7,61,3,6,350.8
9/15/23,60,60,60,61,1,1,60
9/14/23,61,61,61,61,2,201,12261
9/13/23,60,62.9,60,59.2,2,2,122.9
9/7/23,61.5,61.5,59,59.2,9,2085,123340.7
9/6/23,61.5,61.5,60,60.5,7,3500,211670
9/5/23,60.1,61.5,60.1,61.5,3,200,12160
9/4/23,61.5,62,60.1,61.5,7,416,25303
8/31/23,60.5,60.5,60,60,43,13297,799422.2
8/28/23,61.3,61.3,60.2,60.4,8,510,30824.1
8/25/23,61.3,61.3,61.2,61.2,3,200,12242
8/23/23,64,64,64,63.5,1,40,2560
8/22/23,63.5,63.5,62.1,63.5,3,12705,806711.5
8/18/23,67.1,67.1,60.7,65.9,10,871,56568
8/17/23,61,68,61,66.8,14,2725,176173.4
8/16/23,66.7,66.7,60.5,60.8,8,143,8693.7
8/15/23,67.4,67.5,60.8,63.9,12,480,30818.5
8/14/23,63,67.5,63,63,12,13428,846120.9
8/11/23,61.1,61.1,60.2,60.5,10,3000,181483.3
8/9/23,61.8,62.9,60.2,60.2,7,512,30852.6
8/8/23,63.6,63.6,63.6,60.5,1,31,1971.6
