Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,378,379.75,378,375,2,11,4161.5
7/4/24,378.75,378.75,375,375,3,1511,566665.5
7/3/24,379,379,375,375,5,1526,572362
7/2/24,379,379,378,379,5,18,6812
7/1/24,379,379,371,379,6,571,216309
6/28/24,376,376,375,376.25,6,46,17269
6/27/24,376.25,379.75,376,376.25,6,34,12872.25
6/26/24,379.75,379.75,376.25,376.25,9,4788,1801869.75
6/25/24,379.5,379.75,376.25,376.25,17,6224,2342423.5
6/24/24,376,376,375,376,14,6657,2497033
6/20/24,379.75,379.75,379.75,379.75,6,208,78988
6/19/24,376,376,375,375,6,1211,454126
6/18/24,378,379.75,374.25,375,10,74,28074.25
6/14/24,375,379.75,375,375,7,3012,1129555.25
6/13/24,377.5,379.75,377.5,376.75,6,8,3035
6/12/24,379.75,379.75,374,376.75,13,104,39193.5
6/11/24,375,375,373.25,375,8,4380,1642492
6/11/24,375,375,373.25,375,8,4380,1642492
6/10/24,378.75,378.75,371.25,372,5,119,44261.25
6/7/24,378,378,378,375,3,14,5292
6/6/24,378.75,378.75,378,375,4,6,2271
6/5/24,374,375,368,375,12,8139,3051955
6/4/24,373.75,374,373.75,374,7,65,24307.25
6/3/24,373.75,374,373.75,374,7,102,38147.75
5/31/24,378.75,378.75,373.75,378.75,14,126,47717.5
5/30/24,373.5,378.75,373.5,379.75,15,21,7943.25
5/29/24,375,380,373,379.75,35,340,129117
5/28/24,380,380,375,375,8,15562,5835760
5/27/24,379.75,379.75,374,374.25,12,5082,1902127.5
5/22/24,379.75,380,378.75,379.75,18,74,28102.75
5/21/24,380,380,379.75,379.75,37,136,51652
5/20/24,379.25,379.75,378.5,379.5,24,156,59188
5/17/24,372,379,372,371,23,93,34882
5/16/24,372,372,372,371,3,14,5208
5/15/24,371,371.5,368,371,8,462,171389.5
5/14/24,371.5,372,371,372,11,1602,595321.5
5/13/24,371.5,372,371,375,3,68,25265.5
5/10/24,374.75,375,374.75,375,12,217,81373.5
5/9/24,371,374.75,371,371.5,8,28,10430.75
5/8/24,371,372.25,371,371.5,5,90,33427
5/7/24,372,372.25,371,371.5,17,133,49422.5
5/6/24,371.75,372,371.75,371,8,67,24923.75
5/3/24,372.25,372.25,370.75,371,11,75,27859.5
5/2/24,372,372,370.75,371,7,13,4827
4/30/24,370.75,373,370.75,371,26,10524,3906089.75
4/29/24,367,370.75,360.25,367,9,23016,8446849.25
4/26/24,367,371.5,367,367.25,11,123,45163
4/25/24,371.75,371.75,367,370,6,60,22176.25
4/24/24,360,371,360,370,6,5104,1887481.25
4/22/24,360,364.75,360,360,14,8543,3075513.25
4/19/24,364.75,369.75,360,365,9,1965,716994.5
4/18/24,355,365,355,360,8,1002,360720
4/16/24,360,360,360,360,5,102,36720
4/15/24,360,379.5,356,359.5,15,101,36305.75
4/10/24,360,360,360,363.75,1,50,18000
4/8/24,360,379.75,359.5,363.75,9,1566,564064
4/5/24,360,360,356,358.25,12,157,56244
4/4/24,365,365,365,359.75,1,30,10950
4/3/24,369.5,375,369.5,359.75,6,81,30010.75
4/2/24,370,370,357,359.75,14,1080,388755
4/1/24,363,365,363,360,2,4,1456
3/28/24,359.75,365,356,360,17,6873,2474057
3/27/24,359.75,359.75,359.75,360,3,6,2158.5
3/25/24,360,360,360,360,7,2237,805320
3/22/24,359.75,360,359.75,360,2,11,3957.75
3/21/24,360,360,360,360,14,8000,2880000
3/20/24,357,357,356,359.75,4,15,5352
3/19/24,359.25,360,359.25,359.75,6,405,145744.25
3/18/24,355,360,355,360,5,20,7155.25
3/15/24,360,360,356,360,6,60,21560
3/14/24,360,364,360,360,11,3249,1169742.75
3/13/24,352.25,360,352.25,355.75,9,284,100944.75
3/12/24,353.75,355,353,353.75,6,116,41022.25
3/11/24,350,354,340,343.5,13,220,75592.25
3/7/24,349.5,360,349.5,350.5,7,123,43102.5
3/6/24,349.5,349.5,335.25,341.5,13,822,280501.75
3/5/24,349.25,349.25,340,340,5,1729,587949.25
3/4/24,340,349.25,340,340,3,5005,1701746.25
3/1/24,350,350,348,348,3,110,38298.5
2/29/24,330,349.75,330,330.75,5,678,224263.75
2/28/24,340,350,340,349.75,10,3396,1155677
2/27/24,333,340,330,340,15,9814,3336240
2/26/24,338,339,335,336,7,159,53514.25
2/22/24,338,339.75,338,339,6,575,194875
2/21/24,333,340,333,337,17,1027,346065
2/20/24,333,333,333,333,2,629,209457
2/19/24,344,344.25,344,332,7,58,19952.75
2/16/24,344.75,344.75,344.5,332,3,3,1034
2/15/24,342,344.5,332,332,6,244578,81199971
2/14/24,333.25,335,332,332.25,14,13960,4638570.25
2/13/24,334,334,334,333.25,1,2,668
2/12/24,345,345,333,333.25,7,10004,3333579.25
2/9/24,332.5,348.5,332.5,330.75,8,26,8801
2/8/24,335,335,335,330.75,2,20,6700
2/7/24,330.5,335,330.5,330.75,7,4428,1464601.5
2/6/24,330,335,330,333.25,7,279,92588.25
2/2/24,331,331,330,330.25,8,385,127107.5
2/1/24,330.5,335,330.5,330.25,6,29,9627.5
1/31/24,350,350,330,330.25,19,311,104252.5
1/30/24,340,352,330,330,10,18362,6062014
1/29/24,335,335,335,330,3,12,4020
1/26/24,331,331,330,330,8,10133,3343957.25
1/24/24,330,330,329,330,12,5350,1765499
1/23/24,334,335,330,330,21,3000,990088.75
1/22/24,335,335,334,335,11,1142,382569
1/18/24,340,340,340,340,4,104,35360
1/17/24,340,341,340,340.5,6,29,9872
1/16/24,344.75,344.75,344.75,340.5,2,10,3447.5
1/12/24,345,345,340,340.5,12,530,180508.5
1/11/24,340,345,340,339.5,13,75,25647.5
1/9/24,339.5,349.75,339.5,339.5,4,16,5444
1/8/24,340,340,339.5,339.5,6,1242,421719
1/5/24,340,340,340,330.25,4,54,18360
1/4/24,340,340,340,330.25,3,11,3740
1/3/24,340,340,323.5,330.25,19,2109,696261.25
