Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,58.2,59.7,57.5,58,71,139656,8137466.8
7/4/24,59.8,59.8,58.1,58.5,55,41038,2405059.4
7/3/24,59.6,59.8,59,59.5,32,44786,2662044.6
7/2/24,59.8,59.8,58.8,59,13,5686,336002.5
7/1/24,60,60,58.8,59,53,17500,1033988
6/28/24,60,60,59,59.9,79,134504,7954259.8
6/27/24,60.5,61,59.8,60,46,26098,1572622.9
6/26/24,61,61,60,60.6,62,37717,2268027.5
6/25/24,60.5,61,60.5,60.5,24,80044,4871929.7
6/24/24,61.4,61.4,61,61,31,261158,15971543.3
6/20/24,61,61.4,60.2,61,45,11246,683507.5
6/19/24,62,62,60.7,61,23,17379,1060100.3
6/18/24,62,62,60.8,61.5,19,6604,405164.3
6/14/24,61,61.9,61,61.1,50,50068,3069124.6
6/13/24,62,62.3,61.1,61.3,42,31563,1939486.3
6/12/24,62.9,62.9,61.6,62,30,20576,1277493.8
6/11/24,62,63,62,62,75,257339,15983283.5
6/11/24,62,63,62,62,75,257339,15983283.5
6/10/24,62.1,63,61.2,62.7,36,78709,4881572.8
6/7/24,62.4,63.9,62,62.1,47,51317,3185747.5
6/6/24,63.4,63.5,62.3,62.6,38,143814,9062685.7
6/5/24,63.5,63.5,63.3,63.4,67,75906,4819571.9
6/4/24,63.5,64.3,63.1,63.6,88,216447,13731204.2
6/3/24,63,63.9,63,63.5,79,61170,3870434.1
5/31/24,63,63,62,63,55,400001,25190429.2
5/30/24,61.9,63,60.8,62.8,93,553370,34090882.7
5/29/24,61,62,61,61,39,97343,5997487.5
5/28/24,61.5,61.5,61,61.4,22,6155,377694
5/27/24,61,62.6,61,61.9,44,211413,13072134.6
5/22/24,61.1,62.6,61.1,62.1,46,50969,3166682.8
5/21/24,61.5,62.7,60.2,62,57,57463,3508613.4
5/20/24,62.8,62.8,59,60.5,147,341917,20662210.7
5/17/24,61.5,62.7,60.8,62.4,38,47990,2973054.2
5/16/24,61.5,63,60.5,61.4,51,13226,807197.2
5/15/24,64,64,60.1,61,81,63260,3915354.1
5/14/24,64,64,60.2,62.2,149,330573,20468287.1
5/13/24,64.9,65.5,63.5,63.9,47,35013,2245682.3
5/10/24,65.5,65.5,64.4,64.6,112,89895,5812774.4
5/9/24,65,65.5,64.5,65.5,129,548212,35579761.9
5/8/24,65,65.9,64.6,65.1,108,341813,22220292.3
5/7/24,65.1,66.5,64.6,65.1,148,374435,24750255.6
5/6/24,65.9,67.5,65.7,66,296,873151,57840672.2
5/3/24,63.4,65.8,63.4,65.5,449,2437251,158323674.6
5/2/24,62.5,64.2,62.5,63.4,254,824663,52413939.9
4/30/24,62.9,62.9,61.4,62,154,1253538,78496526.4
4/29/24,59,63.5,59,62.5,707,5587527,338261344
4/26/24,56.4,59.7,56,58,250,2088780,120211932.9
4/25/24,54.1,56.5,54.1,56.1,59,57569,3228459.4
4/24/24,54.9,55.9,54.1,54.3,32,6032,328811.7
4/22/24,53,54.5,53,54.2,28,19436,1050309.7
4/19/24,55,55,53,53.5,60,57910,3128895.4
4/18/24,55,55.2,55,55.1,20,10870,598110.6
4/17/24,54.7,56,54.6,55,38,29803,1629972.1
4/16/24,56,56,54.7,54.9,60,44136,2436842.1
4/15/24,56.5,56.5,55.5,56.3,30,16460,919657.4
4/10/24,55.8,56.5,55.8,56.5,30,26851,1516757.7
4/9/24,55.3,56.4,55,56.1,85,142494,7923102.8
4/8/24,54.2,55.6,53.8,54.6,97,978473,53585214.9
4/5/24,53.5,54,53.4,53.7,20,11054,592245.8
4/4/24,54.3,54.3,52.5,52.9,82,25239,1338967.6
4/3/24,53.8,54.1,53.5,53.5,29,10030,540386.1
4/2/24,53.3,54,53.3,53.8,30,43210,2311690.9
4/1/24,53.3,54,53.1,53.2,16,7758,412951.6
3/28/24,54,54.3,53.3,53.9,25,10275,552580.7
3/27/24,53.5,54.3,53.3,53.9,30,32735,1752734.2
3/26/24,54.3,54.4,53.5,53.9,49,374582,20217356.8
3/25/24,54,54,53.2,53.9,37,72564,3900974.2
3/22/24,52.6,54,52.6,53.2,88,312796,16597859.4
3/21/24,53.9,53.9,52.5,52.7,45,46336,2437358.5
3/20/24,55,55,53.2,53.5,63,202356,10928946
3/19/24,55,55,54.5,55,23,19047,1047013
3/18/24,55.2,56,53.5,55.1,91,72791,3977804.1
3/15/24,56,56.5,55,55.7,72,80825,4487658
3/14/24,56.4,57.5,56,56.8,233,650554,36997171.1
3/13/24,52.8,57,52.8,56,441,1251853,68177057.3
3/12/24,52,53,50.9,52.7,108,606415,31444866.4
3/11/24,49.9,52,49.9,50.9,100,120698,6105803.1
3/7/24,49.7,49.7,48.6,49.3,27,179299,8812859.5
3/6/24,49.2,49.5,48.8,49,36,33913,1664805.1
