Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,28.5,28.5,28.2,28.5,2,100004,2850112.8
7/4/24,28,28.5,28,28.5,8,7451,212103.5
7/3/24,28.5,28.5,28.5,28.5,2,124,3534
7/2/24,28.5,29,28.5,29,12,38492,1102564.8
7/1/24,29.9,29.9,29.8,29,2,2,59.7
6/28/24,29.5,29.5,29.5,29,1,2,59
6/27/24,30,30,29.5,29,3,13,389
6/26/24,29,29,29,29,3,1001,29029
6/25/24,29.2,30,29,29.1,11,5685,165648.3
6/24/24,29,29,29,29,2,3000,87000
6/20/24,29.9,30,29,29,6,2045,60303.9
6/19/24,29.1,29.2,29,29,3,3008,87632.6
6/18/24,29,29.1,29,29,5,1015,29435.1
6/14/24,30,30,29,29,2,6400,188000
6/12/24,30.2,30.2,30,30,3,171,5130.2
6/11/24,29.9,30,29.9,30,2,5999,179870.1
6/11/24,29.9,30,29.9,30,2,5999,179870.1
6/10/24,29,29.9,29,29,2,1617,46893.9
6/7/24,29,30,29,30,9,7965,238245
6/5/24,29,29.1,29,29.1,4,7500,218000
6/4/24,29,29,29,29.5,1,1,29
6/3/24,29.5,29.5,29.5,29.5,4,14000,413000
5/31/24,30,30.4,30,30,18,249110,7473340
5/30/24,28.9,30,28.8,29.4,22,27451,823230
5/29/24,30,30,30,30,1,190,5700
5/28/24,29,30,29,29.6,2,170,5030
5/27/24,29.9,30,29,29.7,9,13766,412178.3
5/22/24,29.8,29.8,29.8,29.8,3,259,7718.2
5/21/24,30,30,29.5,29.5,3,1350,39875
5/20/24,28.6,29,28.6,29,3,49,1401.8
5/17/24,30.3,30.3,29,29,9,1307,39065.5
5/15/24,30.4,30.4,29,29.1,25,9966,290540.4
5/14/24,30,30.2,30,30.2,10,104228,3127060.8
5/13/24,29.6,30.4,29.6,29.7,5,621,18594.4
5/10/24,30,31,29.1,31,12,1793,54864.9
5/9/24,31,31.2,30,30.8,12,3173,97834.1
5/8/24,30.9,31.2,30.2,31,6,11054,342581.6
5/7/24,30.1,31,30.1,30.5,5,2802,85012
5/6/24,31,31,30.5,31,3,30,925
5/3/24,31.4,31.4,30.2,31,3,41,1251
5/2/24,30.6,31.4,30,31,75,351727,10886041.7
4/30/24,31,31,31,31,4,10918,338458
4/29/24,31.2,31.2,30.1,30.6,9,633158,19059039.8
4/26/24,30.1,31,30,30.1,28,45671,1397951
4/25/24,30.2,30.9,30,30.8,9,11691,358388.7
4/24/24,30.8,30.9,30.1,30.5,12,1008429,30257185.2
4/22/24,30,30,30,30,1,1000,30000
4/19/24,30.1,30.3,30,30,17,588768,17664550
4/18/24,30.5,30.5,30.1,30.5,4,2501,76280.1
4/17/24,30,30.3,30,30,11,23420,702900.5
4/16/24,30,30.5,30,30,4,9702,291061
4/15/24,30.5,30.5,30,30,5,109338,3280390
4/10/24,30.9,30.9,30,30.9,5,2085,64390.5
4/9/24,30.1,30.9,30,30,13,210993,6336570.2
4/8/24,30.1,30.5,30.1,30.4,2,1200,36520
4/5/24,30.3,30.7,30,30.3,10,18695,563394.9
4/4/24,30.1,30.5,30,30,25,81807,2456373.3
4/3/24,30,30.1,30,30,4,18200,546100
4/2/24,30,30.2,30,30.1,8,18218,546965
4/1/24,30,30,30,30,5,54750,1642500
3/27/24,30.1,31,30,30,6,21001,630038
3/26/24,30,30.7,30,30.1,23,47848,1436857.4
3/25/24,30.1,30.1,30,30,13,23137,694198.9
3/22/24,30,30.1,30,30,6,14607,438210.5
3/21/24,30.1,30.4,30,30,31,1334892,40047296.1
3/20/24,30,30,30,30,10,23700,711000
3/19/24,30.2,30.2,30,30,6,4002,120122.5
3/18/24,30.8,30.8,30,30,9,59505,1785154
3/15/24,30,30,30,30,9,23749,712470
3/14/24,30,30.9,30,30,11,46584,1397524.5
3/13/24,30,30.5,30,30,21,32967,992318.3
3/12/24,30.1,30.3,30,30.2,13,8910,268405.1
3/11/24,30.1,30.1,29.9,30,11,5216,156451.5
3/7/24,30,30.3,29.2,30,21,72626,2178686.7
3/6/24,30,30.3,30,30,14,26481,794460
3/5/24,29.6,30,29.6,30,11,23300,698960
3/4/24,29.2,30,29.2,30,9,95203,2855290
3/1/24,30,30,30,30,3,20001,600030
2/29/24,30,30,29.2,29.3,10,113687,3332792.2
2/28/24,29.1,30,29.1,30,19,123696,3710879.1
2/27/24,29,30,29,30,8,62423,1872565.8
2/26/24,29.1,30.1,29.1,30,21,268528,8046741
2/22/24,30,30.2,29.1,29.1,10,22023,641025.3
2/21/24,30,30,30,30,26,61970,1859100
2/20/24,29.5,30,29.5,30,13,78141,2343805
2/19/24,29.2,29.6,29.1,29.6,11,8227,242949.8
2/16/24,30,30,29.2,29.7,5,158,4693.6
2/15/24,29.1,29.1,29.1,29.1,5,16510,480441
2/14/24,29.3,30,29.3,30,6,13645,409341.5
2/13/24,30.2,30.2,30,30,14,307390,9221730
2/12/24,29.1,30,29.1,30,12,544318,16143998.9
2/9/24,29.1,29.1,29.1,29.1,2,299,8700.9
2/8/24,29,29.1,29,29,6,92201,2673829.1
2/7/24,29,29,29,29,8,15200,440800
2/2/24,30.5,30.5,28.3,29.3,8,5700800,171023517
2/1/24,28.5,30,28,29.9,16,40614,1210292.2
1/31/24,27.6,29.9,27.6,29.9,8,195641,5405656.6
1/30/24,29.5,30,28.1,29.9,9,29078,839974.8
1/29/24,29,29,29,29,3,7380,214020
1/26/24,27.2,28.5,27.2,28.5,3,2610,74372
1/24/24,28,28,28,28,2,420,11760
1/23/24,30.4,30.4,28.5,28.5,5,2016,59356
1/22/24,29.7,29.7,28.5,28.5,4,5124,150834
1/19/24,30,30,29.7,29.7,4,7050,209410
1/18/24,30,30.1,30,30.1,3,13025,391750
1/17/24,30.1,30.1,30,30.1,10,11350,341550.1
1/16/24,30,30.1,30,30.1,11,41855,1255885
1/12/24,30,30.2,30,30,5,27300,819060
1/11/24,30,30,30,30,5,13000,390000
1/10/24,30.2,30.2,30,30,9,91747,2768158.4
1/9/24,30.5,30.5,30,30,12,31062,932363
1/8/24,30,30.5,30,30,3,1011,30356
1/5/24,29.1,30.2,29.1,30,7,942,28066.3
1/4/24,28.5,30.2,28.2,30.2,6,214,6244.3
1/3/24,30,30.3,30,30,13,15804,474150
1/2/24,31,31,29.6,29.9,7,6205,187718
12/28/23,30,31,29.6,30.9,27,377755,11653810
12/27/23,30,30,29.5,30,5,21404,638449.2
12/22/23,30,30,29.5,29.9,6,10135,304038
12/21/23,29.9,29.9,29.9,29.9,1,100,2990
12/20/23,30.2,30.2,30,30,6,8538,256540
12/19/23,29,30.2,29,30,35,331394,9941810.2
12/18/23,29.3,30,29.3,29.7,24,56166,1665880.6
12/15/23,29.7,29.8,29.5,29.6,10,27098,804761
12/14/23,30.3,30.3,29.8,29.8,20,61343,1828782.8
12/13/23,30,30.2,29.8,30.2,10,29531,881450.2
12/12/23,30.3,30.8,29.8,29.9,12,5701,171801.8
12/11/23,30.2,30.8,29.9,30.1,22,78547,2373040
12/8/23,29.6,30.1,29.6,30,13,18001,539029.6
12/7/23,30,30.1,30,30.1,44,325325,9763715
12/6/23,27.5,30.3,27.5,30,151,666158,19932199.8
12/5/23,27.2,28.4,27.2,27.3,13,16892,460468.1
12/4/23,27.3,27.5,27.3,27.5,2,272320,7488780
12/1/23,27.5,28,27,27.1,5,2650,72160
11/30/23,27,27,27,27,3,102500,2767500
11/29/23,27.1,27.5,26,27.4,28,193360,5252580
11/28/23,27.1,27.1,26.5,27,15,79854,2157555.5
11/27/23,26.1,27.5,26.1,27.5,29,952929,25875438.6
11/24/23,27,27.2,27,27,6,210915,5694714.2
11/23/23,27.3,27.3,26,26.9,7,1300,35032.5
11/22/23,26.7,27.9,26.3,27.2,17,26951,733680.4
11/21/23,27.6,27.6,27,27.1,9,4131949,111563250.8
11/20/23,27.7,27.7,27.7,28,1,14,387.8
11/17/23,28.4,28.4,28,28,17,587310,16444684
11/16/23,28,28,28,28,56,1536783,43029924
11/15/23,28.8,28.8,26.9,28,20,641438,17960111.1
11/14/23,28.1,28.1,26.5,26.8,10,1001,26837.1
11/13/23,28,28,28,28,7,83245,2330860
11/10/23,28,28,28,28,7,74909,2097452
11/9/23,28,28.3,28,28,4,8551,239893
11/8/23,28.5,28.9,28,28,7,5845,166714.5
11/7/23,27.5,27.5,27.5,27.5,3,5200,143000
11/6/23,27.5,28,27.5,27.8,14,27473,764507.5
11/3/23,28.1,28.1,28.1,28.1,1,100,2810
11/2/23,28.4,28.9,28.1,28.1,26,66650,1896739.6
11/1/23,27.4,28.5,27.4,28.5,21,19239,531225.3
10/31/23,28.5,28.9,26,26.3,39,39903,1066171.2
10/30/23,27.1,28.8,26.6,27,21,22622,611220.8
10/27/23,26.4,28.9,26,28.4,50,142333,3713890.6
10/26/23,29.6,29.7,26.4,26.4,29,8385,227859.3
10/25/23,29,29,27.5,27.8,10,843,23604.4
10/24/23,28.7,28.7,28.6,28.6,7,1255,35948
10/23/23,28.7,30,28.7,29.1,14,10143,295331.9
10/20/23,29.7,30,28.1,29.9,19,8348,249241
10/19/23,27.5,28.1,27.5,27.8,9,1559,43008.3
10/18/23,27.5,29.9,27.2,28.8,26,25583,706478.3
10/17/23,27.2,28.9,27.2,28.9,4,269,7519.2
10/16/23,27.6,29.7,27,27.1,16,17041,461199.5
10/13/23,28.5,28.5,28.1,28.5,10,7205,205062.5
10/12/23,28.2,30,28,28.1,12,15000,421314.8
10/11/23,29,30.8,28.1,29.3,24,14066,410805.2
10/10/23,30,30,28.6,29.1,9,804,23416.1
10/9/23,29.8,30,28.3,29.8,23,4491,133614.3
10/6/23,30,30.8,29.9,30.5,4,360,10876
10/5/23,30.9,30.9,30.8,30.5,2,2,61.7
10/4/23,29.8,30.5,29.8,30.5,18,17601,533180
10/3/23,30.2,31,29.8,30,18,21101,634055.6
10/2/23,31.1,32,30.2,31.2,18,27602,861418.7
9/27/23,31.5,32,31,31.1,13,4962,154916.6
9/26/23,32,32,31.5,31.5,4,300,9550
9/25/23,32.4,32.4,32.4,32.4,2,201,6512.4
9/22/23,31.4,32,31.4,31.9,19,5873,186050.4
9/21/23,31.3,32.5,31.3,31.4,10,7787,250626.9
9/20/23,31.9,32.9,31.9,32,26,16889,543535.5
9/19/23,32.1,32.1,31.2,31.8,26,17301,550558.3
9/18/23,32.5,33,32.1,32.4,16,9762,319212.4
9/15/23,32.3,33.2,32.3,32.5,13,570324,18592231.7
9/14/23,32.5,33.5,32.5,33.3,29,28000,922299.4
9/13/23,32.8,33.2,32.5,33,49,199307,6575984.2
9/12/23,32,32.5,32,32.3,27,255108,8276327.3
9/11/23,32.2,32.5,32,32,28,473056,15357224.2
9/8/23,32.5,32.8,32.4,32.4,32,146050,4739785
9/7/23,32.5,32.9,32.1,32.6,34,10195,333081.6
9/6/23,32,32.5,31.8,32.2,92,1051721,33649437.2
9/5/23,33.2,33.2,31.7,32.1,72,214092,6879798
9/4/23,34,34,32.6,32.8,104,135494,4544536.1
9/1/23,34.4,34.4,32,33.7,65,87351,2893456.6
8/31/23,33,34.5,33,34.1,291,1097574,37246455.1
8/29/23,31,33.1,31,32.9,198,641695,20714343.2
8/28/23,30.8,31.5,30.3,31,87,131537,4087816.4
8/25/23,30.2,30.7,30.1,30.6,16,16940,514497
8/24/23,30.2,30.2,30,30.1,19,77097,2319913.2
8/23/23,30.4,30.9,30.2,30.6,57,148216,4556006.7
8/22/23,30.1,30.1,30,30,39,770506,23115387.6
8/21/23,30,30.2,30,30,37,1213152,36404634
8/18/23,30,30.3,30,30,63,670902,20131001.8
8/17/23,30.5,30.5,30,30,57,926585,27837774.1
8/16/23,29,30.8,28.5,30.5,127,323912,9779645.3
8/15/23,30.9,31,30.1,30.1,28,35071,1068502.6
8/14/23,30.5,31.3,29.9,30.9,138,1117998,34475742.7
8/11/23,30.5,30.5,30,30.1,31,36217,1097766.4
8/10/23,29.3,30.5,29.3,29.9,23,24543,735955.1
8/9/23,30.2,30.5,30,30,24,61732,1854466.4
8/8/23,30.6,30.8,30,30.7,24,24936,755207
8/7/23,31.2,31.2,30.6,30.6,12,3170,98545.8
8/4/23,30.2,31.5,30.2,31,80,432821,13392625.4
8/3/23,29.5,31.2,29.5,30.9,112,529434,16199556.2
8/2/23,30,30.8,29.5,29.9,37,125506,3752871.4
7/31/23,30,30.9,29.5,30.3,48,159983,4822437.8
7/28/23,30.9,30.9,30,30.1,33,49785,1498257.5
7/27/23,31.4,31.4,30,30.5,30,76097,2334367.5
7/26/23,31.8,31.8,30.1,30.2,34,60209,1853051.9
7/25/23,31.2,31.5,29.5,31.1,77,159840,4953183.4
7/24/23,31.4,32.5,30.6,31.5,151,313795,10003039.8
7/21/23,30,31.5,29.8,31.4,56,181844,5654891.1
7/20/23,31.1,31.7,30,30.8,50,165374,5054493.7
7/19/23,30.5,31.5,29.1,31.1,158,640670,19696291.1
7/18/23,30.2,30.5,29.9,30,58,304545,9140370.1
7/17/23,30,30.9,29.5,30,67,112924,3381998.3
7/14/23,29,30,29,30,129,599376,17810909.2
7/13/23,28,29.2,28,28.9,56,350373,10065954.5
7/12/23,28.5,29.2,28,28.9,59,92010,2644809.7
7/11/23,28.8,28.9,27.7,28.5,29,15498,434160
7/10/23,28.3,28.9,28,28.7,62,138134,3930095.5
7/7/23,27.5,28.4,27.5,27.9,55,80228,2244547.4
7/6/23,28,28,27.5,27.6,36,66036,1820201.8
7/5/23,27,28,27,27.7,84,307244,8454055.7
7/4/23,26.2,27.4,26,27,77,493864,13027365.3
6/28/23,26.1,26.7,26.1,26.2,24,103387,2715517.3
6/27/23,26.4,26.4,26.1,26.1,21,130274,3405583.5
6/26/23,26.4,26.9,26,26.2,50,266742,6996924.2
6/23/23,26,26.8,26,26.6,23,45028,1198882.6
6/22/23,25.2,26.6,25.1,26,66,2860834,74337928.2
6/21/23,25.1,25.5,25,25.2,64,284611,7125677.2
6/20/23,25.1,25.5,25.1,25.1,27,60756,1526895.6
6/19/23,25,25.9,25,25.1,113,737822,18469363.8
6/16/23,24.5,25,24.3,25,32,68718,1717676.2
6/15/23,25.6,25.8,24.5,24.5,56,279981,6867354.5
6/14/23,25.8,25.8,24.6,25.6,18,20852,515170.8
6/13/23,25.8,26.4,24.6,25.9,45,210997,5277331.2
6/12/23,26.1,26.5,25.3,26.1,53,210940,5491942.4
6/9/23,26.5,27,25,25.3,45,883643,24584976.6
6/8/23,25,26.5,24.3,26,142,928793,24048950.3
6/7/23,24.6,25,24.3,25,10,11457,282972
6/6/23,25.3,25.4,24.6,24.7,24,25639,635465.2
6/5/23,25.3,25.3,24.8,25.1,21,17761,444976
6/2/23,24.5,25.5,24.4,25.1,40,66985,1677678.9
6/1/23,24.9,25,24.4,24.7,29,14953,369765.8
5/31/23,24.5,25,24.1,24.2,31,20479,500714.9
5/30/23,25,25,23.1,24.2,36,16904,404314.8
5/29/23,25,25,23.9,24,35,36384,873520.7
5/26/23,25,25,24,24.5,8,20706,507190
5/25/23,24.5,24.9,24.5,24.9,2,228,5657.2
5/24/23,25,25,24,24.8,30,39210,948126.7
5/23/23,25,25,24,24.1,46,57348,1395355.5
5/22/23,24.3,24.9,24.3,24.4,57,59271,1441356.8
5/19/23,24.6,25,23.9,24.6,26,33175,801663.2
5/18/23,25.9,26,25,25,23,18797,473361.5
5/17/23,24.5,25.9,24.5,25.5,68,121922,3096737.3
5/16/23,25,25.9,24.5,25.1,31,25355,635440.9
5/15/23,26.4,26.4,24.9,26,13,6127,154396.4
5/12/23,25.3,26.5,25.3,26.5,33,174957,4593280.1
5/11/23,24.7,25.9,24.7,25.5,13,3297,83661.1
5/10/23,25.7,25.7,24.6,24.9,15,2571,64120.7
5/9/23,25.4,25.4,24.9,25,44,66711,1668342.2
5/8/23,25.5,25.5,24.5,25.5,10,6001,150625
5/4/23,25.5,25.5,25.5,25.5,1,500,12750
5/3/23,25.2,25.9,23.7,24.2,27,73309,1838746.3
5/2/23,25,25.1,23.5,24.9,55,102528,2536342.6
4/28/23,26.5,26.5,24.8,25.8,29,43915,1099409.4
4/27/23,25,26.5,25,26.5,67,264553,6979503.8
4/26/23,26,26.6,25,26.6,49,58824,1506925.9
4/25/23,27,27,25.5,25.8,25,25592,664509.8
4/24/23,26.2,27,26,26,24,22232,581682.7
4/21/23,27,27.4,26.5,27,24,139235,3755185
4/20/23,27,27.5,26.6,27.1,15,14643,397868
4/19/23,26.5,27.5,26.5,26.7,61,468035,12687419.2
4/18/23,27,27.7,26.5,27,25,48683,1301248.2
4/17/23,26.7,27,26.5,27,27,47069,1257198.7
4/12/23,26,27.8,26,27.1,33,68010,1853308.5
4/11/23,26.9,27,26.7,26.9,25,48387,1301195.9
4/10/23,25.5,26.8,25.2,26.6,38,18154,474820.6
4/6/23,25.6,26.6,25.6,26,23,15450,400979.6
4/4/23,25.5,26,25.5,25.5,21,16301,416446.6
4/3/23,26.9,26.9,25.5,25.5,16,22030,565385
3/31/23,26.3,26.5,25.3,26.1,35,21714,565589.1
3/30/23,26.6,27,26.3,26.4,27,41728,1103195.6
3/29/23,27.5,27.5,26,26.5,34,35727,939208.2
3/28/23,26.7,27,26.5,26.6,13,8206,217767.4
3/27/23,27,27.5,26.5,26.7,18,8601,229968.2
3/24/23,27.5,27.5,26.9,27,28,258145,6970464.9
3/23/23,27.3,27.5,27,27.1,30,35082,949231
3/22/23,27.8,27.8,27,27.2,43,127001,3451933
3/21/23,28,28,27.1,27.4,36,22607,622355.4
3/20/23,28.1,28.9,27.2,27.5,76,181665,5032902.8
3/17/23,27.5,28,27,27.9,69,221733,6179473.4
3/16/23,28.1,28.6,27.8,28,71,105314,2963301.4
3/15/23,27.7,28.4,26.8,27.6,135,306956,8545697.8
3/14/23,27,27.5,26.4,26.9,88,471436,12728322.5
3/13/23,26.5,27.3,26.4,26.6,61,302121,8060543.1
3/10/23,26.7,27.1,26.5,26.7,52,71916,1934552.9
3/9/23,27.8,27.8,26.4,26.9,46,281396,7488016.4
3/8/23,27,27.8,26.2,26.5,120,630649,16768787.9
3/7/23,27,28.2,26.8,27,156,610354,16499431.1
3/3/23,27.4,28,27.1,27.1,67,128053,3483836.7
