Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,92.6,93.5,92.6,92.8,4,353,32735.5
7/4/24,92.5,92.5,92.5,92.8,3,3,277.5
7/3/24,92.5,93.5,92.4,92.8,15,1668,154733.8
7/2/24,94.5,95,94.5,94.9,8,7511,712795
7/1/24,94.5,94.5,94.5,94.5,2,16,1512
6/28/24,97.5,97.5,94.5,94.5,2,609,57580.5
6/25/24,94.5,94.5,94.5,95,1,1,94.5
6/24/24,94.9,95,94.7,95,22,1014,96278.7
6/20/24,94.7,94.7,94.7,95,1,14,1325.8
6/18/24,95,95,95,95,2,3,285
6/14/24,95,95,95,95,1,4,380
6/13/24,97.8,97.8,95,95,7,2639,250716.2
6/11/24,94.1,99.8,94.1,98.4,9,316,31017
6/11/24,94.1,99.8,94.1,98.4,9,316,31017
6/10/24,96,96,93.5,94.2,23,105,9894.5
6/7/24,97.8,97.8,96,95.1,9,68,6534.5
6/6/24,98,98,97.9,95.1,2,3,293.9
6/5/24,99.8,99.8,97,95.1,3,3,295.8
6/4/24,100,100,98,95.1,5,28,2797
6/3/24,96,102.25,96,95.1,5,21,2040.25
5/29/24,100.25,100.25,100.25,95.1,1,1,100.25
5/27/24,100,100,100,95.1,2,58,5800
5/20/24,95.1,95.1,95.1,95.1,5,127,12077.7
5/16/24,95.1,100,95,95.6,17,11818,1123032
5/15/24,100,100,95,103.13,5,17,1665
5/14/24,99.5,105,99.5,105,5,41,4189
5/13/24,99,108.25,99,105,6,356,36224.5
5/10/24,97.9,98.9,95.2,95.5,7,348,33548.1
5/9/24,98.9,98.9,98.9,98.9,1,100,9890
5/8/24,95,99,95,99,4,57,5639
5/7/24,99,99.5,99,99,4,661,65444
5/6/24,99.9,99.9,99,99,6,582,57619.7
5/3/24,99.8,99.8,94.5,97.4,3,91,8604.8
5/2/24,99.9,99.9,99.8,97.4,5,35,3493.6
4/30/24,97.8,99.9,94,97.4,6,437,42543.4
4/29/24,98,98,93.1,97.1,7,180,17472.4
4/26/24,98.4,98.4,92.6,96.6,3,20,1944.2
4/25/24,98.2,98.2,98.2,96.6,1,1,98.2
4/24/24,98.3,98.3,98.3,96.6,1,1,98.3
4/22/24,98.3,98.3,98.3,96.6,1,1,98.3
4/19/24,98.4,98.4,98.4,96.6,1,1,98.4
4/18/24,96.5,98.3,96.5,96.6,5,158,15261.1
4/17/24,98.4,98.4,98.4,95,1,1,98.4
4/16/24,98.4,98.4,98.4,95,1,1,98.4
4/15/24,98.5,98.5,98.5,95,1,30,2955
4/9/24,95,95,95,95,3,105,9975
4/5/24,93,98.8,92,94.2,7,183,17240.3
4/4/24,94.1,94.1,93.5,93.5,4,537,50216.5
4/3/24,92.4,98.9,92.4,96.5,2,11,1081.4
4/2/24,96.5,99.5,96.5,96.5,4,162,15639
4/1/24,99.7,99.7,99.7,101.75,1,1,99.7
3/28/24,100,100,100,101.75,1,1,100
3/27/24,102,102,101.75,101.75,2,11,1119.5
3/26/24,102,102,94.2,101.75,10,1386,141134.6
3/25/24,94.2,95,94,94.2,4,186,17512.2
3/22/24,93.5,94,93.5,93.6,2,49,4605.5
3/21/24,94,94,94,93.6,1,1,94
3/20/24,102.5,102.5,93.3,93.6,8,147,13779.1
3/19/24,103.5,103.5,95,95,5,269,25572
3/18/24,93.2,94,93.2,94,11,1973,185454
3/15/24,104.75,104.75,94,94,11,1200,113005.75
3/14/24,104.75,104.75,104.75,94,1,1,104.75
3/13/24,94,94,94,94,2,356,33464
3/12/24,94,94,94,94,14,1760,165440
3/11/24,94,94,94,94,1,3,282
3/7/24,94,94,94,94,2,6,564
3/6/24,94.1,94.1,92.2,94,12,558,52444.2
3/5/24,109,109,109,94.1,1,1,109
3/4/24,95.1,109.75,94,94.1,11,2187,205861.25
3/1/24,97,97,95,95,3,102,9694.7
2/29/24,97,97,97,97,4,10,970
2/28/24,97,97,97,97,4,62,6014
2/27/24,97,97,97,97,7,2000,194000
2/22/24,97,97,97,97,8,240,23280
2/19/24,105,105,105,100,2,61,6405
2/14/24,100,100,100,100,6,8420,842000
2/13/24,100,105,100,105,5,1306,133230
2/9/24,101.25,107.75,101,101,6,140,14154.25
2/8/24,106,106,106,106,1,2000,212000
2/7/24,100.5,100.5,100.5,100.5,1,2000,201000
1/31/24,100.25,100.25,100,109.5,2,31,3100.5
1/30/24,96.6,110,96.6,109.5,3,103,11287.55
1/26/24,100,100,100,100,1,1,100
1/23/24,100,100,100,100,1,2,200
1/18/24,100,100,100,100,2,31,3100
1/17/24,102,102,100,100,2,18,1802
1/12/24,103,109.75,102,100,3,6,620.75
1/10/24,102,102,102,100,1,1,102
1/9/24,100.25,109.75,100,100,4,523,52310
1/4/24,104,104,104,104,2,2,208
12/11/23,102,102,102,104,2,56,5712
12/8/23,100,100,100,104,2,3,300
12/7/23,104,104,104,104,1,100,10400
12/6/23,100.25,100.25,100.25,104,2,9,902.25
12/4/23,104.5,104.5,104.5,104,1,5,522.5
11/29/23,98.5,104,98.5,104,6,899,92866
11/27/23,105,105,105,105,4,358,37590
11/20/23,114.75,114.75,114.25,114.25,7,257,29390.75
11/15/23,107.75,107.75,105,105,2,600,63002.75
11/9/23,108,108,108,108,3,1270,137160
11/8/23,108,108,108,108,2,82,8856
11/7/23,108,108,108,108,2,3373,364284
11/6/23,105.5,108,105.5,108,10,2167,233990
11/3/23,105.5,105.5,105.25,105.25,2,117,12328.5
11/2/23,105.5,105.5,105.5,101.5,1,35,3692.5
10/27/23,101.25,114.75,101.25,101.5,10,1102,111969.75
10/23/23,111.75,111.75,111.75,120.75,1,9,1005.75
10/16/23,116,116,116,120.75,1,2,232
10/13/23,121,121,120,120.75,4,120,14495
10/6/23,102,106,102,102,2,79,8062
10/4/23,105,105,97,102,4,140,14292
10/3/23,105,105,105,110,3,30,3150
9/19/23,110,110,110,110,1,1,110
9/13/23,114,114,114,110,1,50,5700
9/11/23,107,107,107,110,2,32,3424
9/7/23,114.75,115,114.75,110,2,50,5749.75
9/5/23,111,111,110,110,6,1023,112552
9/4/23,111,111,111,111,2,353,39183
9/1/23,116,116,107,107,3,22,2507
8/23/23,107,107,107,107,1,200,21400
8/21/23,105,105,105,103,1,49,5145
8/18/23,103.25,103.5,103,103,12,351,36177.25
8/16/23,106,106,105,105,6,3540,371710.75
8/14/23,106,106,106,105,1,1,106
8/11/23,106,106,105,105,3,360,37828
8/3/23,115,115,115,119,1,1,115
8/2/23,115,121,112,119,12,728,86716.75
7/31/23,109.25,109.25,109.25,112,1,1,109.25
7/28/23,112,118.75,112,112,3,505,56587
7/27/23,111,111,111,113,2,12,1332
7/26/23,106,113,106,113,5,95,10282
7/24/23,112,112,112,113,3,3,336
7/21/23,112,112,112,113,1,1,112
7/18/23,103,113,103,113,3,7,741
7/14/23,110,110,110,113,1,30,3300
7/13/23,110,110,110,113,5,70,7700
7/12/23,109.5,109.5,109.5,113,3,7,766.5
7/6/23,101.25,101.25,101.25,113,1,2,202.5
6/28/23,113.25,113.25,113.25,113,1,5,566.25
6/26/23,110,119,108,113,7,148,16735
6/20/23,100,100,100,100,1,125,12500
6/19/23,101,102,101,101.75,3,25,2548
6/16/23,100,105,100,101.75,4,155,15768
6/15/23,105,105,100,100,2,101,10105
6/14/23,104,104,104,104,1,10,1040
6/13/23,102,102,102,104,1,1,102
6/9/23,100,100,100,104,1,15,1500
6/6/23,105,105,100,104,2,101,10505
6/5/23,97.7,97.7,97.7,97.7,1,100,9770
6/2/23,105,105,105,99.5,1,20,2100
5/29/23,99.5,99.5,99.5,99.5,1,325,32337.5
5/25/23,97.1,97.1,97.1,104.75,1,38,3689.8
5/19/23,105,105,104.75,104.75,6,600,62889.25
5/16/23,104.75,104.75,104.75,104.75,1,52,5447
5/12/23,105,105,104.75,104.75,3,128,13409.5
5/11/23,104.75,104.75,104.75,102,2,13,1361.75
5/9/23,102,102,102,102,1,16,1632
5/8/23,105,105,102,102,4,2502,255234
5/3/23,102.25,102.25,102.25,105,1,10,1022.5
4/28/23,105,105,105,105,1,17000,1785000
4/27/23,102.75,103,102.75,102,2,13,1338.5
4/26/23,102,102,102,102,6,1597,162894
4/25/23,102,102,102,102,1,200,20400
4/24/23,102,102,102,102,3,112,11424
4/21/23,100,104,100,103.25,10,1375,141487.5
4/20/23,100,100,100,100,4,400,40000
4/18/23,100,100,100,100,4,398,39800
4/11/23,97,97,97,96,2,19,1843
4/10/23,96.9,96.9,96.9,96,1,17,1647.3
4/6/23,99,103,99,96,3,25,2491
4/4/23,99,99,99,96,4,50,4950
4/3/23,96,96,96,96,2,3278,314688
3/30/23,97,97,95,95.4,7,169,16123
3/29/23,99.9,99.9,99.9,100,2,5,499.5
3/27/23,102,102,102,100,2,11,1122
3/24/23,85.1,101.75,85,100,5,27,2473.8
3/23/23,100,100,100,100,3,191,19100
3/22/23,102,102,102,102,1,358,36516
3/15/23,96.1,96.1,93.1,101.75,2,2,189.2
3/14/23,104.75,104.75,104.75,101.75,1,1,104.75
3/13/23,100,104.5,100,101.75,7,117,11905
3/9/23,99.9,107,99.9,100,8,22831,2283236.9
3/8/23,100,100,100,100,1,100,10000
3/7/23,100,100,100,100,2,500,50000
3/3/23,95.3,103,95.3,100,13,4581,458101.3
3/2/23,97,99,97,99,14,3450,340622.8
3/1/23,100,100,97,100,6,18,1755.8
2/28/23,100,100,100,100,2,274,27400
2/24/23,93.7,93.7,93.7,93.7,2,4194,392977.8
2/23/23,109,109,109,93,1,3,327
2/22/23,109.25,109.25,109.25,93,2,2,218.5
2/21/23,93.1,110,93.1,93,6,57,6092.2
2/20/23,105,105,93,93,3,1002,93210
2/17/23,93.1,105,93,93.1,6,246,22890.6
2/16/23,93.1,93.2,93,92.73,7,88,8188.6
