Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,18.8,19,18.7,18.8,19,32254,606389.8
7/4/24,18.8,19.2,18.8,18.8,13,2360,44432.4
7/3/24,19.4,19.8,18.9,18.9,23,38282,724945.9
7/2/24,19,19.8,19,19.8,6,9941,189720.6
7/1/24,19.1,19.1,18.9,18.9,21,6890,131007.3
6/28/24,19.1,19.2,19.1,19.1,5,1996,38173.2
6/27/24,19.1,19.2,19.1,19.1,8,2526,48247.6
6/26/24,19.2,19.2,19.1,19.1,8,1785,34218.5
6/25/24,19.1,19.3,19,19.1,16,6100,116410.4
6/24/24,19.1,19.5,19,19.2,11,2884,55069.3
6/20/24,19.1,19.7,19,19.5,15,11386,217648.3
6/19/24,19.1,19.6,19,19.6,15,5570,106673.6
6/18/24,19.1,19.8,19,19.7,19,14610,279250
6/14/24,19.9,19.9,19,19.1,23,40085,765963.7
6/13/24,19.9,19.9,19.5,19.5,41,46656,912493.7
6/12/24,19.9,19.9,19.8,19.9,10,4365,86726.3
6/11/24,20,20,19.8,19.9,6,1300,25940
6/11/24,20,20,19.8,19.9,6,1300,25940
6/10/24,19.7,20,19.7,19.7,23,44014,867603.9
6/7/24,20,20,19.7,19.7,3,402,7920.6
6/6/24,19.9,20,19.9,20,5,1571,31417.9
6/5/24,20.2,20.2,20.2,19.5,1,5,101
6/4/24,20.4,20.4,19.2,19.5,12,8935,174184.5
6/3/24,20.4,20.4,19.5,19.7,3,7,140.6
5/31/24,20.5,20.5,19.7,19.7,8,9810,193670
5/30/24,20.5,20.5,19.5,19.6,41,54097,1072605
5/29/24,20.1,20.4,20.1,20.1,5,17591,353579.4
5/28/24,20.1,20.2,20,20.1,22,45453,912455.1
5/27/24,21,21,20.1,20.2,15,30930,628315
5/22/24,20.5,21.7,20.2,20.6,71,129915,2740361.2
5/21/24,20,20.5,20,20,14,17717,354365
5/20/24,20.2,20.5,19.5,19.8,21,22025,436625.4
5/17/24,20.5,20.8,19.8,20.5,19,40937,837014.5
5/16/24,20.6,20.6,19.7,20.1,22,17720,355143.7
5/15/24,20.8,20.8,20,20,18,21062,423053.1
5/14/24,20.2,20.4,20,20,51,68321,1372867.4
5/13/24,20.5,21,20.1,20.2,18,22035,450444.4
5/10/24,20.8,21,20.5,20.5,17,15921,330197.6
5/9/24,20.3,20.8,20,20.5,41,92367,1854696.7
5/8/24,20.7,20.9,20.2,20.3,25,19365,395227.3
5/7/24,20.7,20.7,20.3,20.5,41,22247,455255.7
5/6/24,20.1,21,20.1,20.5,24,13694,280878.2
5/3/24,20.9,21,20.1,20.2,46,31758,642085.9
5/2/24,21.3,21.3,20.5,20.6,30,24909,517241.7
4/30/24,20.7,21.2,20.6,20.9,26,17164,359848.7
4/29/24,21.5,21.5,20.5,20.7,67,74348,1529492.4
4/26/24,20.3,21.4,20.3,21.2,29,13823,289143.4
4/25/24,21.4,21.4,20.4,20.5,37,56154,1152740.6
4/24/24,21.2,21.5,20.2,21.1,75,104124,2187042.6
4/22/24,20.4,21.3,20.3,20.7,28,62070,1274287.3
4/19/24,20.2,21.7,20.2,20.9,87,74396,1525458.9
4/18/24,21.5,22.3,19.9,20.7,214,393539,8573654.2
4/17/24,19.6,21.6,19.3,21.3,161,219692,4631859
4/16/24,20.5,20.5,19.5,19.7,29,24481,484918.2
4/15/24,20.7,20.7,19.9,20.2,18,20114,406993.6
4/10/24,20.5,20.7,20,20.2,33,73252,1485418.9
4/9/24,20.3,20.9,20,20.5,23,35056,717209
4/8/24,19.5,20.8,19.5,20.3,102,107338,2176825.3
4/5/24,19.5,19.9,19,19.7,59,135856,2616976.2
4/4/24,19.5,19.7,19,19.1,38,76417,1457857.1
4/3/24,19.2,19.3,19,19.1,10,6843,130962.2
4/2/24,19.1,19.4,18.9,19.3,27,81975,1558667.6
4/1/24,18.7,19.4,18.7,19.3,13,11740,220672.4
3/28/24,19.6,19.6,18.6,19,34,16262,307195.4
3/27/24,19.4,19.7,19,19.1,37,82706,1587180
3/26/24,19.7,19.7,19.1,19.2,8,3046,58369.6
3/25/24,19.2,19.2,19,19,24,26029,496072.8
3/22/24,19.4,19.8,19.2,19.3,25,43209,834535.4
3/21/24,19.3,19.5,19.3,19.4,5,1601,31099.3
3/20/24,19.5,19.5,19.3,19.4,6,30210,586065.5
3/19/24,19.8,19.9,19.4,19.5,10,2467,48603.1
3/18/24,19.3,19.8,19.1,19.5,28,60977,1180843.4
3/15/24,19.4,19.9,19,19.3,39,39746,764650.7
3/14/24,20,20,19,19.1,46,50074,972300.7
3/13/24,20.1,20.1,19.8,19.8,14,5419,107622.8
3/12/24,20.3,20.3,19.8,20,38,41429,828361.3
3/11/24,20,20.2,19.8,19.9,31,15784,314827.6
3/7/24,19.2,20.1,19.2,20,27,122721,2394987.5
3/6/24,19,19.4,18.7,19,23,17224,325319.7
3/5/24,19.2,19.5,19,19,23,35630,679537.5
3/4/24,18.2,19.2,18.2,19,53,79370,1505188.5
3/1/24,18.5,18.9,18.1,18.1,31,8910,162234.4
2/29/24,19,19,18.2,18.9,12,5225,95590
2/28/24,19,19,18.1,18.2,49,31092,569006
2/27/24,18.5,19,18.4,18.5,10,11009,203570.2
2/26/24,19.2,19.4,18.2,18.5,41,35610,658777.9
2/22/24,19,19.9,18.9,19.1,24,30836,588298.4
2/21/24,19.9,19.9,19.9,19.1,1,10,199
2/20/24,19.8,19.8,19.1,19.1,14,21200,406339.6
2/19/24,19.5,20,19.1,19.2,30,52654,1011815.7
2/16/24,19.5,20,19.5,19.5,7,5601,109220
2/15/24,19.7,20,19.5,19.6,26,21201,418616.1
2/14/24,19.7,20,19.3,19.7,9,3651,71566
2/13/24,20,20.2,19.9,20,24,46257,926092.9
2/12/24,19.3,20,19.3,19.5,6,3662,71769.2
2/9/24,19.1,20,19.1,19.7,14,20040,393563
2/8/24,19.2,19.5,19.2,19.4,7,3651,70239.2
2/7/24,19.5,19.6,19.2,19.5,13,11517,224453.2
2/6/24,19.2,20,19.2,19.7,12,6961,135082.1
2/2/24,19.2,19.5,19.2,19.3,5,3626,69926.7
2/1/24,19.2,19.2,19.1,19.1,2,611,11672.6
1/31/24,19,19,19,19,5,1970,37430
1/30/24,19.1,19.4,19,19,7,1180,22467.9
1/29/24,19.5,19.8,18.9,19,25,8747,167010.3
1/26/24,19.8,19.8,19,19.5,12,3265,62167.8
1/24/24,18.5,20,18.5,19.8,18,10538,208378.7
1/23/24,18.5,18.5,18.4,18.5,13,7251,134073.5
1/22/24,19.6,19.6,18,18.4,33,121751,2237843.8
1/19/24,20,20,19.5,19.8,5,2070,40775
1/18/24,19.1,20,19.1,19.9,22,14498,286432.5
1/17/24,19.7,19.8,19,19.1,16,18534,359838.2
1/16/24,19.3,19.8,19,19.5,36,78580,1502008.6
1/12/24,19.3,19.9,19,19.7,45,83512,1596813.2
1/11/24,21.6,21.6,19,19.4,67,85816,1668744
1/10/24,21.5,21.8,19.9,20.7,42,32430,668302.1
1/9/24,21.8,21.8,20.5,21.4,48,26055,552222.6
1/8/24,20.5,21.9,19.8,20.7,45,34570,725911.2
1/5/24,20,20.5,19.9,20,13,6146,123375.9
1/4/24,19.5,20.5,19.2,20,26,48466,968133
1/3/24,19,19.9,18.9,19.5,13,55000,1072600.1
1/2/24,19,19.7,19,19,24,58980,1121727.9
12/29/23,19,19,19,19,8,5000,95000
12/28/23,19,19.2,18.9,19.2,16,15690,297580.6
12/27/23,19.1,19.1,19,19,5,4119,78361
12/22/23,18.9,19.5,18.8,18.8,18,16485,310028.7
12/21/23,18.9,19.7,18.8,18.8,18,13251,249639.9
12/20/23,19.1,19.8,19,19.1,4,1071,20464.7
12/19/23,19,19,18.8,19,6,534,10145.8
12/18/23,19.1,19.7,19.1,19.1,8,2610,49855.8
12/15/23,19.7,19.7,19.1,19.1,4,516,9859.2
12/14/23,19.6,19.7,19.5,19.5,12,3099,60523.5
12/13/23,19.6,19.7,19.6,19.6,7,1150,22555.5
12/12/23,19.5,19.9,19.5,19.6,9,1620,31840.4
12/11/23,19.5,19.8,19.5,19.8,13,21900,430209.9
12/8/23,18.9,19.4,18.9,19.4,3,1002,19438.3
12/7/23,19.5,19.8,18.5,19.8,39,40270,764447.3
12/6/23,19.3,19.9,19.3,19.9,4,67,1309.5
12/5/23,20,20.1,19.9,19.9,7,10402,207699.8
12/4/23,20.9,20.9,19.9,20.1,37,10225,204659.9
12/1/23,20.8,21.3,20.5,20.7,23,13141,274636.5
11/30/23,19,20.7,19,20,9,2016,40328.5
11/29/23,19.2,19.9,19.2,19.3,8,12371,238497.4
11/28/23,19.8,19.8,18.6,18.7,9,2456,46028
11/27/23,18.9,18.9,18.8,18.8,11,2535,47861.5
11/24/23,19,19,18.9,18.9,6,600,11359.5
11/23/23,19.5,19.5,19.5,19.2,1,1,19.5
11/22/23,19,19.6,19,19.2,27,3114,59967
11/21/23,18.8,19.6,18.8,19.6,19,10586,201811.6
11/20/23,19.1,20,19,19,12,51422,982449.8
11/17/23,19.2,19.2,19,19.1,12,12000,228930.5
11/16/23,20.1,20.1,19.2,19.6,23,15702,309784.8
11/15/23,20,20,20,20,5,10040,200800
11/14/23,20,20,19.9,20,14,17650,352880
11/13/23,20,20,20,20,3,5005,100100
11/10/23,20.2,20.6,19.7,20,19,11000,220210
11/9/23,20.3,20.5,20.3,20.5,10,18478,377603.4
11/8/23,20.9,20.9,20,20.2,7,336,6749.1
11/7/23,19,20.9,19,20.6,20,7227,148397.5
11/6/23,20,21.7,20,20.4,3,2005,40308.5
11/3/23,20.4,20.4,20,20,8,3440,69433.5
11/2/23,19.8,20.3,19.5,20,29,33350,668170
11/1/23,20,20.5,20,20,2,5002,100041
10/31/23,20.8,20.8,19.4,19.6,14,1769,34769.1
10/30/23,21.4,21.4,20.1,20.1,3,306,6337.1
10/27/23,20,20.5,20,20.5,16,39817,804430.3
