Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,53.7,53.7,53.2,53.5,43,25935,1386061.2
7/4/24,55,55,53.8,53.8,42,12845,694766.5
7/3/24,56,56,55,55,40,35636,1963914.1
7/2/24,56,56,55,55.9,38,41232,2269903.1
7/1/24,57.1,57.1,54.5,55.4,68,51059,2812239.2
6/28/24,57.8,57.9,57.3,57.9,43,128761,7430308.7
6/27/24,58.5,58.5,57.2,57.8,30,51337,2955111.9
6/26/24,57.9,58.1,57.9,58,69,203952,11829444
6/25/24,58.4,58.7,58,58,75,373030,21674297.2
6/24/24,59.2,59.2,58.3,58.5,40,69678,4075085.9
6/20/24,58.4,59.3,58.3,59,36,30647,1795033.9
6/19/24,58.5,58.5,58,58.2,34,38887,2257490.5
6/18/24,59.5,59.5,58,58.1,57,35825,2089323.9
6/14/24,58.7,59,58.4,58.6,66,367532,21531083.6
6/13/24,60,60,58.6,59.5,68,86118,5104255.8
6/12/24,59,60,59,59.8,106,1082777,64183585.6
6/11/24,58,59.9,58,59.5,74,213380,12501711.9
6/11/24,58,59.9,58,59.5,74,213380,12501711.9
6/10/24,57,58,57,57.6,88,339050,19524917
6/7/24,57.5,57.6,57,57,58,230443,13188266
6/6/24,57.8,58,57,57.5,97,311590,17930584.2
6/5/24,57.1,57.5,57,57.2,114,312030,17822773
6/4/24,57.5,57.8,57,57.1,154,291667,16752909.3
6/3/24,58,58.1,57.3,57.4,62,402917,23317539.9
5/31/24,58,58.9,57.9,58,72,432903,25109053.4
5/30/24,58.5,60,57.9,58,106,553220,32688488.4
5/29/24,60,60,58.3,58.5,145,151896,8957754.5
5/28/24,60,60,59.7,59.9,57,40124,2403854.4
5/27/24,60.9,60.9,59.8,59.9,20,21227,1273534.6
5/22/24,59.5,61.1,59.5,60.2,124,298464,17984209.1
5/21/24,59.5,59.9,58,58.7,95,144578,8515852.1
5/20/24,60.2,60.2,58.9,59,48,44540,2645802.4
5/17/24,59.5,60.1,59,59.9,54,69313,4129885.2
5/16/24,59.9,60.1,59.6,59.7,72,67306,4030818.1
5/15/24,59.2,60.9,59.2,59.8,136,326773,19648537.2
