Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/27/24,109.75,109.75,109.75,110,1,1,109.75
6/18/24,98,110,98,110,6,550,57500
6/14/24,105,105,105,110,1,40,4200
6/10/24,110.25,110.25,110,110,3,25,2751.25
5/31/24,110,110,110,110,1,1,110
5/30/24,105,105,105,110,1,1,105
5/27/24,111,111,110,110,3,45,4990
5/22/24,111,111,110,110,2,225,24751
5/13/24,98.2,98.2,98,98,3,186,18232
5/10/24,107.25,107.25,107.25,107.25,1,100,10725
5/2/24,100.75,107,100.75,108.75,3,56,5960.75
4/29/24,107,107,107,108.75,1,1,107
4/26/24,107,107,107,108.75,1,24,2568
4/25/24,107,107,107,108.75,1,4,428
4/22/24,107,107,107,108.75,2,2,214
4/18/24,101,101,101,108.75,1,1,101
4/17/24,108.5,108.5,108.5,108.75,1,50,5425
4/16/24,105,109,105,108.75,17,1405,152875
4/15/24,105,105,104.5,105.5,2,66,6929.5
4/9/24,105.5,105.5,105.5,105.5,3,130,13715
4/8/24,106.5,106.5,105.5,99,2,56,5914
4/3/24,106.5,106.5,106.5,99,1,4,426
4/1/24,107,107,107,99,1,1,107
3/28/24,99,99,99,99,1,10,990
3/27/24,99,99,99,99,2,207510,20543490
3/22/24,100.25,100.25,100,95.1,3,40,4005.25
3/18/24,108,108,108,95.1,1,1,108
3/15/24,108,108,108,95.1,1,1,108
3/14/24,108,108,107,95.1,2,2,215
3/11/24,106,106,106,95.1,2,25,2650
3/5/24,99.9,100,99.9,95.1,4,38,3797.2
3/1/24,95,95.2,95,95.1,6,150,14260
2/13/24,95.3,95.3,95.3,95.3,3,102,9720.6
2/9/24,107.25,107.25,107.25,96.1,1,1,107.25
2/8/24,107.75,107.75,107.75,96.1,1,50,5387.5
2/7/24,94,96.1,94,96.1,3,690,66304.8
2/6/24,91.1,91.1,91.1,108.5,1,1,91.1
2/2/24,90,90,90,108.5,3,53,4770
1/30/24,108,108.5,108,108.5,2,100,10844
1/24/24,93,93,93,100,1,10,930
1/22/24,100,100,100,100,2,438,43800
1/18/24,100,100,100,95.4,1,1,100
1/17/24,98.1,98.1,75.5,95.4,7,197,18793
1/12/24,100,100,100,100,2,120,12000
12/29/23,100,100,100,100,1,120,12000
12/22/23,100,100,100,100,1,1,100
12/19/23,100,100,100,100,1,27,2700
12/14/23,100,100,100,100,3,18,1800
12/8/23,98.1,100,98.1,100,2,2,198.1
12/4/23,98.2,98.2,98.1,100,3,24,2354.8
12/1/23,98.1,105,98.1,100,2,4,406.2
11/29/23,100,100,100,100,1,100,10000
11/24/23,112.5,115,112.5,100,2,15,1700
11/16/23,98.2,98.2,98,100,4,75,7356.1
11/15/23,100,100,100,100,2,10,1000
11/14/23,98,98,98,100,1,1,98
11/13/23,100,100,100,100,7,862,86200
11/6/23,98,98,98,98,1,3000,294000
11/3/23,102,102,102,100.5,1,4,408
11/2/23,100.5,100.5,100.5,100.5,3,222,22311
10/31/23,102,102,100,100,10,1127,112754.25
10/30/23,102,102,102,105,1,1,102
10/26/23,103.5,105,103.5,105,3,51,5287.5
10/24/23,109,109,109,105,1,1,109
10/19/23,103,103,103,105,1,5,515
10/5/23,105,105,105,105,2,379,39795
10/4/23,105,105,103,103.75,9,32,3310.5
10/3/23,103.5,105,103.5,103.75,20,721,74660.75
10/2/23,101.5,110,101.5,115,3,11,1201.5
9/22/23,115,115,115,115,1,20,2300
9/15/23,115,115,115,115,1,1,115
9/12/23,114.25,114.25,114.25,115,2,99,11310.75
9/11/23,114.25,114.25,114.25,115,3,29,3313.25
9/5/23,122,122,114.25,115,4,11,1334.25
9/4/23,115,115,115,115,1,20,2300
8/29/23,124.5,124.5,124.5,115,1,2,249
8/28/23,115,115,115,115,3,500,57500
8/23/23,116,120,116,120,6,195,23351.25
8/22/23,116,116,116,116,1,1,116
8/21/23,119.75,119.75,111.5,116,2,82,9811.25
8/16/23,116.5,116.5,116,116,3,315,36545
8/15/23,124.5,124.5,116.25,116.25,2,110,12870
8/10/23,124.75,125,124.75,125,2,100,12495.5
8/9/23,120,120,116.25,116.25,9,1959,227743.25
8/8/23,129.75,129.75,119.25,120,2,7,897.75
8/7/23,119.25,129.75,119.25,120,3,51,6092.25
8/4/23,119,121,119,120,8,2324,278320.25
8/3/23,130,138.5,116,125,13,610,72970.5
8/2/23,139.75,139.75,113,126,9,847,107449.75
7/31/23,137,140.5,112,126.25,22,1015,128070.25
7/28/23,135,135,110.25,123,8,231,28508.25
7/27/23,115,138,115,126.25,5,1198,150192.5
7/25/23,117.5,127.5,117.5,117.5,3,201,23627.5
7/21/23,115,115,115,117.25,2,43,4945
7/20/23,107.25,114.75,107.25,117.25,3,98,10795.5
7/19/23,117.75,117.75,116,117.25,5,325,38091.75
7/17/23,117,117,117,113.75,1,20,2340
7/14/23,113.75,118,113.75,113.75,5,142,16156.75
7/12/23,106.75,122,106.75,109.25,8,263,28744.75
7/11/23,108,108,102.5,106.75,4,208,22198
7/6/23,105,105,105,100,2,95,9975
7/5/23,100,108.75,100,100,15,428,42808.75
6/23/23,100,102.75,100,98.81,3,53,5302.75
6/22/23,100,100,100,100,5,48,4800
6/20/23,100,100,100,100,1,100,10000
6/19/23,97,97,97,105,1,5,485
6/13/23,105,105,105,105,1,1,105
6/6/23,100,100,100,105,3,36,3600
6/2/23,105,105,105,105,1,9,945
5/29/23,108.75,108.75,108.75,105,1,1,108.75
5/26/23,108.75,108.75,108.75,105,1,1,108.75
5/10/23,105,105,103.5,105,5,160,16785
5/9/23,103,103,103,99.9,1,1,103
5/2/23,101,105.75,96.5,99.9,11,1055,105531.25
4/28/23,106.75,106.75,106.75,102,1,10,1067.5
4/25/23,102,102,102,102,1,400,40800
4/21/23,103,103,103,103,2,20,2060
4/19/23,103,103,103,103,3,520,53560
4/18/23,104,104,104,104,1,200,20800
4/17/23,103,103,103,103,5,514,52942
4/12/23,117.5,117.5,117.5,117.5,2,300,35250
4/10/23,117.5,117.5,102,117.5,3,92,10159
4/6/23,117.5,117.5,117.5,117.5,1,50,5875
4/4/23,117.5,117.5,117.5,117.5,1,100,11750
4/3/23,117.5,117.5,117.5,117.5,1,100,11750
3/30/23,119,119,118,118.5,3,800,94700
3/24/23,120,120,120,120,1,1,120
3/21/23,119.75,119.75,119.75,120,2,44,5269
3/16/23,120,120,120,120,3,401,48120
3/13/23,110,110,96,96.3,14,10222,984590.5
3/9/23,107,119.75,106,107,15,1434,152594.25
3/8/23,107,107,107,112.5,1,2,214
3/7/23,112,112,112,112.5,3,50,5600
3/2/23,112.5,112.5,112.5,112.5,1,150,16875
2/27/23,112.75,112.75,112.75,112.75,1,300,33825
2/16/23,120,120,120,134.75,1,9,1080
2/2/23,133.5,133.5,133.5,134.75,1,8,1068
1/25/23,134.75,134.75,134.75,134.75,2,306,41233.5
12/16/22,134.75,134.75,134.75,130.75,1,1,134.75
12/6/22,130.75,131,130.75,130.75,2,275,35981.25
12/5/22,132.5,134,132.5,133.75,13,1149,153719.75
11/29/22,108.75,116.75,108.75,116.75,16,2098,241928.75
11/24/22,94.1,94.1,94.1,93.5,1,1,94.1
11/23/22,113,113,112,93.5,3,12,1346
11/21/22,93.5,93.5,93.5,93.5,2,155,14492.5
11/18/22,92.6,92.6,92.5,92.5,2,100,9250.1
11/16/22,102.75,102.75,102.75,96.1,1,75,7706.25
11/15/22,97,102.75,97,96.1,8,97,9437.75
11/14/22,96.7,96.7,96.1,96.1,6,170,16342.6
11/11/22,112,112,111.75,96.3,2,2,223.75
11/10/22,96.1,115,96.1,96.3,4,203,19545.6
11/9/22,115,116.75,113,115,7,229,26344.75
11/8/22,110,110,110,99.9,1,21,2310
11/4/22,97,116.75,97,99.9,2,11,1086.75
11/3/22,95.6,118.75,95.6,99.9,8,258,25762.45
11/2/22,119.5,119.5,95.5,101.5,3,66,7858
10/31/22,101.5,101.5,101.5,101.5,1,75,7612.5
10/26/22,101.5,101.5,101.5,101.5,7,258,26187
10/21/22,100.25,100.25,100.25,115,1,1,100.25
10/14/22,118.75,118.75,115,115,3,1004,115471.5
10/13/22,119,119,119,119,9,4098,487662
10/6/22,101.25,101.25,101.25,95.9,1,2,202.5
9/27/22,95.2,120,95.2,95.9,2,103,9880
9/26/22,118,120,118,119.5,7,2910,349081.5
9/22/22,115,115,115,115,2,496,57040
9/21/22,90.1,115,90.1,115,3,61,6970.1
9/19/22,110,115.25,110,115,5,63,7231.25
9/16/22,115,115,110.25,115,4,1010,116102.5
9/14/22,112,115,112,112,2,17,1952
9/13/22,112,112,112,112,3,115,12880
9/12/22,113,116,112,112,4,72,8092
9/9/22,112,112,112,112,1,4,448
9/8/22,116,116,110,112,10,455,51392.25
9/7/22,115,115,115,115,2,110,12650
9/6/22,112.5,112.5,90.6,110,6,244,26862.4
9/5/22,112.5,119,112.5,116.5,8,501,58428.75
9/2/22,100,100,90.5,98.1,4,602,59250
9/1/22,100,100,100,97.14,2,2,200
8/26/22,99.9,99.9,99.9,97.14,4,69,6893.1
8/25/22,98,100,98,98.6,6,148,14587.7
