Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,37.7,37.7,37.3,37.5,145,361215,13533488.9
7/4/24,37.7,37.9,37,37.3,237,491292,18355019.9
7/3/24,38,38,37.4,37.4,144,135070,5085572.5
7/2/24,37.6,38,37.5,37.8,236,494095,18717018.9
7/1/24,37.7,37.7,37,37.4,160,120518,4489904.8
6/28/24,37.7,37.7,37.3,37.6,232,666882,25005898.9
6/27/24,38.9,38.9,37.3,37.7,779,2426602,91585976.4
6/26/24,36.2,36.2,35.7,35.8,78,139394,5014128.2
6/25/24,36.2,36.2,35.8,36.1,69,48327,1737070.3
6/24/24,36.7,36.7,36,36,98,292610,10633602.7
6/20/24,36.5,36.5,36.1,36.2,65,101262,3688199.4
6/19/24,36.9,36.9,35.9,36.5,67,107235,3904788.1
6/18/24,36.7,37,35.9,36.1,184,292109,10569312.8
6/14/24,36.9,36.9,36.5,36.8,116,147642,5418960.5
6/13/24,37.5,37.9,36.8,36.9,205,414606,15430570.8
6/12/24,36.5,37.5,36.4,37.4,434,1465573,54271415.3
6/11/24,36.5,37,36.1,36.5,799,2577910,94255607.4
6/11/24,36.5,37,36.1,36.5,799,2577910,94255607.4
6/10/24,35.8,36.5,35.8,35.9,75,94295,3385281.2
6/7/24,36.2,36.2,35.8,35.8,88,121610,4366995
6/6/24,36.2,36.2,35.7,35.8,113,147042,5286312.1
6/5/24,35.9,36.1,35.4,36,48,46152,1657182.5
6/4/24,35.9,36,35.4,35.8,75,143324,5149925.7
6/3/24,36.4,36.4,35.5,35.7,88,148067,5305830.4
5/31/24,36.9,36.9,35.6,36.1,323,483141,17569264.1
5/30/24,34.5,35,34.5,34.9,40,36878,1277548
5/29/24,35.7,35.7,34.6,34.8,34,23651,823306.1
5/28/24,35.1,35.5,35,35.3,49,51827,1827034.4
5/27/24,35.4,35.5,35,35.2,47,57518,2026800.5
5/22/24,35.1,35.9,35,35.6,55,46507,1649059
5/21/24,35.5,35.5,34.2,34.8,25,8571,296605.2
5/20/24,35.7,36.5,34.1,35.5,118,287052,9969764.1
5/17/24,34.5,35.4,34.5,35.2,80,75091,2633559.3
5/16/24,35.5,36,34.3,34.4,188,226780,7853564.1
5/15/24,36.4,36.5,35.3,35.5,117,214116,7700718.2
5/14/24,37.9,38,36.4,36.6,95,138702,5089833.5
5/13/24,37.5,38,37.3,37.4,232,519952,19632306.7
5/10/24,36.6,37.7,36.5,37.5,229,855089,31885664
5/9/24,36,36.6,35.5,36.3,123,609622,21923294.2
5/8/24,35.8,36.5,35.8,36,74,336854,12124855.6
5/7/24,36.4,36.4,35.5,35.5,62,214743,7706518.2
5/6/24,36,36.5,35.8,36,96,417677,15059703.1
5/3/24,34.1,36.4,34.1,36,193,699877,25007878.3
5/2/24,34.4,34.8,34,34.1,167,381591,13070556
4/30/24,34,34.5,33.6,34.1,102,209325,7089051.8
4/29/24,34,34.7,33.8,34,125,381965,13071997.6
4/26/24,34.5,34.5,33.9,34,99,112203,3839875.1
4/25/24,33.6,34.3,33,34,116,316657,10656467.6
4/24/24,34.1,34.5,33,33.6,146,239423,8158283.1
4/22/24,33.7,34.4,33.7,34.1,177,409439,13925452.9
4/19/24,32.6,34,31.1,33.3,397,1037967,33898494.6
4/18/24,34.5,34.6,32,32.8,638,1358218,45313492.8
4/17/24,34.2,36,34,34.9,216,570291,19962529.9
4/16/24,36.3,36.9,35.1,35.4,104,72225,2581675.6
4/15/24,36.9,37.5,36.2,36.3,101,140560,5136879.7
4/10/24,37.9,37.9,37,37.1,90,130001,4837232.5
4/9/24,37.8,37.9,36.8,37.8,235,907957,33943547.6
4/8/24,36.4,37.7,36.2,37.5,344,964527,35732797.4
4/5/24,35.8,36.2,35.4,36.1,182,363081,13041369.9
4/4/24,36,36.3,35.8,35.9,81,243662,8774221.4
4/3/24,36,36.2,35.5,36,38,73480,2644568.6
4/2/24,35.5,36.5,35.5,36,115,718809,25832576.1
4/1/24,35.2,36,35,35.5,96,204276,7271926.8
3/28/24,35.9,36,35.2,35.3,69,167761,5970751.2
3/27/24,34.9,36.3,34.9,35.5,115,109181,3898371.7
3/26/24,34.5,35,34,34.5,78,83260,2845539.9
3/25/24,34.8,35.1,34,34.1,92,171978,5932606
3/22/24,35,35,34.5,34.6,54,448451,15482786.3
3/21/24,34.5,34.8,34.1,34.2,52,39586,1359188
3/20/24,34.9,35,34.5,34.5,70,88303,3058821.6
3/19/24,35.8,36,34.9,35.1,104,97284,3459499.6
3/18/24,36.5,36.8,35.6,35.8,137,200098,7190614.1
3/15/24,35,36.7,34.7,36.4,302,646184,23155979.4
3/14/24,34.5,35,34.3,34.3,52,24564,848054.5
3/13/24,35.1,35.1,34.2,34.5,117,229955,7993923.3
3/12/24,35,35.4,34.7,35,109,182589,6378682.9
3/11/24,34.7,35.5,34.6,34.7,90,290575,10194644.7
3/7/24,35.7,35.7,34.3,34.6,93,199670,7040456.9
3/6/24,34.9,35.8,34.2,35.3,138,593108,20701206.8
3/5/24,33.2,35.2,33,34.6,199,905661,30928093.9
3/4/24,32.4,33.4,31.7,33.3,198,504768,16675324.7
3/1/24,32.4,32.5,31.6,31.8,35,86881,2773901.5
2/29/24,31.9,32.5,31.5,32.4,147,220865,7045588.6
2/28/24,31.5,31.9,31,31.7,93,137867,4329878.4
2/27/24,30,31.6,30,31.2,117,115656,3587742.8
2/26/24,29.7,31,29.5,29.7,47,16373,493552.5
2/22/24,29.9,30.4,29.5,29.7,31,56123,1671495
2/21/24,30.6,30.6,29.5,30,31,47804,1425669.2
2/20/24,30,30.4,29.6,30,37,52933,1586424.4
2/19/24,29.5,29.9,29.4,29.9,14,36081,1067339.1
2/16/24,29.8,30,29.1,29.4,34,17738,521252.6
2/15/24,30.2,30.4,30,30,27,40135,1205391.6
2/14/24,30.9,30.9,30,30,30,40674,1230033.8
2/13/24,30.5,31,30.2,30.5,15,3874,118180.8
2/12/24,31,31,30.2,30.5,25,43863,1335147
2/9/24,30.9,31.3,30.9,31,19,4144,128728.5
2/8/24,31.3,31.3,30,31,87,171980,5297338.8
2/7/24,31.4,31.5,30.2,30.2,34,45703,1392974.3
2/6/24,31.4,31.4,30.5,30.6,46,78395,2410188.9
2/2/24,28.9,31.6,28.9,31.2,264,479056,14516892.2
2/1/24,28,28.8,27.6,27.7,18,34067,953123.3
1/31/24,27.3,28,27.3,27.9,8,11219,313328.3
1/30/24,28,28,27.4,27.4,13,1035,28740
1/29/24,28,28,27.5,27.6,49,25372,706247.9
1/26/24,27.9,28,27.7,27.8,25,16360,454783
1/24/24,29,29,27.6,28,24,8486,237525
1/23/24,28.1,29,28,28,14,4703,131910.6
1/22/24,29.2,29.2,28,28.1,10,3503,98434
1/19/24,29.3,29.5,28.3,28.3,33,31649,911376.9
1/18/24,28.5,29.3,28.5,29,45,125828,3647892.3
1/17/24,29.5,29.5,28.3,28.4,23,17554,512776.1
1/16/24,30,30,29,29,19,21817,634576
1/12/24,29,29.7,29,29.1,15,35056,1018155.1
1/11/24,29,29.1,28.9,29,23,16459,477160.9
