Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,117,117,117,116.25,1,10,1170
7/4/24,115,115,115,116.25,1,5,575
7/3/24,104.5,118.75,104.5,116.25,3,3,341.5
7/1/24,115,115,115,116.25,3,83,9545
6/27/24,119,119,116,116.25,7,128,14896
6/25/24,120,120,117,119.5,6,174,20777
6/24/24,123,123,120.75,117,11,74,8976.5
6/20/24,118,118,117,117,5,218,25521
6/19/24,119.75,119.75,118.75,120.5,5,54,6430.5
6/18/24,116.25,116.5,116.25,120.5,4,60,6988.75
6/14/24,117,122.5,117,120.5,3,13,1532
6/13/24,122.75,123,122,120.5,4,52,6382.75
6/12/24,117.5,117.5,117,120.5,2,31,3627.5
6/11/24,115,123.25,115,120.5,9,36,4204.5
6/11/24,115,123.25,115,120.5,9,36,4204.5
6/10/24,124,124,120,120.5,3,28,3371.5
6/7/24,123.75,123.75,122,120.5,2,2,245.75
6/6/24,117.25,124.75,117.25,120.5,17,793,95034.5
6/4/24,115,117.25,115,117.5,4,16,1850.25
6/3/24,113.75,117.75,113.75,117.5,2,6,686.5
5/31/24,119,119,119,117.5,1,1,119
5/30/24,112.5,118,110.25,117.5,15,527,60029.75
5/28/24,121,121,120.75,122,3,4,483.25
5/27/24,124,124,122,122,3,21,2565.75
5/22/24,122,122,120,122,9,1282,156390.75
5/21/24,122,122,116.5,116.5,7,402,46838.5
5/20/24,124.5,124.5,111,115.75,12,368,42690
5/17/24,124,125,121,125.75,5,21,2604
5/15/24,124.75,125,121,125.75,6,13,1614.5
5/14/24,125,126.75,121,125.75,6,48,5841.75
5/13/24,126.75,126.75,121,125.75,6,305,38323.75
5/10/24,126.5,127,122.5,124.25,26,2324,288860.25
5/9/24,125.75,126,125.75,127,3,11,1385
5/8/24,125.5,127.75,125.5,127,10,420,53312
5/7/24,124.5,128.75,124,124,27,2403,301341.25
5/6/24,125.25,129.75,120,120,14,564,68284
5/3/24,123.5,130,123.5,125,29,580,72533.25
5/2/24,119,123.5,119,123.75,12,33,4003
4/30/24,124,124,123,123.75,15,337,41711.75
4/29/24,118.5,123.75,118.5,124,5,32,3819.75
4/26/24,120,124,120,124,14,242,29604
4/25/24,125,125,124,122,9,14,1744.5
4/24/24,122,125.5,121,122,22,489,59784.25
4/22/24,118.25,124,118,120,13,1015,120706.5
4/19/24,125.5,125.5,118.5,124,7,253,31422.75
4/18/24,125,126.5,123,125.25,51,2323,290623.25
4/17/24,119.75,126.5,119.5,122,90,3540,435997.75
4/16/24,117.75,120,115,119,87,6104,725870.5
4/15/24,116,120,112.25,115.25,40,847,98302.75
4/10/24,116,118,116,112.75,3,4,466
4/9/24,118.5,118.5,108.5,112.75,8,89,10226.25
4/8/24,114.75,119,105.5,112.75,30,525,58039
4/5/24,112.75,116,112.75,115.5,13,475,54602.25
4/4/24,112,112,109,109,8,319,34832.5
4/3/24,110,112,110,113.75,4,10,1116
4/2/24,112.5,112.5,109.25,113.75,4,32,3502.5
4/1/24,112.5,112.5,109.5,113.75,2,21,2359.5
3/28/24,109,109,109,113.75,2,9,981
3/27/24,114,114,111,113.75,11,127,14447.5
3/26/24,114.5,114.5,114,114,17,143,16315.75
3/25/24,114.25,114.25,114,114.5,9,14,1599.25
3/22/24,113,114.5,109,114.5,24,1400,154780.75
3/21/24,113,113,113,110.25,1,1,113
3/20/24,110.5,113,110,110.25,4,8,889.5
3/19/24,110.25,113,110,110.25,6,368,40534.75
3/18/24,113,113,110,110,14,2828,311210.5
3/15/24,114.75,114.75,114.5,115,3,5,573.5
3/14/24,117,117,112,115,12,206,23715
3/13/24,110,117,110,114.75,13,353,40460.25
3/12/24,110,110,110,105.25,2,6,660
3/11/24,106.25,114.25,102,105.25,28,7837,806777.75
3/7/24,106,106,106,105.5,2,2,212
3/5/24,112.75,113,112.5,105.5,3,89,10055.75
3/4/24,113,113,105.5,105.5,5,233,25331.5
2/29/24,107,115,107,107.75,5,123,13265.5
2/28/24,107,107,107,103,2,35,3745
2/27/24,105,105,103,103,6,633,65242
2/26/24,107.5,107.5,104,104.75,27,235,24680.75
2/22/24,109,109,107.5,108.5,6,104,11283
2/21/24,110.5,110.5,107.75,103,6,23,2493.25
2/20/24,108,108,108,103,2,3,324
2/19/24,110.75,110.75,108,103,8,40,4372.75
2/16/24,103,103.25,103,103,8,121,12468
2/15/24,102,102,102,102,6,800,81600
2/13/24,109.75,109.75,109.75,102,1,2,219.5
2/12/24,102,102,102,102,5,1276,130152
