Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,20,20,19.8,20,34,123000,2457956
7/4/24,20.1,20.1,20,20,19,15705,314198.3
7/3/24,20.2,20.3,20.1,20.1,15,8100,163011.5
7/2/24,20,21,20,20.9,29,164290,3431264.1
7/1/24,20.3,20.4,20.3,20.3,9,1520,30857.5
6/28/24,20.3,20.3,20.3,20.3,16,13518,274415.4
6/27/24,20.2,20.4,20,20.1,10,3243,65140.6
6/26/24,20.4,20.4,20.2,20.2,5,3030,61512
6/25/24,20.4,20.4,20,20,38,130997,2623335.9
6/24/24,20.4,20.4,20.3,20.4,14,19971,407371.4
6/20/24,20.1,20.4,20.1,20.1,14,100168,2013516.8
6/19/24,20.3,20.9,20.1,20.1,18,31551,636530
6/18/24,21,21,20.2,20.3,13,12754,259248
6/14/24,20.5,21,20.5,20.5,12,51324,1052203.9
6/13/24,21.3,21.3,20,20.5,33,128295,2620836.9
6/12/24,20.3,21.2,20,20.9,80,310377,6425821.2
6/11/24,20.7,20.9,20.5,20.5,38,97126,2008576.7
6/11/24,20.7,20.9,20.5,20.5,38,97126,2008576.7
6/10/24,20,20.7,20,20.2,38,152176,3132763.7
6/7/24,20.4,20.5,20.2,20.3,18,11600,235055.6
6/6/24,20.6,20.6,20,20.5,39,77803,1566145
6/5/24,20.2,20.6,20,20.6,10,10773,219125.8
6/4/24,20.1,20.1,20.1,20.1,1,1000,20100
6/3/24,20.6,20.6,20.1,20.3,6,5382,108290.2
5/31/24,20.5,20.6,20,20,54,30808,621607.1
5/30/24,20.9,20.9,20.6,20.6,22,9862,204644
5/29/24,21,21,20.1,20.5,32,16224,332182.1
5/28/24,20.5,21,20.4,20.5,18,5626,115615.5
5/27/24,20.9,21.3,20.5,20.6,43,50001,1026604.7
5/22/24,20.8,21.9,20.8,20.9,7,25482,532573.8
5/21/24,21.1,21.6,20.8,20.8,16,4131,86835.1
5/20/24,21.9,21.9,21,21.2,16,5515,116883.5
5/17/24,21.5,21.8,21.4,21.4,6,10007,215146.4
5/16/24,22,22.8,21.2,22.3,15,2130,47594
5/15/24,21.6,21.9,21.5,21.8,53,146239,3180375.8
5/14/24,21.5,21.8,21.1,21.2,23,67038,1433295
5/13/24,21.9,21.9,21.5,21.5,25,135361,2910357.5
5/10/24,21.4,21.4,21,21,9,21005,441955
5/9/24,21.5,21.5,21,21,12,21696,455651.6
5/8/24,21.5,21.5,21,21,38,41456,876471.4
5/7/24,21.8,22,21.4,21.5,34,93784,2037619.8
5/6/24,21.7,21.8,21.2,21.2,10,2999,64194.2
5/3/24,21.5,21.8,21,21.1,48,103463,2192015.2
5/2/24,21.1,21.3,21,21.1,26,50946,1072602.6
4/30/24,21.5,21.5,21,21,15,24711,520914.4
4/29/24,21.5,21.5,20.9,21.1,26,15550,327337
4/26/24,21.5,21.5,21,21.1,25,60700,1280542.3
4/25/24,21.5,21.5,21,21.5,33,30971,661695.5
4/24/24,21.5,21.6,21,21.1,48,30052,634789.6
4/22/24,21.2,21.7,21.2,21.7,18,2267,49078.5
4/19/24,21,21.6,20.7,21.5,11,9378,198286.2
4/18/24,21.8,21.9,21,21.1,29,39475,846037.9
4/17/24,21,22,21,21,59,389367,8190085.4
4/16/24,21,21.6,21,21,30,133425,2812032.3
4/15/24,21.1,21.7,21,21.5,10,11172,235284.4
4/10/24,21.8,21.8,21.8,21.5,3,49,1068.2
4/9/24,21.4,22,21.1,21.5,34,214512,4643442.8
4/8/24,20.8,21.4,20.8,21.3,30,31174,661178.3
4/5/24,20.2,20.9,20,20.2,29,42222,846194.2
4/4/24,21.1,21.2,19.8,20.2,39,35934,718142.6
