Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,5.6,5.7,5.6,5.7,11,10352,59005.8
7/4/24,5.8,5.8,5.7,5.7,13,6142,35240.2
7/3/24,5.9,5.9,5.9,5.9,7,13149,77579.1
7/2/24,6.1,6.1,6.1,6.1,1,500,3050
7/1/24,6,6,6,6,6,1546,9276
6/28/24,6.1,6.1,6.1,6.1,3,1055,6435.5
6/27/24,5.9,6,5.8,6,14,52115,312407.7
6/25/24,6,6,6,6,2,180,1080
6/24/24,6,6,5.8,5.9,13,2859,16859.2
6/20/24,6,6,5.9,5.9,9,1016,6005
6/19/24,5.9,5.9,5.9,5.9,1,100,590
6/18/24,5.9,5.9,5.9,5.9,7,5079,29966.1
6/14/24,5.8,5.8,5.8,5.8,5,809,4692.2
6/13/24,5.9,5.9,5.8,5.8,17,61484,362305.6
6/12/24,5.9,5.9,5.9,5.9,1,25,147.5
6/11/24,6,6,5.8,5.9,28,30460,179903.2
6/11/24,6,6,5.8,5.9,28,30460,179903.2
6/10/24,6.2,6.5,5.9,6,36,35164,211349.5
6/7/24,6.4,6.6,6,6.1,10,2602,15851.8
6/6/24,6.3,7,6.3,6.7,18,5782,37911.3
6/5/24,6.2,6.3,6.2,6.2,7,921,5710.3
6/4/24,6,6,5.9,6,13,10727,64342
6/3/24,6.2,6.2,6,6,3,350,2110
5/31/24,6.1,6.4,6.1,6.2,11,1810,11289
5/30/24,6.3,6.3,6.1,6.3,3,160,1001
5/29/24,6.4,6.4,6.1,6.2,11,2985,18537
5/28/24,6.4,6.5,6.3,6.3,6,526,3343.8
5/27/24,6.4,6.4,6.3,6.3,11,5658,35661.2
5/22/24,6.5,6.5,6.4,6.4,7,1389,8932.6
5/21/24,6.7,6.7,6.5,6.6,6,851,5640.9
5/20/24,6.5,6.7,6.5,6.6,8,9420,61240
5/17/24,6.2,6.7,6.2,6.4,10,1007,6346.9
5/16/24,6.5,6.5,6.5,6.5,2,550,3575
5/15/24,6.7,6.7,6.4,6.5,7,3874,25055.3
5/14/24,6.6,6.8,6.3,6.5,20,20049,132420.8
5/13/24,6.7,6.7,6.6,6.7,14,1668,11139.1
5/10/24,6.6,6.7,6.6,6.7,5,1491,9989.6
5/9/24,6.9,7,6.7,6.7,8,1110,7457.9
5/8/24,6.9,7,6.6,6.8,12,4535,30981.1
5/7/24,7,7,6.8,6.8,9,6979,48387.2
5/6/24,6.2,7,6.2,6.8,32,7228,47385.9
5/3/24,6.2,7,6.2,6.7,33,26855,179075.8
5/2/24,6.2,7,6.2,6.3,41,17054,108804.4
4/30/24,6.1,6.1,6,6.1,14,12356,74246.5
4/29/24,6.2,6.2,6.2,6.2,5,1870,11594
4/26/24,6.2,6.2,6,6.1,20,29134,174859.8
4/25/24,6.1,6.2,6.1,6.1,16,21408,130830.1
4/24/24,5.9,6.3,5.9,6.1,18,16784,102538.2
4/22/24,6.3,6.3,5.8,6.1,44,34063,207503.2
4/19/24,6.1,6.4,6.1,6.3,38,16566,104527.2
4/18/24,6,6.1,6,6,7,4819,29274
4/17/24,6.1,6.1,6,6,5,16877,101263.3
4/16/24,6,6.1,6,6,9,1586,9546
4/15/24,6.1,6.1,6.1,6,1,5,30.5
4/10/24,5.8,6,5.8,6,10,3200,18600.2
4/9/24,5.9,6.1,5.9,6.1,7,3490,20796
4/8/24,5.9,5.9,5.9,5.9,5,6005,35429.5
4/5/24,6,6.1,5.9,5.9,9,5484,32364.9
4/4/24,6.2,6.2,6,6,4,300,1820
4/3/24,5.9,6.2,5.9,6.1,10,6815,41563.5
4/2/24,5.8,6.1,5.8,6.1,7,1835,10743.5
4/1/24,5.9,6.2,5.7,6.1,26,38540,230001.5
3/28/24,5.8,5.9,5.7,5.7,25,14300,82712.3
3/27/24,5.8,6,5.8,5.9,17,8019,47435
3/26/24,5.9,5.9,5.8,5.9,5,2104,12303.2
3/25/24,5.8,6,5.8,6,8,6154,36784
3/22/24,5.9,6,5.9,6,9,9200,54640
3/21/24,5.9,5.9,5.8,5.9,9,1600,9439.3
3/20/24,6,6.1,5.9,6,12,3866,23159.7
3/19/24,6.2,6.2,6,6,15,18920,113720
3/18/24,6.2,6.2,6.2,6.2,7,792,4910.4
3/15/24,6.1,6.4,6.1,6.3,17,8755,54023.3
3/14/24,5.9,6.1,5.9,6,22,3218,19098.8
3/13/24,6.1,6.1,5.9,6,11,4638,28048.2
3/12/24,6.1,6.1,6.1,6.1,4,993,6057.3
3/11/24,6.1,6.1,6,6.1,17,12630,77023
3/7/24,6.1,6.1,5.8,5.8,9,3303,19321.5
3/6/24,6.1,6.1,6.1,6.1,3,352,2147.2
3/5/24,5.9,6.1,5.8,5.8,15,14315,83148
3/4/24,6,6.1,5.9,5.9,12,6889,40961.4
3/1/24,6,6,6,6,5,1102,6612
2/29/24,6,6,5.7,5.7,7,1068,6138
2/28/24,5.9,6,5.9,5.7,2,2,11.9
2/27/24,5.7,5.7,5.7,5.7,6,1146,6532.2
2/26/24,5.6,5.7,5.5,5.6,15,9448,52952.7
