Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,5.2,5.2,5.1,5.1,23,65812,337347.2
7/4/24,5.3,5.3,5.2,5.3,15,17067,88769.7
7/3/24,5.2,5.3,5.2,5.3,21,84760,448000.4
7/2/24,5.2,5.2,5.2,5.2,18,27550,143260
7/1/24,5.2,5.3,5.2,5.2,11,2094,10942.7
6/28/24,5.3,5.3,5.2,5.3,5,2453,12954
6/27/24,5.2,5.4,5.2,5.2,33,75955,395610.9
6/26/24,5.3,5.3,5.2,5.2,40,234066,1220166.7
6/25/24,5.3,5.4,5.2,5.3,21,58268,307320.6
6/24/24,5.3,5.4,5.3,5.3,37,58381,309488.1
6/20/24,5.3,5.3,5.3,5.3,5,296,1568.8
6/19/24,5.3,5.3,5.2,5.3,21,167726,887368.6
6/18/24,5.3,5.3,5.2,5.2,21,57728,300589.1
6/14/24,5.2,5.3,5.2,5.2,12,21799,113355
6/13/24,5.3,5.3,5.2,5.2,17,53517,278311.3
6/12/24,5.2,5.3,5.2,5.2,18,23387,121933.6
6/11/24,5.1,5.5,5.1,5.3,59,436346,2274715.3
6/11/24,5.1,5.5,5.1,5.3,59,436346,2274715.3
6/10/24,5.2,5.2,5.1,5.2,8,18550,95909.8
6/7/24,5.1,5.2,5.1,5.2,12,10797,56015.4
6/6/24,5,5.2,5,5.1,22,93695,478153.5
6/5/24,5,5.1,5,5,6,12505,62525.2
6/4/24,5,5.1,5,5,12,31376,156880.5
6/3/24,5,5.1,5,5,18,49180,245982.8
5/31/24,5.1,5.1,5,5.1,9,36361,182846.5
5/30/24,5.1,5.1,5,5,16,12436,62183.5
5/29/24,5.1,5.1,5.1,5.1,2,195,994.5
5/28/24,5,5.1,5,5,25,108960,545120
5/27/24,5.1,5.2,5.1,5.1,23,161690,824672.4
5/22/24,5.1,5.1,5,5,10,8232,41183.4
5/21/24,5,5.1,5,5,5,1902,9520.1
5/20/24,4.9,5.1,4.9,5,17,22258,111343
5/17/24,5,5.1,5,5.1,18,53134,265711
5/16/24,5,5.1,5,5,8,4211,21055.2
5/15/24,4.9,5.1,4.9,5,14,113420,567100
5/14/24,5,5.1,4.9,5,13,14355,71800.1
5/13/24,5,5.1,5,5,19,42773,214015.3
5/10/24,5,5.1,5,5,6,15398,77129
5/9/24,5.1,5.1,5,5.1,26,142761,716381
5/8/24,5.1,5.2,5.1,5.1,17,30559,158205.5
5/7/24,5.1,5.2,5,5.2,16,19344,98964.2
5/6/24,5.2,5.2,5,5.1,22,57689,289186.1
5/3/24,5.1,5.1,5,5.1,24,60546,308750.6
5/2/24,5,5.1,5,5,9,15498,77529.3
4/30/24,5,5.1,4.9,5,17,14701,73455.6
4/29/24,5.1,5.1,5,5,6,14200,72020
4/26/24,4.9,5.1,4.9,5.1,36,160264,813527.5
4/25/24,4.9,5.1,4.9,5.1,17,9338,46749.6
4/24/24,5,5,4.9,4.9,33,102900,507933.1
4/22/24,4.9,5,4.9,5,14,75119,369463.4
4/19/24,5.1,5.1,4.9,4.9,9,12104,59720.4
4/18/24,5,5.1,5,5,16,54540,272894
4/17/24,5.1,5.1,5,5.1,9,9502,47760.2
4/16/24,4.9,5.1,4.9,5,18,41472,207190
4/15/24,5.1,5.1,5,5,27,82150,413317.6
4/10/24,5,5.1,4.9,5,29,119660,603148.8
4/9/24,5,5,4.9,4.9,27,129841,639200
4/8/24,5,5.1,4.9,5,25,28759,143772.7
4/5/24,5.1,5.1,5,5,11,33851,169260.1
4/4/24,5,5.1,4.9,5,22,14488,71490.6
4/3/24,5.1,5.1,5,5,11,4720,23700.5
4/2/24,5,5.1,5,5,21,73506,367530.6
4/1/24,5.1,5.1,4.9,5,11,21827,109095.7
3/28/24,5,5.1,5,5,21,79975,400514
3/27/24,4.9,5.1,4.9,5,24,44061,219597.4
3/26/24,4.9,5,4.8,4.9,26,61008,299144.2
3/25/24,5,5.1,4.9,4.9,30,207932,1029662.5
3/22/24,4.9,5,4.9,5,23,150171,750733
3/21/24,4.9,5,4.9,4.9,6,16650,81605
3/20/24,5,5,4.9,4.9,12,41579,204279.4
3/19/24,4.9,5,4.8,4.9,32,115369,560761.9
3/18/24,5,5.1,4.9,4.9,23,40170,197566.2
3/15/24,5.2,5.2,5,5,21,58851,294265.2
3/14/24,5.2,5.2,5,5,20,8776,45102
3/13/24,5.3,5.3,5.1,5.1,29,136130,694505.2
3/12/24,5.1,5.3,5,5.3,60,410484,2158103
3/11/24,5,5.2,5,5.1,60,314583,1589304.4
3/7/24,4.6,5,4.6,5,51,211407,1050283.4
3/6/24,4.7,4.9,4.6,4.6,28,26593,123715.6
3/5/24,4.8,5,4.7,4.9,42,110882,541286.1
3/4/24,4.9,4.9,4.7,4.9,32,101843,498683.1
3/1/24,4.6,4.8,4.6,4.7,47,87851,418309.8
2/29/24,4.7,4.8,4.6,4.7,31,74486,349961.7
2/28/24,4.4,4.6,4.4,4.6,34,57428,259693
2/27/24,4.3,4.5,4.3,4.4,9,11460,49292.8
2/26/24,4.4,4.6,4.3,4.3,32,195557,864467.3
2/22/24,4.4,4.4,4.3,4.4,37,187175,812753.9
2/21/24,4.2,4.4,4.2,4.3,42,156572,673063
2/20/24,4.2,4.2,4.1,4.1,12,18069,74613.6
2/19/24,4.2,4.3,4.1,4.2,17,13286,55801.5
2/16/24,4.2,4.2,4.1,4.2,15,7895,32683.9
2/15/24,4.3,4.3,4.1,4.2,39,112812,466591.6
2/14/24,4.1,4.3,4.1,4.2,10,11798,49751.6
2/13/24,4.3,4.3,4.1,4.1,15,3156,12957.3
2/12/24,4.3,4.3,4,4.1,34,113983,457391.8
2/9/24,4.2,4.3,4.2,4.3,10,7011,30147.2
2/8/24,4.2,4.3,4.2,4.3,7,5809,24428.7
2/7/24,4.2,4.3,4.2,4.3,11,4965,20889.5
2/6/24,4.2,4.3,4.2,4.2,14,30742,130940.1
2/2/24,4.3,4.3,4.2,4.2,11,18973,79720.6
2/1/24,4.3,4.3,4.2,4.2,9,9743,41494.9
1/31/24,4.2,4.3,4.1,4.3,15,11611,48844.5
1/30/24,4.3,4.3,4.2,4.2,10,25250,106060
1/29/24,4.2,4.3,4.2,4.3,5,2150,9244.9
1/26/24,4.3,4.3,4.2,4.2,9,12855,54003.1
1/24/24,4.3,4.3,4.1,4.1,7,12772,52428
1/23/24,4.3,4.3,4.1,4.1,17,39573,162299.7
1/22/24,4.2,4.3,4.2,4.2,11,13384,56212.9
1/19/24,4.2,4.3,4.2,4.3,7,4837,20788.7
1/17/24,4.1,4.3,4.1,4.2,8,2036,8449
1/16/24,4.3,4.3,4,4.1,38,58339,236958
1/12/24,4.2,4.2,4.2,4.2,7,18400,77280
1/11/24,4.4,4.4,4.2,4.2,10,14700,61750
1/10/24,4.4,4.4,4.2,4.2,20,6657,28383.8
1/9/24,4.3,4.3,4.2,4.2,9,1549,6610.7
1/8/24,4.1,4.3,4.1,4.2,50,53893,225037.3
1/5/24,4.3,4.3,4.2,4.3,26,29511,126528.7
1/4/24,4.3,4.3,4.1,4.3,9,4430,19047.2
1/3/24,4.1,4.3,4.1,4.1,30,32881,135032.1
1/2/24,4.2,4.2,4.1,4.1,27,10481,43087.9
12/29/23,4.3,4.3,4.3,4.2,2,75,322.5
12/28/23,4.3,4.3,4.2,4.2,3,1044,4394.8
12/27/23,4.2,4.3,4,4,34,86266,349208.5
12/22/23,4.1,4.3,4,4.1,33,85953,349743.2
12/21/23,4.1,4.3,4.1,4.2,15,5843,24377.8
12/20/23,4.2,4.3,4.1,4.2,16,21668,91165.6
12/19/23,4.3,4.3,4.1,4.2,13,2391,9997.5
12/18/23,4.3,4.3,4.1,4.1,22,32825,135465
12/15/23,4.2,4.3,4.2,4.2,8,10202,42948.5
12/14/23,4.2,4.3,4,4.3,25,51426,210344.8
12/13/23,4.3,4.3,4.3,4.3,6,841,3616.3
12/12/23,4.2,4.3,4.2,4.2,19,35173,147777.1
12/11/23,4.3,4.3,4.2,4.3,8,917,3882.9
12/8/23,4.3,4.3,4.2,4.2,6,1165,4908.9
12/7/23,4.2,4.3,4.2,4.3,10,2838,12103.4
12/6/23,4.3,4.3,4.2,4.3,8,50599,217574.7
12/5/23,4.3,4.3,4.2,4.2,19,16786,70679.8
12/4/23,4.3,4.3,4.3,4.3,12,40173,172743.9
12/1/23,4.4,4.4,4.3,4.4,7,2691,11820.4
11/30/23,4.4,4.4,4.4,4.4,9,8178,35983.2
11/29/23,4.4,4.4,4.3,4.3,10,22512,97533.1
11/28/23,4.4,4.4,4.3,4.3,15,22961,99242.5
11/27/23,4.5,4.5,4.1,4.3,16,14702,62624
11/24/23,4.3,4.4,4.3,4.4,17,6270,27473.2
11/23/23,4.4,4.4,4.3,4.4,5,518,2242.6
11/22/23,4.3,4.3,4.1,4.3,29,110745,456918.2
11/21/23,4.3,4.4,4.2,4.3,16,25230,108489
11/20/23,4.5,4.5,4.4,4.4,6,5106,22677
11/17/23,4.4,4.5,4.4,4.5,13,82499,365286.8
11/16/23,4.4,4.4,4.3,4.4,7,6831,30051.3
11/15/23,4.4,4.4,4.4,4.4,9,3220,14168
11/14/23,4.3,4.5,4.3,4.4,13,5252,23059
11/13/23,4.5,4.5,4.3,4.5,19,12393,55738.3
11/10/23,4.5,4.5,4.3,4.4,15,6319,28085.6
11/9/23,4.6,4.6,4.5,4.5,8,3300,14860
11/8/23,4.5,4.6,4.4,4.5,18,22049,99179.8
11/7/23,4.4,4.5,4.4,4.4,10,1211,5363.4
11/6/23,4.2,4.5,4.2,4.4,4,1415,6143.3
11/3/23,4.5,4.5,4.2,4.5,12,2766,11648.7
11/2/23,4.3,4.5,4.3,4.5,35,53804,237904.5
11/1/23,4.3,4.3,4.1,4.1,20,5654,23238
10/31/23,4.3,4.4,4,4.1,35,90378,384041.8
10/30/23,4,4.3,4,4.2,12,12727,51104.7
10/27/23,4.1,4.3,4.1,4.2,15,28517,119896.4
10/26/23,4.3,4.3,4,4,34,24303,98621.2
10/25/23,4.3,4.3,4.1,4.2,16,3806,15895.2
10/24/23,4.2,4.3,4.1,4.1,21,15708,64795.4
10/23/23,4.1,4.3,4.1,4.2,29,23118,96109.5
10/20/23,4.2,4.3,4.2,4.2,34,46948,198183.2
10/19/23,4,4.3,4,4,52,392763,1572364.4
10/18/23,4.2,4.2,3.9,4,115,347568,1399241.4
10/17/23,4.4,4.4,4.2,4.2,57,151591,645677.2
10/16/23,4.4,4.4,4.3,4.3,20,79834,343381.8
10/13/23,4.5,4.5,4.3,4.4,45,41690,183537.4
10/12/23,4.6,4.6,4.4,4.4,19,10082,45233.6
10/11/23,4.6,4.6,4.4,4.5,36,71383,317814.3
10/10/23,4.6,4.6,4.5,4.5,20,14302,64774.2
10/9/23,4.5,4.6,4.5,4.5,25,18866,85171.5
10/6/23,4.6,4.6,4.5,4.6,13,5706,26147.5
10/5/23,4.6,4.6,4.5,4.6,14,1804,8248.3
10/4/23,4.6,4.7,4.5,4.6,41,54255,245101.1
10/3/23,4.7,4.7,4.5,4.5,55,114270,519485.3
10/2/23,4.7,4.7,4.5,4.6,48,153730,699657.2
9/27/23,4.8,4.8,4.7,4.8,7,2802,13299.6
9/26/23,4.8,4.8,4.7,4.7,2,2001,9404.8
9/25/23,4.7,4.8,4.6,4.7,13,10511,48663.2
9/22/23,4.8,4.8,4.7,4.7,12,13502,63509.6
9/21/23,4.7,4.9,4.7,4.8,28,23410,111443.2
9/20/23,4.8,4.8,4.7,4.7,9,12836,60612.8
9/19/23,4.8,4.8,4.7,4.8,14,18512,88857.5
9/18/23,4.8,4.9,4.8,4.8,15,60000,288330
9/15/23,4.7,4.8,4.7,4.7,35,114355,538826
9/14/23,4.7,4.8,4.7,4.8,2,2500,11760
9/13/23,4.8,4.8,4.7,4.8,27,15681,74806.6
9/12/23,4.8,4.8,4.8,4.8,14,10486,50332.8
9/11/23,4.9,4.9,4.8,4.8,18,29368,141059.9
9/8/23,4.8,4.8,4.8,4.8,20,17000,81600
9/7/23,4.8,4.9,4.7,4.8,18,10623,50599
9/6/23,4.8,4.8,4.6,4.7,24,48045,226972
9/5/23,4.7,4.9,4.6,4.8,74,179543,831763.2
9/4/23,4.9,4.9,4.7,4.8,31,11983,57346.5
9/1/23,4.9,4.9,4.8,4.9,12,4118,19937
8/31/23,5,5,4.8,4.8,21,82708,400761.6
8/29/23,4.8,5,4.8,4.9,19,13897,67687.5
8/28/23,4.8,5,4.8,4.8,35,69439,345526.7
8/25/23,5,5,4.7,4.7,32,37780,178675
8/24/23,4.8,5,4.7,4.9,50,434967,2100958.4
8/23/23,4.7,4.8,4.6,4.7,27,69265,321718.4
8/22/23,4.6,4.7,4.5,4.6,36,174837,787423
8/21/23,4.6,4.8,4.6,4.7,38,81613,381260.3
8/18/23,4.7,4.8,4.6,4.6,20,31639,145942.1
8/17/23,4.8,4.8,4.6,4.7,43,67680,313248.8
8/16/23,4.7,4.9,4.7,4.7,41,30511,143862.9
8/15/23,4.7,5,4.6,4.7,86,212637,1007867.4
8/14/23,4.8,4.9,4.7,4.8,96,138185,654154
8/11/23,4.8,4.9,4.8,4.9,35,39865,192334
8/10/23,5,5,4.8,4.9,31,70666,346772.7
8/9/23,4.8,5.2,4.8,4.9,104,685525,3383970.6
8/8/23,4.8,5,4.7,4.9,71,153010,737243.7
8/7/23,4.9,5,4.7,4.8,97,375375,1812165.6
8/4/23,5,5.1,4.9,4.9,127,569758,2803025
8/3/23,5.2,5.3,5,5,170,385207,1965160.2
8/2/23,5.4,5.4,5.1,5.3,243,937052,4926611.7
7/31/23,6,6,5.8,5.9,143,556132,3279936.1
7/28/23,6,6,5.8,6,68,210513,1247662.1
7/27/23,5.8,6,5.8,6,97,588425,3461326.3
7/26/23,5.9,6,5.8,5.8,100,264471,1542451.6
7/25/23,5.9,5.9,5.7,5.9,144,786609,4614319.9
7/24/23,5.9,6,5.7,5.8,168,611285,3553416.9
7/21/23,6,6,5.6,5.8,995,8765156,51118497.6
7/20/23,5.2,5.5,5.1,5.4,88,3479394,18119530.1
7/19/23,5.2,5.2,5,5.1,31,44803,227760.8
7/18/23,5.2,5.2,5.1,5.1,61,175410,895877.3
7/17/23,5.4,5.4,5.2,5.2,52,506724,2649663.5
7/14/23,5.3,5.4,5.2,5.2,65,506637,2670250.4
7/13/23,5.3,5.4,5.1,5.2,85,471078,2456276
7/12/23,5.1,5.5,5,5.3,154,1425197,7508528.3
7/11/23,5.1,5.3,4.9,4.9,102,427334,2131017.8
7/10/23,4.8,5.1,4.8,5,111,887440,4368828.2
7/7/23,4.7,4.9,4.6,4.7,74,961057,4595084.2
7/6/23,4.7,4.8,4.6,4.6,26,54836,253561.6
7/5/23,4.7,4.8,4.6,4.6,20,24519,112945.4
7/4/23,4.5,4.8,4.5,4.6,35,137361,642085.2
6/28/23,4.6,4.7,4.5,4.6,15,7719,35505.3
6/27/23,4.5,4.7,4.5,4.6,28,233472,1095865.7
6/26/23,4.6,4.7,4.5,4.6,36,86622,397506.5
6/23/23,4.6,4.7,4.5,4.6,79,461011,2078655.3
6/22/23,4.5,4.7,4.5,4.6,46,343423,1561656
6/21/23,4.6,4.6,4.5,4.6,27,6635,30298.4
6/20/23,4.6,4.6,4.5,4.6,15,6073,27790.9
6/19/23,4.4,4.7,4.3,4.7,67,235273,1083812.9
6/16/23,4.4,4.5,4.4,4.4,9,34309,154010.2
6/15/23,4.5,4.6,4.4,4.4,23,73374,324417.1
6/14/23,4.4,4.8,4.4,4.5,77,335676,1539855.9
6/13/23,4.3,4.4,4.3,4.4,15,33665,147446
6/12/23,4.3,4.5,4.3,4.4,20,42806,185463.3
6/9/23,4.4,4.5,4.3,4.3,26,976190,4200054.1
6/8/23,4.4,4.5,4.2,4.4,30,530599,2312495.3
6/7/23,4.5,4.5,4.4,4.4,10,44087,193983.5
6/6/23,4.4,4.4,4.3,4.4,16,19403,85373
6/5/23,4.3,4.5,4.3,4.4,38,219312,965042.8
6/2/23,4.3,4.4,4.1,4.4,52,251223,1082639.2
6/1/23,4.2,4.3,4.1,4.2,21,187117,785911.1
5/31/23,4,4.1,4,4.1,2,2026,8304
5/30/23,4,4.1,3.9,4,37,57358,229672
5/29/23,4.1,4.2,3.9,3.9,50,460213,1823145.8
5/26/23,4,4.2,4,4.1,12,53645,218955.5
5/25/23,4.3,4.3,4.1,4.1,11,4824,19978.8
5/24/23,4,4.3,4,4.2,35,179604,742586
5/23/23,4.2,4.2,3.9,4,40,134781,536123.8
5/22/23,4.1,4.2,4,4.1,28,21100,86513.7
5/19/23,4.2,4.2,4.2,4.2,9,1560,6552
5/18/23,4.1,4.3,4.1,4.1,12,19373,79869.3
5/17/23,4.2,4.2,4.1,4.1,19,45399,186559.9
5/16/23,4.4,4.4,4.1,4.1,12,12371,51251.8
5/15/23,4.3,4.4,4.2,4.2,13,21300,90810
5/12/23,4.2,4.3,4.2,4.3,32,134282,574857.6
5/11/23,4.2,4.3,4.2,4.2,8,8354,35088.2
5/10/23,4.2,4.3,4.1,4.2,29,86415,367787
5/9/23,4.1,4.2,4,4,17,74731,302410.1
5/8/23,4.1,4.3,4.1,4.2,20,44454,184761.4
5/4/23,4.2,4.3,4.2,4.3,14,68487,289444.1
5/3/23,4.2,4.3,4.2,4.2,9,9700,40800
5/2/23,4.1,4.1,4,4.1,12,12442,50510.2
4/28/23,4.1,4.4,4.1,4.3,47,186083,799457.2
4/27/23,4.3,4.3,4.1,4.1,8,17530,72578.5
4/26/23,4.2,4.4,4.2,4.2,48,311484,1332049.8
4/25/23,4.2,4.3,4.1,4.1,18,55386,232088.8
4/24/23,4.3,4.3,4.1,4.1,11,5578,23135.2
4/21/23,4.3,4.3,4.1,4.1,21,125804,521917.9
4/20/23,4.2,4.3,4.1,4.1,17,25868,106080.8
4/19/23,4.3,4.3,4.2,4.2,6,530,2226.2
4/18/23,4.3,4.3,4.1,4.1,24,46492,191748.1
4/17/23,4.3,4.3,4.1,4.1,7,8277,33965.9
4/12/23,4.1,4.3,4.1,4.1,9,20918,85782
4/11/23,4.2,4.3,4.1,4.2,20,62653,262987.8
4/10/23,4.2,4.2,4.1,4.2,21,192444,807435.3
4/6/23,4.2,4.2,4,4,30,136655,546745.1
4/4/23,4,4.2,4,4.1,12,39101,160114.2
4/3/23,4.1,4.2,4.1,4.1,8,8080,33133.5
3/31/23,4.1,4.1,4.1,4.1,12,24007,98428.7
3/30/23,4.1,4.1,4.1,4.1,7,18600,76260
3/29/23,4.1,4.1,4,4.1,12,23885,97878.5
3/28/23,4,4.1,4,4.1,10,21410,85765
3/27/23,4.1,4.1,4,4,7,12251,49079.1
3/24/23,4.1,4.2,4.1,4.1,16,164611,675155.1
3/23/23,4,4.1,4,4,18,23176,92824.2
3/22/23,4.1,4.1,4,4.1,20,40990,164173
3/21/23,4.1,4.1,4,4,21,43404,174026.4
3/20/23,4,4.1,4,4,35,71906,287914.6
3/17/23,4.1,4.1,4,4.1,14,12579,51083.9
3/16/23,4.1,4.1,4,4.1,7,2462,10074.1
3/15/23,4,4.1,3.9,4,23,16794,67031.7
3/14/23,4,4.1,4,4,21,36160,145170
3/13/23,4.1,4.1,4,4,12,32154,131627.4
3/10/23,4.1,4.1,4,4,31,97622,391500.6
3/9/23,4.1,4.1,4,4.1,25,47954,193010.5
3/8/23,4,4.2,4,4,37,95001,380847.8
3/7/23,4.2,4.2,4,4,61,289449,1177763.4
3/3/23,4.2,4.2,4.1,4.2,9,8651,36284.1
3/2/23,4.2,4.2,4.1,4.1,4,9048,37141.8
3/1/23,4,4.2,4,4.2,4,498,2091.4
2/28/23,4.2,4.2,4,4,18,71857,291150.6
2/27/23,4.1,4.2,4.1,4.1,9,10260,42256
2/24/23,4.2,4.3,4.1,4.1,12,22203,91453.8
2/23/23,4.2,4.3,4,4.2,41,272979,1116880
2/22/23,4.2,4.2,4.1,4.1,20,60606,248514.9
2/21/23,4.2,4.2,4.2,4.2,3,1150,4830
2/20/23,4.2,4.2,4.1,4.1,6,9190,37748
2/17/23,4.1,4.2,4,4,36,65991,264729.5
2/16/23,4.1,4.2,4.1,4.2,9,5800,24240
2/15/23,4,4.2,4,4,26,81931,327904.8
2/14/23,4.1,4.1,4,4,44,160756,645823.9
2/13/23,4.3,4.3,4,4.1,51,138920,567393.8
2/10/23,4.3,4.3,4.2,4.3,4,17000,72900
2/9/23,4.3,4.3,4.2,4.2,3,7600,32520
2/8/23,4.3,4.3,4.3,4.3,3,58291,250651.3
2/7/23,4.3,4.3,4.2,4.2,10,5548,23353.1
2/6/23,4.4,4.4,4.2,4.2,9,1273,5541.9
2/3/23,4.4,4.4,4.2,4.3,12,42547,182971.1
2/2/23,4.3,4.4,4.2,4.2,27,91157,384788.8
2/1/23,4.1,4.3,4.1,4.2,36,67464,277671.4
1/31/23,4.3,4.3,4.1,4.1,23,84601,349809.1
1/30/23,4.4,4.5,4.1,4.2,63,297589,1247868
1/27/23,4.5,4.6,4.4,4.5,92,213187,959685.5
1/26/23,4.5,4.5,4.4,4.4,11,100063,440282.2
1/25/23,4.4,4.5,4.4,4.4,7,1406,6284.1
1/24/23,4.3,4.5,4.2,4.3,19,27195,117941.7
1/23/23,4.3,4.5,4.3,4.4,21,42346,189226.3
1/20/23,4.3,4.4,4.3,4.3,14,11237,48320.3
1/19/23,4.3,4.4,4.2,4.2,7,10828,45877.8
1/18/23,4.4,4.4,4.1,4.2,7,1478,6147.7
1/17/23,4.2,4.2,4.1,4.1,23,21416,88397.2
1/13/23,4.2,4.3,4.1,4.1,14,85249,350025.4
1/12/23,4.2,4.4,4.2,4.2,12,5674,24862.6
1/11/23,4.3,4.4,4.2,4.3,20,10891,46396.4
1/10/23,4.3,4.4,4.2,4.3,21,96330,409699
1/9/23,4.3,4.5,4.2,4.2,27,68626,292094
1/5/23,4.3,4.4,4.2,4.2,28,127330,538446.5
1/4/23,4.6,4.6,4.4,4.4,13,5051,22249.6
1/3/23,4.4,4.7,4.2,4.5,113,337336,1523144.5
1/2/23,4.2,4.4,4.2,4.3,30,227367,976840.6
12/30/22,4.3,4.4,4.2,4.2,10,6345,26933.6
12/29/22,4.3,4.3,4.1,4.1,7,6500,26852.2
12/28/22,4.2,4.3,4,4.2,22,123725,521571.3
12/27/22,4.1,4.2,4,4,46,181326,727555.1
12/23/22,4,4.2,4,4.2,9,3878,15574.4
12/22/22,4,4.2,4,4.1,12,11661,46994
12/21/22,4.1,4.3,4,4,27,115273,461734.8
12/20/22,4.2,4.2,4.1,4.1,20,69695,285869.5
12/19/22,4.2,4.2,4.1,4.1,13,32220,132775
12/16/22,4.3,4.4,4.2,4.2,27,31013,130931.5
12/15/22,4.3,4.5,4.3,4.3,19,264748,1143208.4
12/14/22,4.5,4.5,4.4,4.4,15,104341,459198.4
12/13/22,4.5,4.5,4.3,4.3,16,37402,161688.8
12/12/22,4.6,4.6,4.4,4.4,5,5017,22077.5
12/9/22,4.5,4.6,4.4,4.5,53,452045,2031702.8
12/8/22,4.4,4.6,4.3,4.5,22,47019,208167.8
12/6/22,4.6,4.7,4.4,4.4,27,75082,341282
12/5/22,4.2,4.6,4.2,4.5,40,125204,552747.1
12/2/22,4.5,4.6,4.5,4.5,11,3254,14652.9
12/1/22,4.3,4.6,4.3,4.5,38,102813,458835.3
11/30/22,4.1,4.4,4.1,4.3,29,98704,416122.2
11/29/22,4,4.2,4,4,48,51964,210796.2
11/28/22,4,4.1,3.9,4,21,23974,95499.4
11/25/22,3.8,4,3.8,3.9,25,47575,183295.9
11/24/22,3.9,4,3.8,3.8,39,157819,610500.9
11/23/22,4.1,4.1,3.8,3.9,53,85432,337282.1
11/22/22,4,4.1,3.9,3.9,28,102821,402481.2
11/21/22,3.9,4,3.8,3.9,29,78108,299871.8
11/18/22,4,4,3.9,4,20,61202,244008
11/17/22,4.2,4.2,4.1,4.1,13,22734,93362.8
11/16/22,4.2,4.2,4,4.1,45,92451,374291.9
11/15/22,4.4,4.4,4.3,4.3,15,32539,140811.7
11/14/22,4.4,4.5,4.2,4.3,32,62027,265560.7
11/11/22,4.5,4.5,4.3,4.3,41,79699,346192.6
