Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,1235,1250,1235,1235.75,34,3851,4766878.75
7/4/24,1255,1255,1230,1233.25,33,2631,3263451.5
7/3/24,1260,1266.75,1242,1254,20,8157,10197288.75
7/2/24,1255,1260,1250,1255,24,5678,7100120.75
7/1/24,1250,1260,1230,1249.75,22,684,855170.75
6/28/24,1250,1250,1230,1238,16,1960,2426525.75
6/27/24,1254.75,1254.75,1250,1250,11,88,110033.25
6/26/24,1250,1254.75,1250,1250,31,24339,30424419.75
6/25/24,1248,1252,1227,1250,40,6898,8614417.25
6/24/24,1252,1252,1200,1214,66,1402,1706554
6/20/24,1255,1255,1251,1252.5,20,414,518944.25
6/19/24,1267.75,1267.75,1252,1255,35,16279,20430181.5
6/18/24,1256,1267.5,1255,1260,23,522,656977.5
6/14/24,1258,1265,1255,1258,15,381,479286.5
6/13/24,1262,1268,1256,1256,13,909,1143035
6/12/24,1255,1269.75,1255,1256.5,26,2917,3673886
6/11/24,1259.75,1259.75,1250,1255.5,23,682,856265
6/11/24,1259.75,1259.75,1250,1255.5,23,682,856265
6/10/24,1253,1259.75,1250,1250.25,40,884,1106920.25
6/7/24,1270,1270,1250,1250,21,1241,1551366.5
6/6/24,1220,1274.5,1220,1255.5,30,792,994425.5
6/5/24,1224,1228,1215,1225.5,55,4066,4948362.5
6/4/24,1230,1239.25,1215,1227.25,79,6765,8231985.25
6/3/24,1245.75,1247,1205.25,1213,72,3192,3917276
5/31/24,1248,1250,1231.25,1244,27,847,1056538.5
5/30/24,1251,1275,1200,1248,94,5207,6294751.5
5/29/24,1295,1295,1268,1268.25,51,566,719809.75
5/28/24,1289.5,1289.5,1281,1285.75,30,702,900863.5
5/27/24,1284.5,1300,1283,1289.5,24,515,665055.25
5/22/24,1299,1299.75,1282,1297,47,3107,4022812.25
5/21/24,1315.5,1315.5,1290,1292.25,172,22897,29753492.25
5/20/24,1320,1320,1310,1315.5,41,285,375306
5/17/24,1329,1329,1310,1326.25,20,175,232288
5/16/24,1330,1340,1320,1324,47,5988,7988804.5
5/15/24,1330,1349,1325,1330,51,2198,2931053.25
5/14/24,1310,1350,1310,1332.5,55,2700,3610447.5
5/13/24,1299,1299,1297,1298.5,21,378,490743.5
5/10/24,1295.25,1300,1295,1299.75,32,22710,29520005.5
5/9/24,1295.25,1300,1295,1300,28,19513,25365039.5
5/8/24,1298,1300,1295,1295.25,39,3884,5030752.75
5/7/24,1295,1300,1295,1297.75,43,19408,25222262.25
5/6/24,1299,1300,1285,1285.5,34,2716,3509795.25
5/3/24,1292,1300,1287,1299,28,7384,9584639.25
5/2/24,1290,1300,1280,1299,58,16579,21514851
4/30/24,1279,1290,1261.5,1289.25,38,21118,27018005
4/29/24,1260,1280,1259.5,1274.25,43,7264,9157213.25
4/26/24,1272,1272,1255,1260,33,2478,3122618.75
4/25/24,1270,1270,1254,1270,21,693,880017.25
4/24/24,1251.25,1270,1251.25,1269.75,42,6329,8031089.5
4/22/24,1240,1260,1240,1258.5,40,3271,4101091.25
4/19/24,1203,1246,1203,1245.25,50,6270,7751993.25
4/18/24,1220,1227,1200,1219.75,95,9022,10920070.5
4/17/24,1203,1219,1190,1192.75,35,6035,7183675.75
4/16/24,1211,1221,1001,1203.5,110,3065,3684284.75
4/15/24,1217.5,1222,1210,1218.25,51,248,301657.25
