Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,1024.75,1025,1018.75,1010,4,25,25615.25
7/4/24,1019,1019,1014.75,1010,5,26,26429.5
7/3/24,1020,1020,1020,1010,2,10,10200
7/2/24,1028.75,1029,1010,1010,3,25,25344.25
7/1/24,1010,1010,1009.75,1010,3,6,6059.75
6/28/24,1010,1012.75,1010,1010,5,104,105051
6/26/24,1000.25,1000.25,1000,1015.75,2,2,2000.25
6/19/24,1015,1015,1000,1015.75,9,49,49030
6/18/24,1001,1001,1000.25,1015.75,3,15,15007.5
6/14/24,1000,1000,1000,1015.75,1,29,29000
6/13/24,1020,1020,1000,1015.75,4,57,57034
6/12/24,1015,1023.5,1000,1015.75,12,164,166577.5
6/11/24,1000,1013.75,995,999.25,7,111,110926.25
6/11/24,1000,1013.75,995,999.25,7,111,110926.25
6/10/24,1006,1006,998,999.5,5,14,14026.25
6/7/24,1005,1014.5,1005,999.5,3,6,6075.5
6/6/24,1017,1017,1000,999.5,5,24,24017
6/5/24,1018.75,1018.75,1017.5,999.5,3,29,29508.75
6/4/24,1019,1019,1019,999.5,1,15,15285
6/3/24,1000,1000,993,999.5,4,16,15924.75
5/31/24,995,1000,995,999.5,5,125,124929
5/30/24,995,995,992,1000,9,58,57559
5/28/24,992.5,992.5,992.5,1000,4,15,14887.5
5/27/24,1016,1016,1000,1000,2,6,6016
5/21/24,1000,1000,1000,1000,1,5,5000
5/20/24,1000,1000,999.75,1000,4,23,22999.75
5/17/24,1000,1000,1000,1000,8,297,297000
5/16/24,999,1000,999,1000,3,9,8999
5/15/24,999.25,999.25,999.25,1000,4,17,16987.25
5/14/24,1000,1000,999.5,1000,3,12,11994.5
5/13/24,999.75,1000,999.75,1000,5,353,352956
5/10/24,1008.75,1008.75,1000,987.5,5,9,9008.75
5/9/24,1010,1010,1009,987.5,2,4,4037
5/8/24,988,988,988,987.5,3,12,11856
5/7/24,1010,1010,1009,987.5,2,19,19189
5/6/24,1010,1010,990,987.5,3,3,3010
5/3/24,988.25,988.25,986.25,987.5,13,275,271567.5
5/2/24,987.5,1010,987.5,988,3,8,7957.5
4/30/24,988,988,988,988,18,200,197600
4/26/24,1018.5,1018.5,991,981,3,4,4019
4/25/24,1019.75,1019.75,1019,981,5,13,13247.75
4/24/24,1000,1000,1000,981,1,2,2000
4/22/24,986.5,986.5,985.25,981,5,50,49271.25
4/18/24,985,985,985,981,2,6,5910
4/17/24,981.75,1019.75,981.75,981,2,2,2001.5
4/16/24,984,984,982,981,2,17,16714
4/9/24,981,981.25,981,981,7,171,167752.25
4/8/24,990,990,971,990,11,559,552810
4/5/24,995,995,990,990,9,643,636610.5
4/4/24,1020,1020,995,1007.75,7,134,134859.5
4/3/24,1000,1022,994,995.25,14,65,64863
4/2/24,1023.75,1023.75,1022.5,995.25,5,12,12277.25
4/1/24,1023.75,1024,1023.75,995.25,5,30,30713.5
3/28/24,1024.75,1024.75,1024.75,995.25,1,4,4099
3/27/24,1000,1000,997,995.25,2,7,6985
3/26/24,996,996,995,995.25,4,58,57721
3/22/24,995,995,995,995.25,3,5,4975
3/21/24,1028,1028,1028,995.25,1,1,1028
3/20/24,1023.5,1033.75,990.25,995.25,10,59,60292.25
3/18/24,1000,1023.25,990,995.25,8,173,172196.25
3/15/24,986,1024,985,1011,6,33,32920.75
3/14/24,1024.5,1024.75,986,1011,15,109,110204.25
3/13/24,990.75,1000,985,991,13,92,90783.75
3/12/24,1024.25,1024.75,991,991,14,179,179028.75
3/11/24,1024.5,1024.5,1024.5,984,1,1,1024.5
3/5/24,1009.75,1009.75,1009.75,984,1,2,2019.5
3/4/24,980,980,980,984,4,28,27440
3/1/24,985,985,980,984,6,32,31390
2/29/24,1028,1028,1010,984,3,37,37388
2/28/24,984,985,980,984,18,221,217450
2/27/24,990,995,980,984,24,9260,9157720.5
2/26/24,1014,1014,985,999.75,7,57,56244.5
2/21/24,1000,1000,999.75,999.75,7,100,99975.75
2/20/24,999.75,999.75,999.75,999.75,6,141,140964.75
2/19/24,1013.75,1013.75,1000,1000.5,16,175,175075.25
2/16/24,1019,1019,1014,1014,2,2955,2996375
2/15/24,1020,1020,1001,999.75,5,18,18221
2/14/24,1000,1000,999.75,999.75,6,17,16998.5
2/13/24,1000,1000,1000,999.75,2,4,4000
2/12/24,1031,1031,1000,999.75,4,6,6101
2/8/24,999,1000,999,999.75,4,196,195973
2/7/24,1000,1000,985,985.25,2,11,10850
2/6/24,1000,1000,980,985.25,4,16,15800
2/2/24,993,993,991,985.25,3,40,39681.25
1/30/24,980,997,980,985.25,4,123,121067
1/29/24,975,975,970,980,6,12,11671.75
1/26/24,990,990,975,980,5,20,19650
1/24/24,982,982,975,980,10,103,100927.5
1/22/24,985,995,982,988.75,10,373,368446
1/18/24,984,1000,983,985,10,43,42515
1/17/24,1000,1000,983.25,985,3,5,4983.25
1/12/24,1000,1000,1000,985,1,1,1000
1/11/24,981,981,976,985,7,41,40154
1/10/24,981,990,980,985,4,27,26475
1/9/24,981,981,981,985,3,10,9810
1/8/24,995,995,980,985,9,30,29441.5
1/5/24,995,995,984,985,3,8,7894
1/4/24,985,986,984,985,7,117,115246
1/3/24,987,987,985,990.25,10,13,12818.75
1/2/24,986,1000,986,990.25,4,15,14818
12/29/23,988.5,1000,985,990.25,13,41,40470
12/28/23,1000,1000,988.5,990.25,2,3,2988.5
12/27/23,1000,1000,1000,990.25,1,2,2000
12/22/23,1019,1019,1000,990.25,3,71,71285
12/21/23,989,989,989,990.25,1,14,13846
12/20/23,988.25,988.25,988.25,990.25,1,40,39530
12/19/23,1000,1000,1000,990.25,1,2,2000
12/15/23,1000,1020,1000,990.25,2,3,3020
12/14/23,991,991,990,990.25,5,14,13865.25
12/13/23,992,999,990,990.25,10,35,34669.25
12/12/23,997,997,990,990.25,10,150,148538.25
12/11/23,1000,1000,1000,1000,1,3,3000
12/6/23,997.25,997.25,997,1000,3,10,9970.25
12/5/23,1000,1000,1000,1000,1,5,5000
12/4/23,1000,1009,1000,1000,6,53,53018
11/30/23,1000,1000,993,1000,5,1081,1080993
11/29/23,1000,1000,1000,1000,2,101,101000
11/28/23,999.75,1000,999.75,1000,8,2334,2333968
11/27/23,999.75,999.75,999.75,1000,4,10,9997.5
11/24/23,999.75,999.75,995,1000,4,67,66954.75
11/23/23,1000,1000,999.75,1000,8,58,57999.5
11/22/23,1000,1000,1000,1000,1,1,1000
11/21/23,1002,1002,1000,1000,8,98,98002
11/20/23,1000,1000,1000,1000,2,4,4000
11/17/23,1000,1000,1000,1000,4,783,783000
11/16/23,994,1000,994,1000,4,9,8994
11/15/23,998,998,998,1000,2,10,9980
11/14/23,1032,1032,998.5,1000,2,6,6158.5
11/9/23,1001,1001,1000,1000,15,897,897009.75
11/8/23,1000.25,1000.25,1000.25,1000,1,3,3000.75
11/7/23,1002,1002,1000,1000,19,2840,2840012
11/6/23,1030,1035,1000,1002.75,7,561,562481
11/2/23,990,990,990,997,1,20,19800
10/31/23,1000.5,1000.5,990,997,25,132,131693
10/25/23,1030,1030,1010,1001.5,3,3,3069.75
10/24/23,1000,1000,1000,1001.5,12,74,74000
10/23/23,1000,1000,1000,1001.5,4,9,9000
10/19/23,1000,1000,999.5,1001.5,6,24,23995
10/18/23,1000,1000,1000,1001.5,1,2,2000
10/17/23,1008.5,1008.5,999.5,1001.5,6,10,10064.5
10/16/23,1007,1007.25,999.75,1001.5,19,265,265511.75
10/13/23,1019,1019,1019,1025,1,2,2038
10/11/23,1025,1025,1007,1025,4,6,6060
10/10/23,1025,1025,1006.25,1025,2,11,11256.25
10/9/23,1015,1015,1010,1025,6,61,61789.5
10/6/23,1024.75,1024.75,1015,1025,6,57,58022.5
10/5/23,1017,1020,1010,1025,11,99,100565.75
10/4/23,1020,1020,1015,1025,7,68,69158
10/3/23,1020,1020,1019,1025,9,68,69351.75
10/2/23,1024.75,1024.75,1020,1025,5,8,8174.25
9/27/23,1026,1026,1025,1025,7,47,48177
9/26/23,1050,1050,1023,1025,2,3,3123
9/22/23,1021,1025,1021,1025,5,21,21481
9/21/23,1030,1030,1021,1025,2,90,92034
9/20/23,1020,1072.25,1020,1025,10,201,205911
9/19/23,1021,1022,1019,1021,8,42,42896
9/18/23,1021,1022,1021,1021,5,102,104146
9/15/23,1021,1025,1016,1024.75,13,87,88598.5
9/14/23,1030,1030,1021,1024.75,8,62,63695
9/13/23,1019,1030,1019,1024.75,5,85,87440
9/12/23,1016,1025,1016,1024.75,11,72,73651
9/11/23,1053,1053,1016,1024.75,21,222,227591.25
9/8/23,1052,1052,1052,999.5,1,2,2104
9/7/23,1077.5,1077.5,1050,999.5,3,4,4282.5
9/6/23,1077.5,1078,1030,999.5,10,38,39685
9/5/23,1077.5,1077.5,1020,999.5,7,67,70396
9/4/23,1049.25,1070,1048.75,999.5,8,22,23395.25
9/1/23,1049,1049,1049,999.5,1,20,20980
8/31/23,1010,1048.75,1010,999.5,4,31,31348.75
8/29/23,1005,1010.25,1005,999.5,4,15,15127.5
8/28/23,1030,1030,999,999.5,17,1084,1083539.25
8/25/23,1008,1033,1008,1021.5,7,108,110314
8/24/23,1025,1025,1008,1000.75,12,99,100260
8/23/23,1012,1012,1000,1000.75,26,297,297545.25
8/22/23,1013.25,1034,1010,1006.25,11,71,71802.75
8/21/23,1011.25,1011.25,1002,1006.25,15,110,110676.75
8/18/23,1023,1030,1011,1020.5,15,59,60030
8/17/23,1035,1035,1021.75,1020.5,6,93,95331.5
8/16/23,1023,1023,1020.25,1020.5,11,66,67486.5
8/15/23,1022.25,1035,1022.25,1020.5,7,59,60547
8/14/23,1050,1050,1015,1020.5,13,114,116547.25
8/11/23,1029.75,1065,1011,1012.75,16,1026,1039117.5
8/10/23,1040,1040,1030,1032.25,15,101,104255
8/9/23,1040,1075.25,1030,1037.5,27,316,328324
8/8/23,1079.75,1079.75,1040,1040,15,122,127273
8/7/23,1089,1089,1045.25,1044.25,6,27,28669
8/4/23,1043,1051,1043,1044.25,6,120,125309
8/3/23,1089.5,1089.5,1040.25,1051.5,16,111,116743
8/2/23,1069,1069,1060,1060,6,32,33992
7/31/23,1099,1099,1099,1060,3,12,13188
7/28/23,1116,1116,1066,1060,3,12,13340
7/27/23,1116,1116,1058,1060,43,2028,2152528
7/26/23,1125,1125.25,1125,1111.25,4,11,12375.25
7/25/23,1149,1149,1115,1111.25,11,88,99392
7/24/23,1112,1112,1110,1111.25,5,106,117780
7/21/23,1150,1150,1060,1112,14,147,163470
7/20/23,1100,1149,1100,1051,2,23,25545
7/18/23,1145,1148.75,1145,1051,6,35,40078.75
7/17/23,1054,1100,1051,1051,9,27,28661.75
7/14/23,1065,1065,1050,1051,8,118,124004
7/13/23,1064,1064,1064,1000,1,10,10640
7/12/23,1049.5,1052,1049.5,1000,4,10,10510
7/11/23,1050,1050,1049.25,1000,6,49,51420
7/10/23,1068,1068,1050,1000,4,7,7458
7/7/23,1027,1027,1027,1000,2,3,3081
7/6/23,1039,1039,1026,1000,4,12,12429
