Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,279,299,279,290,10,242,69231.75
7/1/24,275,276.75,275,275,16,81,22412.5
6/27/24,277.75,277.75,275,275,2,15,4138.75
6/26/24,277.75,277.75,275,275,4,300,82775
6/25/24,275.75,275.75,275.75,275,1,1,275.75
6/20/24,270,275,270,275,4,612,168295
6/19/24,270,275,270,275,4,78,21230
6/18/24,270,275,270,275,3,8,2170
6/14/24,270.5,270.5,270,275,2,50,13502.5
6/12/24,275,275,270,275,13,10043,2761750
6/11/24,279.75,279.75,278,275,3,13,3635
6/11/24,279.75,279.75,278,275,3,13,3635
6/7/24,275,275,275,275,1,15,4125
6/6/24,273.25,275,273.25,275,5,60,16452.5
6/5/24,275,275,273.5,275,3,9,2472.5
6/3/24,268,277.75,268,275,6,36,9891.75
5/31/24,275,275,275,275,4,12798,3519450
5/30/24,268,268,268,275,2,3,804
5/28/24,279.75,279.75,275,275,18,21840,6006477.25
5/22/24,279,279.75,279,274.75,4,7,1956.75
5/21/24,278.5,278.5,278.5,274.75,4,4,1114
5/20/24,277.25,277.25,260.5,274.75,6,147,40390.75
5/17/24,273,278,258,277,72,525,145146.25
5/16/24,253.5,253.5,253.5,260,1,1,253.5
5/14/24,253,253,252.5,260,4,38,9598
5/13/24,260,260,260,260,4,151,39260
5/10/24,260,280,255.25,255.25,20,113779,29043797.75
5/9/24,278,278,277.5,251,6,16,4447.5
5/8/24,278,278,278,251,1,5,1390
5/6/24,259,259,259,251,1,1,259
5/2/24,250.25,250.25,250.25,251,1,1,250.25
4/30/24,255,255,251,251,7,17807,4469601
4/29/24,250,250,246.5,249.75,9,863,215498
4/26/24,246.75,246.75,246,250,6,22,5420.75
4/25/24,246,250,246,250,11,5031,1257690
4/24/24,250,250,250,250,2,10,2500
4/22/24,251,251,250,250,6,512,128010
4/19/24,242.25,246,242.25,255.25,3,15,3652.5
4/18/24,240,240,240,255.25,1,1,240
4/17/24,260,260,255,255.25,27,10426,2663678.75
4/16/24,268.25,268.25,257.25,260,4,14,3729
4/15/24,256.5,256.5,256.5,260,1,1,256.5
4/9/24,260,260,260,260,1,1,260
4/8/24,257.25,257.25,257,260,2,2,514.25
4/5/24,260,260,260,260,2,2599,675740
4/4/24,260.5,260.5,257.5,260,21,10834,2816822.25
3/28/24,261.75,261.75,260,261.75,5,21618,5658494
3/27/24,257,257,257,261.75,3,10,2570
3/26/24,255.5,255.5,255.5,261.75,7,55,14052.5
3/22/24,260,270,255,261.75,6,164,42907.5
3/21/24,255,255,255,278.75,1,1,255
3/14/24,272,272,254.25,278.75,2,2,526.25
3/12/24,253.25,253.25,253.25,278.75,1,1,253.25
3/7/24,269.5,280,250,278.75,19,47559,13237639
3/6/24,264,265,264,269.5,2,7,1850
3/5/24,254.25,254.25,254.25,269.5,1,2,508.5
3/1/24,250.25,250.25,250.25,269.5,2,2,500.5
2/29/24,267.75,267.75,267.75,269.5,1,1,267.75
2/27/24,254,270,254,269.5,12,26714,7197069.25
2/26/24,251,251,251,260,1,1,251
2/22/24,251,252.75,251,260,10,32,8036.75
2/21/24,250,250,250,260,1,5,1250
2/19/24,250,250,250,260,3,11,2750
2/16/24,242,242,242,260,1,1,242
2/15/24,260,260,240.25,260,7,15094,3924248.25
2/14/24,237.25,249,237.25,237.75,25,1344,319434.25
2/1/24,254,254,254,270,1,8,2032
1/31/24,261,261,261,270,1,8,2088
1/30/24,260,268,260,270,4,5,1314
1/29/24,260,260,260,270,1,1,260
1/24/24,259,259,259,270,1,8,2072
1/17/24,254,254,254,270,1,4,1016
1/16/24,279.5,279.5,279.5,270,1,1,279.5
1/12/24,279.5,279.5,279.5,270,1,1,279.5
1/10/24,255,255,255,270,1,1,255
1/9/24,261,261,261,270,1,1,261
1/8/24,279.75,279.75,279.75,270,1,1,279.75
1/3/24,279.75,279.75,279.75,270,2,2,559.5
1/2/24,233.25,270,233.25,270,3,10002,2700468.5
12/29/23,281.5,281.5,281.5,281.5,1,1,281.5
12/27/23,279.25,279.25,279.25,281.5,1,3,837.75
12/22/23,279,285,279,281.5,3,6,1680.5
12/21/23,260.25,299,260.25,281.5,39,759491,216234161.3
12/20/23,260,260,260,260.25,1,5,1300
12/18/23,260,265,260,260.25,6,19500,5072500
12/15/23,260,260,260,260,6,3803,988780
12/13/23,270,270,270,260,2,50,13500
12/12/23,269.75,269.75,269.75,260,1,5,1348.75
12/8/23,254.25,254.25,254.25,260,1,1,254.25
12/7/23,264.75,264.75,260,260,6,10037,2609795.75
12/6/23,263.5,265,263.5,265,8,1053,278994.25
12/5/23,254,259,254,253.25,3,42,10715
12/4/23,253,254,253,253.25,4,209,52944
12/1/23,252,252,252,254,1,1,252
11/30/23,264.5,264.5,254,254,5,8730,2217472.5
11/28/23,252.25,264.5,250,250.25,19,402,100641.5
11/27/23,252,252,252,264.75,4,10,2520
11/24/23,264.75,264.75,264.75,264.75,1,200,52950
11/22/23,265,265,265,265,1,7,1855
11/21/23,263.25,264,263.25,265,2,9,2375.25
11/20/23,265,265,265,265,2,5,1325
11/16/23,260.25,265,260.25,265,7,11766,3117800
11/15/23,270,270,262,269.5,6,177,47718
11/14/23,270.25,270.25,270,270,6,106,28620.25
11/13/23,285,285,283,285,20,210,59830
11/9/23,255.25,269.75,255,257,3,51,13020.25
11/8/23,257.75,257.75,257,257,3,3000,771215.75
11/7/23,253,260,252,257,11,5067,1309074.75
11/6/23,260.25,270,251,251,13,3606,924395.75
11/3/23,263.75,269,263.75,261,2,8,2120.5
11/2/23,268.5,269,260.25,261,4,11,2948.25
11/1/23,260.25,260.25,260,261,2,82,21320.5
10/31/23,269,269,261,261,6,49663,12962251
10/30/23,260.5,260.5,260,250,6,15,3905.5
10/27/23,268,268,268,250,2,3,804
10/26/23,250,250,250,250,3,27510,6877500
10/24/23,250.25,250.25,250,250,8,1827,456790.25
10/23/23,256,268,256,254.75,3,9,2328
10/20/23,253,294,253,254.75,6,373,95015
10/19/23,265,265,265,252.5,5,11,2915
10/18/23,266,266,265,252.5,10,363733,92752360
10/17/23,245,299.75,245,252.5,28,1421,357674.75
10/16/23,239.75,244,239,244,10,368590,89935556
10/13/23,235.5,240,235.5,237.25,7,117,27765.5
10/12/23,211.25,211.25,211.25,230,1,3,633.75
10/11/23,238,238,237,230,3,4,950
10/9/23,240,240,230.25,230,3,18,4290.75
10/6/23,230.25,230.25,230,230,2,30,6900.75
10/5/23,231,231,230,230,3,263,60491
10/4/23,230.25,230.25,230,230,3,2743,630894.5
10/2/23,245,245,245,245,1,18,4410
9/27/23,225.25,245,225.25,245,28,501970,122980126.8
9/26/23,227.5,241.75,227.5,227.75,3,1010,229914
9/25/23,220.25,220.25,220.25,217.5,2,4,881
9/22/23,235,235,235,217.5,1,1,235
9/21/23,221,248.75,215,217.5,17,589,129437.5
9/19/23,220,220,220,220,3,9,1980
9/15/23,215,221.75,215,220,2,3,651.75
9/14/23,219,222,219,220,6,2116,465492
9/13/23,218.5,219.5,215,215,5,140,30221.5
9/12/23,211,211,211,220,3,35,7385
9/11/23,220,220,220,220,2,141,31020
9/7/23,226,226,226,220,1,20,4520
9/6/23,220,220,220,220,2,59,12980
9/5/23,210.25,220,210,220,8,113,24720
9/4/23,219.75,220,219.75,217.5,3,15,3299.5
8/31/23,217.5,220,217,217.5,7,1014,220551
8/28/23,210,210,210,207.25,2,13,2730
8/25/23,207.25,222,207,207.25,3,342,70885.25
8/23/23,222,222,222,230,1,2,444
8/22/23,222,222,222,230,1,1,222
8/21/23,210,210,206,230,3,5,1042
8/18/23,228.75,229.5,200,230,8,91,18376.5
8/14/23,230,230,230,230,1,11752,2702960
8/11/23,230,230,230,230,3,140,32200
8/10/23,206,249,206,229.5,29,13045,2970372
8/9/23,205,205,205,205,1,1500,307500
8/8/23,191,191,191,217.75,1,1,191
8/7/23,210.5,225.5,210.5,217.75,19,1062,231120.5
8/4/23,209,210,205,210,6,3311,695275
8/3/23,210,210,210,210,2,1000,210000
8/2/23,208,208,208,209.25,1,1,208
7/31/23,208,209.25,208,209.25,3,30128,6304232.75
7/28/23,208.5,214,208,209.25,9,32,6703.75
7/27/23,209,209.75,209,209.25,4,3216,672162.75
7/26/23,209,209.5,205,209,5,2786,582295
7/25/23,205,209,204.75,209,13,19251,3986872.5
7/24/23,205,209,200,200,6,84036,17219732
7/21/23,199.75,209,199.75,200,12,1115,223022.5
7/20/23,200,200,190.25,199.75,6,20,3838.75
7/19/23,200,200,195,199.75,10,233,46568.5
7/18/23,200,200,191,199.75,6,2097,418621
7/17/23,198,200,198,200,10,15372,3074201
7/14/23,194.75,197,190,195.75,9,10316,2020571.5
7/12/23,187,196.75,186.75,190,14,6694,1271975
7/11/23,181.5,185,181,181,5,87971,15922759.5
7/10/23,180.5,184,180.5,180.5,7,23,4211
7/7/23,180.5,183.5,180.5,180.5,3,22259,4017781
7/6/23,183,184,180,180,7,1105,198943
7/5/23,180.25,180.25,180,180,6,2918,525247.5
6/28/23,188.25,188.25,180.5,180.5,17,11831,2135642.75
6/27/23,180,180,180,180,1,125,22500
