Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,9.7,9.8,9.6,9.7,91,359826,3481636.2
7/4/24,9.8,9.8,9.6,9.6,206,650712,6268902
7/3/24,9.8,9.8,9.6,9.7,159,425868,4133617.5
7/2/24,9.8,9.8,9.7,9.8,135,347713,3393346.4
7/1/24,9.9,9.9,9.7,9.8,149,362186,3553934.2
6/28/24,10,10.1,9.7,9.8,269,1090589,10712801.7
6/27/24,10,10,9.9,9.9,306,1184146,11750057.8
6/26/24,10,10.1,9.9,10,160,635980,6360938.4
6/25/24,10,10.1,9.9,10,208,967623,9675383.1
6/24/24,10.2,10.2,9.9,10,331,1482177,14829846.7
6/20/24,10.1,10.2,10,10.1,187,365328,3687018.2
6/19/24,10.2,10.2,10,10,190,687677,6949878.2
6/18/24,10.4,10.4,10.1,10.1,274,616129,6251326.3
6/14/24,10.5,10.5,10.1,10.3,641,3216104,32891566.3
6/13/24,11.4,11.5,11.3,11.5,194,2514752,28779922.7
6/12/24,11.4,11.4,11.3,11.4,102,382301,4355580.7
6/11/24,11.4,11.4,11.3,11.4,194,1971541,22472086
6/11/24,11.4,11.4,11.3,11.4,194,1971541,22472086
6/10/24,11.4,11.5,11.3,11.4,82,710300,8087726.5
6/7/24,11.5,11.5,11.2,11.3,118,746028,8468317.5
6/6/24,11.4,11.5,11.2,11.4,140,990449,11202444.8
6/5/24,11.1,11.4,11.1,11.3,122,847338,9423129.9
6/4/24,11.2,11.2,11,11.1,195,4333872,48095494
6/3/24,11.2,11.2,11,11.1,246,6471610,71871597.1
5/31/24,11.3,11.3,11.1,11.1,169,748607,8328187.5
5/30/24,11.3,11.3,11.1,11.1,158,460901,5138191.4
5/29/24,11.2,11.2,11,11.1,240,1964433,21822245.8
5/28/24,11.2,11.2,10.9,11,244,629112,6925482.6
5/27/24,11.2,11.2,11.1,11.1,195,544644,6049431.7
5/22/24,11.1,11.2,11.1,11.2,105,990181,11032406.9
5/21/24,11.3,11.3,11.1,11.1,167,327444,3639883.4
5/20/24,11.3,11.4,11.1,11.3,204,805108,9054450
5/17/24,11.4,11.4,11.2,11.3,142,403814,4563664.1
5/16/24,11.5,11.5,11.3,11.3,71,382310,4379126.1
5/15/24,11.6,11.6,11.3,11.4,149,384847,4392111.3
5/14/24,11.5,11.6,11.4,11.5,82,396222,4552992.8
5/13/24,11.5,11.6,11.4,11.5,130,252924,2908728.4
5/10/24,11.6,11.7,11.5,11.5,109,256549,2960879
5/9/24,11.5,11.7,11.4,11.5,273,52757096,606744349.3
5/8/24,11.7,11.7,11.4,11.5,446,7097587,81657125.9
5/7/24,11.9,11.9,11.6,11.7,108,214318,2516037.9
5/6/24,11.7,11.9,11.7,11.8,61,842456,9941197
5/3/24,11.9,12,11.5,11.8,172,689156,8147380.6
5/2/24,11.9,12,11.8,11.8,130,4481114,52879514
4/30/24,11.9,12,11.7,11.9,164,1851127,21931137.5
4/29/24,11.9,11.9,11.7,11.8,103,300704,3550245.9
4/26/24,11.9,12,11.7,11.8,113,5190734,61284956.2
4/25/24,11.9,12,11.8,11.8,104,862841,10231722.3
4/24/24,11.8,12,11.8,11.9,85,140026,1655083.4
4/22/24,12,12,11.7,11.8,150,707611,8357219.7
4/19/24,12,12.1,11.7,11.9,198,1181398,13944304.1
4/18/24,11.7,12.1,11.7,11.8,292,1244653,14805388.6
4/17/24,11.8,11.9,11.5,11.7,209,15404479,177336381.1
4/16/24,12,12,11.7,11.7,142,688689,8131607.7
4/15/24,11.9,12,11.9,12,44,46613,555270.7
4/10/24,11.9,12.1,11.9,12,43,494445,5932885.5
4/9/24,12.1,12.1,11.8,12,97,1684367,20205441.6
4/8/24,12,12.2,12,12,118,1109737,13353152.9
4/5/24,11.7,12.1,11.7,12,158,2461409,29394289.7
4/4/24,11.7,11.9,11.7,11.7,63,95744,1125709.4
4/3/24,11.7,11.9,11.6,11.7,44,266945,3131122.7
4/2/24,11.5,11.6,11.5,11.5,129,767212,8827255.4
4/1/24,11.7,11.8,11.5,11.6,78,821474,9525855.9
3/28/24,11.9,12,11.6,11.7,70,86071,1008617.3
3/27/24,11.9,12,11.8,11.9,163,1940727,23242717
3/26/24,11.7,11.9,11.7,11.8,78,1007974,11900880.7
3/25/24,11.8,11.8,11.6,11.6,46,121936,1415693.2
3/22/24,11.9,12,11.7,11.8,148,563295,6657474.4
3/21/24,11.6,11.9,11.6,11.8,156,1200792,14061484.7
3/20/24,11.3,11.6,11.3,11.5,174,1638392,18745035.9
3/19/24,11.2,11.4,11.2,11.3,110,1644443,18513973.6
3/18/24,11,11.3,11,11.2,138,660146,7382037.9
3/15/24,11,11.1,11,11,76,337382,3712749.9
3/14/24,11.1,11.2,11,11,71,886433,9775294.1
3/13/24,10.8,11.1,10.8,11,167,1849067,20323097.4
3/12/24,10.7,10.9,10.7,10.8,84,2528905,27306178
3/11/24,10.8,10.8,10.7,10.7,77,234651,2522234
3/7/24,10.6,10.8,10.6,10.7,93,258291,2762149.8
3/6/24,10.7,10.7,10.5,10.6,38,106554,1129587.3
3/5/24,10.5,10.8,10.5,10.7,82,1377708,14600573
3/4/24,10.6,10.6,10.5,10.5,69,200597,2113692.9
3/1/24,10.4,10.6,10.4,10.6,68,185818,1962887.2
2/29/24,10.5,10.6,10.4,10.4,125,1543916,16211020
2/28/24,10.5,10.6,10.4,10.4,91,2118056,22427322.6
