Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,35.5,36.1,35.5,35.8,150,166177,5942302.2
7/4/24,36.5,36.9,35,35.5,383,1089845,38534471.3
7/3/24,37.1,37.1,36.5,36.6,184,510455,18849732.2
7/2/24,36.8,37.3,36.8,37.2,157,237194,8787405.9
7/1/24,37.5,37.5,36.5,36.7,305,895569,33053436
6/28/24,38,38,36.9,37.7,191,570297,21223720.4
6/27/24,37.9,38.9,37,37.8,334,893050,33438394.1
6/26/24,38.5,38.8,37.7,38,323,630227,23990157.2
6/25/24,38.9,39.5,38.4,38.6,240,676037,26150933
6/24/24,39.8,40.2,38.5,38.9,422,768504,30305382.9
6/20/24,39,40.6,38.9,39.7,1112,3427821,136785557.9
6/19/24,38.1,39.2,37.9,38.9,548,1621332,62573810.4
6/18/24,37.9,38.3,37.5,38.1,301,924292,35099392.2
6/14/24,37.4,38,37.1,37.9,384,1970240,74211547.2
6/13/24,37.8,38,37.1,37.5,326,881315,33333305.4
6/12/24,37.5,37.8,37,37.5,494,1397720,52074219.8
6/11/24,36.8,37.7,36.5,37.3,736,2842095,105315710
6/11/24,36.8,37.7,36.5,37.3,736,2842095,105315710
6/10/24,35.6,36.7,35.6,36.3,446,1069800,38691069
6/7/24,36.2,36.2,35.5,35.5,169,273790,9751527.9
6/6/24,35.4,36,35.2,36,450,924713,32986378.9
6/5/24,35,35.7,35,35.2,330,2376837,83628673
6/4/24,33.9,35.3,33.9,34.9,478,1931146,67455979.3
6/3/24,34.2,34.2,33.2,34,177,724940,24628563.2
5/31/24,33.8,34.2,33.8,34,178,901096,30629386.1
5/30/24,33.2,34.3,33,33.9,217,847269,28291304.7
5/29/24,33.5,33.6,33.3,33.5,145,395729,13254000.6
5/28/24,34,34,33.4,33.6,129,216758,7274537.4
5/27/24,34.3,34.4,33.8,33.9,126,342438,11698438.4
5/22/24,34.5,34.5,33.7,34.1,235,736957,25162345.9
5/21/24,34.5,34.6,33,34.2,338,802791,27032092.5
5/20/24,33.5,35,33.5,34.3,885,2468176,84680445.4
5/17/24,31.5,33.7,31.5,33.5,1066,3512213,115698654.7
5/16/24,30.5,30.7,30.3,30.4,101,58581,1783531.9
5/15/24,31.7,31.8,30.5,30.6,178,203059,6275482.5
5/14/24,31.4,31.4,30.8,30.9,222,184025,5714665.4
5/13/24,31.7,31.7,31.3,31.6,88,176041,5545980.8
5/10/24,31.3,31.9,31.3,31.5,125,151816,4793909.9
5/9/24,31.5,31.7,31,31.3,148,735638,22856268.7
5/8/24,32,32.2,31.5,31.6,95,78191,2486500.5
5/7/24,31.7,32.3,31.7,32,139,265931,8513033.9
5/6/24,32,32.4,31.6,31.7,119,110825,3545960.3
5/3/24,32.3,32.3,31.9,32.2,184,571109,18385887.9
5/2/24,31.4,32.6,31.4,32.2,287,666867,21434009.2
4/30/24,31.1,31.4,30.9,31.1,193,501971,15600043.9
4/29/24,30.3,31.6,30.2,31,376,5233135,162201998.7
4/26/24,30.1,30.3,29.8,30.3,152,509470,15342431.9
4/25/24,29.3,30,29,29.8,187,392539,11679482.1
4/24/24,29.1,29.9,29.1,29.4,96,118753,3503951.1
4/22/24,29.1,29.5,29,29.4,64,54511,1597718.8
4/19/24,29.1,29.7,28.9,29.2,105,128717,3747191.9
4/18/24,29.9,30,29,29.2,244,246763,7215852.7
4/17/24,29.7,30.4,29.5,29.8,138,140424,4164495.9
4/16/24,29.8,30.5,29.7,29.8,106,211533,6337328.7
4/15/24,29.6,30.6,29.6,30,92,98764,2979577.9
4/10/24,29.6,30.8,29.5,30,89,272962,8170685.5
4/9/24,29.5,29.6,29.2,29.6,106,156706,4620171.7
4/8/24,29.3,29.7,29.2,29.5,155,436278,12854772.6
4/5/24,29.4,29.7,29.2,29.4,129,104710,3076478
4/4/24,29.5,29.6,29.4,29.5,154,288098,8498904.8
4/3/24,29.6,29.7,29.1,29.5,148,129683,3822818.4
4/2/24,29.9,29.9,29.5,29.6,152,175567,5207368.1
4/1/24,30.5,30.5,29.5,29.7,334,234645,7015484.4
3/28/24,30.5,30.9,30.3,30.4,126,598063,18182550.2
3/27/24,30.3,30.4,30.1,30.3,93,124419,3766643.3
3/26/24,30.5,30.5,30.2,30.2,60,111564,3384276
3/25/24,30.7,30.7,30.2,30.2,42,219257,6682769.2
3/22/24,30.1,31,30.1,30.5,93,466078,14182840.1
3/21/24,30.6,31,30,30.1,116,147790,4468430.5
3/20/24,31.1,31.3,30.6,30.9,72,85996,2663943
3/19/24,30.9,31.2,30,30.9,128,319482,9831210.1
3/18/24,31.1,31.2,30.5,31,133,233321,7224090.5
3/15/24,30.6,31.2,30.1,31,167,320793,9844234.7
3/14/24,30.4,31.1,30.2,30.9,179,220338,6783245.5
3/13/24,30.1,30.4,30,30.1,138,149331,4495330.6
3/12/24,30.5,30.5,30,30.2,92,111336,3361523.9
3/11/24,30.1,31,29.7,30.2,215,359012,10919225.7
3/7/24,28.9,30.2,28.8,29.7,206,867532,25668625.6
3/6/24,29.1,29.3,28.7,29,88,63037,1822335.9
3/5/24,28.5,29.1,28.5,29,145,136737,3943867
3/4/24,28,28.7,28,28.2,221,340452,9615157.7
3/1/24,28,28.1,27.8,27.9,61,48758,1364106.4
2/29/24,28,28.4,28,28,110,118479,3320920.4
2/28/24,27.1,28.7,27.1,28.4,256,382532,10644426.3
2/27/24,27.2,27.2,27,27,102,107621,2907775.8
2/26/24,27.1,27.2,27,27,91,52557,1422038.8
2/22/24,27.3,27.3,27,27.2,16,8952,243899.8
2/21/24,27.3,27.4,26.9,27,115,191867,5216513.2
