Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,22.1,22.1,21.9,22,26,27339,601969.2
7/4/24,22.8,22.8,22,22.5,16,10025,225275.6
7/3/24,22.5,23,22.1,23,7,382,8643.4
7/2/24,23.2,23.2,22.1,23.2,5,5178,120003.8
7/1/24,22.5,23.2,22.1,23.2,10,2710,61385.3
6/28/24,23.1,23.2,23,23,10,21003,487068.3
6/27/24,22.7,22.7,22.5,22.5,7,9944,224040.2
6/26/24,23.5,23.5,22.8,23,10,8123,185620.2
6/25/24,22.9,23.5,22.9,23.2,9,415,9628.5
6/24/24,23,23.3,22.7,22.8,27,29932,688349.6
6/20/24,23,23,22.7,22.7,15,32981,749572.9
6/19/24,23,23,22.8,22.9,13,2785,63610
6/18/24,23,23,23,23,7,2706,62238
6/14/24,23.9,23.9,20.1,23.2,84,100544,2121476.5
6/13/24,23.9,24,23.9,24,21,5652,135446.1
6/12/24,23.9,24,23.3,23.6,15,17112,400464.9
6/11/24,24,24,23.5,23.5,33,74677,1757499.1
6/11/24,24,24,23.5,23.5,33,74677,1757499.1
6/10/24,24.1,24.1,23.5,24.1,14,18874,444062.2
6/7/24,23.9,24,23.7,23.7,7,129,3063.5
6/6/24,24.2,24.2,24,24,6,191,4592.2
6/5/24,24.2,24.2,24.2,24.2,1,100,2420
6/4/24,24,24.4,24,24.1,10,20582,493991
6/3/24,24,24.4,24,24,9,10030,240724
5/31/24,24,24.2,24,24,9,2552,61258.2
5/30/24,23.6,24.7,23.6,24.2,28,6456,157694.6
5/29/24,24,24.3,23.5,24.3,7,1497,35969.7
5/28/24,24.9,24.9,24,24.1,46,26287,632300.5
5/27/24,25,25,24,24.1,17,10666,257894
5/22/24,25,25.1,24.5,24.7,16,3880,96550
5/21/24,24.2,25,24.1,24.1,11,5088,122810.8
5/20/24,24.3,24.4,24.2,24.2,5,6438,156334.3
5/17/24,24.2,24.3,24.2,24.2,2,2215,53605
5/16/24,24.2,25,24.1,24.1,6,2220,53531.3
5/15/24,25,25,24.2,24.2,5,5091,123266.8
5/14/24,25,25,24.2,24.2,11,13045,316424.9
5/13/24,24,25,24,24.3,7,4173,101325
5/10/24,25.3,25.3,24.4,24.4,13,1670,41356.2
5/9/24,25,25,24.4,24.9,7,296,7384
5/8/24,25.3,25.3,25,25,4,602,15050.6
5/7/24,25.5,25.5,25,25,6,1176,29420.5
5/6/24,24.7,25.8,24.6,24.6,16,4597,113425.5
5/3/24,25.7,25.9,24.1,24.8,48,25832,644271.2
5/2/24,25.2,25.2,24.8,24.8,12,15263,381732.7
4/30/24,25,26,25,25.4,23,4526,114341.3
4/29/24,25.5,25.5,25.3,25.4,7,362,9174.9
4/26/24,24.2,25.9,24.2,25,11,5512,136250.4
4/25/24,24.5,27.3,23.9,25.8,60,76073,1884723.3
4/24/24,24.1,24.6,24.1,24.4,11,5041,122937.8
4/22/24,24.6,24.6,24,24.2,9,269,6492.5
4/19/24,24.5,24.5,23.8,23.9,10,503,12015
4/18/24,24.5,24.5,24.5,24.5,4,220,5390
