Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,7.3,7.3,7.1,7.1,9,20977,150700
7/4/24,7.6,7.6,7.3,7.3,7,1400,10235.8
7/3/24,7.6,7.6,7.4,7.4,4,1301,9627.6
7/2/24,7.3,7.3,7.3,7.3,4,3610,26353
7/1/24,7.7,7.7,7.3,7.3,4,1740,12922
6/28/24,7.7,7.7,7.4,7.4,2,671,4965.7
6/27/24,7.7,7.7,7.5,7.5,13,3054,23025.5
6/26/24,7.7,7.7,7.4,7.7,5,317,2432.6
6/25/24,7.6,7.6,7.4,7.4,8,16776,124972.4
6/24/24,7.6,7.8,7.4,7.4,15,27689,205771
6/20/24,7.3,7.3,7.3,7.4,1,57,416.1
6/19/24,7.5,7.5,7.4,7.4,9,31000,229500
6/18/24,7.4,7.4,7.4,7.4,1,32,236.8
6/14/24,7.6,7.6,7.4,7.4,6,30250,223900
6/13/24,7.6,7.7,7.6,7.6,5,1301,9894.6
6/12/24,7.7,7.7,7.7,7.4,1,50,385
6/11/24,7.7,7.7,7.4,7.4,7,3694,27378.5
6/11/24,7.7,7.7,7.4,7.4,7,3694,27378.5
6/10/24,7.5,7.6,7.5,7.6,8,4415,33139
6/7/24,7.6,7.6,7.6,7.6,3,4001,30407.6
6/6/24,7.3,7.5,7.3,7.3,13,6918,50675
6/5/24,7.3,7.3,7.3,7.2,1,1,7.3
6/4/24,7.4,7.5,7.2,7.2,6,3923,28401.6
6/3/24,7.3,7.5,7.3,7.4,5,278,2044.4
5/31/24,7.6,7.6,7.3,7.4,9,6411,48660.3
5/30/24,7.3,7.5,7.2,7.2,19,14303,103091.8
5/29/24,7.6,7.6,7.3,7.3,13,200502,1493664.6
5/28/24,7.5,7.5,7.5,7.5,6,2050,15375
5/22/24,7.6,7.6,7.6,7.6,4,340,2584
5/21/24,7.7,7.7,7.1,7.1,14,39101,279615.9
5/20/24,7.3,7.3,7.3,7.3,9,20770,151621
5/17/24,7.5,7.7,7.2,7.6,14,11904,87125.5
5/16/24,7.6,7.7,7.5,7.7,11,7102,53475.2
5/15/24,7.4,7.9,7.4,7.8,18,23279,180863.7
5/14/24,7.5,7.7,7.5,7.5,7,4902,36765.2
5/13/24,7.5,7.7,7.5,7.5,5,800,6020
5/10/24,7.6,7.8,7.5,7.5,31,72859,548363.9
5/9/24,7.9,7.9,7.5,7.6,14,8025,60846.9
5/8/24,7.6,7.9,7.6,7.8,29,31257,243903.3
5/7/24,7.7,7.7,7.5,7.6,15,45026,341915
