Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,16,16.3,16,16,21,23493,375941.6
7/4/24,16,16,15.8,15.8,34,54755,874280
7/3/24,16.5,16.5,16.3,16.3,17,14159,231163.5
7/2/24,16.1,16.5,16,16.4,31,60959,980898.3
7/1/24,16.1,16.5,16.1,16.2,15,18526,302924.2
6/28/24,16.3,16.5,16.1,16.4,43,78223,1281286.4
6/27/24,16.6,16.6,16.2,16.2,44,237409,3904452.9
6/26/24,16.8,16.8,16.3,16.3,17,23504,384017.2
6/25/24,16.7,16.8,16.3,16.7,65,265080,4388831.3
6/24/24,15.8,16.6,15.8,16.5,78,412573,6768999.2
6/20/24,15.6,16,15.6,15.8,19,8929,140496.9
6/19/24,16,16,15.6,15.8,74,55475,877492.2
6/18/24,16.1,16.2,16,16,19,26733,427996.2
6/14/24,16.2,16.2,16,16.1,42,60582,970668.1
6/13/24,16.2,16.4,16,16.1,33,26562,425450.8
6/12/24,16.5,16.5,15.9,16.3,55,196677,3147767.6
6/11/24,15.9,16.5,15.9,16,32,37756,607454.2
6/11/24,15.9,16.5,15.9,16,32,37756,607454.2
6/10/24,16.1,16.1,15.8,15.9,35,42244,674350.9
6/7/24,16.1,16.1,15.9,16,63,33471,533443.1
6/6/24,16.1,16.5,15.9,16.1,60,46669,748193.6
6/5/24,16.5,16.5,15.9,16,70,82766,1325186.3
6/4/24,16.1,16.7,16,16,30,20835,333516.9
6/3/24,16.5,16.7,15.9,16,56,37354,597659.7
5/31/24,16.5,16.9,16.1,16.3,44,51172,833308.3
5/30/24,16.2,16.6,16,16.6,22,20665,332016.5
5/29/24,16.5,16.5,16,16.1,60,59537,962934.7
5/28/24,16.5,16.9,16.4,16.6,42,118827,1960496.5
5/27/24,16.6,16.9,16.5,16.6,29,75669,1260940.2
5/22/24,16.7,16.9,16.4,16.6,49,87377,1442683.6
5/21/24,17.3,17.3,16.5,16.5,25,16389,271534.3
5/20/24,17.4,17.4,16.5,16.5,30,52334,865790.7
5/17/24,17.4,17.4,16.6,16.9,32,21859,366688
5/16/24,17.4,17.5,16.5,16.7,97,107403,1789536.8
5/15/24,17.1,17.5,17.1,17.2,49,134988,2334947.2
5/14/24,17.6,17.9,17.1,17.5,26,40794,713430.3
5/13/24,18,18,17.7,17.7,22,12067,213607.4
5/10/24,17.9,18,17.8,17.8,25,23083,411544.5
5/9/24,18,18,17.8,17.9,10,4993,89052
5/8/24,18,18.2,17.9,18,52,147422,2661297.4
5/7/24,17.9,18,17.6,18,73,166894,2992071
5/6/24,17.8,17.9,17.4,17.6,106,477618,8449757.9
5/3/24,17.6,17.9,17.5,17.9,34,85173,1500041.5
5/2/24,17.9,18.4,17.4,17.6,43,37740,665776.8
4/30/24,18,18,17.5,17.7,66,165360,2944765.1
4/29/24,18,18.1,17.8,17.9,48,98176,1762838.3
4/26/24,18.3,18.3,17.8,17.9,82,185642,3316954.2
4/25/24,18.1,18.4,18,18.1,166,294130,5355012.2
4/24/24,17.7,18.3,17.6,18.2,160,657533,11923485.3
4/22/24,17.8,17.8,17.5,17.7,39,28896,509999.3
4/19/24,17.5,17.8,17.5,17.5,52,412349,7216857.6
4/18/24,17.8,17.9,17,17.5,106,889231,15413336.7
4/17/24,17,18,16.9,17.9,157,431416,7681378.4
4/16/24,17,17.4,17,17,57,92496,1573613.1
4/15/24,17.5,17.9,17.1,17.1,71,159534,2796355.4
4/10/24,17.3,17.8,17,17.2,72,250369,4346923.8
4/9/24,17.3,17.3,16.8,17,49,203358,3461421.5
4/8/24,17,17.3,16.9,17.3,32,54877,933126.3
4/5/24,17,17,16.8,17,51,97637,1657973.7
4/4/24,17.5,17.5,16.9,17,61,337100,5755081.5
4/3/24,17.6,17.9,17,17.1,94,192666,3314490.9
4/2/24,18.1,18.1,17.3,17.4,73,202777,3578816.6
4/1/24,16.8,19.3,16.5,18.2,265,27679629,804253622.7
3/28/24,17,17,16.7,16.8,55,149384,2536579.4
3/27/24,17.1,17.1,16.7,16.8,59,65154,1100626.7
3/26/24,17.1,17.1,16.8,16.8,36,30913,523485.5
3/25/24,17,17,16.9,17,46,128468,2180191.7
3/22/24,17,17.2,17,17,78,193327,3286595.2
3/21/24,17,17.2,16.9,16.9,12,20420,345231
3/20/24,17.1,17.2,16.9,17,25,17883,303835.4
3/19/24,17,17.2,17,17,32,34283,582811.2
3/18/24,17.3,17.4,16.9,17,89,152460,2599103.5
3/15/24,17.5,17.5,17.1,17.5,21,15887,272024.9
3/14/24,17.7,17.7,17.1,17.2,14,3782,64996.8
3/13/24,17.5,17.5,17.1,17.2,93,97471,1691382.1
3/12/24,17.9,17.9,17.5,17.5,39,94112,1676861.7
3/11/24,18,18.1,17.7,17.9,63,190282,3419172.5
3/7/24,17.5,18.1,17.5,17.8,118,226533,4052455
3/6/24,17.6,17.6,16.9,17.5,82,280666,4797090.9
3/5/24,17.3,17.6,17.2,17.3,45,51178,892785.6
3/4/24,17.1,17.4,17,17.2,30,24448,416394.2
3/1/24,16.8,17.3,16.8,17.1,19,48694,826689.2
2/29/24,17.4,17.5,16.8,16.8,16,4627,78343.8
2/28/24,17.1,17.8,16.9,17,45,80339,1414913
2/27/24,16.8,16.8,16.5,16.5,11,27065,447887
2/26/24,17.4,17.4,16.6,16.9,20,7314,122621.3
2/22/24,17,17.5,17,17,10,5324,91262.6
2/21/24,17,17,17,17,13,25544,434248
2/20/24,17.5,17.5,17,17.1,20,5257,90714.4
2/19/24,17.5,17.5,17.4,17.4,17,18483,323327.5
2/16/24,17.6,17.6,17.4,17.5,8,1714,30019.9
2/15/24,17.8,17.8,17.4,17.5,10,4923,86047.1
2/14/24,17.8,17.9,17.5,17.5,35,64082,1145769.2
2/13/24,17.6,17.9,17.3,17.8,108,277222,4877432.6
2/12/24,17,17.6,16.9,17.4,55,235788,4070037.8
2/9/24,16.9,17,16.5,16.8,14,7066,119037.3
2/8/24,17,17,16.6,16.9,5,14902,251724
2/7/24,17.4,17.4,16.5,16.9,30,77081,1278189.2
2/6/24,17.1,17.4,17,17,29,28265,482587
2/2/24,17,17.4,16.6,17.1,28,45736,776311.3
2/1/24,17.4,17.4,16.6,16.7,30,28869,485812.1
1/31/24,17,17,16.5,16.5,38,74933,1240327.7
1/30/24,17.1,17.1,16.5,16.5,42,137261,2273553.8
1/29/24,17.4,17.5,16.6,16.7,49,193188,3287514.2
1/26/24,17,17.7,16.5,16.6,96,268067,4525289.4
1/24/24,17.5,17.9,17.1,17.3,40,42799,742723.1
1/23/24,18,18,17.3,17.4,44,48861,852255.4
1/22/24,18.2,18.2,17.5,17.6,33,115158,2038473.2
1/19/24,18.2,18.2,17.8,18,82,157142,2840407.2
1/18/24,17.7,18.2,17.5,17.9,179,407146,7305039.1
1/17/24,17,17.8,17,17.7,106,422415,7466485.4
1/16/24,17.2,17.3,17,17.1,27,44312,757584.9
1/12/24,17.6,18,17.6,17.6,18,6622,118123.1
1/11/24,17.8,18,17.3,17.5,41,142274,2503931.1
1/10/24,17.8,17.8,17.3,17.7,22,13901,242883.4
1/9/24,17.9,18.3,17.1,17.7,75,159198,2803027.6
1/8/24,17.3,18.2,16.9,18,244,476276,8475671.7
1/5/24,17,17.3,16.5,17.1,69,518716,8820865.3
1/4/24,16.1,17.1,16,17,105,329259,5559165
1/3/24,16.7,16.7,15.9,16,55,63922,1022130.5
1/2/24,16.5,16.5,16.1,16.3,23,17525,284994.9
12/29/23,16.1,16.5,16,16,21,66709,1075557
