Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,28.3,28.9,28.3,28.8,11,7894,225564.4
7/4/24,29.2,29.2,28.4,28.8,36,20193,576214.8
7/3/24,28.9,29,28.6,28.6,22,5860,169468.5
7/2/24,28.9,29,28.6,28.8,30,15777,456421.5
7/1/24,29.2,29.2,28.9,28.9,29,8024,232288
6/28/24,28.9,29.5,28.9,29.4,14,1254,36844.6
6/27/24,29,29.3,28.8,29.3,19,3663,106188
6/26/24,28.8,29,28.8,29,12,3339,96436.3
6/25/24,29,29,28.8,28.9,22,15372,443545.1
6/24/24,29.2,29.3,29,29.1,16,7799,227212.6
6/20/24,28.8,29.4,28.8,29,21,6967,203410
6/19/24,28.8,29.1,28.8,29,7,1911,55349.8
6/18/24,28.7,29.4,28.7,29.2,18,10668,308643.7
6/14/24,28.7,28.9,28.5,28.6,5,1045,29879.1
6/13/24,29.1,29.5,28.8,28.8,10,1466,42435.6
6/12/24,29,29.5,28.5,29.1,17,6599,189840
6/11/24,28.5,29.6,28.5,28.8,22,1645286,47712574.3
6/11/24,28.5,29.6,28.5,28.8,22,1645286,47712574.3
6/10/24,29,29,28.5,28.5,8,4750,135925
6/7/24,29,29,28.6,28.6,16,5756,164967.6
6/6/24,29,29,28.7,28.8,18,72052,2085292
6/5/24,28.4,29,28.4,28.4,16,3612,102605.9
6/4/24,28.4,29,28.3,29,22,5215,149422.6
6/3/24,28.7,28.9,28.4,28.5,18,8647,246748.9
5/31/24,28.9,28.9,28.8,28.9,7,158,4561.7
5/30/24,28.5,28.9,28.4,28.4,30,5309,151133.2
5/29/24,29.4,29.4,28.9,28.9,15,2460,71280.8
5/28/24,28.5,29.5,28.5,29.1,18,6605,190143.7
5/27/24,28.8,29.8,28.4,29.5,35,25159,739010.1
5/22/24,28.3,29.4,28.3,28.9,18,7771,224650.4
5/21/24,28.7,29,28.4,28.9,41,304248,8799398.2
5/20/24,29,29,28.4,28.7,10,1310,37285.2
5/17/24,28.3,29,28.3,29,20,37529,1087556.9
5/16/24,29,29,28.4,28.4,27,24842,705634.6
5/15/24,29,29,28.5,28.6,31,13390,383899.4
5/14/24,28.9,29.4,28.9,29,37,5564564,161919387.3
5/13/24,28.7,29.4,28.7,29.3,20,3044321,88586854.8
5/10/24,28.5,29.5,28.5,29,18,2032,59117.8
5/9/24,29,29.4,28.5,28.5,62,1042141,29709829.7
5/8/24,28.7,29.8,28.7,29,12,3808,113073.9
5/7/24,28.9,29,28.7,29,37,71278,2065991.6
5/6/24,29,29.1,28.9,28.9,38,34586,1001151.2
5/3/24,29,29.5,28.9,29,26,45155,1310579.2
5/2/24,29,29.2,29,29.2,31,33059,959211.2
4/30/24,28.9,30,28.7,29,86,180997,5298503.8
4/29/24,29.3,29.4,28.5,28.8,121,5279250,153098509.7
4/26/24,28.2,29.1,28.2,28.9,59,95834,2726188.8
4/25/24,28.2,29,28.2,28.2,7,2529,71337.8
4/24/24,29,29,28.1,29,6,149,4312
4/22/24,28,29.1,28,28.9,39,13507,382875.3
4/19/24,28.1,28.8,28.1,28.4,20,3230,91497.1
4/18/24,28.5,28.8,28,28.2,27,27591,773316.3
4/17/24,28.3,28.3,27.5,28,62,84876,2363714.7
4/16/24,28.4,28.9,28.2,28.6,16,8188,234224.7
4/15/24,29.1,29.2,28.1,29,19,11584,336088.1
4/10/24,29.1,29.2,29.1,29.1,10,714,20778.1
4/9/24,29.5,29.6,29.1,29.1,57,334432,9865290.8
4/8/24,29.5,29.6,29.1,29.5,35,88283,2604578.1
4/5/24,29.1,29.7,29.1,29.6,14,67202,1984761.4
4/4/24,29.9,29.9,29.1,29.5,13,31035,916182.5
4/3/24,29.5,29.5,29.5,29.5,26,80735,2381682.5
4/2/24,29.1,29.8,29,29.5,26,57638,1703798.5
4/1/24,29.2,30,29,29.5,18,35803,1055670.3
3/28/24,29.9,29.9,29.5,29.5,25,27689,818734
3/27/24,29.2,29.9,29.2,29.7,22,26070,773503.5
3/26/24,29.9,29.9,29.5,29.6,14,31570,934403.9
3/25/24,29.6,29.6,29.5,29.5,8,10125,298689.5
3/22/24,29.5,30,29.5,29.7,19,8551,255632.7
3/21/24,29,30.5,29,29.6,112,252286,7474513.6
3/20/24,28.5,29.1,28.5,29,102,812184,23528847.4
3/19/24,28,28.6,28,28.5,46,52276,1492123.6
3/18/24,28,28.4,28,28.4,27,67753,1914198.9
3/15/24,27.4,28.5,27.3,28.4,55,266709,7508100.1
3/14/24,27.1,27.4,27.1,27.2,14,28444,773723.8
3/13/24,27.1,27.2,27.1,27.1,8,7325,198511.1
3/12/24,27.3,27.3,27.1,27.3,15,42347,1149897.3
3/11/24,26.7,27.8,26.7,27.5,18,55597,1517783.2
3/7/24,26.5,26.9,26.5,26.9,16,6545,173653.9
3/6/24,26.5,26.6,26.5,26.5,12,9313,246894.5
3/5/24,26.1,26.7,26.1,26.5,34,111584,2959976
3/4/24,26,27.5,25.6,26.1,21,18247,475759.2
3/1/24,26.2,26.2,25.9,26,16,65060,1692429.8
2/29/24,26.9,26.9,26.2,26.2,11,9035,237211
2/28/24,26.1,26.9,26,26.5,12,34524,906375
2/27/24,26,26.7,25.9,26,16,55228,1432968.1
2/26/24,26.2,26.2,26,26.1,24,22852,596812
2/22/24,27.4,27.4,26.2,26.2,12,10409,276981.6
2/21/24,27.5,27.5,27,27,23,127413,3440282
2/20/24,26.8,27,26.3,27,30,106900,2885262.4
2/19/24,26.2,26.2,26,26,24,25689,669214.4
2/16/24,26.8,26.8,26.1,26.1,27,21205,554292.7
2/15/24,26.7,26.8,26.7,26.7,6,5805,154994.7
2/14/24,27,27,26.7,26.8,21,23477,627241.6
