Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,175.25,175.5,171,175,14,9553,1671842.25
7/4/24,174.5,175,170.25,171.5,45,36760,6426227.5
7/3/24,176,176,174.25,175,46,37526,6565280
7/2/24,176,176.25,175,175,46,40247,7051860.5
7/1/24,177,177,175.25,176,31,13761,2414201.25
6/28/24,178,178,175,175,35,3167,554599.75
6/27/24,178,178,175.5,177,48,23844,4205080.75
6/26/24,178,178,177,177,32,7895,1400431
6/25/24,178.25,178.5,177.75,178,48,17371,3092916
6/24/24,178.5,182,178.5,179,24,10111,1828633.25
6/20/24,181.75,181.75,178,178.5,11,25197,4498673
6/19/24,178,182,177.5,180,24,16840,3030954
6/18/24,180,180,179,180,16,4232,761750
6/14/24,181,181,179.5,180,34,19025,3423573
6/13/24,181.5,183.75,181.5,182,24,11814,2147261.25
6/12/24,183.75,184,182,182,55,85316,15569586.5
6/11/24,183.5,185,182.5,183.75,117,160424,29376636.25
6/11/24,183.5,185,182.5,183.75,117,160424,29376636.25
6/10/24,183.5,185,182,182.5,55,67499,12316430.75
6/7/24,183.5,183.5,180.25,182,50,42937,7794874.5
6/6/24,183.5,183.5,181,182.75,28,21043,3841080.75
6/5/24,179.5,184,179.5,182.25,88,165477,30163953
6/4/24,179,179.5,178,178.5,46,87365,15557659.5
6/3/24,179.5,179.5,176.5,178.75,65,72840,13007618
5/31/24,178,178.5,176,178,34,11398,2021670.75
5/30/24,,179.25,,177,34,39552,6841850.5
5/29/24,176.5,176.5,175,176,53,42209,7424680.25
5/28/24,178.5,178.5,176.5,177,51,43346,7674217.75
5/27/24,178.25,180,178,179.5,20,9145,1636718
5/22/24,178.5,179.5,178,179.25,78,171410,30633136.75
5/21/24,176.25,178.75,176.25,177.75,55,38815,6894971.25
5/20/24,179,179.75,174.5,176.5,51,31400,5516956.75
5/17/24,177,179.5,176.5,178.25,33,8245,1462151
5/16/24,179.75,180,177,177,59,15278,2709467.25
5/15/24,182,182,176.5,177.25,121,86962,15492258.75
5/14/24,183,183,179,180.25,73,44765,8133816
5/13/24,185,185,182.5,183,74,48912,8957758
5/10/24,188,188,182.5,185,214,200773,37024447
5/9/24,184,185,184,185,33,41274,7626365
5/8/24,186,188,184,184.25,90,61823,11475007.25
5/7/24,184.25,189,184.25,186.5,43,43878,8164069.75
5/6/24,185.5,190,184,189.5,49,39716,7376332.5
5/3/24,189.5,189.5,185.25,186,61,29904,5570441.5
5/2/24,189,193,187.5,187.5,53,10446,1983898.25
4/30/24,186.5,193,186.5,191,229,203227,38540893.75
