Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,99.3,100,99.2,99.3,7,207,20558.7
7/4/24,99.6,99.6,99,99.3,18,9451,938435.7
7/3/24,103,103,99.5,99.5,6,3500,348600.5
7/2/24,100,103,99.5,99.9,16,155611,15483723
7/1/24,99.8,100,99.6,99.6,9,5754,574020.1
6/28/24,99.8,100,99.8,99.8,7,1056,105395
6/27/24,100.25,100.25,99.5,99.5,5,486,48552.3
6/26/24,100.25,100.25,100,100,12,6455,645601.25
6/25/24,100,100,100,100,1,123,12300
6/24/24,99.9,101,99.4,100.25,9,727,73164.8
6/19/24,100,100,100,100,6,4464,446400
6/18/24,100,100,100,100,3,501,50100
6/14/24,100,100,100,100,2,1000,100000
6/13/24,103.75,103.75,100,100,10,7547,755000.75
6/12/24,100,100,100,100,13,63234,6323400
6/11/24,104,104,99,100,51,74689,7482449.25
6/11/24,104,104,99,100,51,74689,7482449.25
6/10/24,104.75,104.75,102,102,7,800,82006.25
6/7/24,104,104.5,102,103.75,16,44135,4583717
6/6/24,103.75,104,103.75,104,7,170,17662.5
6/5/24,103,104,103,104,3,100,10394
6/3/24,100.25,103.5,100.25,100.5,7,115,11568.25
5/31/24,104,104,99.5,101,7,8160,824062.5
5/30/24,101,101,99.1,99.5,13,2831,281953
5/29/24,101,101.25,100.5,100.75,30,16870,1703965.5
5/28/24,105,105,101,101,47,32101,3258810.25
5/27/24,102.75,104.75,102,104.25,40,17269,1779995
5/22/24,102,102.75,102,102.5,4,638,65346
5/21/24,100.5,102,99.3,100.75,13,989,99445.1
5/20/24,103.5,103.5,99.1,100,10,3129,314040.75
5/17/24,100.25,103.75,99,103.5,26,18571,1856470
5/16/24,100.25,100.25,100.25,100.25,2,100,10025
5/15/24,103,103.75,100.75,101,19,4725,483150
5/14/24,103,103.75,101.5,101.75,13,1427,145271.25
5/13/24,106,106,101.5,101.75,27,17885,1829861
5/10/24,104.25,107,104.25,106.75,37,44498,4705977.75
5/9/24,101,104.5,100,104,28,64004,6609309.75
5/8/24,102.5,102.5,102.5,103.5,2,74,7585
5/7/24,102,107,102,103.5,21,7257,755477
5/6/24,103.25,107,103.25,106.75,21,12735,1347836
5/3/24,104.75,107,102.25,106.75,107,226649,23802144.75
5/2/24,98.7,105,95,103.75,125,357305,35934804.35
4/30/24,97.8,99,97.7,98.7,72,68430,6719217.8
4/29/24,97,98,97,97.9,14,1218,119156.1
4/26/24,97,97,97,96,2,12,1164
4/25/24,95,98.3,93,96,13,231,22156.5
4/24/24,94,94.7,92,93.9,14,1505,141084.7
4/22/24,94,94,94,94,6,95,8930
4/19/24,94,94,92.6,94,7,365,34110
4/18/24,94,94,92.6,94,13,969,90955
4/17/24,93.2,94,93.2,94,6,932,87072
4/16/24,95.8,95.8,93.2,93.2,3,2183,203540.6
4/15/24,96,96,93.2,93.3,14,2040,190939.9
4/10/24,96,96,95.9,96,4,106,10175.5
4/9/24,93.5,93.5,93.5,93.8,1,85,7947.5
4/8/24,96.9,96.9,93,93.8,18,5340,502787
4/5/24,91.6,96.9,91.6,93,21,102728,9556825.6
4/4/24,92.9,94,91.5,94,27,104507,9573187.2
4/3/24,90,91.7,90,91.6,9,608,55371.6
4/2/24,89.9,93,89,91.7,8,168662,15081273.6
4/1/24,90,94,89.9,89.9,16,8260,771337.5
3/28/24,89.9,90,87.7,89.1,25,158870,14167126.8
3/27/24,87.1,89.9,87,89.8,13,256,22698.9
3/26/24,87.2,87.2,87.2,87.2,5,453,39501.6
3/25/24,87.2,87.2,87.2,88.4,1,47,4098.4
3/22/24,87,89.8,86.5,88.4,34,14625,1288313.7
3/21/24,86.1,87,86.1,89,3,22,1905.1
3/20/24,89.8,89.8,89,89,4,2110,189390
3/19/24,90,90,88,88,9,3522,312302.8
3/18/24,92.5,92.5,89.6,89.8,5,507,45539.1
3/15/24,90,92.4,90,90.4,10,1522,137513.3
3/14/24,89.2,92.4,89.2,89.6,10,2120,190160
3/13/24,90.2,90.2,90.1,90.2,7,451,40660.1
3/12/24,90.5,92.5,90.1,92.5,9,202,18499
3/11/24,94,94,90,90,20,699,63466.3
3/7/24,87.9,92,87.9,90.3,47,9519,853764.2
3/6/24,85.2,87,85.1,85.8,20,5255,447979.6
3/5/24,89,89,89,89,2,100,8900
3/4/24,88,88,85.3,88,3,2005,176426.5
3/1/24,82,85,82,85,6,3000,253500
2/29/24,85,85,85,85,2,100,8500
2/27/24,84.9,85,84.8,85,4,105,8920.5
2/26/24,88,88,82,82,13,916,75172.4
2/22/24,81,87.9,81,87.6,10,1691,137661
2/21/24,85.8,85.8,83.1,83.1,9,387,32167.8
2/19/24,85.9,85.9,85.9,85.6,1,1,85.9
2/16/24,82.1,85.9,82,85.6,8,745,61645
2/15/24,82.9,85.9,82.9,85.3,4,100,8528
2/14/24,82.9,82.9,82.9,82,1,35,2901.5
2/12/24,82,82,82,82,5,100,8200
2/9/24,83.5,83.9,83.5,83.7,2,100,8370
2/8/24,81,81,79,79.2,34,7091,572443
2/7/24,82,82,78,81,14,4896,387978.9
2/6/24,81.5,81.8,81.5,82,4,42,3423.6
2/2/24,82,82,81.8,82,7,1985,162766
1/31/24,77,83,76.3,82,9,478,37835.7
1/30/24,76.1,80,76.1,77,10,1740,134352.5
1/29/24,83.8,83.8,76,76.1,3,551,41933.8
1/26/24,81,81,75.1,75.6,24,14036,1076819.7
1/24/24,83,83,81,81,16,4075,330346.3
1/23/24,85,85,81.4,82.4,10,104,8570.4
1/22/24,85.5,85.5,85.5,86.3,1,5,427.5
1/18/24,86.4,86.4,86.4,86.3,1,1,86.4
1/17/24,86.4,86.4,83.5,86.3,7,5433,469208.2
1/16/24,86.4,86.4,86.4,86.4,2,1500,129600
1/12/24,87,88.5,86.4,86.4,5,1073,92835.5
1/11/24,86.4,86.4,86.4,86.4,8,3137,271036.8
1/10/24,86.4,86.4,86.4,86.4,2,4000,345600
1/9/24,86.4,86.4,86.4,86.4,7,5000,432000
1/8/24,87,87,86.4,86.5,5,2200,190214.4
1/5/24,87,88,86.5,87.2,6,868,75485
1/4/24,86.5,87,86.4,86.4,3,1037,89624
1/3/24,84,87,84,86.6,9,3174,274697.3
1/2/24,84,84,84,84,4,498,41832
12/27/23,84,84,83,83.3,5,200,16650
12/22/23,87.5,87.5,83,83.6,12,1263,105776.5
12/21/23,87.4,87.4,85.1,85.4,8,341,29114.4
12/20/23,85.5,85.5,85,85,8,1596,135737.3
12/19/23,85,87.4,85,86.3,13,635,54362.5
12/18/23,87.4,87.4,87.4,88,3,40,3496
12/14/23,87.5,88,85.4,88,5,430,37154
12/13/23,88,88.1,88,88.1,3,140,12330
12/12/23,88.1,88.1,88.1,87.6,1,56,4933.6
12/8/23,89,90,86.6,87.6,22,4125,361986.6
12/7/23,89,89.1,88.9,89.1,9,2608,232305
12/6/23,90,90,89,89,8,1023,91129.9
12/5/23,89.2,91.8,89.1,89.3,5,515,46002.6
12/4/23,90,94,90,91,15,5981,541665
12/1/23,87,89.8,87,89.7,7,1495,131943.5
11/30/23,87,89.8,87,87.5,9,4196,367241.5
11/29/23,89.8,89.9,86.5,86.9,16,1619,141097.2
11/28/23,88.8,88.8,85.2,85.3,9,511,43595.1
11/27/23,89,89,88.7,88.8,7,301,26764.6
11/24/23,92,92,92,92.5,1,26,2392
11/22/23,92.4,92.5,92.4,92.5,3,102,9433.4
11/21/23,85.5,92.5,85.1,85.2,4,529,45073.3
11/20/23,92.8,92.8,92.8,93,1,2,185.6
11/17/23,86.7,93,85.3,93,3,330,29192
11/16/23,94.5,94.5,83.1,87.2,15,6060,528924.8
11/15/23,94.5,96.1,94,95,32,23554,2239823.8
