Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,81,81,79.8,80.5,71,57305,4589346.5
7/4/24,82.1,82.1,81,81.1,115,292159,23863643.8
7/3/24,82.8,83,82,82.5,73,94731,7814652.3
7/2/24,83,83,82.5,82.6,93,3083839,255263460
7/1/24,83,83,82.7,83,62,134555,11167667.6
6/28/24,84,84,83,83.3,80,88034,7356809.6
6/27/24,85.1,85.1,84.2,84.4,101,149955,12676102
6/26/24,85,85.2,85,85,110,525700,44685890.4
6/25/24,85.1,85.2,84.9,85.1,52,310742,26413753.4
6/24/24,85,85.5,85,85.3,104,455421,38748490.5
6/20/24,86,86,84,85,80,41992,3563829.8
6/19/24,85.1,86,84.7,84.9,118,459998,39083475.1
6/18/24,86,86,85.4,85.9,91,48254,4143919.3
6/14/24,86.3,87,86,86,82,142066,12223789.8
6/13/24,87.5,87.5,86.2,86.5,80,56307,4872237.7
6/12/24,87.5,87.5,86,87,76,409499,35426289.7
6/11/24,87,87,85.5,86.3,177,345548,29896684.3
6/11/24,87,87,85.5,86.3,177,345548,29896684.3
6/10/24,87,87.5,86.9,87,102,246184,21446307
6/7/24,87.5,87.5,86.5,86.9,54,200759,17453222.2
6/6/24,87,88,87,87.4,68,148483,13027587.3
6/5/24,87.5,87.5,87,87.1,23,4753,415038.1
6/4/24,86.6,87.5,86.5,86.8,79,408482,35476436.6
6/3/24,86.6,87.5,86.6,87.5,27,23041,2007237.1
5/31/24,86.2,87,86.2,87,39,11241,973747.2
5/30/24,86.6,87,86.3,86.3,50,42212,3652961
5/29/24,87.7,88,86.2,86.9,36,4830,421662.9
5/28/24,88.4,88.4,86.2,87,82,112335,9749363.9
5/27/24,89,89.4,87.9,88,76,54732,4832697.6
5/22/24,89,89,87,88.9,25,35010,3109764.2
5/21/24,88.5,89,88,88.5,89,640300,56381302.1
5/20/24,88.4,89,86.6,88.5,63,138225,12182989
5/17/24,89.4,89.4,87,88,50,470882,41436820
5/16/24,89.5,90,86.6,89.4,74,174495,15521022.2
5/15/24,89,91,88,89,281,1192488,107046737.2
5/14/24,88,89.2,86.2,88.5,192,1220104,107877031.6
5/13/24,86.2,89,86.2,88,190,4159318,365881163.8
5/10/24,84.7,87.9,84.5,87,88,225595,19502030.6
5/9/24,84.7,85,84,85,91,203389,17225541.1
5/8/24,85.2,85.2,85,85,31,26214,2228423.6
5/7/24,86,86.5,85,85.2,94,89639,7672860.7
5/6/24,87,87.1,86,86.5,69,114121,9884652.9
5/3/24,88,88,87,87.1,39,13263,1157767.6
5/2/24,88.4,89.1,87.5,87.9,100,106170,9381697.7
4/30/24,88,88.6,87,88.4,145,765445,67360503.1
4/29/24,86.9,88,86.5,87.9,175,1613147,141402770.3
4/26/24,84.4,88.5,84.1,86.5,434,3150060,271351690.2
4/25/24,82.6,84.6,82.1,84.3,139,323578,27088014.1
4/24/24,82.9,83,81.9,82.6,77,136119,11168908
4/22/24,82.5,83.4,81.8,82.5,45,277301,22865107.3
4/19/24,82.1,82.9,81,81.7,49,96926,7861376.2
