Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,5.5,5.5,5.4,5.4,7,2300,12628
7/4/24,5.6,5.6,5.2,5.2,8,3666,19108
7/3/24,5.5,5.5,5.2,5.2,3,3501,18205.5
7/1/24,5.5,5.5,5.5,5.3,1,1,5.5
6/28/24,5.3,5.3,5.2,5.3,4,322,1704.3
6/25/24,5.5,5.5,5.3,5.3,2,2,10.8
6/24/24,5.6,5.6,5.3,5.3,4,4596,25188.8
6/20/24,5.5,5.5,5.5,5.5,3,499,2744.5
6/19/24,5.3,5.5,5.3,5.3,3,117,620.3
6/18/24,5.3,5.3,5.3,5.3,4,1100,5830
6/14/24,5.6,5.6,5.5,5.6,2,2,11.1
6/13/24,5.6,5.6,5.4,5.6,6,1738,9732.6
6/12/24,5.3,5.4,5.3,5.4,6,5001,27005.3
6/11/24,5.6,5.6,5.5,5.5,6,1101,6065.5
6/11/24,5.6,5.6,5.5,5.5,6,1101,6065.5
6/10/24,5.6,5.6,5.6,5.5,3,4,22.4
6/7/24,5.3,5.6,5.3,5.5,3,102,560.9
6/6/24,5.5,5.6,5.2,5.6,7,5058,28323.9
6/5/24,5.5,5.5,5.5,5.5,2,101,555.5
6/4/24,5.6,5.6,5.6,5.1,1,1,5.6
6/3/24,5.8,5.8,5,5.1,15,31891,163442
5/31/24,5.7,5.8,5.3,5.3,8,106104,563192.9
5/30/24,5.7,5.7,5.7,5.5,1,1,5.7
5/29/24,5.5,5.5,5.5,5.5,2,400,2200
5/22/24,5.7,5.7,5.7,5.7,3,11,62.7
5/21/24,5.7,5.7,5.7,5.7,1,33,188.1
5/20/24,5.5,5.7,5.4,5.7,8,11320,62421
5/17/24,5.6,5.6,5.6,5.6,1,200,1120
5/16/24,5.9,5.9,5.8,5.8,2,200,1170
5/15/24,5.6,6,5.6,5.8,22,85591,494030.2
5/14/24,5.8,5.9,5.6,5.7,22,31174,179995.5
5/13/24,5.9,5.9,5.6,5.7,9,6168,35157.3
5/10/24,5.8,6,5.5,5.9,52,90163,518701.8
5/9/24,5.9,5.9,5.8,5.5,3,16,93.1
5/8/24,5.8,5.8,5.5,5.5,11,1327,7356
5/7/24,5.9,5.9,5.6,5.6,12,809,4532.8
5/6/24,5.9,6,5.5,5.8,23,33835,195331.8
5/3/24,5.6,5.9,5.6,5.9,23,19730,114473.1
5/2/24,5.5,5.7,5.2,5.7,39,67641,370935.4
4/30/24,5.4,5.6,5.4,5.5,13,2872,15728.2
4/29/24,5.2,5.5,5.1,5.3,8,3578,18761.5
4/26/24,5.6,5.6,5.3,5.3,16,2876,15476.1
4/25/24,5.6,5.6,5.6,5.6,8,2603,14576.8
4/24/24,5.2,5.6,5.1,5.3,24,140191,744102.1
4/22/24,5.2,5.2,5.1,5.2,9,15898,82509.6
4/19/24,5.2,5.2,5.1,5.2,10,12702,65450.4
4/18/24,5.6,5.6,5.1,5.2,36,86511,449756.6
4/17/24,5.3,5.7,4.9,5.6,17,30820,156834.8
4/16/24,5.7,5.7,5.4,5.4,6,2808,15167.1
4/15/24,5.6,5.8,5.4,5.8,16,4107,23419.8
4/10/24,5.6,5.6,5.4,5.6,2,2235,12514
4/9/24,5.1,5.6,5.1,5.1,4,6,31.8
4/8/24,5.1,5.6,5.1,5.1,4,213,1091.6
4/5/24,5.2,5.5,5.2,5.5,3,3,16.2
4/4/24,5.6,5.6,5.3,5.5,10,1196,6579.7
4/3/24,5.6,5.6,5.6,5.3,1,1,5.6
4/2/24,5.5,5.5,5.5,5.3,1,17,93.5
4/1/24,5.3,5.6,5.2,5.3,11,1783,9354
3/28/24,5.5,5.8,5.2,5.8,4,211,1217.5
3/27/24,5.8,5.8,5.5,5.8,20,2280,13179.7
3/26/24,5.5,5.9,5.3,5.4,48,2713,15232.7
3/25/24,5.6,5.6,5.6,5.5,4,32,179.2
3/22/24,5.2,5.6,5.1,5.5,21,2090,11237.3
3/21/24,5.3,5.3,5,5.1,7,2416,12302.7
3/18/24,5.3,5.5,5.3,5.3,4,204,1082.5
3/15/24,5.5,5.5,4.9,5.1,8,263,1351.1
3/14/24,5.2,5.3,5.2,5.2,6,205,1066.1
3/13/24,5.1,5.1,5.1,5.1,2,5099,26004.9
3/11/24,5.1,5.1,5,5.1,8,5081,25913
3/7/24,5,5.1,5,5.1,2,425,2145
3/4/24,4.8,5,4.8,5,3,455,2215
2/28/24,4.8,4.8,4.8,4.9,1,1,4.8
2/20/24,4.9,4.9,4.9,4.9,1,53,259.7
2/19/24,4.9,4.9,4.9,4.9,1,100,490
2/16/24,4.8,4.8,4.8,4.8,1,1,4.8
2/15/24,5.2,5.2,4.8,4.8,8,14801,71965.1
2/9/24,5.1,5.2,5.1,5.1,3,1500,7750
2/8/24,5,5,5,5.1,1,1,5
2/6/24,5,5.1,5,5.1,6,211,1065.8
2/1/24,4.9,4.9,4.9,5.1,1,1,4.9
1/30/24,5.1,5.1,5.1,5.1,3,201,1025.1
1/24/24,4.8,4.8,4.8,4.8,2,5009,24043.2
1/23/24,4.9,4.9,4.9,4.8,2,2,9.8
1/19/24,4.8,4.8,4.8,4.8,1,1,4.8
1/17/24,4.9,4.9,4.8,4.8,5,103,494.6
1/16/24,5.2,5.2,5.2,4.8,2,2,10.4
1/12/24,4.8,5.1,4.8,4.8,3,1082,5197.2
1/11/24,4.9,4.9,4.9,4.9,5,350,1715
1/8/24,5,5.1,5,5,4,7204,36020.3
1/5/24,5.1,5.1,4.9,5,10,2316,11781.4
1/3/24,5.2,5.2,4.6,4.8,13,22797,109975.6
1/2/24,5.1,5.2,5,5,8,358,1821.2
12/29/23,5.1,5.3,5.1,5.2,4,1046,5393.8
12/28/23,5,5.1,5,5,6,568,2840.1
12/27/23,5,5,5,5,1,200,1000
12/22/23,4.8,4.8,4.8,4.9,1,1,4.8
12/20/23,4.9,4.9,4.8,4.9,4,366,1786.8
12/19/23,5,5,5,4.9,1,1,5
12/18/23,4.9,5.1,4.9,4.9,3,675,3307.7
12/15/23,4.9,5.1,4.9,5.1,6,781,3966.9
12/14/23,5,5.1,4.9,4.9,3,201,995.1
12/13/23,5,5,5,5,3,1221,6105
12/11/23,5,5,5,5,1,100,500
12/8/23,4.9,4.9,4.8,4.9,3,142,695.6
12/6/23,5.1,5.1,4.7,4.7,7,4595,21627
12/5/23,4.9,4.9,4.9,4.9,1,30,147
12/4/23,4.9,4.9,4.9,4.9,2,264,1293.6
12/1/23,4.7,4.9,4.7,4.7,4,8,38.9
11/30/23,4.8,4.8,4.7,4.7,2,800,3770
11/27/23,4.8,4.8,4.8,4.8,3,3274,15715.2
11/23/23,4.9,4.9,4.9,4.9,1,38,186.2
11/22/23,4.9,4.9,4.9,4.9,1,200,980
11/20/23,5.1,5.1,4.9,4.9,3,225,1107.5
11/16/23,4.8,5.1,4.8,5.1,3,101,514.8
11/15/23,4.9,5.1,4.9,5.1,11,17008,83380
11/14/23,5.2,5.2,5,5,6,1702,8710.4
11/13/23,5,5,5,5,3,974,4870
11/10/23,5.2,5.2,5,5,17,9529,47645.6
11/8/23,5,5.4,4.8,4.8,19,11356,54880.9
11/7/23,4.9,5.4,4.9,5.2,13,1600,8050
11/6/23,5.8,5.8,4.7,5,22,89351,431578.3
11/3/23,5.8,5.8,5.8,5.4,1,4,23.2
11/2/23,5.4,5.8,5.4,5.4,11,1723,9374.7
11/1/23,5.4,5.4,5.4,4.9,2,41,221.4
10/30/23,4.9,4.9,4.9,4.9,3,257,1259.3
10/27/23,6,6,4.9,4.9,6,653,3230.3
10/26/23,5,5,5,5,2,533,2665
10/25/23,5,5,5,5,1,4,20
10/24/23,5,5,5,5,9,1513,7565
10/20/23,5.4,5.4,5,5,5,254,1271.6
10/19/23,5.3,5.3,5.3,5.1,2,12,63.6
10/18/23,5.4,5.4,5.1,5.1,6,275,1437.2
10/17/23,5.1,5.7,5.1,5.7,8,2611,13620.3
10/13/23,5,5.5,5,4.9,3,17,90
10/12/23,5.3,5.3,4.9,4.9,4,8802,43480.2
10/11/23,5.5,5.5,5.5,5.3,1,1,5.5
10/10/23,5.3,5.5,4.9,5.3,15,39179,193519.1
10/9/23,5.5,5.8,4.9,5,14,47944,240766.3
10/6/23,5.5,5.5,5.4,5.4,2,201,1085.5
10/5/23,5.5,5.5,5.5,5.3,1,1,5.5
10/4/23,5.3,5.3,5.3,5.3,1,1000,5300
10/3/23,5.3,5.3,5.3,5.3,1,2,10.6
10/2/23,5.5,5.5,5.3,5.3,4,2698,14539
9/27/23,6,6,5.6,5.6,4,3501,20266
9/26/23,6,6,5.5,5.5,10,19642,117681
9/22/23,5.5,5.6,5.1,5.3,16,15110,80094.2
9/20/23,5.5,5.6,5.5,5.6,3,5447,30458.6
9/19/23,5.5,5.5,5.5,5.5,5,2554,14047
9/18/23,5.8,5.8,5.8,5.9,1,2,11.6
9/15/23,5.9,5.9,5.9,5.9,2,1001,5905.9
9/13/23,5.9,5.9,5.8,5.5,8,21,122.1
9/11/23,5.9,5.9,5.4,5.5,10,3430,18764.9
9/8/23,5.7,5.9,5.7,5.7,14,1107,6311.1
9/7/23,5.9,5.9,5.7,5.7,5,104,593.4
9/6/23,5.9,5.9,5.6,5.7,3,101,571.9
9/5/23,5.9,6,5.5,5.5,13,2122,11736.4
9/4/23,5.9,5.9,5.8,5.9,10,221,1302.4
9/1/23,6,6,5.8,5.8,8,207,1211.4
8/31/23,5.8,5.8,5.8,5.8,1,11,63.8
8/29/23,5.9,5.9,5.7,5.8,4,114,660.2
8/28/23,5.6,5.6,5.6,5.6,3,514,2878.4
8/25/23,5.9,5.9,5.7,5.6,3,98,559
8/24/23,5.9,5.9,5.6,5.6,7,209,1171.7
8/23/23,5.9,5.9,5.8,5.8,6,25104,145613.6
8/22/23,6,6,5.9,5.9,10,16526,97503.7
8/21/23,5.8,6.2,5.6,5.6,33,40949,244717.5
8/18/23,6,6,5.7,5.8,9,26164,151964.1
8/17/23,5.7,6,5.7,5.7,11,22705,131456.5
8/16/23,5.6,5.7,5.5,5.5,7,5032,27696.6
8/15/23,5.6,5.7,5.6,5.6,4,1751,9815.7
8/14/23,5.7,5.8,5.7,5.7,5,1018,5802.8
8/11/23,5.5,5.5,5.5,5.5,9,6927,38098.5
8/10/23,5.7,5.7,5.7,5.7,3,511,2912.7
8/9/23,5.5,5.6,5.5,5.6,3,11896,66117.6
8/8/23,5.8,5.8,5.8,5.8,3,503,2917.4
8/7/23,6,6,5.8,5.9,5,3302,19541.8
8/4/23,5.9,6,5.5,5.5,45,19659,108841.6
8/3/23,5.9,6,5.6,5.9,85,39527,230865.7
8/2/23,5.8,5.9,5.5,5.7,23,19344,106479.6
7/31/23,5.8,5.8,5.5,5.7,8,6852,39096.4
7/28/23,5.8,5.9,5.6,5.8,73,9473,54124.1
7/27/23,5.9,5.9,5.4,5.5,46,15889,87271.6
7/26/23,5.7,6.1,5.4,5.7,88,31102,178445.8
7/25/23,5.7,5.7,5.4,5.5,67,6616,36405.2
7/24/23,5.6,5.6,5.6,5.6,3,4001,22405.6
7/21/23,5.7,5.7,5.7,5.7,4,11,62.7
7/20/23,5.7,5.7,5.5,5.7,9,133,754.5
7/19/23,5.6,5.7,5.6,5.6,9,3550,19881.9
7/18/23,5.5,5.5,5.5,5.5,1,7948,43714
7/17/23,5.6,5.7,5.4,5.4,36,27126,148897
7/14/23,5.6,5.6,5.6,5.6,6,2904,16262.4
7/13/23,5.6,5.7,5.6,5.6,23,3597,20148.8
7/12/23,5.7,5.7,5.4,5.5,21,4656,26035.1
7/11/23,5.5,5.6,5.4,5.5,17,14156,77783.6
7/10/23,5.4,5.5,5.4,5.5,16,336,1837.8
7/7/23,5.5,5.5,5,5.3,11,285,1518.8
7/6/23,5.4,5.5,5.2,5.2,7,18840,100936.5
7/5/23,5.5,5.5,5.2,5.2,5,512,2705
7/4/23,4.9,5.5,4.9,5.4,43,147670,761976.9
6/28/23,5,5,4.7,4.7,13,15833,78800.7
6/27/23,4.5,4.5,4.5,4.5,1,300,1350
6/26/23,5,5,4.9,4.9,5,182,896
6/23/23,5,5,4.4,4.4,8,1868,8308.5
6/22/23,5,5,5,5,2,300,1500
6/19/23,4.8,5,4.8,5,4,1100,5445
6/16/23,5,5,4.8,4.8,3,781,3768.8
6/15/23,4.9,5,4.9,4.9,5,2061,10273
6/14/23,4.8,5,4.8,5,8,4338,21292.6
6/13/23,5,5,4.7,4.9,15,1544,7366
6/12/23,5,5,4.9,4.9,8,131,642.9
6/9/23,4.8,4.9,4.8,4.9,4,1100,5381
6/8/23,5,5,4.9,4.9,3,109,534.5
6/6/23,4.5,4.5,4.5,4.5,3,2970,13365
6/5/23,4.5,4.5,4.5,4.5,1,99,445.5
6/2/23,4.5,4.5,4.5,4.5,1,3399,15295.5
6/1/23,4.7,4.7,4.5,4.5,4,13579,61105.7
5/30/23,4.7,4.7,4.4,4.4,4,2129,9368.2
5/26/23,4.4,4.7,4.4,4.5,11,12604,55718.8
5/24/23,4.8,4.9,4.8,4.8,3,101,484.9
5/23/23,4.4,4.4,4.4,4.4,4,900,3960
5/22/23,4.5,4.5,4.5,4.5,4,3732,16794
5/19/23,4.9,4.9,4.9,4.9,2,200,980
5/18/23,5,5,4.5,4.5,3,1565,7142.5
5/16/23,4.7,4.7,4.6,4.6,4,6333,29141.8
