Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,11.2,11.2,10.9,10.9,13,21402,233962.1
7/4/24,11.1,11.2,11,11,16,19770,218567
7/3/24,11,11.4,11,11.3,18,8336,94900.4
7/2/24,11,11.4,11,11.3,26,9093,102183.6
7/1/24,11,11,10.9,11,12,11672,127303.3
6/28/24,11.3,11.3,10.9,10.9,7,4011,43733.8
6/27/24,11.2,11.4,11,11,23,32049,354575.1
6/26/24,11.1,11.4,11.1,11.4,51,55743,626498.6
6/25/24,10.7,11,10.7,11,28,82286,899426.9
6/24/24,10.8,10.8,10.7,10.7,10,3633,39035.5
6/20/24,10.7,10.8,10.7,10.7,4,990,10595
6/19/24,10.4,10.6,10.4,10.4,5,1209,12575.4
6/18/24,10.4,10.5,10.4,10.5,17,21933,229079.1
6/14/24,10.7,10.8,10.4,10.5,37,33774,356656.7
6/13/24,10.8,10.9,10.7,10.9,18,6618,71654.8
6/12/24,10.5,10.8,10.5,10.7,31,16527,176088.1
6/11/24,10.5,10.6,10.5,10.5,10,2602,27371.2
6/11/24,10.5,10.6,10.5,10.5,10,2602,27371.2
6/10/24,10.5,10.7,10.3,10.6,18,18821,195548.9
6/7/24,10.5,10.5,10.4,10.4,12,7830,82025
6/6/24,10.4,10.8,10.2,10.5,36,28430,297204
6/5/24,10.3,10.3,10.2,10.3,16,14891,152840.6
6/4/24,10.2,10.3,10.1,10.2,6,2259,23016
6/3/24,10.2,10.3,10,10,19,59433,596712.4
5/31/24,10,10.3,10,10.1,5,3851,39195.3
5/30/24,10,10,10,10,11,4111,41110
5/29/24,10,10,9.9,9.9,5,5550,55195
5/28/24,10,10,9.9,9.9,11,18926,189170
5/27/24,10,10,9.9,10,5,4342,43220
5/22/24,10.1,10.4,9.9,10.1,30,16727,168524.9
5/21/24,9.8,10.2,9.8,10,10,7836,78351.7
5/20/24,9.8,10.2,9.8,9.9,6,3676,36150.2
5/17/24,10,10.2,10,10.2,9,7538,76390
5/16/24,10.2,10.2,9.9,10,7,3326,33110.2
5/15/24,9.8,10.4,9.8,9.8,21,20967,206682.7
5/14/24,10,10,9.8,9.8,7,2900,28800
5/13/24,9.9,10,9.9,10,5,1182,11775
5/10/24,9.8,9.9,9.8,9.9,11,11211,109918.9
5/9/24,9.8,10,9.5,9.8,23,9752,93054
5/8/24,9.9,10,9.7,9.8,52,64937,638212.3
5/7/24,9.9,10,9.9,10,10,3620,36088
