Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,45.9,45.9,45,45.4,24,4322,196294.2
7/4/24,46.4,47,45.9,46.1,19,1639,75532.6
7/3/24,47,47,46.5,46.5,8,1706,79607.5
7/2/24,47,47,47,47,3,791,37177
7/1/24,47.9,47.9,46.8,47.8,3,103,4922.6
6/28/24,48,48,48,46.7,2,33,1584
6/27/24,47,47,46.6,46.7,11,1116,52252.8
6/26/24,47.5,47.5,46.8,46.8,20,2067,96925.9
6/25/24,47,48.4,47,47,5,1530,71945
6/24/24,47.1,47.1,46.9,47,30,5219,245305.5
6/20/24,47.5,48.4,47.1,48.4,13,2447,116978.9
6/19/24,47.6,47.6,47.4,47.4,9,796,37797.3
6/18/24,48.4,48.4,47.5,47.6,7,302,14361.3
6/14/24,48.4,48.4,48,48,3,342,16416.8
6/13/24,46.9,48.5,46.6,48.4,25,307074,14857476.1
6/12/24,47.4,48.2,46.8,48.1,11,16599,797543.1
6/11/24,47.2,47.3,46.5,47,32,4381,206069.3
6/11/24,47.2,47.3,46.5,47,32,4381,206069.3
6/10/24,47.3,47.3,47.2,47.2,4,228,10763.2
6/7/24,48.9,48.9,47,47.2,42,6481,306584.3
6/6/24,49,49,48,48,7,1651,79273.9
6/5/24,48.5,48.5,47.9,47.9,5,166,7957.7
6/4/24,48.2,48.9,47.9,47.9,18,5893,282958
6/3/24,48.2,49.7,48,48.8,14,3834,186207.2
5/31/24,49,49,48.1,48.1,10,649,31291.7
5/30/24,48,48.5,48,48.1,8,805,38710.8
5/29/24,48.2,48.5,48,48.3,16,1154,55661
5/28/24,48.2,48.3,48.2,48.3,11,1728,83402.4
5/27/24,49.4,49.4,49,49.1,7,1110,54474
5/22/24,49.1,49.2,47.9,48,12,2849,139292.3
5/21/24,48.5,48.9,47.7,48.4,16,3421,164756.8
5/20/24,47.8,49.6,47.6,47.7,40,5822,283894.4
5/17/24,48.2,48.2,47.5,47.8,18,5755,275721
5/16/24,48.2,48.5,48.1,48.2,22,6895,332427
5/15/24,49.7,50,48,48.1,25,10617,511817
5/14/24,49.9,50,47.5,48.1,69,26955,1305143
5/13/24,50,50.4,49.7,50,33,9717,485702.2
5/10/24,49.5,50,49,49.7,19,12076,595658.4
5/9/24,49.5,49.5,49.5,49.5,6,1518,75141
5/8/24,49.9,50,48.9,49,106,95025,4656284.1
5/7/24,50,50,49,49,71,44981,2206279
5/6/24,50.5,50.5,48.5,49.1,75,16687,819144.2
5/3/24,49.4,50.4,49,49,319,139739,6876376.6
5/2/24,51.7,51.7,48.9,49.3,108,28935,1428551.8
4/30/24,51.3,52.4,49,49.3,277,225531,11181612.6
4/29/24,52.5,52.5,52.3,52.3,7,1308,68529
4/26/24,52.5,52.5,51.3,51.3,11,8045,413837.5
4/25/24,52.5,52.5,51.1,51.1,2,101,5162.5
4/24/24,52.6,52.6,50.5,50.6,17,8401,431321
4/22/24,50.7,52.9,50.5,50.5,11,101261,5113853.9
4/19/24,52.9,52.9,50.5,50.5,19,16984,858987.8
4/18/24,52.5,52.5,50.8,50.8,37,34126,1736299.9
4/17/24,53.5,53.5,52,52.8,28,15423,812451.4
4/16/24,53.2,53.5,52,52.3,11,2959,154705
4/15/24,52.1,53.4,52.1,52.7,11,5318,280582.6
4/10/24,51.9,53.4,51.9,53,34,14650,766156.4
4/9/24,50.5,51.9,50.1,51.9,11,2069,104436.9
4/8/24,51.1,52,50.1,50.1,77,50610,2572157.2
4/5/24,51.2,51.5,51,51.1,6,1165,59441
4/4/24,52,52,50.5,51.2,28,22640,1153171.2
4/3/24,51.1,52,51.1,51.4,24,7539,386894.4
4/2/24,52,52.9,51.1,51.7,17,16285,842222.4
4/1/24,52,52,50.3,50.4,14,20111,1013343.3
3/28/24,53,53,51,51,50,53026,2713142
3/27/24,53,53,50.2,52.9,19,59471,3146633.4
3/26/24,53.9,53.9,53,53,6,5066,269412.4
3/25/24,53,54,53,53,25,46415,2460033.5
3/21/24,53.1,53.1,52.5,52.7,7,1000,52682.5
3/20/24,52.7,54,52.7,54,8,10566,568552.4
3/19/24,53.1,53.1,52.5,52.7,19,5264,277483.1
3/18/24,55.5,55.5,52.5,53.1,16,6616,350068.6
3/15/24,55,55,54.2,54.3,5,294,15972.3
3/14/24,55,55,55,54.6,2,52,2860
3/13/24,55,55.9,54.2,54.6,14,3140,172056
3/12/24,57.2,57.5,54.7,55.2,17,12185,679964.4
3/11/24,54.3,57.7,54.3,54.3,3,951,51642.7
3/7/24,54.8,56.5,54,54.3,22,10825,594810.9
3/6/24,54.4,55,54.4,54.7,11,2505,136940.1
3/5/24,53.6,54.8,53.6,54.4,14,8704,471218.3
3/4/24,54.6,54.6,53.5,53.5,13,2460,131876
3/1/24,53,54.5,53,53.5,7,4373,234242
2/29/24,53,53,53,53,1,150,7950
2/28/24,52.7,54,52.5,53.1,12,7923,418007.2
2/27/24,55,55,53,53,8,4042,214256.5
2/26/24,55,55,53,53.1,13,1248,66343.4
2/22/24,55,55,53.8,54,15,5713,313189
2/21/24,55.1,55.1,54.6,55,8,2021,111125.3
2/20/24,56.8,56.8,55.1,55.2,6,1720,94950.5
2/19/24,57,57.9,55.1,55.2,19,3235,180777.1
2/15/24,56,58.8,56,57.1,28,17192,987555.8
2/14/24,57,58,56.5,56.6,37,10826,619964.5
2/13/24,57.7,57.7,55.5,55.6,11,5831,326247.5
2/12/24,57.9,58,55.3,55.5,5,343,19550.9
2/9/24,58.4,58.4,55,55.2,28,16635,924137.3
2/8/24,56.7,59,56.7,57.3,12,4052,234971.5
