Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,19.4,19.4,19,19.1,68,88660,1693718.8
7/4/24,19.6,20.4,19,19.5,145,297321,5701646.1
7/3/24,20.5,20.9,19,20,100,111685,2241292.3
7/2/24,20.6,21,20.6,21,54,144958,3029576.3
7/1/24,20.8,20.9,20.2,20.4,50,36471,742020.2
6/28/24,20.7,21.2,20.5,20.8,34,84474,1756936
6/27/24,20.7,20.9,20,20.5,76,138663,2841459.1
6/26/24,21.5,21.5,20.8,20.9,79,143038,3016560.3
6/25/24,21.6,21.7,21.1,21.6,64,103745,2227947.8
6/24/24,22,22.4,21.5,21.5,98,118658,2583060.3
6/20/24,21.7,22.4,21.5,22.2,207,630866,13863289.8
6/19/24,21.7,22.3,21.5,21.6,366,1143068,24970158.1
6/18/24,20.7,21.8,20.5,21.5,651,3663390,77686576.6
6/14/24,20,20.7,19.8,20.6,263,1851221,37441511.7
6/13/24,19.4,20.4,19.4,19.8,94,668295,13360879.8
6/12/24,20,20.4,19,19.2,63,83260,1645539.4
6/11/24,20.3,20.3,20,20,60,200769,4030434.3
6/11/24,20.3,20.3,20,20,60,200769,4030434.3
6/10/24,20.4,20.4,19.9,20,67,103730,2086146.6
6/7/24,20,20.3,20,20.2,97,281870,5693342.6
6/6/24,20.2,20.4,20,20.1,91,281921,5676594.4
6/5/24,19.9,21,19.6,20,485,2395424,48800296.7
6/4/24,18.6,19.9,18.6,19.4,105,729247,14148018.6
6/3/24,18.9,18.9,18.6,18.8,23,21399,401101.4
5/31/24,18.9,19,18.5,18.9,82,639584,12139806.6
5/30/24,18.1,19,18,18.8,116,582633,10841081.7
5/29/24,17.9,18.1,17.9,18.1,15,23611,426390.8
5/28/24,18.3,18.5,18,18,23,26084,470880.7
5/27/24,18.5,18.5,18,18,30,55976,1011482.4
5/22/24,18.5,18.5,18.3,18.5,41,111665,2064157.5
5/21/24,18.2,18.2,17.9,18,42,369285,6646734.6
5/20/24,18,18.3,17.5,18,54,143929,2560471.5
5/17/24,18,18.4,17.5,18.1,33,51413,924599.8
5/16/24,18,18,17.8,17.9,15,16946,303073.8
5/15/24,18,18.5,17.8,18,78,322231,5800519.1
5/14/24,18.1,18.1,17.8,17.8,48,89376,1599054.4
5/13/24,18.5,18.6,18,18,25,20415,370455.1
5/10/24,18.1,18.6,18.1,18.5,47,72308,1334678.1
5/9/24,18.2,18.5,17.8,18.3,94,302020,5478169.7
5/8/24,18.2,18.2,17.9,18,128,294551,5297997.5
5/7/24,18.4,18.4,18,18,102,371111,6688495.7
5/6/24,18.5,18.5,18,18,89,193216,3482132.1
5/3/24,18.2,18.8,18.1,18.2,48,66620,1235596.1
5/2/24,18.7,18.7,18.3,18.4,46,59977,1104713.4
4/30/24,18.7,18.8,18.2,18.6,65,181955,3380065.2
4/29/24,18.8,18.9,18.6,18.8,114,648970,12213304.2
4/26/24,18,19,18,18.7,142,532152,9940385.3
4/25/24,18.1,18.1,17.7,18,51,273698,4926623.3
4/24/24,18,18.1,17.7,18.1,71,305384,5502769
4/22/24,18.2,18.2,17.8,18.1,65,249383,4500959.2
4/19/24,18,18.7,18,18.2,209,716926,13086506.5
4/18/24,17.1,18.2,17,17.9,231,1535860,27256342.9
4/17/24,16.7,17.5,16.7,17.1,61,247660,4221614.9
4/16/24,16.8,17,16.7,16.7,53,141225,2362459.5
4/15/24,16.9,17.1,16.6,17,55,245078,4165964.5
4/10/24,16.8,17,16.8,16.8,14,16266,273280.6
4/9/24,16.6,17,16.6,16.9,45,298333,5067933.3
4/8/24,16.8,17,16.6,17,47,102845,1718729.1
4/5/24,16.8,16.8,16.7,16.8,54,299613,5033118.1
4/4/24,17,17,16.7,16.8,62,137567,2314299.6
4/3/24,16.8,16.9,16.5,16.9,43,90845,1500488
4/2/24,17.3,17.3,16.8,16.8,45,122476,2077531.2
4/1/24,17.4,17.5,17,17,76,462964,7903118.5
3/28/24,17.6,17.8,17.2,17.3,85,326232,5735372
3/27/24,17.1,17.5,17,17.5,101,335631,5833283.6
3/26/24,16.5,17,16.5,16.7,77,454838,7606715.7
3/25/24,17.1,17.1,16.6,16.8,33,50591,855349.4
