Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,8.5,8.5,8,8.1,40,123057,996261.1
7/4/24,8.3,8.6,8.1,8.5,26,37519,311917
7/3/24,8.5,8.6,8.4,8.4,17,35020,295423.5
7/2/24,8.7,8.7,8.4,8.7,21,12718,108692
7/1/24,8.6,8.8,8.6,8.7,9,1119,9636.6
6/28/24,8.6,8.6,8.4,8.6,7,20090,170776
6/27/24,8.6,8.6,8.3,8.5,28,28635,241981.5
6/26/24,8.5,8.6,8.5,8.5,15,15326,130313.6
6/25/24,8.5,8.6,8.5,8.5,40,76301,651188.5
6/24/24,8.7,8.7,8.6,8.6,27,14173,122285.2
6/20/24,8.8,8.8,8.6,8.7,14,9224,80307.7
6/19/24,9,9,8.8,8.8,11,11201,98614
6/18/24,8.9,8.9,8.9,8.9,6,4217,37531.3
6/14/24,8.7,8.8,8.7,8.8,4,8568,74641.6
6/13/24,8.9,8.9,8.8,8.9,9,6090,54168.3
6/12/24,8.9,8.9,8.8,8.9,15,10610,94215.5
6/11/24,8.7,8.9,8.6,8.7,20,12180,106278
6/11/24,8.7,8.9,8.6,8.7,20,12180,106278
6/10/24,8.9,9,8.6,8.8,23,21698,190658.6
6/7/24,8.8,8.9,8.8,8.8,12,56623,498291.7
6/6/24,8.9,8.9,8.8,8.8,12,5881,52310.5
6/5/24,8.9,8.9,8.6,8.6,20,50967,439487.8
6/4/24,8.7,8.9,8.7,8.7,18,13364,117352.7
6/3/24,8.9,8.9,8.1,8.7,27,41062,346021.1
5/31/24,8.8,8.9,8.7,8.8,12,3473,30547.5
5/30/24,8.7,8.8,8.6,8.6,59,204737,1775463.9
5/29/24,8.9,9,8.6,8.7,42,40707,355731.6
5/28/24,9,9,8.9,8.9,13,9468,84275.8
5/27/24,9,9,8.9,9,11,14745,131807.5
5/22/24,9,9,9,9,3,4300,38700
5/21/24,9,9,8.8,9,13,29218,261151
5/20/24,9,9,8.8,8.8,11,14355,126527.3
5/17/24,8.8,9,8.8,8.9,30,10669,94896.8
5/16/24,9,9,8.9,8.9,30,36098,321841.8
5/15/24,9.2,9.3,9,9,18,93152,845798.6
5/14/24,9.3,9.3,9,9.1,6,11034,100454.2
5/13/24,9.4,9.4,9.1,9.1,12,9237,86016.6
5/10/24,9.2,9.3,8.9,9,37,84450,762039.8
5/9/24,9.4,9.4,9.1,9.3,11,5096,47093.8
5/8/24,9.4,9.5,9.3,9.3,14,41430,386653.5
5/7/24,9.4,9.6,9.2,9.5,84,638226,5996917.6
5/6/24,9.4,9.6,9.3,9.3,103,664249,6292904.4
5/3/24,9,9.5,9,9,48,1516937,13662348.8
5/2/24,9.2,9.2,8.9,9,31,108185,965893
4/30/24,9.2,9.2,8.9,9.1,42,146043,1313738.6
4/29/24,9,9.2,8.9,9,80,244100,2199341.4
4/26/24,9.4,9.4,9,9,24,111635,1014336.4
4/25/24,8.9,9.4,8.8,9.1,72,264422,2400345.8
4/24/24,9,9,8.7,8.8,62,346973,3037620.9
4/22/24,9,9,8.9,9,8,2161,19437
4/19/24,8.7,9,8.7,8.8,32,57489,504140.1
4/18/24,9.1,9.1,8.9,9,37,133652,1206618.4
4/17/24,8.9,9.1,8.8,9,58,190596,1715949.1
4/16/24,8.8,8.8,8.5,8.7,64,168553,1453393.8
4/15/24,8.9,8.9,8.7,8.9,39,61445,541345.3
4/10/24,9,9,8.7,8.9,23,59139,523166.7
4/9/24,8.9,8.9,8.7,8.8,82,319455,2814961.5
4/8/24,9,9,8.8,8.9,27,378780,3365264
4/5/24,8.9,9,8.6,9,65,139599,1224096.5
4/4/24,9.2,9.2,8.8,8.9,87,110742,991166.2
4/3/24,9.3,9.3,9.1,9.2,8,1295,11950.8
4/2/24,9.4,9.4,9,9,25,75796,689583.8
4/1/24,9,9.4,9,9,8,8784,79115.2
3/28/24,9,9.4,9,9,23,19526,176085.9
3/27/24,9.4,9.4,9,9.1,22,24302,219753.3
3/26/24,9.4,9.4,9,9.1,13,17841,162060.4
3/25/24,9.5,9.5,8.9,9.1,30,100257,908273.7
3/22/24,9.4,9.5,9.4,9.4,17,32527,305776.4
3/21/24,9.2,9.6,9.2,9.4,7,386,3617.2
3/20/24,8.8,9.8,8.8,9.2,6,3595,33078
3/19/24,9.8,9.8,9,9.2,22,89708,823443.3
3/18/24,9.8,9.8,9.4,9.4,10,3195,30462.4
3/15/24,9.8,9.9,9.6,9.6,11,6789,66254.7
3/14/24,9.8,9.8,9.4,9.5,4,1002,9469.3
3/13/24,9.6,9.9,9.6,9.7,15,19369,187710.8
3/12/24,9.6,9.6,9.4,9.4,13,44066,415533.6
3/11/24,9.6,9.6,9.3,9.4,21,51972,489044.1
3/7/24,8.9,9.6,8.9,9.3,41,75840,708857.4
3/6/24,9.3,9.3,8.5,9.3,19,20766,183750.2
3/5/24,9.5,9.5,8.2,8.8,37,98319,864701.5
3/4/24,8.8,9.2,8.7,9.2,17,11795,106412.6
3/1/24,8.8,9.3,8.8,9,9,5360,47243
2/29/24,9.4,9.4,8.9,9,12,1353,12179.2
2/28/24,9,9,8.9,9,31,41724,374829.7
2/27/24,9.4,9.4,9,9,22,14989,135624
2/26/24,9.8,9.8,9.4,9.4,5,3109,29244.6
2/22/24,9.3,9.3,9.3,9.3,5,1135,10555.5
2/21/24,9.5,9.7,9.3,9.4,13,9809,92387.9
2/20/24,9.8,9.8,9.3,9.4,13,3670,34622.7
2/19/24,9.9,9.9,9.5,9.5,15,14830,143777.8
2/16/24,9.8,9.9,9.3,9.7,9,1193,11513.9
2/15/24,9.9,9.9,9.6,9.9,13,53252,511713.6
2/14/24,9.5,9.9,9.5,9.9,10,5924,56338
2/13/24,10,10,9.5,9.5,5,5436,54309.8
2/12/24,9.8,10,9.8,10,32,481799,4814286
2/9/24,9.6,9.9,9.5,9.9,11,4015,38402.7
2/8/24,9.3,9.7,9.3,9.5,17,13459,127933.6
2/7/24,9.4,9.5,9.3,9.3,11,6691,62564.1
2/6/24,9.5,9.5,9.3,9.4,7,1432,13470.7
2/2/24,9,9.5,9,9.4,20,165989,1559926.2
2/1/24,9.5,9.5,9.3,9.3,2,3000,28300
1/31/24,9.4,9.4,9.3,9.4,6,8024,75125.6
1/30/24,9,9.4,9,9.3,18,103858,958199.8
1/29/24,9.5,9.5,9,9,12,51735,469590.5
1/26/24,9.3,9.4,9.3,9.3,10,4008,37274.5
1/24/24,9.3,9.3,9.2,9.3,6,34001,316109.3
1/23/24,8.9,8.9,8.9,8.9,14,62010,551889
1/22/24,9,9,9,9,10,20600,185400
1/19/24,9.2,9.3,9,9.3,15,33484,309465.3
1/18/24,9,9.2,9,9.2,24,246437,2218553.2
1/17/24,9.3,9.3,8.9,9,17,44037,399667.9
1/16/24,9.2,9.2,9,9,7,10057,90537.9
1/12/24,9.2,9.3,9.2,9.2,6,10225,94092.5
1/11/24,9.3,9.4,9.3,9.4,37,225391,2096686.9
1/10/24,9.1,9.3,9,9.3,39,154222,1415247.7
1/9/24,9.1,9.1,8.9,8.9,13,13900,124140
1/8/24,8.4,9.2,8.4,9.1,52,125130,1128528.7
1/5/24,9,9,8.6,8.6,14,4216,36363.8
1/4/24,8.7,8.9,8.6,8.8,21,195891,1704821.4
1/3/24,8.7,8.8,8.6,8.7,7,50595,440181
1/2/24,8.7,8.7,8.4,8.5,4,5061,43027.4
12/29/23,8.4,8.5,8.4,8.4,11,8089,67956.3
12/28/23,8.4,8.4,8.4,8.4,1,400,3360
12/27/23,8.6,8.7,8.5,8.7,12,21318,183409.7
12/22/23,8.8,8.8,8.6,8.7,5,1292,11156.7
12/21/23,8.6,8.6,8.5,8.5,7,3340,28624
12/20/23,8.8,8.8,8.7,8.7,9,12954,112729.8
12/19/23,8.8,8.8,8.7,8.7,11,54713,476023.5
12/18/23,8.8,8.8,8.8,8.4,2,5,44
12/15/23,8.9,8.9,8.9,8.4,1,55,489.5
12/14/23,8.5,8.5,8.4,8.4,8,67634,568145.6
12/13/23,8.6,8.6,8.4,8.5,9,6725,57362.3
12/12/23,8.7,8.7,8.4,8.6,5,12806,109607.9
12/11/23,8.7,8.7,8.4,8.6,8,16571,144002.7
12/8/23,8.6,8.7,8.3,8.7,6,1026,8833.6
12/7/23,8.6,8.6,8.2,8.3,38,52088,432773.7
12/6/23,9,9,8,8.4,104,309060,2525794
