Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,203.25,205,203.25,203.5,48,120123,24506469
7/4/24,204.5,205.75,203.5,203.5,143,3313929,679333037.5
7/3/24,205,205.25,203.5,203.5,65,656276,133981616
7/2/24,205,205.75,204,205,71,144129,29546718.75
7/1/24,203,205,203,204,40,528309,107771343
6/28/24,206,206,203.25,203.75,71,618443,126139739.5
6/27/24,206.25,206.25,203,203.75,85,24146,4930554.25
6/26/24,206.5,206.5,205,206,88,489080,100747963
6/25/24,205.5,206.5,205,206,112,890022,183340888.3
6/24/24,203,207.75,203,206.5,155,1019676,209870667
6/20/24,203,205,201,202,258,4856701,980743549.8
6/19/24,204.5,205,203,203,111,304446,61856978
6/18/24,204,207,203.5,204,115,3063874,625034095.8
6/14/24,202.5,205.5,202.25,205,73,1497176,303993293.5
6/13/24,204,204,203,203,100,346285,70312760.25
6/12/24,204,204,203,203,90,577380,117769646
6/11/24,203.75,205,203.75,204,235,2604246,531263238.3
6/11/24,203.75,205,203.75,204,235,2604246,531263238.3
6/10/24,208,208,203.75,204,283,2120708,433482761.3
6/7/24,205,207,205,206,66,168947,34751520.25
6/6/24,202.75,206,202.75,205,40,51971,10621357.75
6/5/24,205.75,206,202.25,203,113,1096280,222291822
6/4/24,204,206,204,204,43,22264,4570114.25
6/3/24,206,206,204,204,81,33118,6768729
5/31/24,206.5,208.5,206.25,206.75,79,517275,107046386
5/30/24,206,207,206,207,39,500184,103327769.3
5/29/24,208,208,205.25,206,98,192219,39592014
5/28/24,209,210,206.75,207,88,61249,12715196.25
5/27/24,208.5,209.75,208,209,98,79518,16607030
5/22/24,208.5,209,207,208.75,158,638008,132775218.5
5/21/24,205,207.25,205,207,129,1309733,271085205.8
5/20/24,205,207,203,206,73,53768,11036995
5/17/24,203,207.5,202,205.25,83,178186,36390658.75
5/16/24,202,203.5,201,203,205,1476920,298355389.3
5/15/24,204.75,206.5,201.75,202,221,2089802,423323676.8
5/14/24,208,208,202,203.25,299,4392642,888900629.5
5/13/24,209.5,209.75,206.25,207,129,342095,71094823.5
5/10/24,206,209,206,208.75,208,793748,164096921
5/9/24,205,206.75,204,206,91,374381,77072798
5/8/24,202.75,205.5,202.5,204.75,192,1275102,258539415.8
5/7/24,203,203.5,200,201.5,401,1220829,245443334.3
5/6/24,205,207,202.5,203,240,787964,160282616
5/3/24,208.75,210,205,205.5,248,848356,175090158.8
5/2/24,215,218,208.75,209.25,599,1155212,243236759.5
4/30/24,209.5,210.5,208.75,209.5,252,2991320,626470026.5
4/29/24,208,209.25,207.5,208.5,176,1114102,232197673.5
4/26/24,210,210,207.5,208.25,154,1868847,389123559.5
4/25/24,205,210,,209.75,237,739940,146952167.3
4/24/24,204.75,205,204.75,205,94,191093,39156809
4/22/24,203,205,203,205,71,145805,29858349.75
4/19/24,204,204,198.25,203.75,111,116312,23640449.75
4/18/24,203,204,203,204,138,429062,87395580.75
4/17/24,200,203,200,203,82,90663,18325737.25
4/16/24,203,204,201,201.25,120,154273,31384746.25
4/15/24,200.5,203,200.5,203,170,424154,85507066.25
4/10/24,200,201,200,200.75,59,227542,45715192.25
4/9/24,199.25,200,198,199.75,101,195010,38874550.75
4/8/24,199.25,201,199,199,215,1034895,207045865
4/5/24,199.5,199.5,198.25,199,79,296229,58947434.5
4/4/24,198.75,199.75,198.5,199,218,832863,166050208.3
4/3/24,196,198.75,196,198.5,210,629895,124903001.5
4/2/24,194,197.5,194,197,196,614965,121025988.8
4/1/24,194.25,194.5,193.25,194.25,50,35787,6944263.75
3/28/24,192,194.75,192,194,241,672648,130409852.3
3/27/24,191,192.25,191,192,66,419918,80328703.5
3/26/24,190,191.75,190,190.5,44,40344,7695833.25
