Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,69,69,69,67,1,10,690
7/4/24,67,67.1,67,67,5,500,33507
7/2/24,68,68,68,68,1,156,10608
7/1/24,69,69,69,68,1,10,690
6/28/24,69,69,69,68,1,95,6555
6/26/24,69,69,68.9,68,3,13,896.8
6/25/24,68.2,68.2,68,68,3,1520,103363
6/24/24,69,69,67,67,8,3123,209275
6/20/24,69,69,67.2,67.2,4,2200,147966
6/19/24,68.8,68.8,68.4,68.4,6,1534,104965.6
6/18/24,67.5,68.9,67.5,67.5,16,4267,288035
6/13/24,71.9,71.9,71,71.4,7,323,23059
6/12/24,67.1,67.1,67.1,71,1,2,134.2
6/11/24,69.9,73,69.9,71,34,4546,324286.8
6/11/24,69.9,73,69.9,71,34,4546,324286.8
6/10/24,69.2,70,69.2,69.6,4,501,34851.3
6/7/24,66,66,66,66,1,200,13200
6/6/24,66.1,68,66.1,66.2,8,161,10662
6/5/24,66,69,65,65.4,6,810,52995
6/3/24,69.9,69.9,69.8,70,4,37,2584.7
5/31/24,67,70,67,70,10,1006,70402
5/30/24,70,70,69.9,70,3,76,5312.8
5/29/24,70,70,70,70,3,89,6230
5/28/24,68,70,67,70,40,110889,7756778.5
5/27/24,65.6,69.7,65.6,67,15,1959,129471.3
5/22/24,69.2,70,69.1,70,30,39644,2774170.7
5/21/24,68,68,67,67,11,6039,405624.1
5/20/24,68.1,68.5,68.1,68.8,7,73,4976.1
5/17/24,68.1,69.8,68.1,68.8,2,175,12045
5/16/24,69.4,70,68,69.9,20,35539,2485313.4
5/15/24,69.7,69.7,66.2,69.5,21,11338,780671.6
5/14/24,69.5,70,62,64.6,38,59017,3815721
5/13/24,68.1,69.5,68.1,68.2,4,116,7908.6
5/10/24,68,71,68,69.2,16,12160,841695
5/9/24,67,71.5,67,67.6,4,166,11220.3
5/8/24,66.9,70,66.9,70,15,8696,608487.5
5/7/24,70.1,70.1,69,70,29,50100,3506765
5/6/24,69.9,70.1,68,69.9,30,5011,350336.9
5/3/24,68,69.7,68,68.9,18,3501,239321.5
5/2/24,64.5,68.2,64.5,68,25,3746,252186.8
4/30/24,65,65,63,64.5,21,134146,8452800.6
4/29/24,64.2,65,64,64.5,15,905,58316.3
4/26/24,64.9,64.9,63.5,64.2,5,221,14187.9
4/25/24,65,65,64.7,64.7,5,208,13462.3
4/24/24,65,65,65,64.8,1,1,65
4/22/24,64.8,64.8,64.7,64.8,4,190,12305.2
4/19/24,64.9,64.9,63,63,4,315,19848.8
4/18/24,65.5,65.5,63,63.3,16,665,42200.6
4/17/24,65.7,65.7,65.4,64.2,3,18,1177.8
4/16/24,64,65.5,64,64.2,4,650,41750
4/15/24,65.3,65.3,64,64,12,1357,87702.1
4/10/24,63.5,65.4,62.5,65.3,5,1077,70351.9
4/9/24,64.1,64.1,64.1,64.1,6,128,8204.8
4/8/24,64,64,64,64.1,1,36,2304
4/5/24,64.1,64.3,60.8,64.1,73,5163,321062.4
4/4/24,64.7,64.7,64,64.1,14,565,36267.9
4/3/24,65.4,65.5,64,64.7,15,6815,443804.8
4/2/24,65,65.4,65,64.8,3,16,1042
4/1/24,64.7,64.7,64.7,64.8,1,5,323.5
3/28/24,67.5,67.5,64.7,64.8,20,3492,226451.4
3/27/24,65,67.6,64.9,64.9,18,1686,109486.1
3/26/24,65.8,67.9,64,67,14,807,53678.1
3/25/24,68,68,67.8,67.9,8,307,20851.6
3/22/24,66.2,68,65,65.8,10,1707,112400.8
