Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,17.9,18,17.5,17.8,23,3779,67277.4
7/4/24,18.1,18.1,17.4,17.5,69,232847,4107564.3
7/3/24,18,18,17.7,17.8,48,106317,1894105.1
7/2/24,17.9,18,17.8,17.8,34,62337,1113864.8
7/1/24,17.7,18.2,17.7,17.8,50,250346,4455783.1
6/28/24,17.9,17.9,17.8,17.8,37,58401,1042903.3
6/27/24,18.4,18.4,17.8,17.8,86,114545,2052244.6
6/26/24,18.1,18.4,18,18,101,312435,5624362.4
6/25/24,18.4,18.4,17.9,18.1,74,136732,2459018.9
6/24/24,18.3,18.4,17.9,18,41,42152,760442
6/20/24,18.3,18.4,17.9,18,87,131712,2370490.8
6/19/24,18.5,18.5,17.8,18,148,236171,4255016.3
6/18/24,18.8,18.8,18,18.2,167,329119,5944010.1
6/14/24,18.8,18.8,18.6,18.8,6,4651,87437.6
6/13/24,18.8,18.8,18.5,18.6,31,31903,593321.2
6/12/24,18.8,19,18.4,18.6,86,145796,2713198.5
6/11/24,18.9,19,18.7,18.8,27,1142163,21697253.2
6/11/24,18.9,19,18.7,18.8,27,1142163,21697253.2
6/10/24,18.6,19.3,18.6,18.7,42,94364,1776511.8
6/7/24,19.1,19.1,18.6,18.7,69,84562,1579341.1
6/6/24,19,19.4,19,19,85,261923,4989411.4
6/5/24,19,19,18.8,18.9,25,47233,896753
6/4/24,18.9,19,18.8,18.9,12,4636,87521.4
6/3/24,18.7,19,18.6,18.6,35,22676,423414.3
5/31/24,18.9,18.9,18.7,18.7,18,5515,103341
5/30/24,18.8,18.9,18.6,18.7,25,34978,655904.9
5/29/24,18.9,18.9,18.6,18.8,32,15305,286569.7
5/28/24,18.6,19,18.6,18.8,31,14403,270804
5/27/24,19.1,19.1,18.5,18.9,48,39743,748353.7
5/22/24,19.2,19.3,18.7,19,61,36889,701761.7
5/21/24,18.7,19,18.7,19,36,63394,1202583
5/20/24,18.9,19,18.7,18.8,52,81245,1527130.8
5/17/24,18.9,19,18.9,19,42,52084,986021.8
5/16/24,19.2,19.2,19,19,75,331206,6293854.4
5/15/24,19,19.2,19,19.1,98,688496,13147493.8
5/14/24,19.2,19.2,19,19,162,692321,13174981
5/13/24,19,19.3,18.9,19,165,1007909,19153241
5/10/24,19.2,19.2,18.9,18.9,29,36815,696078.8
5/9/24,19.1,19.1,18.8,19,81,133330,2531139.4
5/8/24,19.2,19.3,19,19,63,142061,2707796.6
5/7/24,19.1,19.2,18.9,19,133,205802,3902395.6
5/6/24,18.9,19.4,18.9,19,56,343775,6596361.7
5/3/24,18.9,19.4,18.9,19.1,214,412634,7862173.3
5/2/24,19.2,19.4,19,19,116,379663,7252320
4/30/24,19.3,19.3,18.9,19.1,118,352556,6717734.6
4/29/24,19.3,19.4,18.9,19,276,584083,11133687.5
4/26/24,19.5,19.5,19,19.3,135,277910,5344853
4/25/24,19.3,19.5,19,19.4,193,446975,8631238.2
4/24/24,19.6,19.6,19,19.2,162,257245,4914740.7
4/22/24,19.3,19.6,18.9,19.3,102,219822,4193374.6
