Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,422,422,422,389.5,2,16,6752
7/1/24,419,419,419,389.5,1,12,5028
6/28/24,400,400,400,389.5,1,4,1600
6/27/24,419.75,419.75,419.75,389.5,1,11,4617.25
6/24/24,390,390,388,389.5,6,121,47118
6/20/24,419.75,419.75,388.5,390.5,4,40,15916.5
6/18/24,420,420,387,390.5,7,107,41793.5
6/14/24,394,395,390,390.75,9,170,66409
6/13/24,400,400,391,406.25,4,69,27030
6/12/24,419.75,419.75,400,406.25,2,11,4459.25
6/11/24,400,419,400,406.25,9,150,60950
6/11/24,400,419,400,406.25,9,150,60950
6/10/24,419,419,419,426.75,1,25,10475
6/7/24,425,425,424,426.75,2,13,5524
6/6/24,425,425,420,426.75,3,26,11030
6/5/24,425,425,425,426.75,2,10,4250
5/31/24,400,430,400,426.75,4,8,3320
5/30/24,380.5,405,380.5,426.75,5,8,3071
5/15/24,437.25,439.75,437.25,426.75,3,25,10986.5
5/9/24,354.5,440,354.5,426.75,3,61,26754.5
5/7/24,425,440,425,426.75,2,4,1745
5/2/24,410,410,410,426.75,1,2,820
4/30/24,422,429.75,422,426.75,7,325,138712
4/29/24,421,421,421,426.25,1,1,421
4/25/24,405,405,405,426.25,2,30,12150
4/18/24,354.75,402,354.75,426.25,2,2,756.75
4/1/24,428.5,428.5,428.5,426.25,1,1,428.5
3/27/24,428.5,428.5,428.5,426.25,1,2,857
3/25/24,425,425,425,426.25,2,2,850
3/22/24,428,430,390,426.25,7,579,246746
3/11/24,400,400,400,390,3,15,6000
3/7/24,402.5,402.5,400,390,3,8,3205
3/4/24,403,403,403,390,1,1,403
2/27/24,400,400,400,390,1,1,400
2/21/24,400,400,400,390,2,6,2400
2/2/24,399.75,399.75,399.75,390,1,1,399.75
2/1/24,400,400,400,390,1,1,400
1/29/24,402,402,402,390,2,6,2412
1/26/24,405,405,405,390,1,1,405
1/22/24,404.75,404.75,404.75,390,1,1,404.75
1/17/24,399.75,401.75,399.75,390,5,24,9615.75
1/12/24,390.25,390.25,390,390,2,41,15990.25
1/10/24,402,402,402,390,1,6,2412
1/2/24,394,394,394,390,2,5,1970
12/28/23,385,390,380,390,5,528,205595.75
12/22/23,390,390,390,390,6,26,10140
12/21/23,390,390,390,390,3,8,3120
12/20/23,390,390,390,390,1,6,2340
12/19/23,416.75,416.75,390,390,9,21,8242.5
12/15/23,395,395,395,390,1,1,395
12/13/23,417,417,417,390,1,1,417
12/12/23,390,390,390,390,3,21,8190
12/11/23,391,391,390,390,12,737,287440
12/8/23,376,380,375.25,380,9,323,122637
12/7/23,418,418,376,418.25,2,4,1546
12/6/23,418.25,418.25,375,418.25,3,7,2797.5
12/4/23,449,449,444.75,418.25,5,15,6688.5
12/1/23,449,449,442.25,418.25,4,15,6663.5
11/28/23,350.5,450,350.5,418.25,3,7,2851.5
