Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,67.5,67.5,66,66.4,90,42260,2812039.1
7/4/24,68,68.5,67,67.1,116,42668,2884455.1
7/3/24,69.4,69.5,68.1,69,111,33615,2323449
7/2/24,69.5,69.5,69.2,69.4,53,24661,1708928.7
7/1/24,71.5,71.5,69.1,69.5,112,28596,2003205.5
6/28/24,72.5,73.7,72.4,72.5,62,159762,11715201.2
6/27/24,72.8,73,72,72.3,43,34497,2494853.6
6/26/24,73,73.8,72.6,72.9,117,371830,27186692.5
6/25/24,71.5,72.6,71.5,72.3,97,847165,61109291.3
6/24/24,71.5,72,71.4,71.8,50,100855,7219700
6/20/24,72,72,71.3,71.5,33,12901,923434.8
6/19/24,72,72,71.3,71.5,50,97923,7000532.4
6/18/24,72,72,71.1,71.9,72,397105,28407370.7
6/14/24,71.5,72,71.5,71.8,23,118590,8480788.6
6/13/24,72,72,71.4,71.5,54,424827,30384978.5
6/12/24,71.6,71.6,71,71.3,57,81541,5813971.2
6/11/24,71.5,71.9,70.4,71.5,91,281609,20099269.6
6/11/24,71.5,71.9,70.4,71.5,91,281609,20099269.6
6/10/24,71.9,72,71.1,71.9,65,165621,11898571.8
6/7/24,72,72,71.4,71.5,44,55806,4010123.7
6/6/24,70.9,71.9,70.5,71.9,57,29569,2107165.6
6/5/24,70.8,70.9,70.4,70.8,18,2397,169649.6
6/4/24,70,70.9,69.5,70,49,52716,3690088
6/3/24,70.7,70.7,69.9,70,68,25089,1761125.8
5/31/24,71,71,70.7,70.9,33,62007,4401022.5
5/30/24,71.2,71.5,70.6,71,50,17849,1270846.2
5/29/24,71.5,71.8,70.7,71.2,57,74667,5330040.1
5/28/24,71,72,71,71.3,163,85357,6087459.7
5/27/24,70.8,71,70.3,70.6,29,309351,21809954.8
5/22/24,70.9,71,70.1,70.6,41,37161,2625624.8
5/21/24,69.6,70,68.5,69.9,62,25106,1739197.1
5/20/24,70.1,70.7,69.2,70,68,101695,7117647.2
5/17/24,70.1,70.9,70,70.7,39,56579,3986081.4
5/16/24,70.5,71.9,67,70.3,107,362525,25677097.8
5/15/24,71,71.9,70.1,70.3,79,47209,3348958.3
5/14/24,72,72,70.7,71,56,60449,4294778.8
5/13/24,72,72.5,71,71.6,90,397568,28503014.9
5/10/24,71.2,72.4,71.2,72,69,297011,21381791.5
5/9/24,71.5,71.7,70.9,71.4,74,569484,40461521.9
5/8/24,72,72.5,71.4,71.5,76,258618,18581793.3
5/7/24,72.4,72.8,71.7,72,37,217107,15631721
5/6/24,72,73.1,71.5,72.3,101,553122,40351051.2
5/3/24,71,73.5,71,72.8,229,1976859,142434724.5
5/2/24,71.5,72,71,71.5,118,652983,46784955.8
4/30/24,71,72.7,71,71.5,315,1919342,136963544.5
4/29/24,68,70.5,68,70,201,301620,20861488.8
4/26/24,67,68.4,67,67.9,98,282748,19216591.4
4/25/24,66.5,67.2,66.4,67,68,64060,4281516.5
4/24/24,66.8,67,65.5,66.5,32,23698,1577498.3
4/22/24,64.7,66.8,64.7,65.8,81,203809,13264649
4/19/24,65.3,65.3,64.7,65,106,364617,23700926.9
4/18/24,67.3,67.3,65,65.9,66,63949,4202838.3
4/17/24,66.8,67.5,65.1,67.3,126,105721,7030712.9
4/16/24,67.6,69,66.9,67.3,141,252613,17063468.4
4/15/24,68,69.4,66.9,69,108,548906,37363673
4/10/24,66.5,68.9,66.5,68.5,80,274958,18819547.2
4/9/24,67.5,68,67,67.5,116,192828,12936941.1
4/8/24,65.5,67.5,65.5,66.9,154,255747,17110436
4/5/24,64.6,65.8,64.1,65.7,76,103794,6727359.3
4/4/24,64.8,64.8,64,64.6,91,320828,20700888.5
4/3/24,64.8,64.8,64.5,64.7,57,216923,14033636.6
4/2/24,63.5,64.9,63.5,64.5,112,181394,11678347.1
4/1/24,62.5,63.5,62.5,63.5,65,600380,37940455.9
3/28/24,63,63,62.7,62.7,45,114536,7203113.1
3/27/24,63,63,62.8,62.9,110,218007,13733541.6
3/26/24,62.2,63,62.2,62.9,52,144470,9054337.8
3/25/24,62.4,62.8,62.3,62.6,44,64085,4007323.7
3/22/24,61.8,62.3,61.7,62,76,65367,4050289.6
3/21/24,62.1,62.2,61.8,61.8,63,58473,3624036.6
3/20/24,62,62.7,61.9,62.5,34,15602,969019
3/19/24,63.5,63.5,61.6,62.1,152,36426,2261827.2
3/18/24,64,64.5,63.9,64.1,200,438924,28234621.2
3/15/24,64.2,64.4,63.8,64,79,325879,20849218.9
3/14/24,64,64.5,63.9,64,110,92361,5914010.8
3/13/24,64.5,64.5,63.9,64,75,55577,3557258.3
3/12/24,64.9,64.9,64,64.1,61,49954,3215749.4
3/11/24,65,65.4,64,64.1,156,125421,8073888.9
3/7/24,64,64.5,63.5,64,74,127298,8143845
3/6/24,64.5,64.5,63.4,63.9,50,113491,7251243.7
3/5/24,63.5,64,63,63.4,47,37179,2348367.5
3/4/24,62.2,63.5,62.2,63,59,193535,12191790.4
3/1/24,62,63.3,62,63,56,130732,8233804.3
2/29/24,62.5,62.9,62,62.5,77,116744,7294912.2
2/28/24,61.9,62.9,61.9,62.5,82,492252,30696673.7
2/27/24,62.1,62.5,61,61.9,202,14612817,891517032.2
2/26/24,62.5,62.9,61.2,62.5,31,20657,1284996.5
2/22/24,62.4,62.8,60.9,62.4,33,944090,57592657.6
2/21/24,61.4,62.4,61,61,88,680724,41533898.2
2/20/24,62,62,61.1,61.4,51,89445,5500956
2/19/24,61.8,62,61.6,61.7,38,33677,2079522.1
2/16/24,62,62,61.3,61.6,26,18931,1164126.2
2/15/24,62,62,61,61,54,153460,9365352.7
2/14/24,62.5,62.5,61.5,62,16,1781,110415.7
2/13/24,62.5,62.5,61.5,61.9,32,7513,464862.5
2/12/24,62.2,62.4,61,62.2,28,21979,1366348.7
2/9/24,62,62.2,60,60.2,221,397054,24141281.1
2/8/24,61.9,61.9,60.9,61,133,1831238,111709883.6
2/7/24,61.2,61.9,60.9,61,55,1304726,79588760.5
2/6/24,61,62.4,61,61,123,395144,24136859.6
2/2/24,61,62.4,60.4,61.1,196,5480144,334296693.4
2/1/24,61,62.4,60.5,61,142,3551508,216639331.4
1/31/24,62,62.5,60.4,62.2,38,10830,665476.7
1/30/24,60.9,61.5,60.7,61,61,133688,8159260
1/29/24,61.9,62,60.7,61,60,120772,7370276.3
1/26/24,62.5,62.5,62,62,27,1833463,111847437.5
1/24/24,61.5,62.9,61,62.5,36,548716,33475599.3
1/23/24,62,62,60.8,60.9,38,4084,249370.2
1/22/24,62.9,62.9,61.5,62,32,10741,661992
1/19/24,61.6,63,61.6,62.8,7,1463,91892.7
1/18/24,62.3,62.3,61,61.7,22,6553,405758.7
1/17/24,61.5,62,60.2,60.2,38,13417,811346.7
1/16/24,62.3,62.3,60.2,60.2,66,74386,4490280.3
1/12/24,62,62,60.5,61.5,15,758,46216.4
1/11/24,62.5,62.5,60.4,60.5,26,2547,154375.9
1/10/24,61,62.9,60.2,60.4,45,16860,1021280.8
1/9/24,63,63,58,60.5,53,31178,1887548.9
1/8/24,62.5,63.9,62,62,42,47117,2922717.7
1/5/24,63,63.9,61.9,62,70,29973,1871867.2
1/4/24,62.6,63.5,62.5,63,19,4130,259906.2
1/3/24,62.4,63,62.4,62.6,10,4224,264233
1/2/24,62.4,63.1,62.2,62.9,29,1716,107481.4
