Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,34.2,36.4,34.2,36,8,1234,42871.6
7/4/24,34.5,36.4,34.5,36.3,12,627,22520.4
7/3/24,35.5,36.4,35.5,36.4,2,4,143.8
7/2/24,36.4,36.4,34.5,36.4,11,1911,68402.6
7/1/24,36.4,36.4,36,36.4,8,1222,44094.4
6/28/24,35.2,36.9,35.2,36.4,8,1301,47412.4
6/26/24,37.5,37.5,35.2,37.4,6,519,19419.2
6/25/24,34.1,37.5,34.1,36.8,17,7780,275208.9
6/24/24,37.5,37.5,34.3,35.9,6,1076,38400
6/20/24,34.8,37.8,34,35.9,26,11746,421147.3
6/19/24,36,38,36,37.6,7,841,31577
6/18/24,36,36.4,33,36,22,8952,304941.4
6/13/24,36,36.4,36,36.4,7,1156,41840.4
6/12/24,36.4,36.4,34,36.4,24,4731,164928.4
6/11/24,35.5,36.4,35,35.5,18,7571,268959.4
6/11/24,35.5,36.4,35,35.5,18,7571,268959.4
6/10/24,35.5,35.5,35,35.4,4,151,5350.5
6/7/24,35.5,35.5,34.4,35.3,9,4145,147022.5
6/6/24,33.1,36.5,33.1,35.5,22,16705,577382.9
6/5/24,36.4,36.5,36.4,36.5,3,511,18630.4
6/4/24,36.5,36.5,32.6,36.1,15,5754,207902.2
6/3/24,33.6,36.5,33.6,36.5,7,2850,99575
5/31/24,35.5,36.5,35,36.3,9,6775,241677
5/30/24,35.5,36.5,35,36.2,13,2891,103913.5
5/29/24,37,37.5,36,36,13,1947,70855
5/28/24,37,37.5,36,37,14,8369,309365
5/27/24,38,38,37,37.9,5,300,11383
5/22/24,37,38,37,37,2,2,75
5/21/24,37,38,37,37,21,28030,1037309.9
5/20/24,36.4,38,36.4,38,14,3310,125010
5/17/24,37,38.6,36,38.6,20,1259,47286.9
5/16/24,37,38.8,36.4,37.3,15,3983,148332.2
5/15/24,37.5,39,37.4,37.8,9,971,36642.2
5/14/24,38,39,38,39,11,10059,383127.4
5/13/24,38.6,39,38,38.8,10,802,30987.9
5/10/24,37,38,36.2,37.9,18,3285,122172.1
5/9/24,38.8,39.5,37,38.8,20,6182,239208.6
5/8/24,37.1,38.5,37,38.5,17,3591,137274
5/7/24,37,38,37,37.8,11,4586,172807
5/6/24,37,38,37,37.9,13,3325,123947
5/3/24,37.9,37.9,36.1,36.9,12,1197,43802.9
5/2/24,36.5,38,36.5,37,16,30178,1114891.5
4/30/24,38,38.3,36.9,37.9,26,7105,267696.3
4/29/24,36.6,38.3,36.6,38,15,2061,77007.4
4/26/24,38.5,38.5,36.7,37.2,11,505,18786.6
4/25/24,36.2,38.4,36.2,38.2,20,4529,172779
4/24/24,38.4,38.4,38,38.4,6,111,4258.6
4/22/24,34.7,38.4,34.7,37.5,16,731,27600.6
4/19/24,37.5,38,35,37.5,23,11026,413865.4
4/18/24,37.4,38,35.4,37.9,5,61,2289.3
4/17/24,37,38,37,37.9,16,1623,61272.8
4/16/24,36.6,37,36.6,36.9,18,6006,220570.7
4/15/24,36.5,36.5,36.5,36.6,1,12,438
4/10/24,35,36.7,35,36.6,14,1178,42864.8
4/9/24,36.7,36.7,35,36.3,17,8588,311782.8
4/8/24,34.7,36,33.2,36,41,55367,1985601.7
4/5/24,33,36,33,34.2,15,923,32005.6
4/4/24,35,36,33.6,34.7,32,15847,550636.4
4/3/24,34.9,35,33.7,34.9,14,12925,440457.4
4/2/24,34.5,34.5,33,34.3,23,14951,508691.2
4/1/24,33.7,34.5,33.7,34.2,8,1903,64933.5
3/28/24,33.5,34.5,33.5,34.5,9,4858,166770.7
3/27/24,34,34.2,34,34,13,23760,808332
3/25/24,34.3,34.5,33.2,34.4,9,1429,49075.2
3/22/24,34.3,34.3,34,34.2,4,1540,52702
3/21/24,33.5,34.5,33,34.3,15,9963,332363.9
3/20/24,33.1,33.5,33.1,33.5,6,1109,36871.5
3/19/24,34.4,34.4,33.5,33.5,3,5103,170955
3/18/24,34,34.5,34,34.5,4,1000,34410
3/15/24,33,34.5,33,34.4,8,791,27095.5
3/14/24,34.5,34.7,34.5,34.6,2,5000,173100
3/13/24,34.7,34.7,33,34.7,8,981,33700.7
3/12/24,33,34.8,32.6,33.8,25,14690,494360
3/11/24,33,34,33,33,15,6614,224049
3/7/24,33.6,34,33.1,33.6,21,16953,568174.2
3/6/24,34,34,33.9,34,6,1098,37322
3/5/24,35,35.5,33.1,33.8,21,5193,176408.4
3/4/24,35,35.5,35,35.4,7,3750,132625
3/1/24,36,36,34,35.9,25,11866,412500.3
2/29/24,35.2,35.9,35,35.9,19,8620,306431.1
2/28/24,35.3,35.8,35.3,35.7,4,1150,40945
2/27/24,36,36,35.1,35.8,7,2085,74680
2/26/24,35.1,36.8,35.1,35.9,14,14302,513022
2/22/24,35.3,36.8,35.3,36.8,11,3055,109383
2/21/24,37,37,37,37,2,650,24050
2/20/24,36,36.9,36,36.8,4,600,22050
2/19/24,36,37,36,37,4,271,10007
2/16/24,37.4,37.4,36,36.8,8,1365,50295.2
2/15/24,36,37.5,35,35.7,77,105548,3775830.3
2/14/24,36,37,35.4,37,9,1180,43024
2/13/24,37.4,38,37.4,37.7,17,18500,696820
2/12/24,37.4,37.5,37.4,37.5,4,3500,131100
2/9/24,36,37.5,36,37.4,7,2501,93625.4
2/8/24,36.3,37.9,36.3,37.3,21,11292,425733.1
2/7/24,37,37.4,36.3,37.4,7,5050,188340
2/6/24,37.4,37.5,36,36.7,18,13312,491148.2
2/2/24,37.4,37.4,37.4,37.4,2,100,3740
2/1/24,36.7,37.5,36,37.4,18,5393,199039.7
1/31/24,36.5,37.7,36.1,37.4,17,1903,70495.7
1/30/24,36.3,37,36.3,37,17,538864,19937680.2
1/29/24,37,37,37,37,1,186,6882
1/26/24,36.3,36.3,36.3,37,1,44,1597.2
1/24/24,36.2,37.3,36.2,37,7,1100,40726
1/23/24,37.2,37.4,36.2,37.2,16,8176,301214.6
1/22/24,37,37.9,36.1,37.4,14,3069,114726.4
1/19/24,38,38,37,37.8,10,13144,498828
1/18/24,37.5,38,37.5,38,7,10000,379845
1/17/24,38,38,37.8,37.9,6,5001,189518
1/16/24,35.9,38.4,35.9,37,21,5460,204126.5
1/12/24,35.7,37.4,35.5,36.2,14,4214,155260
1/11/24,35.6,37.4,35.6,35.7,8,106610,3838029
1/10/24,37.3,37.4,34.6,37.4,26,13951,505193.9
1/9/24,37.4,37.4,37.4,37.4,1,500,18700
1/8/24,33.7,37.4,33.7,36.9,41,50352,1850316
1/5/24,36,36.5,35,36.3,18,38051,1376997
1/4/24,35,36.4,35,36.2,10,8651,312920
1/3/24,33.8,36.4,33.5,36.4,12,2860,101714
1/2/24,33.5,33.5,33.5,35.8,1,5,167.5
12/29/23,33.5,36,33.5,35.8,7,725,25973.5
12/28/23,33.5,35,33.5,35,12,4000,137990
12/27/23,35,35,33.5,35,10,8039,278365
12/22/23,35,35,35,35,3,2100,73500
12/21/23,35,35,33.2,35,10,3500,121540
12/20/23,36,36,33.2,35,7,5512,196418.1
12/19/23,35,36,32.3,35.8,10,14834,526875.6
12/18/23,35.4,35.5,35,35.5,3,501,17784.8
12/15/23,35.1,35.9,35.1,35.1,3,146,5125.4
12/14/23,34.9,35,34.9,35,4,503,17580
12/12/23,33.9,34.9,33.9,34.9,6,2753,95879.7
12/8/23,35,35,33.1,35,9,5206,182197.2
12/7/23,32.3,35.5,32.3,35.1,7,6250,218035
12/6/23,35.5,35.5,35.5,35.5,3,784,27832
12/1/23,35.5,35.5,35.5,35.5,2,2000,71000
11/30/23,35,35.9,35,35.5,5,5335,188142.5
11/28/23,34,36,34,36,8,5502,198018
11/27/23,35,36,35,36,4,5900,212220
11/24/23,34.2,36,34.2,35.9,13,1835,65502
11/23/23,34,36.9,34,35.5,13,6850,240566.1
11/22/23,36,36,35,35,5,1000,35050
11/21/23,35,36.9,35,36.9,2,11,386.9
11/20/23,36.9,36.9,36.9,36.9,2,5,184.5
11/17/23,37.2,37.2,35.2,36.9,3,629,23240.8
11/16/23,36.1,37.4,36,37.1,14,10113,372093.5
11/15/23,36.1,37,36.1,36.7,15,7585,277478.5
11/14/23,36,37,36,37,7,2350,86440
11/13/23,36,37,35,36.5,17,4409,160481.1
11/10/23,34.5,37,34.5,36.7,13,3301,118851.9
11/9/23,37,37,34.4,36.9,12,3800,139314
11/8/23,36.9,37,35.1,37,19,21320,788479.5
11/7/23,35.5,36.8,35.5,36.8,47,73780,2695560.7
11/6/23,35,35.5,32.1,35.4,26,6141,214211.2
11/3/23,32.5,35.5,32.5,35.4,19,3501,121638.5
11/2/23,35.4,35.5,35.4,35.5,3,500,17749.9
11/1/23,34.4,35.5,34.4,35.1,37,33000,1153856
10/31/23,34,34,31.3,34,7,73,2364.4
10/30/23,31.2,34.5,30.6,34,52,3286,105995.2
10/27/23,30.6,34,30.6,33.9,7,3762,127527.6
10/26/23,32.3,34,32.3,33.5,14,1449,48507.2
10/25/23,32,33.4,30.5,31.5,10,4251,134007
10/24/23,31.1,32,31,32,12,13702,432457
10/23/23,32.5,33,30.5,32.8,21,6012,195934.9
10/20/23,30.3,32,30,31.9,12,2350,74908
10/19/23,30.3,32,29,32,39,19870,601317.2
10/17/23,32,32.5,30.2,32.3,41,7788,244079
10/16/23,30.3,32.1,30,31.6,29,3453,107279.4
10/13/23,30.1,32.2,30.1,31.4,18,2556,81376.5
10/12/23,31,31.9,31,31.9,12,3135,99729
10/11/23,32.5,32.5,31,32.4,16,4176,132503
10/10/23,33,33,30,32.4,22,9349,294942
10/9/23,32.1,33,32,33,12,901,29333.5
10/6/23,34.8,34.8,32,33.9,12,1409,47913.8
10/5/23,34,34.9,33.9,34,8,2632,91722.8
10/4/23,31.5,33.5,31.3,31.6,21,24100,761610
10/3/23,33.3,34.5,32,33,15,1917,63846.5
10/2/23,33.4,34.5,33.4,33.5,11,2265,76226.6
9/27/23,34.5,35.5,34.5,35.5,9,4368,153696
9/26/23,34.5,35.9,34.5,35.5,13,11428,403419.8
9/25/23,33.3,35.2,33.3,35.1,5,2007,70372.8
9/22/23,35,35.7,35,35.1,7,10508,368285.6
9/21/23,36.2,36.2,35,35,14,851050,29786762
9/20/23,36.5,36.5,34,35.2,22,15441,540415.9
9/19/23,34.9,35,33.3,34.9,12,2236,77912.4
9/18/23,33.7,34.8,33.7,34.8,14,2750,93250
9/15/23,34,34.9,33.7,34.5,6,12789,435213.7
9/14/23,34.8,34.8,33.8,34.5,13,3508,121206.3
9/13/23,33,35.5,33,33.8,16,3310,111753.3
9/12/23,34.3,34.8,33,34.5,17,3891,131663.5
9/11/23,33.5,34.9,33,34.3,17,8965,298531
9/8/23,33.7,35.9,33.5,35.9,33,10715,365857.2
9/7/23,35.5,36.5,35.5,36,18,140216,5042339.4
9/6/23,33.7,35.5,33.5,35.1,15,15759,536794.9
9/5/23,38,38,34.4,34.5,27,19857,690525.5
9/4/23,35,38.4,35,36.5,53,80277,2940823.4
9/1/23,33.2,34,33.1,33.5,15,3400,113353.8
8/31/23,34,35.8,33.7,33.7,6,1787,63164.6
8/29/23,36,37,33,33.1,32,12481,426652.1
8/28/23,36.5,37,36,36.2,25,44942,1649675.2
8/25/23,34.9,36.4,33.6,36,56,51840,1836136.6
8/24/23,34.3,34.9,33.6,34.2,27,28451,971409.1
8/23/23,34,34,33.5,33.5,9,8629,289103
8/22/23,36.5,36.5,34,34,17,1724,58961
8/21/23,33,37,33,36.8,14,1143,40858.1
8/18/23,32.4,38,32.4,37.8,26,57802,2181344.3
8/17/23,35.2,38,33.2,36.6,48,72665,2618221.8
8/16/23,35.7,37,35.1,35.7,16,5421,193523.7
8/15/23,38,38,36,36,21,12021,442976.5
