Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,109,109,109,109,4,500,54500
7/4/24,111,111,110,110.25,11,1430,157683.5
7/3/24,113,115,110.25,114.5,28,6192,709589.25
7/2/24,111.75,111.75,111.75,111.75,1,3700,413475
7/1/24,110,113,110,111,10,1531,169548
6/28/24,109,112,109,111.75,12,7715,854781.5
6/27/24,110,110.5,110,110.5,13,4289,472465
6/26/24,112,112,110,110,16,10014,1101789
6/25/24,113.75,113.75,112.25,113.75,7,4021,456934.75
6/24/24,112.75,114.5,112,113,9,1300,147016.75
6/20/24,110,113,110,112.75,6,5827,657172
6/19/24,110.5,110.5,110,110,13,1001,110215
6/18/24,113,113,110.5,113,3,9,1014.5
6/14/24,113.5,113.5,113,113,3,107,12094.5
6/13/24,112.75,114,112.5,113.5,11,6881,780263.5
6/12/24,112.5,112.5,112,112,6,1802,201849.5
6/11/24,112.5,112.5,110,112,12,4832,537229.5
6/11/24,112.5,112.5,110,112,12,4832,537229.5
6/10/24,113.75,113.75,112.5,112.5,6,163,18365.75
6/7/24,113.75,114,113,113,5,243,27491.75
6/6/24,114,114,112.5,112.5,15,14266,1605287.5
6/5/24,113,114,113,113,18,12178,1376115
6/4/24,113,114.75,113,113,3,27,3052.75
6/3/24,114.5,114.75,113,113,20,3239,369770.25
5/31/24,111,117,109,113,136,106670,11996703.5
5/30/24,111,112,111,112,6,1004,112444
5/29/24,112,112,111,112,7,2960,331420
5/28/24,110,112.75,110,112,16,3276,367043.5
5/27/24,112.5,112.5,112,112,8,191,21418.5
5/22/24,110,112.75,110,110.5,23,11036,1217154.5
5/21/24,109.5,109.75,109.5,109.75,14,1355,148597.5
5/20/24,110,110,109.5,109.5,12,3170,347247.5
5/17/24,110.25,111,109.5,110,17,3635,399885
5/16/24,111,111,111,111,7,5222,579642
5/15/24,112.5,112.5,112.5,112.5,5,2887,324787.5
5/14/24,113,113.25,112.5,112.75,19,20708,2334446.75
5/13/24,110,113.25,110,113,32,36234,4055748
5/10/24,113.75,114,112.5,113,29,30303,3424289
5/9/24,113,114,113,113.75,10,32864,3714597.25
5/8/24,113,113,112.75,113,11,5662,639793.5
5/7/24,111,112.75,111,112.75,6,2891,325780.25
5/6/24,110.25,111,110.25,110.5,15,1848,204001.25
5/3/24,111,112.5,111,111,6,2208,245089.5
5/2/24,110,113,110,111,7,1138,126588.5
4/30/24,111,113.75,110,110.75,17,3056,338608
4/29/24,115,115,110,113.25,31,67321,7507699.25
4/26/24,112,115,110,110.5,46,36533,4036832.25
4/25/24,115,115,111.25,111.25,2,5001,556365
4/24/24,111.25,115,111.25,114,6,84,9539.75
4/22/24,115,115,113,114,9,200,22835
4/19/24,115,116,113,113,29,31959,3625263
4/18/24,111.5,113.5,110.5,111.75,15,11686,1300693.5
4/17/24,112.25,112.75,110,110.25,32,33845,3760391
4/16/24,112,116,112,112,25,16234,1822123
4/15/24,116,116,112.5,112.5,30,5553,626628.5
4/10/24,114,114,112.75,116,3,28,3163.25
4/9/24,116,116,115,116,9,103,11943
4/8/24,117,117,112,112.25,19,17007,1913690.75
4/5/24,113,117,112,115.75,15,11814,1326077.5
4/4/24,117.25,117.25,112.25,112.5,14,1611,181089.25
4/3/24,113,118,112,112.25,31,20154,2260494.5
4/2/24,115,117,112,112.5,54,32895,3697972.75
4/1/24,118.75,119.75,113,113,36,28529,3239497.25
3/28/24,119,119,115,116,22,7089,822759.5
3/27/24,119.25,119.25,113,113.25,23,28072,3194317.25
3/26/24,124,124,118,119.25,52,39907,4841221.5
3/25/24,116,123,114,119.75,85,35178,4201037.5
3/22/24,113.25,114.5,113,113,17,15215,1719625.5
3/21/24,114,115,113.25,114.25,6,1520,173342
3/20/24,116.75,116.75,113,113,17,7101,803413
3/19/24,113,116.75,113,113.25,22,6069,686248.25
3/18/24,113.5,117.75,113,113,19,10363,1171228.75
3/15/24,114,114,113,113,30,17051,1934262
3/14/24,115,118.75,115,115,23,20468,2358192.25
3/13/24,115.5,119.75,115,119.25,6,28057,3348299
3/12/24,116,119.75,115.75,119.75,15,846,99024.75
3/11/24,116,120.5,113.25,119.75,60,35463,4223077
3/7/24,117.75,117.75,116,117.75,10,694,81683.75
3/6/24,117.75,117.75,114,114,20,10955,1252750
3/5/24,112.25,118,112.25,114,54,59115,6751102
3/4/24,114.5,114.5,112.25,112.5,30,4120,463724.5
3/1/24,115,115,112.25,112.75,20,747,84620
2/29/24,118.5,118.5,113,113,30,28512,3222983
2/28/24,116,119.5,111,115.5,16,921,104557.75
2/27/24,119.75,119.75,118.5,118.5,8,87,10375.75
2/26/24,119.5,120,118.5,118.5,16,1383,165123
2/22/24,119.25,120,118.5,119.5,20,3104,371777.5
2/21/24,119.25,119.25,119.25,118,1,1,119.25
2/20/24,117.75,119,115.75,118,7,2656,313251.25
2/19/24,114.5,118,114.25,114.25,10,1128,129001.25
2/16/24,116,118,114,114.25,32,5356,614813.5
2/15/24,118,118.75,112,115.25,49,32735,3719234.5
2/14/24,118,118,118,118,1,284,33512
2/13/24,118.75,120,118,118.5,18,4151,491897.5
2/12/24,120,121.5,119,119,15,1807,216512.5
2/9/24,121.25,121.25,120,120,20,10131,1218115
2/8/24,121.5,122,120.75,121,17,5306,642577
2/7/24,124,124.25,121.5,124,6,5016,622511.5
2/6/24,124.75,124.75,124,124.5,6,1527,190082.75
2/2/24,121.5,124.75,121.5,124.25,6,4369,543121.25
2/1/24,125,125,121.25,121.5,10,818,99747.25
1/31/24,124,125,122,124.5,16,7029,874617
1/30/24,124.5,124.5,122,124.5,2,101,12572
1/29/24,121.5,124.75,120,124,27,6173,764859.75
1/26/24,116.25,120,116.25,120,12,1933,228502.5
1/24/24,117.25,120,116.25,117.25,8,167,19579.5
1/23/24,121.5,121.5,116.25,118,17,978,115981.75
1/22/24,122.75,122.75,120,120.75,4,1552,187374
1/19/24,120.25,122.5,120,120,20,18580,2229950.25
1/18/24,122.75,122.75,122.75,122.75,3,121,14852.75
1/17/24,123,123,118.25,122.75,20,4980,605303.25
1/16/24,120.5,120.5,118.5,120,3,33,3960.5
1/12/24,125.75,125.75,120,120,6,1302,156304.5
1/11/24,121,127,121,126.75,27,6094,756802
1/10/24,120,120,120,121.5,2,37,4440
1/9/24,121.5,121.75,120.25,121.5,7,723,87869.25
1/8/24,122,122,118,120,4,23,2802
1/5/24,122,122.25,122,120,2,14,1708.25
1/4/24,122,122,120,120,13,10018,1202194
1/3/24,122,122,120,120,5,2024,242920
1/2/24,120,122,118,119.5,19,2034,243287
12/29/23,120,120,120,120.25,1,3,360
12/28/23,121,121,120,120.25,17,3052,367261.75
12/27/23,120.25,125.75,120.25,120.75,10,598,72016.75
12/22/23,121,125,120,120,4,501,60167
12/21/23,124.75,124.75,120,120.5,28,2911,351341.25
12/20/23,124.75,124.75,124.75,124.25,4,19,2370.25
12/19/23,124.25,125,122.5,124.25,6,3065,380602.25
12/18/23,124.25,126.75,124.25,125.5,6,963,120857.75
12/15/23,129,129,124.5,124.75,13,4582,572834
12/14/23,127,127,126,126.75,20,19177,2422047.25
12/13/23,127,127,127,127,10,9556,1213612
12/12/23,128,129,126.5,128.75,23,42175,5364506.75
12/11/23,129.75,129.75,126.5,126.5,13,1058,134147
12/8/23,128,130,126.25,126.5,40,24420,3113196.75
12/7/23,127,131.75,127,129.5,12,1655,213943.25
12/6/23,127,129.5,127,127,25,5967,758199.75
12/5/23,126,129.75,126,129,42,20037,2569856.5
12/4/23,129,130,126.25,126.25,57,15665,2013191
12/1/23,128.75,130,128,128.75,43,20802,2688373.25
11/30/23,129.25,129.25,128,128.5,33,63912,8183638.5
11/29/23,128.5,129.25,126,128.75,42,7932,1004894.75
11/28/23,130.75,130.75,126,127.5,59,30461,3910766.5
11/27/23,132.25,133.75,125.5,131.5,68,14410,1881085.75
