Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,120.75,121.75,120,121.25,63,45849,5554005.25
7/4/24,121,122,119,119.75,149,220233,26389088.5
7/3/24,123.25,123.5,121,121,174,167575,20368232.5
7/2/24,122.5,124.75,122.5,123.25,95,23690,2925354.75
7/1/24,126.5,128.75,126,126,129,84695,10718106
6/28/24,128.5,129,126,127.25,155,199872,25382148.25
6/27/24,128,130,128,128.5,47,35929,4626909.5
6/26/24,130,130,128,128.5,94,152375,19620999.25
6/25/24,129.5,130,129,129.75,61,230393,29794339.75
6/24/24,131.5,131.5,129.5,130,57,15354,1996359
6/20/24,130,132,130,130.5,62,39237,5110977.75
6/19/24,132,132,129.5,130.5,78,41524,5420438
6/18/24,132,132,130,130.5,67,21066,2743602
6/14/24,131,132,130,131.25,31,7316,958240
6/13/24,132,132.5,129.75,130,81,39289,5149032.75
6/12/24,133.5,133.5,132,132,70,63541,8397785.25
6/11/24,133.5,134.5,132.75,133,238,348529,46554033.75
6/11/24,133.5,134.5,132.75,133,238,348529,46554033.75
6/10/24,130.5,134.25,130.5,133.75,175,203430,26874635.25
6/7/24,130.5,131,129.5,130.5,143,300917,39133446.5
6/6/24,130,131,129.25,130.25,99,125424,16304461.25
6/5/24,130,131,129,130,160,148870,19311225.75
6/4/24,126,129.5,126,128,102,66599,8508430.75
6/3/24,127,128,125,126,83,40182,5054478.25
5/31/24,127.5,129.5,127,127,72,222537,28395331
5/30/24,127,129.5,127,129,72,108641,13953478.5
5/29/24,127.25,128.75,126,126.5,110,66810,8465948.5
5/28/24,130,130,127,128,111,57050,7299071
5/27/24,132.5,132.5,129.25,130,64,66274,8693664.5
5/22/24,131,132.5,130.5,132.25,75,107816,14230830
5/21/24,131.75,131.75,129.5,130,98,1212224,157593271.5
5/20/24,132,134,130,131.75,146,507520,66713898.5
5/17/24,131,132.5,131,132.5,98,414278,54718223.25
5/16/24,131,131.5,130.5,131,91,275790,36138483.25
5/15/24,132,132.25,131,131,134,506339,66586112.25
5/14/24,132,132.75,131,131.5,179,502347,66251114.5
5/13/24,132.5,132.5,131,132,98,128453,16922281.25
5/10/24,131.75,132.75,130.5,132.25,146,219592,29047801.25
5/9/24,131.25,132.75,130.5,132.5,287,952144,125262554.5
5/8/24,131.5,132,130.5,130.5,108,391477,51172961.25
5/7/24,130.25,131.5,130,131,107,147609,19259214.25
5/6/24,132.5,132.5,128.75,130,145,167346,21765076.75
5/3/24,132.75,132.75,130,132,179,414812,54379803.75
5/2/24,132,132.75,129,132,198,745437,97841915.5
4/30/24,131,133.25,130.25,132.75,349,3172304,419009661
4/29/24,130,132.25,130,131.75,267,471625,62163859.75
4/26/24,127,131.5,127,130.75,552,1815586,236464655.5
4/25/24,126,127.5,125,127,147,337056,42680235.25
4/24/24,126.25,127,125,125.5,126,106419,13390781
4/22/24,124.5,127.75,123,126,186,149577,18671070.25
4/19/24,126,126,123.75,124,271,252177,31322248
4/18/24,129,129.25,126.5,127,184,363306,46183664.75
4/17/24,125,130.25,123,129.75,497,1313310,167457141.3
4/16/24,127,127.25,124.5,125.5,340,1161200,146077959
4/15/24,124.5,128.5,121.75,127,395,1208122,151961070.5
4/10/24,121.5,125.25,121.5,124.5,101,257829,32068388.75
4/9/24,126,126,120,122,309,450910,56035009.25
4/8/24,122,126.5,122,126,514,979793,122760615
