Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,17.3,17.3,16.5,16.7,10,2308,38462.9
7/4/24,17,17,17,17,1,100,1700
7/3/24,17.2,17.2,17.2,16.3,1,10,172
7/2/24,16.3,16.9,16.3,16.3,3,116727,1902677.1
7/1/24,16.7,16.7,16.1,16.5,17,2868,47215.5
6/28/24,16.7,16.7,16.7,16.7,2,150,2505
6/27/24,17,17,16.6,16.6,29,8875,148571.3
6/26/24,17.1,17.4,17,17,10,2721,46262.6
6/25/24,17.4,17.4,17.1,17.1,9,10662,183036.2
6/24/24,17.5,17.5,17.4,17.5,3,386,6754.9
6/20/24,17.3,17.3,17.3,17.3,1,1,17.3
6/19/24,17.3,17.4,17.2,17.3,7,22569,390950.4
6/18/24,17.2,17.4,17.2,17.4,6,5329,92565.6
6/14/24,17.7,17.7,17.2,17.3,6,300,5227
6/13/24,17.5,17.5,17.5,17.5,2,1001,17517.5
6/12/24,17.3,17.7,17.3,17.4,9,4225,73222.5
6/11/24,17.6,17.6,17.3,17.3,6,2126,37383
6/11/24,17.6,17.6,17.3,17.3,6,2126,37383
6/10/24,17.9,18,17.8,17.9,15,13001,233134.2
6/7/24,17.5,17.6,17.5,17.6,4,635,11146
6/6/24,17.4,17.8,17.4,17.4,3,1466,25512.8
6/5/24,17.4,17.8,17.4,17.5,4,328,5720.4
6/4/24,17.1,17.7,17.1,17.5,7,2355,41210.1
6/3/24,17.9,18,17.4,17.4,19,14728,263277.2
5/31/24,17.5,17.5,17.1,17.1,4,2000,34600
5/30/24,16.7,17.9,16.7,17.5,28,25371,441928.4
5/29/24,17,17,16.7,16.7,2,24,403.8
5/28/24,17.2,17.2,16.7,16.7,8,6045,101074
5/27/24,16.8,16.8,16.7,16.8,6,681,11390.8
5/22/24,17.2,17.2,17.1,17,2,75,1285
5/21/24,17,17,16.8,17,8,5797,98376.6
5/20/24,16.8,17,16.8,17,9,9400,159542.5
5/17/24,17.2,17.2,17.1,17.1,3,1250,21380
5/16/24,17,17.2,17,17.1,3,200,3410
5/15/24,16.9,17,16.8,16.8,14,13440,227335.3
5/14/24,16.9,16.9,16.7,16.7,12,2108,35210.4
5/13/24,16.9,17,16.7,16.8,9,2204,36987.2
5/10/24,16.9,17.3,16.8,16.8,24,22961,387396.4
5/9/24,17.4,17.4,16.9,17,26,14260,243511.4
5/8/24,17.4,17.4,17.3,17.4,4,356,6180.4
5/7/24,17.5,17.5,17.4,17.4,8,1900,33090
