Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,128,128,127.25,127.5,33,55397,7050943.25
7/4/24,128.75,129,127,127.25,89,95713,12234398.5
7/3/24,129.75,129.75,128.5,128.5,44,43937,5655613.75
7/2/24,127.5,130,127.5,129,87,47368,6131389.25
7/1/24,129,129.5,127.5,127.75,63,39645,5085935.25
6/28/24,129,129.25,128,128.5,92,42179,5430548.75
6/27/24,127.25,128.75,127.25,128.25,107,48602,6223379.25
6/26/24,126,127.5,126,126.75,31,4360,553246
6/25/24,127.5,127.5,126,126.5,57,11214,1421102.75
6/24/24,126.5,127.25,126.5,127,63,74110,9411566.25
6/20/24,126,126.75,125.5,126.75,51,30869,3900070.5
6/19/24,125,126.25,125,125.75,44,8946,1122410.75
6/18/24,126.25,126.25,122.5,125,77,22423,2793894.75
6/14/24,125.5,127.25,125.25,126.5,42,3899,491960.25
6/13/24,127,127.5,126,126.75,78,131390,16686240.5
6/12/24,127,127,126,126.75,74,44727,5671868.5
6/11/24,125,127.75,125,127.25,136,63809,8059374.75
6/11/24,125,127.75,125,127.25,136,63809,8059374.75
6/10/24,126,129.25,126,128.5,143,100417,12865777.5
6/7/24,129,130,126.25,128,159,227077,29439371.5
6/6/24,126.25,130,126.25,130,218,157822,20341599.75
6/5/24,124,127.25,124,126.25,72,59177,7459610.5
6/4/24,123.25,127.5,123.25,127,211,156392,19688768
6/3/24,122.5,124.25,122.5,124,106,69235,8546296.25
5/31/24,123.25,123.75,122.25,123.25,104,36184,4458192.5
5/30/24,122,122.5,121.25,122,31,13862,1692682
5/29/24,121,122.5,121,122.25,63,38643,4703740
5/28/24,122.5,122.5,120.25,121.25,55,13230,1601154.5
5/27/24,122.5,123.25,122,122.5,70,57259,7030181.25
5/22/24,120.5,122.75,120,122.25,95,62689,7634731
5/21/24,121,121.5,120.5,121,56,60230,7286997.5
5/20/24,122.5,122.5,120.5,121.25,84,55424,6712239
5/17/24,120.75,123,120.75,122,163,142607,17369414
5/16/24,121,121.25,120,121,122,292014,35337854.75
5/15/24,121,121.25,120,121,162,179557,21700367
5/14/24,117.25,121.5,117.25,120.75,447,831739,99985864.75
5/13/24,115.75,116.25,115.5,116,59,55997,6495245.25
5/10/24,115.75,116.25,115.5,116,39,21207,2458130
5/9/24,116,116.25,115,116,64,41481,4802275
5/8/24,116,116.5,115.5,116,78,49352,5725149.25
5/7/24,115.75,116.75,115.75,115.75,72,35516,4131539.75
5/6/24,115,116,115,115.5,46,70279,8096731
5/3/24,115.75,115.75,115,115.25,73,43316,4985338.5
5/2/24,116,116.5,115,115.75,66,32166,3725224.75
4/30/24,116,117,114.5,116,95,64358,7482124.5
4/29/24,116,116.25,115,116,81,53807,6229454.5
4/26/24,116,116,115,115.75,82,86103,9974293
4/25/24,115,116,114,115.5,90,49777,5746225.25
4/24/24,115,115,113.5,114,86,102492,11701413.75
4/22/24,112.75,114.5,112.75,114.25,77,24953,2838347.75
4/19/24,113.25,114,112.5,113.25,67,35077,3959160.75
4/18/24,116,117,113,114,92,92486,10620473.5
4/17/24,113.5,115.5,111.5,115.25,194,113407,13020253.75
4/16/24,114,115.25,113,113.5,144,280994,32275345.25
4/15/24,114.5,116,113,115.25,78,20346,2336433.25
4/10/24,115.25,116,113.5,115,87,62340,7171385
4/9/24,115,115,112.75,115,140,258481,29689785
4/8/24,112.5,115,112,114.75,165,385651,44147554.25
4/5/24,112,113.5,110.5,112.5,75,28504,3193293.5
