Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,439,439.75,430,433,122,33970,14747936.75
7/4/24,450,453.75,430.25,431.25,266,55774,24402315.25
7/3/24,453,454,445,447,108,16002,7185709
7/2/24,454,454,451,451.75,64,10929,4940919.75
7/1/24,454.75,460,451,453.75,50,4331,1969245.25
6/28/24,455,455,450,452,73,14389,6488890.75
6/27/24,465,466.75,450,450.75,125,21189,9604434.75
6/26/24,465,465,454,455.75,109,27808,12705100
6/25/24,463.5,465,460,461.25,107,21421,9895141
6/24/24,470,470,463.25,464.75,113,23724,11100207.5
6/20/24,470,479,465,467.5,82,12687,5949001.75
6/19/24,470,480,467.5,468.25,110,95569,45629575.5
6/18/24,475,475,467.25,470,94,24993,11782015.25
6/14/24,476.75,480,472.25,474.75,111,25694,12211786
6/13/24,485,488,477,480,85,26356,12661872.25
6/12/24,485,487,480,483.75,112,24485,11827749.5
6/11/24,485.25,497.75,484.75,487.75,221,96094,47079773.5
6/11/24,485.25,497.75,484.75,487.75,221,96094,47079773.5
6/10/24,470,490,470,485.25,309,77040,37284923
6/7/24,473,477.75,465.5,469.75,73,42166,19772076.25
6/6/24,467,477.75,465,475,195,165435,77924184.25
6/5/24,460,469,460,466,76,66362,30844937
6/4/24,450,460,445,456.5,132,34312,15438197.25
6/3/24,450.25,460,446.5,449.75,208,73428,33052741.5
5/31/24,464,472,455,458,136,115760,52963640.25
5/30/24,465,469.75,456.25,464.5,122,50998,23502763.25
5/29/24,462.25,465,459,460,127,50243,23163619
5/28/24,472,472,464,465.5,149,32883,15308791.5
5/27/24,480,480,465,469.5,66,10376,4913159.5
5/22/24,475,480,461.25,477,131,37646,17795865.75
5/21/24,456.5,470,454.75,464,211,38868,17793400.5
5/20/24,475,475.25,455.25,460.25,281,129795,60060547.25
5/17/24,479.5,480,474,475.75,104,55772,26578207
5/16/24,475.5,485,465,476.75,141,40862,19355217.5
5/15/24,483.75,494,472.5,476.75,164,52797,25448799
5/14/24,492.5,495.5,470,479.25,294,79554,38002117.5
5/13/24,498,500,490,494.75,141,35701,17626144
5/10/24,489.5,505.75,489.5,495,441,159401,79216867.75
5/9/24,485,489.5,470,485,170,45248,21772402
5/8/24,491,493,483.25,485.25,142,71977,34996925.25
5/7/24,473,490,473,486,240,87635,42367947.25
5/6/24,470,483.75,465.25,479.25,214,44129,20986081.75
5/3/24,465.25,473,465.25,469.75,115,21808,10210834.25
5/2/24,475,475,465.25,469.75,165,68183,32047430.75
4/30/24,468,475,457.5,467.75,237,85793,40156256.5
4/29/24,468.75,476.75,465,467,303,123357,58384409.75
4/26/24,470,479,460,468.75,397,127390,60350326
4/25/24,447,470,442.25,463.5,548,165519,75905932
4/24/24,434,447.75,431,445.25,440,124792,55089124
4/22/24,424,434.75,424,434,371,132979,57188009
4/19/24,418,428,417,425,161,68016,28852001.25
4/18/24,424,430,420,425,111,17206,7269793.25
4/17/24,419,430,413.75,422.5,189,67290,28345636
