Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,4.4,4.5,4.4,4.5,32,242984,1070205.6
7/4/24,4.5,4.6,4.3,4.4,127,1433035,6324482.4
7/3/24,4.6,4.8,4.4,4.5,784,16484331,75964588.6
7/2/24,4.6,4.6,4.6,4.6,16,412313,1896639.8
7/1/24,4.7,4.7,4.5,4.5,21,59285,270699.7
6/28/24,4.7,4.7,4.6,4.6,93,2244473,10325176.5
6/27/24,4.7,4.7,4.6,4.6,41,549489,2528572
6/26/24,4.7,4.8,4.6,4.7,61,4958819,23306359
6/25/24,4.7,4.8,4.6,4.7,25,172929,812772.7
6/24/24,4.7,4.8,4.7,4.7,39,739454,3475435.9
6/20/24,4.6,4.7,4.6,4.6,17,52049,242630.3
6/19/24,4.6,4.7,4.5,4.7,93,943968,4373968.9
6/18/24,4.7,4.7,4.7,4.7,9,21091,99127.7
6/14/24,4.7,4.7,4.6,4.7,13,34229,160856.3
6/13/24,4.8,4.8,4.6,4.7,35,10152,47612.9
6/12/24,4.8,4.8,4.7,4.7,34,248068,1177552.2
6/11/24,4.8,4.8,4.7,4.8,19,64271,307048.6
6/11/24,4.8,4.8,4.7,4.8,19,64271,307048.6
6/10/24,4.9,4.9,4.7,4.8,34,220361,1058730.7
6/7/24,4.9,4.9,4.8,4.8,29,198147,966690.3
6/6/24,4.8,5,4.8,4.9,40,196114,977345
6/5/24,4.9,5,4.8,4.9,38,75230,369473.9
6/4/24,4.8,4.9,4.8,4.8,67,559772,2692865.1
6/3/24,4.7,4.9,4.6,4.7,38,364067,1711290.1
5/31/24,4.7,4.7,4.5,4.6,24,257996,1173339.4
5/30/24,4.5,4.8,4.5,4.7,82,647222,2984643.6
5/29/24,4.5,4.5,4.4,4.5,8,36208,162816
5/28/24,4.6,4.6,4.4,4.4,24,168395,757826.3
5/27/24,4.5,4.6,4.4,4.5,15,42465,191392.9
5/22/24,4.5,4.5,4.4,4.4,32,193617,860412.5
5/21/24,4.5,4.5,4.4,4.5,19,111040,491405.2
5/20/24,4.6,4.6,4.5,4.5,32,263428,1186956.4
5/17/24,4.5,4.7,4.5,4.6,38,573885,2582946.5
5/16/24,4.6,4.7,4.6,4.6,30,115357,530727.6
5/15/24,4.7,4.8,4.7,4.7,68,335079,1576958.2
5/14/24,4.8,4.8,4.7,4.7,27,95143,447257.9
5/13/24,4.7,4.7,4.6,4.7,27,134590,632223
5/10/24,4.7,4.8,4.5,4.6,84,486003,2240416.9
5/9/24,4.9,4.9,4.7,4.7,91,645225,3032749.1
5/8/24,5.2,5.2,4.8,4.8,63,407198,2001486
5/7/24,4.9,5.3,4.8,5,182,1008312,5056051.1
5/6/24,4.7,4.9,4.6,4.6,50,138466,659818.5
5/3/24,4.6,4.7,4.6,4.7,9,49050,229480
5/2/24,4.8,4.8,4.6,4.6,24,48763,225605.6
4/30/24,4.7,4.8,4.6,4.8,16,8653,40768.1
4/29/24,4.7,4.8,4.5,4.6,40,241575,1111544.4
4/26/24,4.9,4.9,4.7,4.7,27,26404,125455.4
4/25/24,4.8,4.8,4.6,4.8,24,70910,328867.9
4/24/24,4.8,4.8,4.7,4.8,21,59197,284136.4
4/22/24,4.8,4.8,4.6,4.6,14,49835,234125.2
4/19/24,4.8,4.8,4.6,4.7,18,44304,206044.4
4/18/24,4.8,4.8,4.6,4.8,16,46825,219290
4/17/24,4.7,4.8,4.5,4.6,69,913651,4181358.3
4/16/24,4.7,4.8,4.7,4.7,17,106534,500721.7
4/15/24,4.8,4.9,4.7,4.7,43,170132,806478.3
4/10/24,4.8,4.8,4.6,4.7,7,8115,38141
4/9/24,4.7,4.7,4.6,4.7,15,35774,167686.6
4/8/24,4.7,4.8,4.6,4.7,24,44355,207944
4/5/24,4.6,4.8,4.6,4.7,12,11693,54769.3
4/4/24,4.8,4.9,4.6,4.6,23,33699,158956.3
4/3/24,4.8,4.9,4.6,4.7,32,61223,285398
4/2/24,4.8,4.9,4.7,4.8,39,18656,88534.3
4/1/24,4.5,4.6,4.4,4.6,116,581761,2621808.5
3/28/24,4.4,4.5,4.3,4.5,45,317940,1376930.1
3/27/24,4.4,4.6,4.4,4.5,38,226466,1001943.5
3/26/24,4.5,4.5,4.5,4.5,24,164738,741321
3/25/24,4.6,4.6,4.5,4.6,29,254961,1168808.7
3/22/24,4.6,4.6,4.6,4.6,9,32794,150852.4
3/21/24,4.6,4.6,4.6,4.6,12,16091,74018.6
3/20/24,4.7,4.7,4.6,4.6,13,9271,43263.7
3/19/24,4.6,4.7,4.5,4.7,18,68586,317335.7
3/18/24,4.5,4.6,4.5,4.6,35,59741,273408.5
3/15/24,4.5,4.6,4.4,4.5,15,48930,220186.9
3/14/24,4.6,4.6,4.4,4.4,21,43229,194530.5
3/13/24,4.3,4.6,4.3,4.5,68,359245,1586267.1
3/12/24,4.3,4.4,4.2,4.3,67,252374,1093793.6
3/11/24,4.4,4.5,4.2,4.2,131,1173107,4967265.5
3/7/24,4.4,4.4,4.2,4.2,28,54831,239056.1
3/6/24,4.3,4.4,4.2,4.3,67,184999,793859.8
3/5/24,4.5,4.5,4.2,4.2,50,120197,512082.6
3/4/24,4.9,4.9,4.1,4.3,175,563356,2475684.3
3/1/24,5.1,5.1,5,5,14,64418,322390
2/29/24,5,5.2,5,5.1,25,84817,427172.4
2/28/24,5,5,5,5,4,9230,46150
2/27/24,5.1,5.2,5,5,8,3101,15669.6
2/26/24,4.9,5.1,4.9,4.9,52,146154,721670.7
2/22/24,5.1,5.2,4.9,5,29,49647,248264.4
2/21/24,5.2,5.4,4.9,5,116,1168742,5849579.1
2/20/24,5.3,5.4,5.2,5.3,16,32441,169327.4
2/19/24,5.2,5.4,5.2,5.2,4,468,2439.8
2/16/24,5.4,5.4,5.4,5.4,1,400,2160
2/15/24,5.3,5.3,5.2,5.2,9,3421,17910.6
2/14/24,5.4,5.4,5.4,5.4,17,50381,272057.4
2/13/24,5.4,5.4,5.4,5.4,4,153,826.2
2/12/24,5.4,5.4,5.4,5.4,5,43605,235467
2/9/24,5.4,5.4,5.3,5.4,15,41879,226046.5
2/8/24,5.3,5.4,5.3,5.4,6,1435,7742.5
2/7/24,5.4,5.4,5.4,5.4,6,4250,22950
2/6/24,5.5,5.5,5.4,5.4,14,20515,111342.7
2/2/24,6,6,5.4,5.5,8,16753,91796.8
2/1/24,5.4,5.4,5.3,5.3,4,1200,6370
1/31/24,5.4,5.4,5.3,5.4,4,20190,109007
1/30/24,5.5,5.5,5.3,5.4,5,8520,45839
1/29/24,5.6,5.6,5.6,5.3,1,1,5.6
1/26/24,5.4,5.4,5.4,5.3,1,92,496.8
1/23/24,5.2,5.3,5.2,5.3,6,5000,26300
1/22/24,5.3,5.3,5.2,5.3,3,2000,10560.3
1/19/24,5.3,5.3,5.3,5.3,5,20486,108575.8
