Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,50,51.3,49.9,50.5,65,35333,1782123.9
7/4/24,50.3,51,49.9,50,95,193528,9679038.6
7/3/24,52,52,50,50.2,128,295928,14881963.3
7/2/24,51.9,51.9,50,51,123,220020,11083023.1
7/1/24,52,52.2,50.1,50.9,104,66503,3432777.8
6/28/24,53.2,53.2,52.5,52.5,43,71220,3764028.6
6/27/24,53.5,53.7,52.5,53.2,72,83806,4459664.7
6/26/24,53.5,53.5,53.1,53.1,39,34868,1855291.6
6/25/24,53.6,53.6,53.3,53.5,74,115026,6153237.9
6/24/24,53.3,54,53.2,53.4,56,86993,4648184.8
6/20/24,53.1,53.9,53.1,53.4,29,16081,862546.9
6/19/24,53.7,53.7,53.1,53.1,43,37330,1983622.7
6/18/24,54,54,52.8,53.1,53,82022,4354754.3
6/14/24,53.7,54.5,52.9,53,78,73719,3914599.1
6/13/24,54.8,55,53.5,54.2,66,16645,899536.3
6/12/24,55.4,55.4,54.5,54.7,29,7814,430968.1
6/11/24,53.8,55.3,53.8,55,210,432897,23654783
6/11/24,53.8,55.3,53.8,55,210,432897,23654783
6/10/24,53.7,54.5,53.5,53.8,112,289100,15510012.2
6/7/24,52.6,53.9,52.3,53.3,66,137219,7320095.2
6/6/24,51.8,53.3,51.5,52.5,58,75148,3920257.4
6/5/24,51.5,51.8,51,51,108,58855,3008821.2
6/4/24,51.2,51.5,51,51.2,46,30580,1565874.9
6/3/24,51.4,51.5,50.8,51,47,30890,1577490.6
5/31/24,50,51.4,50,51.1,297,329788,16556779.2
5/30/24,52,53,51.5,52.8,100,45030,2333168.4
5/29/24,53.5,53.5,52.2,52.4,227,105771,5596616.5
5/28/24,54,54.5,54,54,64,32549,1758337.6
5/27/24,55,55,53.7,54,63,54121,2929916.1
5/22/24,54.4,55.3,54.2,54.8,64,89124,4877438
5/21/24,54.3,54.5,53.2,53.8,70,43679,2347963
5/20/24,54,54,53.2,53.3,72,42265,2254986.3
5/17/24,54.2,54.2,53.2,54.1,62,15969,855623.9
5/16/24,54.7,55,53.5,54.2,113,173989,9359287.1
5/15/24,54.9,56.2,54,54.1,91,94763,5163563.9
5/14/24,56,56.5,54.1,54.6,207,391065,21634484.7
5/13/24,56,56.5,54.7,56.3,169,216495,12177166.2
5/10/24,54,56,54,55.7,200,410697,22744128.7
5/9/24,54.8,55.5,54,54.2,105,133045,7238519.2
5/8/24,55.8,56,54.8,55,89,57071,3148112.2
5/7/24,56.5,56.7,55.4,55.8,200,637876,35695668.2
5/6/24,56,56.5,55.1,56,105,209078,11702208.9
5/3/24,54.8,56.2,54.3,55.6,288,1097023,60319462.6
5/2/24,54.8,54.9,54.1,54.5,180,267076,14597703.5
4/30/24,53.8,54.8,53.6,54.6,203,470608,25483597.4
4/29/24,53.6,54.5,52.4,53.8,237,839934,45302002.2
4/26/24,52,53.8,51,53.2,167,170303,8977526.8
4/25/24,51,52.8,50.4,52.2,121,112307,5800569.2
4/24/24,51.2,51.9,50.8,51,92,119922,6145892.4
4/22/24,52,52,50.3,51,32,15140,770242.8
4/19/24,50.5,51.8,49.8,50,201,289803,14548954.5
4/18/24,51.3,52.4,51.2,51.6,65,16331,840923.6
4/17/24,51.4,52,50.5,52,97,198951,10314975.5
4/16/24,53,53.2,51.5,51.6,118,73976,3851082.4
4/15/24,51.5,53.5,51.5,53.5,55,31998,1685039.8
4/10/24,53.2,53.9,52.5,53,104,136345,7236416.9
4/9/24,52.4,53.9,52.4,52.6,243,494080,26102072.3
4/8/24,51.3,52.7,51.3,52.3,125,239330,12542149.4
4/5/24,52,52.1,51.3,51.6,62,65027,3368941.8
