Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,44.7,46,44.5,45,41,16263,730408.3
7/4/24,45.5,46,44.8,44.9,89,297608,13412389.1
7/3/24,46.1,46.5,45.5,46,82,169898,7828242.4
7/2/24,46.4,46.5,46,46.3,65,136471,6312314.3
7/1/24,46.7,46.7,46,46.2,93,92558,4283258.3
6/28/24,46.9,46.9,45.8,46.6,98,189261,8729867.1
6/27/24,46.3,46.7,45.5,46,115,599613,27564142.1
6/26/24,47,47.3,45.9,46.3,157,470429,21866562
6/25/24,47.5,47.5,47,47.1,131,171276,8083224.9
6/24/24,47,48.3,47,47.4,552,1723681,82306348.1
6/20/24,45.5,47,44.8,46.6,306,1320496,60836836.9
6/19/24,45.9,46,45,45,169,1175122,52983566.7
6/18/24,44.5,46.2,44.5,45.9,419,2704077,122468132.6
6/14/24,44.5,44.7,44,44.5,96,1769522,78743593.2
6/13/24,42.9,44.9,42.9,44.5,194,1880612,83654746.2
6/12/24,44,44.2,42.9,44,63,176230,7746884.4
6/11/24,44,44.5,44,44,162,610682,27094137.7
6/11/24,44,44.5,44,44,162,610682,27094137.7
6/10/24,42.8,44.5,42.8,44.3,180,449241,19710791.1
6/7/24,42.5,43.4,42.5,43,47,61248,2619455.6
6/6/24,42.3,42.9,42.3,42.6,22,46431,1974989.8
6/5/24,42.2,42.5,42.2,42.4,22,12424,526978.5
6/4/24,42.4,43,42,42.7,52,53359,2270690.3
6/3/24,42.6,42.6,42.5,42.5,36,14874,632518.6
5/31/24,43.5,43.5,42.6,42.7,48,229523,9887668.7
5/30/24,43,43.6,43,43.5,118,283372,12233956.6
5/29/24,42.7,43,42.7,43,101,190599,8190069.7
5/28/24,43.1,43.1,42.5,42.8,26,13180,563302.2
5/27/24,43.3,43.3,42.2,43.1,54,12351,530556.5
5/22/24,43.5,44,43,43.3,162,449222,19636489.8
5/21/24,42.1,43.6,42,43.2,147,278921,12016099.7
5/20/24,42.9,42.9,41.8,42.1,61,182028,7647648.2
5/17/24,43.3,43.3,42.5,43,60,649885,27682658.7
5/16/24,41.5,43.4,41.3,43,330,3899584,164828138.6
5/15/24,42,42.6,41.5,42,95,350952,14750945.9
5/14/24,42,42.7,41.5,41.9,46,128958,5381433.4
5/13/24,42,42.7,42,42.3,60,299456,12624070.5
5/10/24,42.5,43,41.5,41.6,83,325790,13630982.2
5/9/24,42,42.5,41.6,42.3,51,307474,12902608.8
5/8/24,43.3,43.4,42,42.3,104,181792,7730587.6
5/7/24,41.9,43.4,41.5,43.1,346,1769185,75259588.1
5/6/24,42,42,41,41,87,289828,11974185.5
5/3/24,41.9,42,41,41.5,75,120783,5021094.7
5/2/24,40.5,41.9,40.5,41.5,124,1609106,66616037.2
4/30/24,40.5,41.5,40.2,40.5,161,645432,26171175.6
4/29/24,41,41,40.3,40.3,264,925778,37380200.8
4/26/24,40.5,41.3,40.5,41,104,412635,16731834.1
4/25/24,41.4,41.4,40.4,40.5,138,260339,10581406.9
4/24/24,41.4,41.5,41,41.1,27,127374,5285406.3
4/22/24,40.5,41.5,40.4,41.5,73,371029,15354809.8
4/19/24,40.7,40.8,40.3,40.5,96,414420,16783554.3
4/18/24,41,41.2,40.7,41,50,527616,21640628.3
4/17/24,41,41.4,40.7,41,95,164977,6778416.6
4/16/24,41.3,42,41,41,95,342174,14091702
4/15/24,40,42,40,41.6,148,1641406,67325169.1
4/10/24,40.5,41.2,40.2,40.9,119,2043679,82810001
4/9/24,40.9,40.9,40.1,40.5,153,1154698,46698230.9
4/8/24,41,41.5,40.2,41,168,424839,17403132
4/5/24,40.9,41,40,40.5,311,1151090,46315348.3
4/4/24,41.5,41.5,40.8,41,195,1270808,52113946.5
4/3/24,42.1,42.4,41,41.5,137,254813,10619116
4/2/24,43,43.1,42,42.1,102,624221,26795259.3
4/1/24,41.5,43,40.9,42.7,147,1391209,58591347
3/28/24,42,42,41,41.1,109,889713,36854924.6
3/27/24,41.1,41.7,41,41.1,153,627446,25895475.3
3/26/24,42,42.3,40.8,41.1,188,1197879,48988612.6
3/25/24,42.3,42.8,41.8,41.9,50,84370,3542772
3/22/24,42.9,42.9,42,42.1,97,204990,8663974.2
3/21/24,42.1,42.9,41,41.7,143,337278,14067963.4
3/20/24,43.1,43.3,41.8,42,193,574907,24435906.5
3/19/24,43.6,44.2,43,43.1,108,235069,10213589.8
3/18/24,44.9,45,43,43.9,244,1969138,87594456.4
3/15/24,42.7,44.7,42.4,44.3,590,3072419,133632999.5
3/14/24,41.4,43.5,41.4,42.5,500,2267368,97222908.1
3/13/24,40.5,41.4,40.4,40.5,183,2593258,104864776.2
3/12/24,41.5,41.5,40.2,40.9,26,8885,362544.8
3/11/24,40.9,41.5,40,40.1,175,856849,34558576.1
3/7/24,40.9,40.9,40,40,130,1553509,62465935.8
3/6/24,40.5,40.9,39.9,40,125,1471080,58862296.4
3/5/24,40.2,40.5,40,40.2,33,78430,3144923.4
3/4/24,40,41,40,41,57,133647,5424067
