Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,341,341,341,341,2,300,102300
7/4/24,350,350,340.5,341.75,13,721,246001
7/3/24,340.75,350,340,340,29,3004,1021989.75
7/2/24,340.5,350,340.5,340.5,4,279,95009
7/1/24,342.5,342.5,340.5,340.5,15,693,236079
6/28/24,344,349.75,342.25,343.25,7,206,70784.5
6/27/24,344,344,343,344,10,300,103145
6/25/24,345,345,345,345,2,69,23805
6/24/24,355,355,345,345,9,125,43135
6/20/24,340.75,341.25,340.5,340.25,3,14,4771.75
6/19/24,340.25,340.5,340.25,340.25,6,121,41170.5
6/18/24,340,360,340,340.25,23,1767,601308.25
6/14/24,345,345,342,342.5,12,388,132883.75
6/13/24,345,345,345,345,20,2984,1029480
6/12/24,345,345,345,345,14,553,190785
6/11/24,345,350,342.25,344.5,52,2341,808875
6/11/24,345,350,342.25,344.5,52,2341,808875
6/10/24,354,354.25,347,351.75,11,162,56985.25
6/7/24,355,355,355,354.5,1,10,3550
6/6/24,347.5,355,347.5,354.5,7,72,25305.25
6/5/24,355,355,345.5,354.5,3,1053,373340
6/4/24,355,355,345.5,350,14,304,106685.75
6/3/24,357,357,355,357,6,210,74954
5/31/24,355,355,349,350,15,1066,373074
5/30/24,350.25,358,350.25,355.75,2,6,2109.25
5/27/24,352,363,352,355.75,12,656,232972
5/22/24,352,354.75,352,352.25,6,125,44033.75
5/21/24,354,354,352,352,10,680,240120
5/20/24,349,349,341.5,341.75,19,473,161733
5/17/24,343,343,342.5,343,21,651,223292
5/16/24,344.25,344.25,343.5,343.75,13,277,95240.25
5/15/24,345,349,344,348.5,8,166,57637.5
5/14/24,357.75,357.75,343,344.5,51,2713,936832
5/13/24,351,357.75,348.25,348.25,9,1693,593777.25
5/10/24,350,350,347.5,350,31,3168,1107674.5
5/9/24,350,350,346.75,347.5,25,1569,547670.25
5/8/24,348.75,348.75,348.75,350,1,14,4882.5
5/7/24,350,358,350,350,17,1912,669208
5/6/24,349.75,350,349.5,349.5,23,1409,492621.75
5/3/24,350,350,349,349.75,39,1750,612461.25
5/2/24,351.25,358,345,349.75,50,1728,604142.75
4/30/24,359.75,359.75,347,351,38,1663,581681.25
4/29/24,350,358,350,350.5,33,2014,705187.25
4/26/24,360.75,365,358,360,21,679,244679.25
4/25/24,365,365,358,358,22,1729,623440
4/24/24,354,365,354,358.5,53,12781,4595244.25
4/22/24,350,350,346.75,348,14,391,136064.75
4/19/24,352.75,354,351,349.25,5,13,4586.5
4/18/24,354,354,349,349.25,14,389,137196
4/17/24,351.25,351.25,349,350.75,15,551,193030.75
4/16/24,354,354,348.25,349.75,19,737,258756.75
4/15/24,348.75,355,348.25,349.75,8,142,49651.5
4/10/24,348,348,348,348,7,125,43500
4/9/24,350,357.5,349.25,354,11,430,151855.5
4/8/24,358.75,358.75,349,349.5,39,2533,887701.75
4/5/24,356,358.75,351.25,358.75,12,621,221571.75
4/4/24,358.75,359,352,356,6,43,15296.5
4/3/24,356,356,356,356,1,100,35600
4/2/24,351.25,351.25,351.25,354.5,1,15,5268.75
4/1/24,359,359,357,354.5,4,72,25824
3/28/24,357,360,351,354.5,22,688,243838.75
3/27/24,360,360,351.5,353.25,18,355,126427.5
3/26/24,359,360,351,357.25,9,315,112561.5
3/25/24,350,360,349,360,27,1439,515164.25
3/22/24,350,350.75,349.5,350,18,215,75275.25
3/21/24,359,359,350,350.25,16,248,86901
3/20/24,359,360,355,359.5,22,2811,1010036
3/19/24,356,356,350,350.25,5,12,4253
3/18/24,357,357,350,350.25,10,637,223154.25
3/15/24,355,363,353,357,37,2196,783040.25
3/14/24,355.25,367.5,355.25,360.25,23,377,135554.25
3/13/24,360,365,355.5,356.5,14,757,271629.75
3/12/24,368.75,370,355,359.25,47,2069,745764
3/11/24,359,366,358.75,364.75,33,4551,1652322.25
3/7/24,355,359,355,358.75,18,753,268093.5
3/6/24,349.5,360,341.75,350,41,1614,562631
3/5/24,359.25,359.5,340,340.5,13,317,108010
3/4/24,338.5,359.75,338.25,340.5,19,2213,753009.5
3/1/24,340,340,338.25,340,6,1036,350772
2/29/24,340,340,340,340,5,193,65620
2/28/24,340,340,338,338,32,604,204636.25
2/27/24,339,339,338.5,338.5,12,722,244563
2/26/24,340,340,339,339,19,1659,563215
2/22/24,340,340,339,340,6,636,216229.5
2/21/24,340,340,338,338.5,22,1116,378313
2/20/24,350,350,337.5,340.5,31,3034,1036994.25
2/19/24,355,355,350,354.25,4,120,42500
2/16/24,350,351,350,350.75,5,116,40696
2/15/24,350,364,350,355.5,8,420,148400.5
2/12/24,368.75,368.75,365,342.5,2,16,5896.25
2/9/24,364.75,369,360,342.5,5,25,9028.5
2/8/24,345.5,345.5,342.5,342.5,12,698,240316
2/7/24,350,350,350,350,2,75,26250
2/6/24,350,350,350,350,7,208,72800
2/2/24,359,359,351.25,350,2,21,7531.25
2/1/24,350,358.75,350,350,5,188,65817.5
1/31/24,358.25,358.25,350,340,6,54,18920.5
1/30/24,341.25,341.25,340,340,22,2045,695657.25
1/29/24,340.5,340.5,340.25,340.25,3,1000,340263.5
1/26/24,347.5,347.5,346.25,346.25,6,457,158242.5
1/24/24,350,350,350,348.25,2,10,3500
1/23/24,349,349,349,348.25,1,6,2094
1/22/24,350,350,348.25,348.25,8,492,171394.5
1/18/24,368.25,369,348.5,350,10,119,41808.75
1/17/24,355,355,351,351.5,11,189,66414.5
1/16/24,364.5,370,364.5,351,4,8,2927.75
1/12/24,353,369,350,351,22,1003,351363
1/11/24,361,361.25,350,351.5,25,417,147094.75
1/9/24,361,361,361,361,6,180,64980
1/8/24,361,361,361,361,1,152,54872
1/5/24,369.75,369.75,360,366,16,651,237258
1/4/24,369.75,369.75,365,380.5,4,11,4029.25
1/3/24,368.75,378.5,360.25,380.5,7,26,9431
12/29/23,361.5,361.5,360,380.5,4,53,19156.75
12/28/23,361.5,372.25,361.5,380.5,5,25,9251.75
12/27/23,364,364,364,380.5,1,3,1092
12/22/23,360,384.5,360,380.5,8,29,10466.25
12/21/23,360,387.5,360,380.5,2,2,747.5
12/20/23,360,390,360,380.5,12,281,106360
12/19/23,361.5,361.5,361.5,371,6,40,14460
12/18/23,361.75,371,361.75,371,10,1062,393930.25
12/14/23,374.75,376,372,374.75,4,20,7473.75
12/13/23,359.75,375,355,374.75,39,4213,1578101.5
12/12/23,354.5,361.5,350,355.5,21,1567,552640
12/11/23,346.5,348.25,340,348.25,11,349,119583.75
12/8/23,355,355,350,350,11,1309,458180
12/7/23,350.25,350.25,346,350,9,484,169457.25
12/6/23,350.5,358,350,353,19,1286,451105.75
12/5/23,345,353,345,352,9,996,349761.5
12/4/23,350,352,350,350,13,1430,500613.5
12/1/23,349,349.25,345,348.75,4,759,264705
11/30/23,349.5,349.75,342.75,345.5,5,112,38693
11/29/23,340.5,348.75,340.5,345.75,4,500,172350
11/28/23,340,340.25,340,340,11,414,140762
11/24/23,340.25,352.5,340,340,11,1023,347896.25
11/22/23,340.5,357,340,342.5,10,550,188397.5
11/21/23,345,345,341,341,9,221,75371.5
11/20/23,358.75,365,358.75,359.5,18,1207,437498.75
11/17/23,338.75,345,338.75,345,5,680,232350
11/16/23,341,359.75,340,340.25,15,698,237695.75
11/15/23,345,348.5,343,343,13,1730,595943.5
11/14/23,345,348,340.25,340.5,13,728,247958
11/13/23,340.25,348,340.25,340.5,15,314,107016.25
11/10/23,353,353,340.25,343,21,1482,508035.25
11/9/23,340.25,349.25,340,340,19,828,281623.5
11/8/23,357,357,340,340,26,1154,392569
11/7/23,345,355,340,340,19,904,308039.25
11/6/23,368.75,368.75,340,340.25,25,746,254347.75
11/3/23,348,348,348,345,1,2,696
11/2/23,353,353,353,345,1,1,353
11/1/23,346,346,345,345,4,310,106960
