Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,78,79,77.5,78,45,31889,2488340.5
7/4/24,80,81,76.1,78.1,91,132100,10527722.8
7/3/24,78.6,79.9,78.6,79.4,36,39227,3115981.6
7/2/24,79.9,80,79.1,79.5,40,73112,5819787.4
7/1/24,81,81,79,79,29,10218,809634.9
6/28/24,79.1,81,78.8,80.2,99,279472,22389874.9
6/27/24,80.6,80.6,79,79.6,85,207478,16530401.7
6/26/24,81,81,80,80.5,79,296328,23785864.3
6/25/24,80,80.9,80,80.4,89,91456,7343017.6
6/24/24,79.7,82,79.7,80,113,365166,29244168
6/20/24,79,79.7,79,79.6,83,49700,3945315.7
6/19/24,79.2,79.7,78.7,79,71,46757,3694170.9
6/18/24,79.5,79.7,78.6,79.4,114,114191,9019185.2
6/14/24,80,80,79.5,79.9,86,171751,13716916
6/13/24,82.3,82.5,80,80,122,463596,37492863.2
6/12/24,82,82.5,81.5,81.7,72,82546,6766024.2
6/11/24,82.9,83.4,81.7,82,226,347320,28730523.3
6/11/24,82.9,83.4,81.7,82,226,347320,28730523.3
6/10/24,81.5,83,81.5,82.8,197,294971,24371392
6/7/24,82,82.2,81,81.4,78,165941,13600620.1
6/6/24,81.5,82.3,80.9,82,250,821999,66967774.2
6/5/24,78.8,81.9,78,80.2,254,700519,55475125.2
6/4/24,78.5,78.9,78,78.7,101,249901,19638751.8
6/3/24,78,78.5,77.2,78,71,203500,15873214.8
5/31/24,78.9,79,78,78.8,79,360520,28153956.4
5/30/24,75.8,79,75.6,78.1,95,154413,11954162.1
5/29/24,77.7,77.7,75.4,76.4,146,175142,13406895.4
5/28/24,78.8,78.8,77.5,78,75,937773,73151824.9
5/27/24,79.5,80,78.7,79,56,169084,13366206.8
5/22/24,77.5,80,77.5,79.8,133,212116,16787725.2
5/21/24,78,78,75,77.5,148,152275,11706337.1
5/20/24,79,80,76,78,117,82705,6474834.6
5/17/24,79,79.8,78.5,79,116,115470,9111134.7
5/16/24,79,81,78.6,78.9,165,226653,18019103.8
5/15/24,80.9,82.5,78,78.7,365,796405,63911474.5
5/14/24,83.3,83.5,80.5,81.7,267,479537,39189522.3
5/13/24,84,84,82.4,83.4,241,292739,24331939.6
5/10/24,80.5,84,80.5,83.9,810,2128140,176892851.1
5/9/24,78.4,80.7,78,80,397,1228544,97426223.2
5/8/24,78,78.5,78,78.2,136,317440,24810920.7
5/7/24,78.1,79.4,78,78,176,595380,46601825.4
5/6/24,77,79,76.5,78.3,265,1151755,89910886.6
5/3/24,76.5,78,76,77.8,100,299742,23140127.6
5/2/24,77.8,78.6,76,76.5,306,868879,68289537.6
4/30/24,78,78,76.5,77.8,165,958754,74039831.3
4/29/24,76.4,78.1,75.5,77.4,244,734958,56799535.8
4/26/24,76,76.8,75.9,76.4,264,703489,53724986.3
4/25/24,72.5,76,72.3,76,353,445481,33557287.1
4/24/24,73.1,73.8,72.8,73,168,186134,13613866.4
4/22/24,73,74,72.5,73.6,107,93771,6857701
4/19/24,72.1,73.4,72.1,73,135,203351,14809172.9
4/18/24,74,74.2,73.5,73.5,131,1530677,110684584.6
4/17/24,74.3,75.8,71.2,74.5,356,453346,33596720.2
4/16/24,76.7,76.7,73,74.1,449,479265,35808919.3
4/15/24,78,78.1,76.4,76.6,361,463274,35721687.2
4/10/24,77.7,78.9,77.4,78.2,177,163851,12809944.3
4/9/24,77,78,76.1,77.8,321,669361,51589026.6
4/8/24,75,77.3,74.9,76.7,567,1107060,84069266.3
4/5/24,74,74.2,72.7,74,267,796432,58491316.1
4/4/24,71.9,74.2,71.9,74,523,1083663,79525370.5
4/3/24,71.2,71.9,70.2,71.5,258,762954,54015099.1
4/2/24,71,71.5,70.7,71,411,1041145,73933697.2
4/1/24,67.2,71.1,67.2,70.6,415,1484294,102036217
3/28/24,66.7,68.7,66.5,68,310,3549225,238501910.8
