Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,4,4,3.9,4,6,12217,48867
7/4/24,4,4.1,3.9,4.1,35,79435,309826.3
7/3/24,4.1,4.1,3.9,3.9,20,51522,205632.8
7/2/24,4,4.1,3.9,4,27,80332,322324.7
7/1/24,4,4.1,3.9,4,26,92915,371663
6/28/24,4.2,4.2,4,4.1,10,1891,7791.6
6/27/24,4.1,4.2,4,4,19,191771,767821
6/26/24,4.1,4.1,4,4.1,23,194,795.3
6/25/24,4.1,4.1,4,4,8,53725,220022.5
6/24/24,4.1,4.2,4,4,13,15686,63804.6
6/20/24,4.2,4.2,4.1,4.1,15,2655,10885.7
6/19/24,4.2,4.2,4.1,4.1,13,6395,26228.5
6/18/24,4.1,4.2,4,4.2,32,24326,99832.2
6/14/24,4.1,4.1,4,4,6,31623,126640.1
6/13/24,4,4.1,4,4.1,25,51875,208036.9
6/12/24,4.1,4.1,4,4.1,8,10200,41813.4
6/11/24,4.2,4.2,4,4,24,13945,55957.9
6/11/24,4.2,4.2,4,4,24,13945,55957.9
6/10/24,4.1,4.2,4,4.1,32,15165,61820.7
6/7/24,4,4.1,4,4.1,19,4273,17509.1
6/6/24,4.1,4.1,4,4,25,3345,13444.8
6/5/24,4,4.1,4,4,14,21655,86635.5
6/4/24,4,4,3.9,4,43,449225,1796754.2
6/3/24,4,4,3.9,3.9,24,30695,122739
5/31/24,4,4.1,4,4,32,157660,631644.3
5/30/24,4.1,4.1,4,4,33,17542,70350.9
5/29/24,4,4.1,4,4,10,12568,50272.7
5/28/24,4.1,4.1,4,4,13,2118,8513
5/27/24,4,4.1,4,4,9,22404,89796.3
5/22/24,4.1,4.2,4.1,4.1,7,40669,166745.4
5/21/24,4.2,4.2,4,4,5,25501,102009.2
5/20/24,4.2,4.2,4,4.2,11,7584,30444
5/17/24,4.1,4.3,4,4.2,20,48813,200527.5
5/16/24,4.2,4.2,4,4,30,53614,214950.4
5/15/24,4,4.2,4,4,11,23016,94259.5
5/14/24,4.2,4.2,4,4.1,54,244805,998756.5
5/13/24,4.3,4.3,4.1,4.2,26,56826,238721.7
5/10/24,4.3,4.3,4.1,4.2,25,18415,76415.3
5/9/24,4.3,4.4,4.1,4.2,43,52839,221764.9
5/8/24,4.2,4.4,4.2,4.3,29,45680,193964.6
5/7/24,4.1,4.4,4.1,4.2,102,378466,1597805.9
5/6/24,4.1,4.1,4,4,33,34272,137410.2
5/3/24,4.1,4.1,4,4,24,9808,39558.7
5/2/24,4.2,4.2,4,4,42,48012,192634.5
4/30/24,4,4.2,3.9,4.1,88,367507,1491968.5
4/29/24,4,4.1,3.9,4,54,166131,662525.9
4/26/24,4,4,3.9,4,21,39689,158601
4/25/24,3.9,4,3.9,4,17,35797,141326.8
4/24/24,3.9,4,3.9,4,25,155334,612326
4/22/24,4,4.1,3.9,3.9,41,190157,744111.5
4/19/24,4,4.1,3.9,4,15,58730,235187.8
4/18/24,4,4.1,4,4,13,39044,156331.6
4/17/24,4,4.1,3.9,4,15,11139,44669.4
4/16/24,3.9,4.1,3.9,4,21,28514,113913.1
4/15/24,4,4,3.9,3.9,10,11520,45556.6
4/10/24,4,4.1,4,4,11,177349,709396.1
4/9/24,4,4.1,3.9,4,23,29438,116911.4
4/8/24,4,4.1,3.9,4,31,77982,311004.1
4/5/24,3.9,4,3.9,4,9,9017,35338
4/4/24,3.9,4,3.9,3.9,27,28616,112238.2
4/3/24,4,4.1,3.9,3.9,13,11989,47951
4/2/24,4,4.1,3.9,3.9,44,119296,474532.9
4/1/24,4,4,3.9,4,48,223050,870896.7
3/28/24,4,4.1,3.9,3.9,37,46152,183899.3
3/27/24,4,4,3.9,3.9,30,54357,213517.3
3/26/24,4,4,3.9,3.9,15,4835,19115
3/25/24,4,4,3.9,4,26,70897,283467.5
3/22/24,4,4,3.9,4,22,60083,240311.5
3/21/24,4,4.1,4,4,30,19389,77666.3
3/20/24,4,4.1,4,4,34,45363,182620.7
3/19/24,4.1,4.1,4,4,21,10545,42290.3
3/18/24,4,4.1,3.9,4.1,41,125296,508884.4
3/15/24,4,4.2,4,4,30,22932,92970.3
3/14/24,4,4.2,4,4.1,83,185366,758487.1
3/13/24,4,4,3.9,3.9,30,90677,356102.5
3/12/24,4,4,3.9,3.9,57,218898,869627.8
3/11/24,4.1,4.1,3.9,4,59,488348,1956415.7
3/7/24,4.1,4.1,3.9,4.1,30,212784,852652.1
3/6/24,4.2,4.2,4,4.1,45,271164,1112265.7
3/5/24,4,4.2,4,4,61,257183,1039297
3/4/24,4,4.1,4,4,32,160667,643042.4
3/1/24,4,4.1,3.9,4,50,228288,902689.7
2/29/24,4,4,3.8,4,102,756942,2964261.5
2/22/24,4,4.2,4,4.1,50,184727,755291.7
2/21/24,4.1,4.2,4,4.1,50,182443,754713.4
2/20/24,4,4.2,4,4.1,94,139809,564993.1
2/19/24,4.1,4.1,4,4,34,58834,235626.1
2/16/24,4.1,4.2,3.9,4.1,80,359067,1445910.3
2/15/24,4.5,4.5,3.8,4,156,937667,3700297.6
6/15/23,4.1,4.2,3.7,4,394,1662810,6484092.8
6/14/23,4,4.1,3.8,4,227,1009972,3986899.3
6/13/23,4,4,3.8,3.8,364,1491471,5768662.3
6/12/23,4.1,4.1,3.9,4,256,915901,3632349.4
6/9/23,4.1,4.3,4,4.1,237,752282,3056654
6/8/23,5.2,5.2,4,4.2,717,2709931,11455506.1
6/7/23,5,5.2,4.8,5,21,55171,274405
6/6/23,5,5,4.9,5,10,1841,9204.1
6/5/23,5.1,5.2,4.9,5,23,19436,98291
6/2/23,5.2,5.2,5,5,9,2864,14320.4
6/1/23,5,5.2,5,5.1,14,51835,259325.2
5/31/23,4.9,5.1,4.9,5,6,26252,131352
5/30/23,5,5,4.9,4.9,4,5028,24639.3
5/29/23,5.1,5.1,4.9,4.9,24,41114,202648.6
5/26/23,5.2,5.2,5,5.1,15,2007,10181.7
5/25/23,5,5.3,4.9,4.9,22,58904,289214.2
5/24/23,5.1,5.2,5,5,11,6284,31451.5
5/23/23,5,5.1,4.9,4.9,23,15379,76370.6
5/22/23,4.9,5.1,4.9,5,9,6245,31234
5/19/23,5.2,5.2,4.9,4.9,51,130017,643999.7
5/18/23,5.2,5.2,5,5,17,4091,20494
5/17/23,5,5.2,5,5,24,53891,271479
5/16/23,5.2,5.2,5,5.2,77,231112,1160277.3
5/15/23,5.6,5.7,5.1,5.3,48,109527,574891.4
5/12/23,5.3,5.6,5.2,5.3,7,10440,55007
5/11/23,5.3,5.4,5.2,5.3,51,115506,609087.2
5/10/23,5.6,5.6,5.4,5.4,8,10211,55144.6
5/9/23,5.6,5.6,5.4,5.4,21,173066,935959.9
5/8/23,5.4,5.5,5.4,5.5,30,55350,304208.1
5/4/23,5.8,5.8,5.5,5.5,4,5102,28091
5/3/23,5.7,5.8,5.4,5.4,46,149659,817190.7
5/2/23,5.8,5.8,5.6,5.6,17,116609,653018.4
4/28/23,5.8,5.8,5.7,5.7,8,271,1550
4/27/23,5.6,5.8,5.6,5.6,5,2034,11391.8
4/26/23,5.8,5.8,5.6,5.6,12,59920,338263.3
4/25/23,5.6,5.7,5.6,5.6,12,28806,161314.6
4/24/23,5.7,5.8,5.6,5.7,13,229339,1306832.8
4/21/23,5.8,5.8,5.6,5.7,26,135415,771890.8
4/20/23,5.9,5.9,5.8,5.8,15,14293,82952.8
4/19/23,5.9,5.9,5.9,5.9,11,34857,205656.3
4/18/23,5.9,5.9,5.9,5.9,14,47250,278775
4/17/23,5.8,5.9,5.8,5.9,18,23093,135313.9
4/12/23,5.7,6,5.7,5.9,14,634,3713.8
4/11/23,5.7,6,5.7,5.8,48,294946,1721890.8
4/10/23,5.7,5.7,5.6,5.6,7,4545,25697
4/6/23,5.8,5.8,5.5,5.6,27,102422,573607.6
4/4/23,5.7,5.8,5.6,5.8,15,13188,74059.5
4/3/23,5.7,5.8,5.5,5.6,31,94269,528529.8
3/31/23,5.7,5.8,5.6,5.7,14,64460,367916
3/30/23,6,6,5.5,5.5,98,874470,4832067
3/29/23,6.1,6.1,5.5,5.7,61,332401,1865458
3/28/23,5.9,6.1,5.9,6.1,7,4656,27673.5
3/27/23,6,6.1,6,6,25,80101,480616
3/24/23,6.2,6.2,6,6.1,26,42211,258785.4
3/23/23,6.2,6.3,6.1,6.1,33,95757,597369.9
3/22/23,6,6.2,6,6.1,28,104318,641044.3
3/21/23,6.1,6.2,6,6.1,23,93946,567757.2
3/20/23,6,6.1,6,6,41,154897,931745.5
3/17/23,5.9,6,5.9,5.9,9,15232,89991
3/16/23,6,6,5.9,5.9,10,46616,278435.4
3/15/23,6,6,5.8,6,15,22374,133648
3/14/23,5.8,6,5.8,5.8,15,27590,162268.1
3/13/23,6,6,5.8,5.9,14,58300,341140
3/10/23,5.9,5.9,5.8,5.9,10,54330,320514
3/9/23,5.9,6,5.9,6,26,166258,993831.5
3/8/23,6,6,5.9,6,31,74825,448450
3/7/23,6,6.1,5.9,6,21,87298,523648.2
3/3/23,5.9,5.9,5.8,5.9,19,20178,119050.1
3/2/23,6,6,5.8,5.9,16,13029,76863.2
3/1/23,5.9,6,5.9,6,7,6923,41037.3
2/28/23,6,6,5.9,6,32,117791,702225.5
2/27/23,5.9,6,5.9,5.9,15,28296,167446.9
2/24/23,6.1,6.1,5.9,5.9,10,13569,81069.7
2/23/23,5.9,6,5.8,6,28,30778,180010.2
2/22/23,6,6.1,6,6,19,58704,352274
2/21/23,6,6.2,5.8,6,15,50636,303236.9
2/20/23,5.8,6.2,5.8,6.1,33,183947,1109943.8
2/17/23,6,6,5.9,5.9,10,36759,216960.6
2/16/23,5.9,6.1,5.8,6,22,7402,43977.9
2/15/23,6.1,6.2,6,6.1,20,65598,393676
2/14/23,6.1,6.3,6.1,6.1,9,911,5599.1
2/13/23,6.4,6.4,6.2,6.2,8,2340,14520
2/10/23,6.2,6.2,6.2,6.3,1,13,80.6
2/9/23,6.2,6.4,6.2,6.3,13,3880,24114
2/8/23,6.2,6.3,6.2,6.2,14,37482,232438.4
2/7/23,6.3,6.3,6.2,6.3,11,23893,149738.6
2/6/23,6.4,6.5,6.3,6.4,10,12261,77556.4
2/3/23,6.5,6.6,6.3,6.4,11,8060,51703.4
2/2/23,6.3,6.5,6.3,6.5,5,300,1910
2/1/23,6.3,6.6,6.3,6.5,22,39376,252642
1/31/23,6.3,6.4,6.3,6.4,5,4310,27573
1/30/23,6.5,6.7,6.5,6.5,7,2713,17861.3
1/27/23,6.6,6.7,6.4,6.4,11,8110,52266.1
1/26/23,6.5,6.7,6.5,6.6,12,713,4699.4
1/25/23,6.6,6.6,6.5,6.5,13,8410,54779.9
1/24/23,6.6,6.6,6.5,6.5,20,32819,213433.6
1/23/23,6.7,6.7,6.6,6.6,17,33350,221257
1/20/23,6.6,6.7,6.6,6.7,17,30943,204362.4
1/19/23,6.7,6.7,6.6,6.7,10,1859,12335.1
1/18/23,6.6,6.6,6.6,6.5,2,3,19.8
1/17/23,6.5,6.7,6.5,6.5,11,27226,177249.6
1/13/23,6.8,6.8,6.5,6.6,18,91660,603468.7
1/12/23,6.7,6.8,6.7,6.8,20,123412,827162.4
1/11/23,6.8,6.8,6.7,6.7,10,6520,43714.9
1/10/23,6.8,6.9,6.8,6.8,5,994,6760.2
1/9/23,6.8,7,6.8,6.8,18,102952,700113.6
1/5/23,7,7,6.8,6.8,44,265219,1835831
1/4/23,7.2,7.2,7,7,19,35184,247527
1/3/23,7,7.2,7,7,41,202888,1429392.2
1/2/23,7.1,7.4,7,7.1,38,309981,2205268.4
12/30/22,7.3,7.3,7,7.2,60,138918,999461.6
12/29/22,6.4,7.4,6.4,7.3,378,3002105,21177118.6
12/28/22,6.2,6.4,6.1,6.4,81,204572,1288650.7
12/27/22,5.9,6.3,5.9,6.2,15,55428,343023.7
12/23/22,6.2,6.3,6.1,6.2,30,96955,606171.6
12/22/22,6.2,6.2,6,6.2,19,131636,814680.2
12/21/22,6.1,6.3,6,6.2,47,122974,749340.8
12/20/22,6.1,6.2,6.1,6.2,34,95827,592303.8
12/19/22,6,6.1,5.8,5.9,37,135935,815909.4
12/16/22,6,6.1,5.9,6,28,53853,323067
12/15/22,6,6.1,5.9,6,47,103398,620429.4
12/14/22,6.1,6.1,5.9,6,12,51210,309750.3
12/13/22,5.9,6.1,5.8,6,34,268745,1612329.7
12/12/22,5.7,5.9,5.7,5.8,24,22416,129322.2
12/9/22,5.7,6,5.7,5.8,65,209427,1220425.9
12/8/22,5.9,5.9,5.5,5.6,46,681956,3826116.9
