Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,17.5,17.5,17.4,17.4,11,12215,212573.1
7/4/24,17.5,17.8,17.4,17.4,19,13172,231449.4
7/3/24,17.6,17.9,17.5,17.9,9,14403,257704.3
7/2/24,17.9,17.9,17.6,17.6,19,11344,200114
7/1/24,17.9,17.9,17.7,17.9,8,37,660.4
6/28/24,17.5,17.9,17.5,17.9,12,10993,196117.5
6/27/24,17.9,18,17,17.3,38,14821,257927.3
6/26/24,18,18,18,18,10,13844,249192
6/25/24,18,18,18,18,15,32249,580482
6/24/24,17.8,18.1,17.8,17.9,33,33108,595404.4
6/20/24,17.7,17.8,17.7,17.8,2,251,4467.7
6/19/24,17.9,17.9,17.5,17.7,10,3867,69178.9
6/18/24,17.9,17.9,17.5,17.6,12,22848,400368
6/14/24,18,18,17.8,18,19,9050,162790.1
6/13/24,18,18,17.9,17.9,15,20385,366090.9
6/12/24,18,18.1,18,18,20,102703,1848864
6/11/24,18.2,18.2,18,18,41,218227,3931810.3
6/11/24,18.2,18.2,18,18,41,218227,3931810.3
6/10/24,18,18.2,18,18.1,20,60457,1093786.3
6/7/24,18.1,18.1,18,18,10,27160,488985
6/6/24,18.1,18.2,18,18.1,14,43958,793959
6/5/24,18.1,18.1,18,18.1,20,75277,1355506.1
6/4/24,18,18.1,18,18,22,121365,2186486
6/3/24,18.1,18.1,18,18,30,120789,2174799.8
5/31/24,18,18.1,18,18,23,48161,868099.8
5/30/24,17.9,18,17.9,18,10,3665,65898.7
5/29/24,18,18.1,18,18,23,168196,3028529.5
5/28/24,18,18.1,18,18,19,86900,1564300
5/27/24,18,18.1,18,18,13,90211,1623888
5/22/24,18,18.1,18,18,8,31801,572918
5/21/24,18.1,18.1,18,18,30,98832,1779258.4
5/20/24,18,18.1,17.9,18.1,41,210026,3781986.7
5/17/24,18,18.1,18,18,42,257329,4634242.1
5/16/24,18,18,18,18,16,93708,1686744
5/15/24,18,18.1,17.9,18,45,302067,5437405.4
5/14/24,18.1,18.4,18,18,40,300344,5433024.6
5/13/24,17.5,18.4,17.5,18,71,967863,17378877.3
5/10/24,17.7,17.7,17.2,17.5,35,47544,832993.1
5/9/24,17.7,17.9,17.2,17.2,26,73813,1273348.3
5/8/24,17.3,18.5,17,17.8,115,517621,9048805.5
5/7/24,17.2,17.4,17.1,17.3,50,299568,5144325.8
5/6/24,17.1,17.2,17,17.1,23,41251,705492.1
5/3/24,17.1,17.2,17,17.1,30,38864,662859.6
5/2/24,17.1,17.2,17,17.1,17,56547,961977.7
4/30/24,16.6,17.2,16.6,17.1,45,84403,1429029
4/29/24,17,17,16.5,16.6,41,39895,659709.7
4/26/24,17,17,16.7,16.7,41,39281,657885.5
4/25/24,17,17,16.2,16.8,86,111025,1853965.2
4/24/24,17.7,18,17.5,18,87,681385,12188610.3
4/22/24,17.4,17.8,17.4,17.6,44,80838,1420965.9
4/19/24,17.3,17.5,17.1,17.4,49,118513,2055979.4
4/18/24,17.7,17.7,17.3,17.5,32,35270,616182.2
4/17/24,17.2,17.9,17.2,17.5,54,106164,1857863.1
4/16/24,17.5,17.7,17.3,17.5,48,64039,1119058.5
