Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/5/24,4.2,4.2,4,4.1,15,12090,49540.4
7/4/24,4.2,4.2,4,4.2,13,33896,140031.4
7/3/24,4.1,4.3,4.1,4.2,51,485750,2019651
7/2/24,3.9,4,3.9,4,15,257790,1030410.9
7/1/24,4,4,3.9,3.9,15,185239,738355.7
6/28/24,4,4,4,4,49,131062,524248
6/27/24,4,4,3.9,3.9,9,27803,110212
6/26/24,4,4,3.9,3.9,10,12470,49559
6/25/24,4,4.1,4,4,34,291069,1164304.3
6/24/24,4.1,4.1,4,4,65,617011,2469202.3
6/20/24,4.1,4.1,4.1,4.1,14,133772,548465.2
6/19/24,4.2,4.2,4.1,4.1,6,17356,71395.2
6/18/24,4.1,4.2,4.1,4.2,12,81802,335462.6
6/14/24,4.1,4.1,4.1,4.1,3,1405,5760.5
6/13/24,4.2,4.2,4.1,4.2,7,4578,19007.5
6/12/24,4.2,4.2,4.1,4.2,14,244670,1024651.5
6/11/24,4.1,4.2,4.1,4.1,10,40600,166473.4
6/11/24,4.1,4.2,4.1,4.1,10,40600,166473.4
6/10/24,4.2,4.2,4.1,4.2,26,75700,312517.5
6/7/24,4.1,4.2,4.1,4.1,4,5402,22148.3
6/6/24,4.2,4.2,4.1,4.1,14,14765,61553
6/5/24,4.2,4.2,4.1,4.2,9,3305,13570.9
6/4/24,4.2,4.2,4.1,4.1,6,11010,45142
6/3/24,4.1,4.2,4.1,4.1,10,2514,10312.3
5/31/24,4.3,4.3,3.9,4.1,51,855907,3486917
5/30/24,4.3,4.3,4.2,4.2,9,22350,93881.6
5/29/24,4.2,4.2,4.2,4.2,6,15296,64243.2
5/28/24,4.2,4.3,4.1,4.2,34,365709,1546455.4
5/27/24,4.2,4.4,4.2,4.3,37,244304,1042859.6
5/22/24,4.1,4.3,4.1,4.2,23,200706,854799.5
5/21/24,4.2,4.2,4.1,4.1,24,54220,224554.6
5/20/24,4.1,4.2,4.1,4.2,10,122531,503102.1
5/17/24,4.2,4.2,4.1,4.2,11,28606,118695.2
5/16/24,4.2,4.2,4.1,4.1,15,44897,185315.3
5/15/24,4.3,4.3,4.2,4.2,13,12671,53605.3
5/14/24,4.2,4.3,4.1,4.2,20,122585,514607.5
5/13/24,4.4,4.4,4.2,4.3,19,81502,350363.3
5/10/24,4.3,4.4,4.3,4.3,33,426313,1843468.4
5/9/24,4.2,4.4,4.2,4.2,27,129574,555344.6
5/8/24,4.3,4.4,4.2,4.2,35,199321,856597.2
5/7/24,4.1,4.4,4.1,4.3,58,543819,2332151
5/6/24,4.1,4.3,4.1,4.2,18,55834,230552.2
5/3/24,4.2,4.2,4.1,4.2,13,24862,103370.3
5/2/24,4.1,4.2,4.1,4.1,14,20047,83295.4
4/30/24,4.2,4.2,4.1,4.1,19,294002,1210504.1
4/29/24,4.2,4.3,4.2,4.2,26,87012,366351.6
4/26/24,4.1,4.4,4,4.3,88,1592511,6746758
4/25/24,4,4.2,4,4,24,103167,412687.1
4/24/24,4.2,4.2,4,4,39,120576,484808.7
4/22/24,3.9,4.4,3.9,4.2,122,583768,2464717.4
4/19/24,3.9,4.1,3.9,3.9,22,158964,629616.5
4/18/24,3.9,4.1,3.9,3.9,27,182630,723617.2
4/17/24,3.9,4,3.9,4,30,93394,372075.9
4/16/24,3.9,4,3.9,3.9,21,183643,716312.8
4/15/24,4,4,3.9,3.9,11,20592,80408.9
4/10/24,4,4,3.9,3.9,9,26616,103903.5
4/9/24,4,4,3.9,4,22,96483,380131.9
4/8/24,4,4,3.9,3.9,22,47162,184043
4/5/24,4,4,3.9,3.9,36,161737,634079.4
4/4/24,3.9,4,3.9,3.9,25,93329,364309
4/3/24,3.9,4,3.9,3.9,55,429796,1676404.5
4/2/24,4,4,3.8,3.9,76,161966,633473.6
4/1/24,4.2,4.3,4.1,4.1,77,734202,3063192.6
3/28/24,4.1,4.2,4.1,4.1,36,46345,191633
3/27/24,4,4.1,4,4.1,43,116318,476901.8
3/26/24,4.1,4.2,4.1,4.1,17,35139,144577.4
3/25/24,4.2,4.2,4,4.1,53,98544,403913.7
3/22/24,4.1,4.3,4.1,4.2,109,442674,1857380.7
3/21/24,4,4.1,4,4,22,89578,364793.9
3/20/24,4.1,4.2,4,4,32,226288,912338.8
3/19/24,4,4.2,4,4.1,33,135928,560122.4
3/18/24,4.3,4.3,4,4.1,72,453922,1862446.2
3/15/24,4.3,4.4,4.2,4.2,124,728133,3088464.5
3/14/24,3.9,4.5,3.8,4.3,543,4524153,19326884.9
3/13/24,3.7,3.9,3.7,3.8,43,322659,1226119.8
3/12/24,3.7,3.8,3.7,3.7,9,38615,142875.9
3/11/24,3.7,3.9,3.7,3.7,37,407986,1537710.5
3/7/24,3.8,3.8,3.6,3.7,19,96887,358364
3/6/24,3.7,3.7,3.6,3.6,17,75883,277299.6
